rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
17,UCPJRaQe2LVt1_StkIm6VTSw,Annie Wang Tamaki,https://www.youtube.com/channel/UCPJRaQe2LVt1_StkIm6VTSw,0,badcase,护肤美妆号，和婴儿补剂无关
21,UCRZyZl31WxCvfzFU_UKLB6Q,Cotton Bean Goat Farms,https://www.youtube.com/channel/UCRZyZl31WxCvfzFU_UKLB6Q,-15,badcase,山羊农场内容，和人类婴儿补剂互斥
22,UCUcz4A71zGfNaU0MjgYk7Wg,Hi! Little Doudou,https://www.youtube.com/channel/UCUcz4A71zGfNaU0MjgYk7Wg,-5,badcase,动画娱乐号，非产品推广场景
23,UCKjf2xTgThQA1eCbpQNUISg,Nanning First Sister,https://www.youtube.com/channel/UCKjf2xTgThQA1eCbpQNUISg,-5,badcase,儿童娱乐号，和补剂推广不匹配
28,UCs77XgZh8p9s5nPdnmQ4RjA,Adopted Connor,https://www.youtube.com/channel/UCs77XgZh8p9s5nPdnmQ4RjA,-15,badcase,游戏直播域与婴儿补剂完全不匹配
29,UCJKqhMvm3yIP5qVRqZ5baIQ,Monkey Baby Ni,https://www.youtube.com/channel/UCJKqhMvm3yIP5qVRqZ5baIQ,-15,badcase,动物向内容，和人类婴儿补剂冲突
30,UCL9tUloGC80saqTOxgrtJQA,Ly Thi Ly - Daily Vlog,https://www.youtube.com/channel/UCL9tUloGC80saqTOxgrtJQA,0,badcase,农家日常/做饭向，缺少母婴营养意图
32,UC20rN1FDG5XaMxvAD7Ed4LQ,VigorousSteve,https://www.youtube.com/channel/UC20rN1FDG5XaMxvAD7Ed4LQ,-15,badcase,类固醇健身向，与婴儿补剂目标冲突
37,UCikjESrQRwElQ57buZRkWjg,Caujuan Mayo,https://www.youtube.com/channel/UCikjESrQRwElQ57buZRkWjg,0,badcase,营销旅游向，和母婴补剂无关
41,UCEvXtup96sm0YQN7JZnczyw,Ivet Parris,https://www.youtube.com/channel/UCEvXtup96sm0YQN7JZnczyw,0,badcase,美妆时尚向，与婴儿补剂不匹配
