rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
7,UC2AUc-4_yMsFHLfPP9Ub8ZA,George Fan,https://www.youtube.com/channel/UC2AUc-4_yMsFHLfPP9Ub8ZA,0,badcase,无咖啡机相关标签，频道偏泛家电
8,UC8Nr144OO16a0Vt8kTXGYsg,Billy Aiken,https://www.youtube.com/channel/UC8Nr144OO16a0Vt8kTXGYsg,0,badcase,前五标签偏杂，咖啡机仅在次级标签
11,UCp6dlBkDSU-Pq591L3nRhlQ,Mcilpoog,https://www.youtube.com/channel/UCp6dlBkDSU-Pq591L3nRhlQ,0,badcase,无可用标签，无法判断为咖啡机相关
24,UCF93kQGx2jXDxcGOkRyw8Eg,Natalie Minassian,https://www.youtube.com/channel/UCF93kQGx2jXDxcGOkRyw8Eg,-10,badcase,偏咖啡饮用与生活方式，ASMR格式不适合咖啡机推广
33,UClACkwySPPiNneu8pGT5mHA,Penglai Machine,https://www.youtube.com/channel/UClACkwySPPiNneu8pGT5mHA,0,badcase,工业自动化/包装机械频道，与咖啡机受众不匹配
36,UC0m33OrU-_JpvIjxyh3RtyQ,BrewTube Cafe: Coffee Creations,https://www.youtube.com/channel/UC0m33OrU-_JpvIjxyh3RtyQ,-10,badcase,ASMR/氛围音频频道，属于强形式不匹配
42,UCCb1R887gL1pxuL7iObUY4g,Power Gadgets,https://www.youtube.com/channel/UCCb1R887gL1pxuL7iObUY4g,0,badcase,无有效标签，无法建立咖啡机相关性
44,UCvBIv0lK8_WCNQveoAPktUg,Car Sharing Jho,https://www.youtube.com/channel/UCvBIv0lK8_WCNQveoAPktUg,0,badcase,汽车共享频道，与咖啡机推广无关
48,UC19syw_O9tICDkb8jq4iTaw,FUBO PACKAGING MACHINERY,https://www.youtube.com/channel/UC19syw_O9tICDkb8jq4iTaw,0,badcase,包装机械工厂号，与咖啡机推广方向不符
52,UCuSj0AwIzrEgLkdMw4omzUQ,"Suzhou automation equipment technology co., LTD.",https://www.youtube.com/channel/UCuSj0AwIzrEgLkdMw4omzUQ,0,badcase,无标签无内容证据，无法确认咖啡机受众
53,UCDT-RC28894JKnf1PqnXCYw,StayCaffeinated,https://www.youtube.com/channel/UCDT-RC28894JKnf1PqnXCYw,0,badcase,无标签和视频信息，缺少咖啡机相关证据
58,UCoYBnzipbufk1HY5zB9f93Q,Golemzy,https://www.youtube.com/channel/UCoYBnzipbufk1HY5zB9f93Q,0,badcase,无标签无内容，无法判断与咖啡机的相关性
61,UCifkdYQHGplGHn9RQYzj8MQ,SHANGHAI FUBO PACKAGING MACHINERY,https://www.youtube.com/channel/UCifkdYQHGplGHn9RQYzj8MQ,0,badcase,包装机械方向，与咖啡机推广无关
64,UCe1BOLqwnextHEgShSIOnWw,Landpack Packing Filling Machine,https://www.youtube.com/channel/UCe1BOLqwnextHEgShSIOnWw,0,badcase,填充包装机械频道，与咖啡机投放不匹配
66,UCieRWoegEypfPPDj4NiqVcw,disposable paper making machines,https://www.youtube.com/channel/UCieRWoegEypfPPDj4NiqVcw,0,badcase,纸杯/纸餐具机械方向，与咖啡机不相关
69,UCOAOh1yMMRGFM395zjN-B9A,Loving B,https://www.youtube.com/channel/UCOAOh1yMMRGFM395zjN-B9A,1,badcase,仅日常生活+咖啡泛兴趣，投放意图很弱
70,UCXBDuP-XxB4xlvRegaE3poA,The crazy coffee queen,https://www.youtube.com/channel/UCXBDuP-XxB4xlvRegaE3poA,3,badcase,冷饮咖啡内容偏饮品，不是咖啡机推广场景
71,UCau9-mxOSLEXf8ATqBlguxQ,Yantracart,https://www.youtube.com/channel/UCau9-mxOSLEXf8ATqBlguxQ,0,badcase,无标签无内容，缺少咖啡机相关信号
82,UC_tH0w071zxKAwnz0WZvEgQ,Shuliy Packing Machinery,https://www.youtube.com/channel/UC_tH0w071zxKAwnz0WZvEgQ,-15,badcase,工业包装机械频道，与咖啡机推广不符
83,UCDYFYolZUJyXFUGGrOKe_nw,CHEF ARSENE,https://www.youtube.com/channel/UCDYFYolZUJyXFUGGrOKe_nw,2,badcase,仅有泛饮食词，缺少咖啡机推广信号
84,UC4BJADxaaeRCNhmVzIV3jaQ,Pralex Media,https://www.youtube.com/channel/UC4BJADxaaeRCNhmVzIV3jaQ,0,badcase,无标签可判断，缺少相关性证据
85,UCEP2IGsO_Eh_kSrbjNA5JGQ,Celo Kim,https://www.youtube.com/channel/UCEP2IGsO_Eh_kSrbjNA5JGQ,10,badcase,有机型词，但 ASMR/咖啡馆 vlog 形态不适合种草
86,UC3z1Viu8O8Wy7SW3uzzYnaw,"Ruian Huajing Machinery Co., Ltd.",https://www.youtube.com/channel/UC3z1Viu8O8Wy7SW3uzzYnaw,-15,badcase,塑料热成型工业机台，与咖啡机受众不匹配
87,UCDoUAHpuh573WBcXKsJQLvw,FreshlySqueezedLLC,https://www.youtube.com/channel/UCDoUAHpuh573WBcXKsJQLvw,0,badcase,果汁/食品加工机械为主，和咖啡机关联弱
98,UCDLaO4pacpiHLmDUWGrWQ4w,Blokkzy,https://www.youtube.com/channel/UCDLaO4pacpiHLmDUWGrWQ4w,0,badcase,游戏内容，和咖啡机推广无关
100,UC0zeRjDDukrdqAnm2qRKwsA,George Giannaris,https://www.youtube.com/channel/UC0zeRjDDukrdqAnm2qRKwsA,1,badcase,家庭烹饪为主，咖啡词太泛
103,UCNXiRWMUpxAysZG-_Te3zHQ,PENGLAI Machines Limited,https://www.youtube.com/channel/UCNXiRWMUpxAysZG-_Te3zHQ,-15,badcase,工业包装机械赛道，和咖啡机品类完全不匹配
104,UC-Nb0E9a45Tj4-HKoZIT_tA,My AC Support,https://www.youtube.com/channel/UC-Nb0E9a45Tj4-HKoZIT_tA,-10,badcase,空调/洗衣机维修频道，家电类但与咖啡机品类不对口
105,UCjPEsmTmhtT1aJKZ-5znwOg,Basemeant WRX,https://www.youtube.com/channel/UCjPEsmTmhtT1aJKZ-5znwOg,0,badcase,DIY/木作内容为主，和咖啡机推广关联弱
106,UCDNCLa0ZpQtwxjpAU7H3j5g,Penglai Pack,https://www.youtube.com/channel/UCDNCLa0ZpQtwxjpAU7H3j5g,-15,badcase,工业包装设备频道，目标受众与咖啡机不一致
107,UCQ72hR86RHBS9tOWc4E-5jg,Packaging Machinery,https://www.youtube.com/channel/UCQ72hR86RHBS9tOWc4E-5jg,-15,badcase,包装机械赛道，非咖啡机消费场景
109,UCV18GT81oww3kiymsouOrDg,Smart-Packer No.1 Packaging Machines Factory,https://www.youtube.com/channel/UCV18GT81oww3kiymsouOrDg,-15,badcase,工业包装线内容，和咖啡机受众错位
111,UCuWvdsYhZVEhZCzB0UWC70w,Belinda Yang,https://www.youtube.com/channel/UCuWvdsYhZVEhZCzB0UWC70w,-15,badcase,贴标设备工厂，和咖啡机品类无关
113,UC1CD3f0PrH2iYN65ZqN-CwA,FA Printing Machine Manufacturer Limited,https://www.youtube.com/channel/UC1CD3f0PrH2iYN65ZqN-CwA,-15,badcase,印刷设备赛道，和咖啡机推广无关
114,UC-ccl2yHayFmNUVYo9Vukcw,CNBOBOMACHINE,https://www.youtube.com/channel/UC-ccl2yHayFmNUVYo9Vukcw,-15,badcase,管材加工设备频道，与咖啡机目标受众不匹配
115,UCVmN4bpV_LtsfUxheaPWbyg,HONGKONG SINBON  INDUSTRIAL LIMITED,https://www.youtube.com/channel/UCVmN4bpV_LtsfUxheaPWbyg,-15,badcase,灌装封口设备频道，和咖啡机品类不相干
117,UCTSU4qWr-1NePOm46KJzJjg,Điện tử cho mọi người (Điện tử cho mọi người),https://www.youtube.com/channel/UCTSU4qWr-1NePOm46KJzJjg,0,badcase,泛科技频道，缺少咖啡机或家电购买场景
122,UCo4XjYB_mRONyQKah8jbjVw,Tracy,https://www.youtube.com/channel/UCo4XjYB_mRONyQKah8jbjVw,-15,badcase,包装方案与灌装设备为主，和咖啡机错位
123,UCs-Z-nopUbhe9LaGRJcVwyw,SIPUXIN TECHNOLOGY,https://www.youtube.com/channel/UCs-Z-nopUbhe9LaGRJcVwyw,-15,badcase,灌装/封口/化妆品机械频道，目标品类不对
125,UCtwRB64-aeSu5mmFYAWdQxQ,Pad printer hot stamping machine screen machines,https://www.youtube.com/channel/UCtwRB64-aeSu5mmFYAWdQxQ,-15,badcase,丝印/热转印设备频道，与咖啡机推广无关
126,UCPOrLvlW1NGake9mdO2SWiQ,Coffee Showcase,https://www.youtube.com/channel/UCPOrLvlW1NGake9mdO2SWiQ,0,badcase,无标签且无相关内容，难判断为咖啡机推广对象
130,UCC-3cubP7yg6puXb4twsKDw,XUANHAI-MACHINE,https://www.youtube.com/channel/UCC-3cubP7yg6puXb4twsKDw,-10,badcase,工业包装机械频道，和咖啡机消费推广明显不符
132,UC4bELHz0YfXiWaMc39gmHqw,Jason Tong,https://www.youtube.com/channel/UC4bELHz0YfXiWaMc39gmHqw,-10,badcase,工业灌装贴标设备，和咖啡机推广几乎无关
133,UCtHPYmKePr5uFf93Nlm1NzQ,Nova Vending | Smart Vending Machine Innovations,https://www.youtube.com/channel/UCtHPYmKePr5uFf93Nlm1NzQ,-5,badcase,智能售货机偏B2B设备，不是咖啡机推广场景
135,UC0bXm7SnF_ssc47s6Ab8Yhg,Jack Du,https://www.youtube.com/channel/UC0bXm7SnF_ssc47s6Ab8Yhg,-10,badcase,工业包装制造频道，受众与咖啡机消费推广不匹配
140,UCvRFyrlH65q4XenNOITKiIQ,Maomao Lee,https://www.youtube.com/channel/UCvRFyrlH65q4XenNOITKiIQ,1,badcase,泛机械制造类，缺少咖啡机推广所需的评测/购买信号
142,UCdiZcFqKnCbMT6_jYvCqdEw,The Modgils Vlog,https://www.youtube.com/channel/UCdiZcFqKnCbMT6_jYvCqdEw,0,badcase,家庭vlog为主，仅有泛化Coffee标签，无咖啡机推广/评测意图
144,UCh6edSCdr2RP0bqCDWgDOvA,Angel-Thermoforming Machine ( Yiyou&Hongyouxing),https://www.youtube.com/channel/UCh6edSCdr2RP0bqCDWgDOvA,-10,badcase,热成型工业设备频道，与咖啡机消费推广无关
145,UCCoR1uMn6lztRmoc7EmUFiQ,WEIMI Smart Vending Micron Smart Vending,https://www.youtube.com/channel/UCCoR1uMn6lztRmoc7EmUFiQ,-5,badcase,售货机/无人零售频道，和咖啡机目标不一致
146,UCZrt_N0kp1BEqdcYl_vdCqw,MR. NOBODY,https://www.youtube.com/channel/UCZrt_N0kp1BEqdcYl_vdCqw,-10,badcase,音乐咖啡馆氛围+游戏娱乐，属于格式不匹配
151,UCuBvI7FtVyWDbOm-6rFq8Vw,RIFU Machine,https://www.youtube.com/channel/UCuBvI7FtVyWDbOm-6rFq8Vw,-15,badcase,工业包装机频道，主场景偏产线设备，和咖啡机推广不符
153,UCimzx1na0dB5XHEL5sBrCCw,Mommy Che Dugan,https://www.youtube.com/channel/UCimzx1na0dB5XHEL5sBrCCw,0,badcase,泛产品测评号，缺少咖啡机或厨房家电信号
154,UC28pLRWhwtbDvoHbzPNPmcQ,Romiter Machinery,https://www.youtube.com/channel/UC28pLRWhwtbDvoHbzPNPmcQ,-15,badcase,工业机械/食品加工场景，和家用咖啡机不匹配
155,UC9bgTpaJcfxgvr_Y8mHMDfA,mariia grey,https://www.youtube.com/channel/UC9bgTpaJcfxgvr_Y8mHMDfA,-15,badcase,ASMR日常重置向，偏氛围内容，不适合咖啡机推广
157,UCfegl3OG7LXlQS7-YL5Tvmg,Julk Zhang,https://www.youtube.com/channel/UCfegl3OG7LXlQS7-YL5Tvmg,-15,badcase,自动包装与食品加工频道，和咖啡机人群不符
158,UCIfegga3H2Jh3O-abpXBqpw,The Holistic Hazelnut Reviews,https://www.youtube.com/channel/UCIfegga3H2Jh3O-abpXBqpw,0,badcase,缺少标签与内容证据，无法判断相关性
163,UCmsAwNJKAGI2ibq--B-unKw,Jaime Ibanez,https://www.youtube.com/channel/UCmsAwNJKAGI2ibq--B-unKw,-5,badcase,偏 vending machine 生意内容，与咖啡机推广人群不符
164,UCglHNe1Qps5YPTm7I3JtWeQ,Alexander Zapata,https://www.youtube.com/channel/UCglHNe1Qps5YPTm7I3JtWeQ,-10,badcase,ASMR/咖啡氛围向，强格式错配，不利产品推广
168,UCk8Zk8tUAwBN_NKkORh4q2Q,EcoFlow,https://www.youtube.com/channel/UCk8Zk8tUAwBN_NKkORh4q2Q,0,badcase,备用电源频道，与咖啡机购买场景不相关
169,UCwj0BB4F83ZjuqYzQtMYQKw,LTPKMACHINERY,https://www.youtube.com/channel/UCwj0BB4F83ZjuqYzQtMYQKw,0,badcase,无标签无内容证据，无法判定为相关
170,UChh44o6Ndt3P4Atpuq4VUsA,ZONESUN,https://www.youtube.com/channel/UChh44o6Ndt3P4Atpuq4VUsA,-15,badcase,工业包装设备频道，明显偏离咖啡机消费场景
173,UCrChI668Vcdy3AC-mv038_A,Product zone,https://www.youtube.com/channel/UCrChI668Vcdy3AC-mv038_A,0,badcase,泛商品频道偏补剂/宠物，咖啡机相关性弱
175,UCsz-dhsLM6VTYH1yUf5EkfQ,3DModels org,https://www.youtube.com/channel/UCsz-dhsLM6VTYH1yUf5EkfQ,0,badcase,人体/医学3D模型频道，和咖啡机完全不相干
176,UCSGuEFPFgOTBtBpyiX9FxQw,Shenzhen Chuangsaijie Technology Co Ltd,https://www.youtube.com/channel/UCSGuEFPFgOTBtBpyiX9FxQw,0,badcase,工业印刷设备频道，与咖啡机推广场景不符
177,UCfolmMYcTjcdWe3janTnMAw,Gear Elevation,https://www.youtube.com/channel/UCfolmMYcTjcdWe3janTnMAw,0,badcase,泛生活宠物杂项频道，缺少咖啡机购买语境
180,UCxG83ISSA3nl3M7Uvfc7tVw,Mrs. Coffee,https://www.youtube.com/channel/UCxG83ISSA3nl3M7Uvfc7tVw,0,badcase,以游戏手作为主，咖啡机相关性很弱
182,UCgGlyaPWWxKtjHeI-khbHWg,Dobot Robotics,https://www.youtube.com/channel/UCgGlyaPWWxKtjHeI-khbHWg,0,badcase,工业机器人频道，和咖啡机无关
184,UCcuOsZLaEg8nidzaqCRwo5w,gracieshotstuff,https://www.youtube.com/channel/UCcuOsZLaEg8nidzaqCRwo5w,0,badcase,泛生活杂项频道，缺少咖啡机受众
185,UCsnvOo6bEI-iHHzobtyBZWw,Tony USmachines,https://www.youtube.com/channel/UCsnvOo6bEI-iHHzobtyBZWw,0,badcase,工业包装设备频道，不适合咖啡机
187,UCKlcj9KFm_wVjOg_qyzWiZQ,Darius Brodesser,https://www.youtube.com/channel/UCKlcj9KFm_wVjOg_qyzWiZQ,0,badcase,无有效标签，无法判断相关性
189,UCN4ealNWlnjK12DO26avopg,SANTSAi,https://www.youtube.com/channel/UCN4ealNWlnjK12DO26avopg,0,badcase,注塑机械频道，与咖啡机推广无关
191,UCuFO9uQvdWxw9-Vxi37mz2Q,Sailin Gomez,https://www.youtube.com/channel/UCuFO9uQvdWxw9-Vxi37mz2Q,-12,badcase,ASMR为主，属于强格式不匹配
192,UCcCogWEcCcaXWVa1Ik5j1fg,Nate Matthews,https://www.youtube.com/channel/UCcCogWEcCcaXWVa1Ik5j1fg,0,badcase,健身生活为主，咖啡机仅弱相关
