rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
136,UCPmQPPYvZGzUG4fjxenkT8g,Imbadkidjay,https://www.youtube.com/channel/UCPmQPPYvZGzUG4fjxenkT8g,20,badcase,主内容是游戏/搞笑短片，时尚仅弱标签
142,UC7hqLcR6E-M7br0vkTFQG1Q,chronic fashion,https://www.youtube.com/channel/UC7hqLcR6E-M7br0vkTFQG1Q,20,badcase,核心是Roblox换装游戏，非真实时尚推广
160,UCIHgO1mmXdEZJooloF3pF2g,Lyra Dolls,https://www.youtube.com/channel/UCIHgO1mmXdEZJooloF3pF2g,10,badcase,纸娃娃/玩具为主，不适合真人服饰推广
194,UCbGstSqgMlub_nJHHaqsl7Q,Dolly Amazing,https://www.youtube.com/channel/UCbGstSqgMlub_nJHHaqsl7Q,5,badcase,纸娃娃和儿童娱乐为主，不适合
411,UCuYRxRuTAtmeE2AiR5WWWHQ,The Hillywood Show,https://www.youtube.com/channel/UCuYRxRuTAtmeE2AiR5WWWHQ,5,badcase,主内容偏恶搞娱乐，fashion 仅次要
424,UCmuXWJNs1BNj7xBEmHCyXdw,The Vangos,https://www.youtube.com/channel/UCmuXWJNs1BNj7xBEmHCyXdw,5,badcase,播客/关系/美食为主，时尚只是次要
454,UCXIPqUxVQw7gDs17rC1wspA,Jay Greek,https://www.youtube.com/channel/UCXIPqUxVQw7gDs17rC1wspA,5,badcase,主体是游戏，时尚仅是游戏名蹭词
498,UCzU9YOXhojkBzaXsjyoj_Ag,KoiCC,https://www.youtube.com/channel/UCzU9YOXhojkBzaXsjyoj_Ag,5,badcase,ASMR助眠格式与时尚推广明显不匹配
4763,UCiAkdvjo8ka0aExJzksztlw,Express Dress,https://www.youtube.com/channel/UCiAkdvjo8ka0aExJzksztlw,5,badcase,玩偶和迷你模型内容为主，不适合真人时尚推广
4771,UCLZzUIOkYFeLfGrDKJ9LpZg,Handsome Dog,https://www.youtube.com/channel/UCLZzUIOkYFeLfGrDKJ9LpZg,10,badcase,宠物狗内容为主，时尚标签不足以支撑投放
4772,UCNmkZjjxkC6qIbPQqNhMrzQ,MiiRain,https://www.youtube.com/channel/UCNmkZjjxkC6qIbPQqNhMrzQ,5,badcase,娱乐梗图频道，时尚相关性弱，不适合服饰推广
4807,UCz4VDW16Texr7hkye37tvfw,Salwas kitchen,https://www.youtube.com/channel/UCz4VDW16Texr7hkye37tvfw,5,badcase,ASMR食物向，时尚标签不代表服饰推广
4856,UCdEsoZ_1k6ZTaI73PR3o-ug,Storyboard AI,https://www.youtube.com/channel/UCdEsoZ_1k6ZTaI73PR3o-ug,5,badcase,影视娱乐为主，fashion仅是边缘标签，不适合
4858,UCEAwwFUnP7GnsMUzzUlBajg,Creator Facts,https://www.youtube.com/channel/UCEAwwFUnP7GnsMUzzUlBajg,5,badcase,反应/搞笑向内容为主，时尚标签很弱
4899,UC-w31C0eAbu11t-b1CMhzSQ,PaJust,https://www.youtube.com/channel/UC-w31C0eAbu11t-b1CMhzSQ,10,badcase,手工ASMR频道，偏制作非穿搭推广
4904,UC7yaJ-NrERGY28nxi9-v1Rg,Cheezburger,https://www.youtube.com/channel/UC7yaJ-NrERGY28nxi9-v1Rg,5,badcase,meme/娱乐主导，Fashion 只是附带标签
4916,UC7BFuvUvLonlblWsDvXZfHQ,Ladies Hacks,https://www.youtube.com/channel/UC7BFuvUvLonlblWsDvXZfHQ,10,badcase,农事/捕鱼/街头食物为主，Fashion 不集中
4921,UCOoydExpyxYQSMh7xFD27hw,"Digital dreams card studio,let’s Explore Happiness",https://www.youtube.com/channel/UCOoydExpyxYQSMh7xFD27hw,5,badcase,meme/搞笑/娱乐主导，Fashion 不构成主线
4923,UCk97HKIwOPZemjkRNfqY0GQ,SpieLFreuDE,https://www.youtube.com/channel/UCk97HKIwOPZemjkRNfqY0GQ,5,badcase,游戏频道为主，Fashion 只是游戏服装话题
4952,UCVwHEm9ShXQd1pFsVuBxOoQ,ComedyJunction​0206,https://www.youtube.com/channel/UCVwHEm9ShXQd1pFsVuBxOoQ,10,badcase,喜剧短视频为主，时尚标签偏挂靠
4955,UCSdqJ5w19jNHKLLHZgDDreA,Papz14,https://www.youtube.com/channel/UCSdqJ5w19jNHKLLHZgDDreA,5,badcase,娱乐混合为主，时尚相关弱且不稳定
4977,UCm8m6kcLRJgk1DgEAeKGZOw,Dream Chill,https://www.youtube.com/channel/UCm8m6kcLRJgk1DgEAeKGZOw,10,badcase,娱乐音乐新闻为主，fashion 只是附带标签
4982,UCktoo9E3YU0dhULU-fcKCxw,Bolly Tadka24,https://www.youtube.com/channel/UCktoo9E3YU0dhULU-fcKCxw,8,badcase,宝莱坞娱乐新闻为主，时尚只是附带标签
4994,UCHYmUB8PDlGOgW6PJswwGgA,MK,https://www.youtube.com/channel/UCHYmUB8PDlGOgW6PJswwGgA,7,badcase,音乐娱乐为主，fashion 不足以支撑推广
4996,UCplJNPXrv-4mfZ2t2iqajMw,Toni Toni Kitchen,https://www.youtube.com/channel/UCplJNPXrv-4mfZ2t2iqajMw,5,badcase,厨房饮食内容为主，时尚标签过于偏离
5000,UCZ7cW4JKzn_2G6y9dI6kJrw,SAYYAM GONDAL,https://www.youtube.com/channel/UCZ7cW4JKzn_2G6y9dI6kJrw,6,badcase,歌曲演出为主，时尚标签无法支撑推广
5034,UCfpataqJZyEOMl2-KqW6EMg,Daniels Visions Presentations,https://www.youtube.com/channel/UCfpataqJZyEOMl2-KqW6EMg,8,badcase,娱乐音乐动画为主，时尚只是边缘标签
5041,UCCU-0j0mOpApESiMTrpjiRQ,MR Azizur Fact,https://www.youtube.com/channel/UCCU-0j0mOpApESiMTrpjiRQ,5,badcase,玩具儿童短视频为主，时尚仅挂边，不适合
5045,UCNLkPUZZan4h19wpSNQAk9Q,Re:Post_whareveri1,https://www.youtube.com/channel/UCNLkPUZZan4h19wpSNQAk9Q,8,badcase,猫/拼图为主，时尚只是附带词
5048,UCelz5Uogec6bFOHFVzeml_Q,The Quiz Arena,https://www.youtube.com/channel/UCelz5Uogec6bFOHFVzeml_Q,8,badcase,测验挑战为主，时尚仅是主题装饰
5054,UCu36mQ7-Z4KrcOa-_gadUlQ,MARY-ASMR,https://www.youtube.com/channel/UCu36mQ7-Z4KrcOa-_gadUlQ,5,badcase,ASMR主导，服饰推广的观看与转化场景不匹配
5060,UC-D8SzIdggn_YrQkluk_0GQ,GoldMyne Vibes,https://www.youtube.com/channel/UC-D8SzIdggn_YrQkluk_0GQ,5,badcase,娱乐/音乐为主，时尚仅是边缘标签
5063,UC5u1mZqokxPFEBEd1XSkxFg,Ambassel Tube,https://www.youtube.com/channel/UC5u1mZqokxPFEBEd1XSkxFg,5,badcase,音乐喜剧主导，时尚推广不匹配
5074,UCDXFstQWUX3t8jQxToFzY1A,celeb_stuff62,https://www.youtube.com/channel/UCDXFstQWUX3t8jQxToFzY1A,5,badcase,八卦娱乐主导，时尚推广场景不合适
5079,UCINwJtkjzJZQVYluMPFxaAA,ТrаdіngVіеw,https://www.youtube.com/channel/UCINwJtkjzJZQVYluMPFxaAA,5,badcase,动物/魔法内容占主导，时尚不适合投放
5093,UC79YzOk_XZO3GI_qkDnrP0Q,Dolls Craft DIY,https://www.youtube.com/channel/UC79YzOk_XZO3GI_qkDnrP0Q,5,badcase,纸艺玩偶/玩具向，不是人类服装时尚受众
5100,UCUneijqVJuaz7JGs1J79AWw,Asopo,https://www.youtube.com/channel/UCUneijqVJuaz7JGs1J79AWw,5,badcase,反应娱乐为主，时尚仅是边缘标签
5177,UC12TMMfAnTc8Hp0iEtexPeg,Picverse,https://www.youtube.com/channel/UC12TMMfAnTc8Hp0iEtexPeg,20,badcase,玩梗/玩具/娱乐为主，时尚只是附属标签，不适合投放
5199,UCuoPHrgPyYyUQ_KVV1uzgyw,My World,https://www.youtube.com/channel/UCuoPHrgPyYyUQ_KVV1uzgyw,20,badcase,宠物狗内容为主，时尚仅附带，不适合人类时尚推广
9565,UCpnIQj0z_Zjq_sXmI1wj0Eg,MixMagic Art,https://www.youtube.com/channel/UCpnIQj0z_Zjq_sXmI1wj0Eg,10,badcase,艺术解压/ASMR风格，和时尚产品推广不匹配
