rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
55,UC9Q0dAjbhv0FbwvoHRSmjxA,MyFroggyStuff,https://cn.noxinfluencer.com/youtube/channel/UC9Q0dAjbhv0FbwvoHRSmjxA,5,badcase,主体是玩具娃娃，fashion多为娃娃服饰，不适合人类时尚推广
68,UCgbM6dslSl_h_UaU3E32tgQ,Pidgin Doll,https://cn.noxinfluencer.com/youtube/channel/UCgbM6dslSl_h_UaU3E32tgQ,15,badcase,主内容是娃娃创作，fashion多半是娃娃服饰线索
74,UCWLElfGZ0idu4VOyTLs_MtA,Maya. 𓏲,https://cn.noxinfluencer.com/youtube/channel/UCWLElfGZ0idu4VOyTLs_MtA,10,badcase,娱乐/校园/偶像内容为主，fashion只是附带标签
137,UCBXNpF6k2n8dsI6nBH8q4sQ,123 GO!,https://cn.noxinfluencer.com/youtube/channel/UCBXNpF6k2n8dsI6nBH8q4sQ,5,badcase,儿童娱乐短视频为主，时尚标签不足以支撑推广
141,UCofebiRBHH71Sx9AhYfKQbA,Jen Blanco,https://cn.noxinfluencer.com/youtube/channel/UCofebiRBHH71Sx9AhYfKQbA,5,badcase,短视频娱乐/舞蹈为主，缺少时尚带货场景
179,UC6H3GDiuN5Xbh0LC3wrFFMg,Eira Doll,https://cn.noxinfluencer.com/youtube/channel/UC6H3GDiuN5Xbh0LC3wrFFMg,5,badcase,纸模/玩具为主，非真实时尚消费场景
189,UCVOncOXyAi5F1rFxb3NoZZw,Lavish Lifestyle,https://cn.noxinfluencer.com/youtube/channel/UCVOncOXyAi5F1rFxb3NoZZw,5,badcase,名人/政治话题为主，时尚标签难改偏题
200,UCrlj_QyrKdkxCNTsVPAv3CA,Style Wow,https://cn.noxinfluencer.com/youtube/channel/UCrlj_QyrKdkxCNTsVPAv3CA,5,badcase,绘画/换装娱乐为主，非真实时尚推广场景
218,UCcywPnBsVeTG9hVBrrfZjKw,Lilylights,https://cn.noxinfluencer.com/youtube/channel/UCcywPnBsVeTG9hVBrrfZjKw,5,badcase,以娱乐情侣短视频为主，时尚标签偏弱，不适合
254,UC6FcXfdr-cagpziemNQXR6Q,Milana Baby,https://cn.noxinfluencer.com/youtube/channel/UC6FcXfdr-cagpziemNQXR6Q,5,badcase,娱乐/舞蹈为主，时尚只是挂载
