rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
9,UCw9UnS-amGQga3rhvzGqcYA,Super Krew,https://www.youtube.com/channel/UCw9UnS-amGQga3rhvzGqcYA,5,badcase,儿童玩具和假扮内容为主，不适合真实割草机投放
45,UC2AUc-4_yMsFHLfPP9Ub8ZA,George Fan,https://www.youtube.com/channel/UC2AUc-4_yMsFHLfPP9Ub8ZA,0,badcase,消费电子评测为主，割草机不在核心受众
62,UCPXXG0mMXuNopVsb_9xoJDA,Satisfying Lawn Care Videos,https://www.youtube.com/channel/UCPXXG0mMXuNopVsb_9xoJDA,-15,badcase,前五标签全是 Fortnite 游戏，明显不相关
92,UClo9oBif-ku_rpvieW843Ow,Flippin' Sweet Gear,https://www.youtube.com/channel/UClo9oBif-ku_rpvieW843Ow,10,badcase,虽有直命中，但音频/睡眠标签强，推广场景不合
98,UCKs7-oGzd8G24cEWbk_lcKA,Chris Rollins,https://www.youtube.com/channel/UCKs7-oGzd8G24cEWbk_lcKA,10,badcase,有直命中，但特技实验/娱乐占主导
104,UCUiRea8iqzyLSqd_y8F7n9Q,Agri Supply®,https://www.youtube.com/channel/UCUiRea8iqzyLSqd_y8F7n9Q,0,badcase,食品生活类，基本无割草机推广相关性
111,UC4TK8YvBjAeMacLpPDuRuLA,bbb jim1,https://www.youtube.com/channel/UC4TK8YvBjAeMacLpPDuRuLA,3,badcase,仅泛工具/家居弱相关，割草机意图太弱
112,UC4TVLA3yMs6JbgQ7vL49MFg,Xstreme Adventures,https://www.youtube.com/channel/UC4TVLA3yMs6JbgQ7vL49MFg,3,badcase,只有弱草坪/农机线索，整体偏杂项内容
120,UCphHeAS4vVIwl-lqF4qU5MA,Adventurepilot70,https://www.youtube.com/channel/UCphHeAS4vVIwl-lqF4qU5MA,0,badcase,娱乐/飞行修复类为主，和割草机无关
132,UCuc4MxH9elX19vLtDYeJ2Uw,Tinker Forward,https://www.youtube.com/channel/UCuc4MxH9elX19vLtDYeJ2Uw,0,badcase,科技家居泛题，缺少 lawn mower 相关信号
143,UCbFh-R_44sgVmohjMEPzmfQ,Something 2LookAt,https://www.youtube.com/channel/UCbFh-R_44sgVmohjMEPzmfQ,8,badcase,虽命中 mower，但 ASMR/满足感格式与推广强冲突
151,UCyV2r7XWPvSfY_ZYatG4ttA,EndWrench Rookie,https://www.youtube.com/channel/UCyV2r7XWPvSfY_ZYatG4ttA,1,badcase,汽车修理向，只有泛工具标签，草坪机械相关度低
153,UC8y9SfJyCw6_xdg-joNaXlA,MakeShiftGarage,https://www.youtube.com/channel/UC8y9SfJyCw6_xdg-joNaXlA,0,badcase,车辆维修内容，和割草机推广场景不匹配
155,UCrFbpwEEYsRZDli-AEfCWFw,Square2448,https://www.youtube.com/channel/UCrFbpwEEYsRZDli-AEfCWFw,-3,badcase,模拟游戏内容，不适合做割草机推广
161,UCo7SZvcoj3TTlm0btPqdB9A,TheOutdoorPowerGuy,https://www.youtube.com/channel/UCo7SZvcoj3TTlm0btPqdB9A,0,badcase,泛车辆/生活标签，未见割草机相关信号
168,UCAYXR5eEASm9XYDT9lr_qVA,777 Auction Company,https://www.youtube.com/channel/UCAYXR5eEASm9XYDT9lr_qVA,0,badcase,车辆拍卖受众，不是割草机推广场景
169,UC2L-eKjz-ldm7SuOYLxmqVg,Iron Nation Garage,https://www.youtube.com/channel/UC2L-eKjz-ldm7SuOYLxmqVg,2,badcase,拖拉机/车摩混合内容，与割草机相关度弱
173,UCQkiplgkZ_ms1ztYpZKf3IQ,Samko Trad Bow,https://www.youtube.com/channel/UCQkiplgkZ_ms1ztYpZKf3IQ,-4,badcase,狩猎内容为主，与割草机场景不符
174,UCzS3h055sSrgs57Zr6-zG8A,Nater Tater,https://www.youtube.com/channel/UCzS3h055sSrgs57Zr6-zG8A,0,badcase,科技家居内容偏泛，割草机相关度不足
182,UCEvMaEeDbt4VnevfmFzXK6g,Mow It Wells Shorts,https://www.youtube.com/channel/UCEvMaEeDbt4VnevfmFzXK6g,-5,badcase,ASMR满足型割草内容，非产品推广场景
185,UCPbY-5j5clYwT1qUkVbrdHQ,Garden Staudinger,https://www.youtube.com/channel/UCPbY-5j5clYwT1qUkVbrdHQ,0,badcase,无有效标签，无法判断相关性
186,UCR9765Boybvdqcf_TF86KOA,CRACKED HOUSING FAB,https://www.youtube.com/channel/UCR9765Boybvdqcf_TF86KOA,-15,badcase,改装/漂移/焊接频道，受众明显不匹配
187,UCxO1WbPs9HWKgpDwPxYSUHw,Tool Up Handyman,https://www.youtube.com/channel/UCxO1WbPs9HWKgpDwPxYSUHw,0,badcase,标签缺失，无法建立割草机投放相关性
189,UCnctwyKFsCAAe_sd1K7hrmA,Life With Brian Lofty,https://www.youtube.com/channel/UCnctwyKFsCAAe_sd1K7hrmA,-5,badcase,ASMR+割草，格式不适合产品推广
190,UClf0-RbUFis5CXoWNuUnELw,Inventor Experiments,https://www.youtube.com/channel/UClf0-RbUFis5CXoWNuUnELw,3,badcase,泛工具/生活妙招，和割草机投放只弱相关
192,UCMcCAix0u6yIvFvRY6vpg3Q,Killer Fuzz,https://www.youtube.com/channel/UCMcCAix0u6yIvFvRY6vpg3Q,-15,badcase,ASMR杂项兴趣号，和割草机投放不匹配
198,UCXdN_Je46eT22zTUJ0xqnBQ,Salty Acres,https://www.youtube.com/channel/UCXdN_Je46eT22zTUJ0xqnBQ,3,badcase,园艺/农场日常，和割草机只弱相关
202,UCzcqekkmqRsKFTbzLZvzBLQ,Raw Family Diy TV,https://www.youtube.com/channel/UCzcqekkmqRsKFTbzLZvzBLQ,3,badcase,仅泛DIY/HOWTO/Amazon，缺少草坪机受众
