rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,UC9HMNn0WUUdfx5mJ7eVx_-Q,Smart Agricultural Equipment,https://cn.noxinfluencer.com/youtube/channel/UC9HMNn0WUUdfx5mJ7eVx_-Q,2,badcase,仅泛化车辆/生活标签，缺少割草机相关性
5,UCw9UnS-amGQga3rhvzGqcYA,Super Krew,https://cn.noxinfluencer.com/youtube/channel/UCw9UnS-amGQga3rhvzGqcYA,5,badcase,儿童/玩耍频道，虽有 lawn mower 但偏玩具或情景内容
9,UC3EnCMGIwSqLUSlaYILlgxQ,Schneider & Son,https://cn.noxinfluencer.com/youtube/channel/UC3EnCMGIwSqLUSlaYILlgxQ,0,badcase,无标签，无相关证据
13,UCU3gQGhk0lYK-fKOR0sopgg,CarsandCameras,https://cn.noxinfluencer.com/youtube/channel/UCU3gQGhk0lYK-fKOR0sopgg,4,badcase,汽车/卡丁内容为主，只有泛车辆关联
15,UCNOQRHCgNudYBNGKt9l7juQ,C & C Outdoor Power Equipment,https://cn.noxinfluencer.com/youtube/channel/UCNOQRHCgNudYBNGKt9l7juQ,0,badcase,无标签，无法判断为相关推广频道
20,UCi71_6BH_4IknooDc5BpRWA,Best Lawn Mowers,https://cn.noxinfluencer.com/youtube/channel/UCi71_6BH_4IknooDc5BpRWA,-10,badcase,体育/娱乐标签主导，与割草机推广不符
23,UCyCVQsbOMQpk0S-Kqx92LXw,Boonslick Equipment,https://cn.noxinfluencer.com/youtube/channel/UCyCVQsbOMQpk0S-Kqx92LXw,2,badcase,只有泛设备/车辆标签，相关性很弱
25,UCRYTHQdVVOy3EI_KBezw29A,Vintage Moments,https://cn.noxinfluencer.com/youtube/channel/UCRYTHQdVVOy3EI_KBezw29A,-5,badcase,娱乐/商业广告内容为主，不适合产品推广
26,UC-J9tlS17r5mLQ4aYiojV3Q,Lazy Grandpa's Garage,https://cn.noxinfluencer.com/youtube/channel/UC-J9tlS17r5mLQ4aYiojV3Q,0,badcase,无标签和内容证据，无法判断与 lawn mower 相关
31,UCso4Ur7dreUJh8ehPqO4LJw,Steve Jessup,https://cn.noxinfluencer.com/youtube/channel/UCso4Ur7dreUJh8ehPqO4LJw,8,badcase,虽有 mower 标签，但主体是喜剧/节目，投放不合适
