rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
30,UCj61fiatFJj4XKxsL-ueEag,laoyanga,https://cn.noxinfluencer.com/youtube/channel/UCj61fiatFJj4XKxsL-ueEag,5,badcase,生活方式虽命中，但ASMR/mukbang主导，推广不合适
32,UCX0lLUgD8kvt0IWwQZI35yw,Kalel,https://cn.noxinfluencer.com/youtube/channel/UCX0lLUgD8kvt0IWwQZI35yw,5,badcase,生活方式虽命中，但宠物向内容主导，不适合
93,UCejvDMiEIOEpFAwE7OympYA,Golden Retriever Luhu,https://cn.noxinfluencer.com/youtube/channel/UCejvDMiEIOEpFAwE7OympYA,5,badcase,宠物频道，受众与人类生活方式推广不匹配
97,UCHs9P-eBwtVpj_FJ4MExAYg,Beautiful Program,https://cn.noxinfluencer.com/youtube/channel/UCHs9P-eBwtVpj_FJ4MExAYg,5,badcase,娱乐/电视节目为主，生活方式推广相关性弱
177,UCTe-WBiQbqgGDAgjhtRBIpw,autumn grace,https://cn.noxinfluencer.com/youtube/channel/UCTe-WBiQbqgGDAgjhtRBIpw,5,badcase,宠物内容为主，lifestyle仅是弱标签
197,UCHcb3FQivl6xCRcHC2zjdkQ,Oliver Tree,https://cn.noxinfluencer.com/youtube/channel/UCHcb3FQivl6xCRcHC2zjdkQ,5,badcase,音乐艺人频道为主，lifestyle标签不足以支撑推广
198,UCDSakY2i1ZkW7YVkLcBR9dA,Amolipi,https://cn.noxinfluencer.com/youtube/channel/UCDSakY2i1ZkW7YVkLcBR9dA,5,badcase,摔角/动作片主导，生活方式标签覆盖很弱
202,UCznfWbLFwcBcBdu5LJEpI8g,Denny2tymes,https://cn.noxinfluencer.com/youtube/channel/UCznfWbLFwcBcBdu5LJEpI8g,5,badcase,标签命中但主内容是 prank/娱乐，推广场景明显不合适
211,UCgBKaWZ-uyz3Ix5VcnAcFhg,Starchiana,https://cn.noxinfluencer.com/youtube/channel/UCgBKaWZ-uyz3Ix5VcnAcFhg,5,badcase,标签命中但 ASMR/mukbang 为主，格式不适合产品推广
224,UCo3mUcoi-MP4kjIPVmgNMFw,Samdotvlog,https://cn.noxinfluencer.com/youtube/channel/UCo3mUcoi-MP4kjIPVmgNMFw,5,badcase,标签命中但 mukbang/吃播主导，推广场景不合适
302,UCoAKyMaNIX_aP0kAHS_eNzg,Tell ME,https://cn.noxinfluencer.com/youtube/channel/UCoAKyMaNIX_aP0kAHS_eNzg,8,badcase,直播/ASMR 为主，lifestyle 只是附带标签
303,UCUw1DhfIb0gk-XqC4f7E6tQ,Celebrity Facts Check,https://cn.noxinfluencer.com/youtube/channel/UCUw1DhfIb0gk-XqC4f7E6tQ,8,badcase,名人八卦/体育向，lifestyle 关联很弱
305,UCMbvTF91O--bhwmg9dTMAPA,Geck,https://cn.noxinfluencer.com/youtube/channel/UCMbvTF91O--bhwmg9dTMAPA,5,badcase,娱乐+动物噱头主导，不适合 lifestyle 推广
312,UC4gb8x7QSAfjV5A9HI7KM0g,Newzmagazine.com,https://cn.noxinfluencer.com/youtube/channel/UC4gb8x7QSAfjV5A9HI7KM0g,5,badcase,新闻政治主导，与 lifestyle 创作者不匹配
317,UCmTQjrrVyPMwiFNSIYJmxng,💥 Дом 22 💥,https://cn.noxinfluencer.com/youtube/channel/UCmTQjrrVyPMwiFNSIYJmxng,5,badcase,娱乐/嘻哈主导，生活方式标签不构成有效匹配
332,UCuFAi1zIoeSuzfEpCIBHxyw,Ah Zha,https://cn.noxinfluencer.com/youtube/channel/UCuFAi1zIoeSuzfEpCIBHxyw,5,badcase,ASMR/mukbang为主，格式与推广场景不符
350,UCfdMRcylgt43w0GxWLwijyQ,Genesisxxc,https://cn.noxinfluencer.com/youtube/channel/UCfdMRcylgt43w0GxWLwijyQ,5,badcase,stripper vlogs 为主，生活方式推广不合适
