rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
9,UCUHxuPoyNEiA5hNVvpWt-EQ,Haoren Special Effects,https://www.youtube.com/channel/UCUHxuPoyNEiA5hNVvpWt-EQ,10,badcase,娱乐/特效向内容为主，宠物食品推广不匹配
13,UCVyopZsoS91MU_-pwqg1b4g,ShoppingTv,https://www.youtube.com/channel/UCVyopZsoS91MU_-pwqg1b4g,5,badcase,标签杂乱且偏泛商品，不像宠物食品受众
15,UCTha-ni2CTXtK4Cw3kzdGaA,China Saibainuo Machinery,https://www.youtube.com/channel/UCTha-ni2CTXtK4Cw3kzdGaA,10,badcase,做的是宠物食品机械，不是宠物食品受众
28,UCbgm0idoc6cG8HFvxwr9KHw,FxcTablaDholak,https://www.youtube.com/channel/UCbgm0idoc6cG8HFvxwr9KHw,-25,badcase,ASMR吃播为主，和宠物食品推广不匹配
35,UCbta5UYAzeIOQAL7-A4s0WA,Bounce The Pit Bull,https://www.youtube.com/channel/UCbta5UYAzeIOQAL7-A4s0WA,-25,badcase,ASMR吃播和声音向内容，和宠物食品投放不匹配
36,UCEnZnMqeErT_pXlogYLiOog,CuteKitten,https://www.youtube.com/channel/UCEnZnMqeErT_pXlogYLiOog,-5,badcase,打铁手工频道，宠物食品受众不匹配
38,UC_9miWNwjvRIwRFuhSYczIw,Chihuahua Bites,https://www.youtube.com/channel/UC_9miWNwjvRIwRFuhSYczIw,0,badcase,缺少标签与内容证据，无法判断为宠物食品相关
42,UCaoHzhtuszfMwZ6gys82DDg,Henry,https://www.youtube.com/channel/UCaoHzhtuszfMwZ6gys82DDg,0,badcase,娱乐/美妆类频道，与宠物食品无关
47,UCsqX0O8H0eG-H3pDQCMlyRQ,Zooologist,https://www.youtube.com/channel/UCsqX0O8H0eG-H3pDQCMlyRQ,-15,badcase,野生动物和动物搏斗主题，和家宠食品推广冲突
48,UCDnQlLuZm8mOvlfaZrwX46g,Unique Fact Store,https://www.youtube.com/channel/UCDnQlLuZm8mOvlfaZrwX46g,0,badcase,泛宠物热榜内容，缺少食品/营养意图
53,UCJaqtTw0AenRgXxrNNbOlAg,BMC TV-SHOW,https://www.youtube.com/channel/UCJaqtTw0AenRgXxrNNbOlAg,-10,badcase,以搞笑娱乐为主，喂养内容不足且不适合投放
54,UCXC-MAuZ_SKKGs2VmGdwmKQ,"Jinan Arrow Machinery Co., Ltd",https://www.youtube.com/channel/UCXC-MAuZ_SKKGs2VmGdwmKQ,-15,badcase,工业设备频道，和宠物食品推广目标不符
