rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
82,UCTXvLLazdkGh7bgpjrf2QPg,𝗠𝗢𝗭𝗧𝗘𝗖𝗛 𝗢𝗳𝗳𝗶𝗰𝗶𝗮𝗹,https://www.youtube.com/channel/UCTXvLLazdkGh7bgpjrf2QPg,0,badcase,无有效标签，无法判断相关性
85,UCXgg9T0tuG8143yzakzz6IQ,Amy Yan,https://www.youtube.com/channel/UCXgg9T0tuG8143yzakzz6IQ,0,badcase,无有效标签，无法判断相关性
96,UC_h4dnPoKyHGKpzN-Trg3gQ,TwoFound Market,https://www.youtube.com/channel/UC_h4dnPoKyHGKpzN-Trg3gQ,0,badcase,无有效标签，无法判断相关性
97,UC2Ougt2BH3_rVOX2KRzN-Kw,Video Play Sound,https://www.youtube.com/channel/UC2Ougt2BH3_rVOX2KRzN-Kw,1,badcase,仅有少量旅行场景关联，整体仍不适合投放
103,UCngdg9uiskNfMqeyFiJY4tA,FarmToMarketGirl,https://www.youtube.com/channel/UCngdg9uiskNfMqeyFiJY4tA,0,badcase,无标签和视频证据，内容看不出与充电宝推广相关
106,UCLDw7ummSJnILbMZn2Azf2g,ON THE RADAR,https://www.youtube.com/channel/UCLDw7ummSJnILbMZn2Azf2g,0,badcase,健康补充剂频道，与充电宝推广无关，缺少产品购买场景信号
115,UCwIRZRuxQRey4Xg4NPZHtEQ,Vionentus,https://www.youtube.com/channel/UCwIRZRuxQRey4Xg4NPZHtEQ,0,badcase,标签以钱包和时尚为主，与充电宝推广无直接相关
138,UCL7NbxFqE5TFMp0LNZE-d_Q,NEBO,https://www.youtube.com/channel/UCL7NbxFqE5TFMp0LNZE-d_Q,0,badcase,照明工具频道，与移动电源推广目标不匹配
142,UCTrlQjopSa36nRCjjO2JHag,Mridul Hasan,https://www.youtube.com/channel/UCTrlQjopSa36nRCjjO2JHag,0,badcase,偏无人机和机器人内容，缺少移动电源购买场景
143,UC6RA3N45bn1GFKQ5_B6OZ-Q,The Wizard of West LA,https://www.youtube.com/channel/UC6RA3N45bn1GFKQ5_B6OZ-Q,2,badcase,偏技术编程号，只有手机泛相关，带货意图弱
145,UCIUf8pdxv1LJ6sLAloNUFNQ,Jason Yoder,https://www.youtube.com/channel/UCIUf8pdxv1LJ6sLAloNUFNQ,0,badcase,旅行摄影内容为主，和移动电源只有弱场景关系
148,UCvWbe9DQEBLoGlUBS9FJPMg,Joshua Powell Amazon Reviews,https://www.youtube.com/channel/UCvWbe9DQEBLoGlUBS9FJPMg,0,badcase,无有效标签，缺少相关性证据
149,UC7cNuI0dD6g3VID5SXX_P-w,Gear Box,https://www.youtube.com/channel/UC7cNuI0dD6g3VID5SXX_P-w,0,badcase,无标签，无法判断为相关频道
150,UCI2y88kk0Iv7XR0AuAGkc0g,Invention Tools,https://www.youtube.com/channel/UCI2y88kk0Iv7XR0AuAGkc0g,0,badcase,DIY家居技巧号，和移动电源推广不相关
158,UCHleGHTHOfWkZyQLV9N0H8w,Kinscoter,https://www.youtube.com/channel/UCHleGHTHOfWkZyQLV9N0H8w,0,badcase,主打香薰/加湿/风扇，和充电宝不匹配
164,UCbvAeblqZcvRtA3H1t-coOA,CHINA LIKE,https://www.youtube.com/channel/UCbvAeblqZcvRtA3H1t-coOA,0,badcase,主做手机清理教程，缺少充电产品场景
167,UC2EraglPs-95qnKVrFq4kMA,Chase Brogan,https://www.youtube.com/channel/UC2EraglPs-95qnKVrFq4kMA,0,badcase,游戏主体过强，充电宝推广关联弱
176,UCs6l1xp3PqsuFsu-KoxC8Ag,Alana Marquez,https://www.youtube.com/channel/UCs6l1xp3PqsuFsu-KoxC8Ag,0,badcase,美妆生活向，无充电宝相关标签
178,UCQUu_bkbMwsOHSkGnloRQ6w,healthybody23,https://www.youtube.com/channel/UCQUu_bkbMwsOHSkGnloRQ6w,0,badcase,健康美妆向，和充电宝推广无关
179,UCnFPLiiQDAa8_AiamGwYZBQ,DIY DAD hub,https://www.youtube.com/channel/UCnFPLiiQDAa8_AiamGwYZBQ,0,badcase,DIY家居维修向，缺少电源类推广语境
181,UClqj7mjmRy4jwlTkmX_iLwg,VirtualShift,https://www.youtube.com/channel/UClqj7mjmRy4jwlTkmX_iLwg,0,badcase,空标签，无法判断相关性
182,UCwB-wmMH3y5Wr3VJyvXV3Hw,Dave and Sissy,https://www.youtube.com/channel/UCwB-wmMH3y5Wr3VJyvXV3Hw,0,badcase,购物礼物向过泛，缺少电源产品语境
185,UCdf0z-hMxEmbKMtOQyFv3RQ,Pro Tech,https://www.youtube.com/channel/UCdf0z-hMxEmbKMtOQyFv3RQ,0,badcase,新闻政治向，和充电宝推广不匹配
187,UCJphnnI-XE_TOyWYcgAANJA,Techno Verdict,https://www.youtube.com/channel/UCJphnnI-XE_TOyWYcgAANJA,0,badcase,泛科技评测，但缺少充电场景信号
188,UCYahXuJzIQ47llOl-a8P3ig,Tech with Qasim Aziz,https://www.youtube.com/channel/UCYahXuJzIQ47llOl-a8P3ig,0,badcase,手机维修向，和充电宝推广不够贴合
191,UC64azkiisODKa-IJZ22Pupw,Fillcart Official 2,https://www.youtube.com/channel/UC64azkiisODKa-IJZ22Pupw,-15,badcase,Mukbang/ASMR 食品向，强格式不匹配
193,UCeA1aiaenpuSuw1aZF_Xg1A,Alpha Artisan,https://www.youtube.com/channel/UCeA1aiaenpuSuw1aZF_Xg1A,-10,badcase,ASMR/摄影向，和充电宝推广不匹配
195,UC4j_-IC5xN02o3h_YcOHQVQ,Fishycomics,https://www.youtube.com/channel/UC4j_-IC5xN02o3h_YcOHQVQ,0,badcase,车评和Vlog向，缺少充电宝购买信号
199,UCGzIdMzwphjdLQdoK6wemNw,How To by Lou - tips + Everything that Glitches,https://www.youtube.com/channel/UCGzIdMzwphjdLQdoK6wemNw,0,badcase,DIY/骑行泛题材，充电宝关联很弱
204,UCgipQp2Vm7AcUoGefFs8q5g,The Dad Way,https://www.youtube.com/channel/UCgipQp2Vm7AcUoGefFs8q5g,0,badcase,亲子生活方式频道，和移动电源推广几乎无关
218,UCvmCs-4FHX1I0sFL6klze3w,WebCosplay,https://www.youtube.com/channel/UCvmCs-4FHX1I0sFL6klze3w,0,badcase,Cosplay/娱乐内容为主，和电源产品不搭
220,UCfolmMYcTjcdWe3janTnMAw,Gear Elevation,https://www.youtube.com/channel/UCfolmMYcTjcdWe3janTnMAw,0,badcase,装饰娱乐向频道，和移动电源推广无关
227,UCwul2eVznrsbqytvMIYjjzg,WarmStoryDY,https://www.youtube.com/channel/UCwul2eVznrsbqytvMIYjjzg,0,badcase,无标签无内容，缺乏推广相关信号
237,UCBIREPb3tY-m0zNSgmCXHzQ,Will U Push The Button,https://www.youtube.com/channel/UCBIREPb3tY-m0zNSgmCXHzQ,2,badcase,以旅行/娱乐泛内容为主，相关性弱
239,UCKYzTlnCYRUyrBNLEHv6ozg,mtandiz,https://www.youtube.com/channel/UCKYzTlnCYRUyrBNLEHv6ozg,2,badcase,复古电视/广告向，和电源产品不贴合
240,UClbJs7g9xNw18_k1wcNPonw,Tech Tested,https://www.youtube.com/channel/UClbJs7g9xNw18_k1wcNPonw,2,badcase,偏软件/AI技术，非数码硬件推广
242,UC33QXC4klw8nnNIpUeOcsgA,Patrick Griffin,https://www.youtube.com/channel/UC33QXC4klw8nnNIpUeOcsgA,2,badcase,泛杂项内容，缺少产品评测场景
245,UCRnOaQ8gMelbLuEhfnGhSKA,Techlance,https://www.youtube.com/channel/UCRnOaQ8gMelbLuEhfnGhSKA,0,badcase,无标签无内容，缺乏相关信号
247,UCTEwUEqrf_OQ0lV4rbO_Beg,Valleytech Custom Solutions,https://www.youtube.com/channel/UCTEwUEqrf_OQ0lV4rbO_Beg,1,badcase,偏黑客/硬件折腾，推广场景弱
248,UCEONEVZppoLlkCyYXvgF8fg,Desert Home and More Reviews,https://www.youtube.com/channel/UCEONEVZppoLlkCyYXvgF8fg,0,badcase,无标签无内容，缺乏相关信号
262,UCJBtlmRkQp7mzkhYqUkpZVg,EZEJF,https://www.youtube.com/channel/UCJBtlmRkQp7mzkhYqUkpZVg,0,badcase,无有效标签，缺少相关性证据
265,UCNf-m84Vq8i7l7tKqN0dFxw,Gadget Studio BD,https://www.youtube.com/channel/UCNf-m84Vq8i7l7tKqN0dFxw,0,badcase,无有效标签，无法判断适配
267,UCx_LD1qnA-5z2jayGjN1YTw,Renewable ASTK,https://www.youtube.com/channel/UCx_LD1qnA-5z2jayGjN1YTw,0,badcase,无有效标签，缺少判断依据
268,UCmauvzf1R3H06MPYB_AKorA,Smart Shop,https://www.youtube.com/channel/UCmauvzf1R3H06MPYB_AKorA,1,badcase,仅有Charging弱相关，主体偏宠物和床品
272,UCTITaKL9cUStZxJm_ZhZMMg,List Land,https://www.youtube.com/channel/UCTITaKL9cUStZxJm_ZhZMMg,1,badcase,仅有泛review标签，缺少明确推广意图
277,UCm-3ZyCwCvM-p1PC9aM3Tfg,DisorderVapes,https://www.youtube.com/channel/UCm-3ZyCwCvM-p1PC9aM3Tfg,-15,badcase,核心是vape垂类，与power bank推广明显错配
289,UCpQo3CRXK0_oE6sql_U_vdg,TheNathan343,https://www.youtube.com/channel/UCpQo3CRXK0_oE6sql_U_vdg,0,badcase,只有泛产品内容，没有明确电源类受众或场景
297,UCWcHjIUFY8cR6nKf280jmeQ,BONG MAKER,https://www.youtube.com/channel/UCWcHjIUFY8cR6nKf280jmeQ,0,badcase,DIY电摩内容与power bank推广关联很弱
307,UCL5PFcbBM1PA4xmP7FbKyYA,avpfilms | Product Reviews,https://www.youtube.com/channel/UCL5PFcbBM1PA4xmP7FbKyYA,-10,badcase,偏影视/环境声风格，不适合产品推广
308,UCYV6ZM1sZPF4PeDgGooYSXw,Matt NVZION,https://www.youtube.com/channel/UCYV6ZM1sZPF4PeDgGooYSXw,-5,badcase,有供电内容，但ASMR风格拖累转化
317,UCWSch_1QnhmKJldHBvluRQw,JAFAR,https://www.youtube.com/channel/UCWSch_1QnhmKJldHBvluRQw,-15,badcase,游戏内容为主，与电源宝推广不符
322,UCEZrxnVca9rjSk-V402pCyw,WyattTech,https://www.youtube.com/channel/UCEZrxnVca9rjSk-V402pCyw,-5,badcase,虽有评测开箱，但ASMR占比高，不宜直投
333,UCl9cIQ8tmtcV-ETZOlbSs2g,Exclusive Tech Products,https://www.youtube.com/channel/UCl9cIQ8tmtcV-ETZOlbSs2g,0,badcase,标签偏服饰运动用品，和移动电源不搭
334,UCY4EIhPb3ZddO0fh7TORWZQ,The Skill Point,https://www.youtube.com/channel/UCY4EIhPb3ZddO0fh7TORWZQ,-15,badcase,纯App教程频道，和实体电源产品不匹配
337,UCbD-3GA5vLKB2Bs4mzxHTgA,Birds kingdom,https://www.youtube.com/channel/UCbD-3GA5vLKB2Bs4mzxHTgA,0,badcase,宠物鸟频道，和人用移动电源不匹配
346,UCNSbG8lG2JsrYDU5GEFee1w,Todd Elfers,https://www.youtube.com/channel/UCNSbG8lG2JsrYDU5GEFee1w,0,badcase,无标签无内容，缺少相关性证据
349,UCclXpN34wCQ8Pax5eAbp8pQ,Epic Value Data,https://www.youtube.com/channel/UCclXpN34wCQ8Pax5eAbp8pQ,0,badcase,无标签无内容，缺少相关性证据
351,UCUDfrN-_Ub6UybDg5xtMxnQ,MofigoDIY,https://www.youtube.com/channel/UCUDfrN-_Ub6UybDg5xtMxnQ,1,badcase,仅泛科技/生活标签，缺少充电宝推广语境
356,UCYKPGghDIwYxDoa1RmipHqQ,"Making, Cooking, Fixing",https://www.youtube.com/channel/UCYKPGghDIwYxDoa1RmipHqQ,0,badcase,DIY修理为主，和充电宝推广关联不足
357,UCTELAsn0IAkoixMApDhWHUg,JakeSea,https://www.youtube.com/channel/UCTELAsn0IAkoixMApDhWHUg,0,badcase,航海钓鱼主题，充电宝推广相关性弱
363,UCPOwEqBaICLvO0ioQ46eZjQ,Share Useful Things,https://www.youtube.com/channel/UCPOwEqBaICLvO0ioQ46eZjQ,0,badcase,无可用标签，无法判断为充电宝相关频道
367,UCc2ka-aGChwIiX0mEXzfmoA,The Grass-fed Homestead,https://www.youtube.com/channel/UCc2ka-aGChwIiX0mEXzfmoA,0,badcase,农场和畜牧主题为主，与充电宝推广不匹配
369,UCATFgtkO8lpgTWmrU8qGdlA,Reel in Florida,https://www.youtube.com/channel/UCATFgtkO8lpgTWmrU8qGdlA,0,badcase,钓鱼露营为主，缺少充电宝明确推广语境
374,UCeZIpV_syYAUIr4FWkrdUaw,What's on Sale Today,https://www.youtube.com/channel/UCeZIpV_syYAUIr4FWkrdUaw,1,badcase,泛售卖频道，仅有旅行配件的弱相关信号
