rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
10,UCIS_t7BSMRUjpe-oRjJ042A,Modern Reviews,https://cn.noxinfluencer.com/youtube/channel/UCIS_t7BSMRUjpe-oRjJ042A,2,badcase,偏生活技巧/DIY，缺少消费电子与供电场景
13,UC3f-DJSYl-UBjFKP6P2eFAQ,GOODaaa Official,https://cn.noxinfluencer.com/youtube/channel/UC3f-DJSYl-UBjFKP6P2eFAQ,0,badcase,无可用标签，缺少任何相关信号
18,UC7YzoWkkb6woYwCnbWLn3ZA,wwjoshdew,https://cn.noxinfluencer.com/youtube/channel/UC7YzoWkkb6woYwCnbWLn3ZA,2,badcase,仅有泛科技标签，相关性偏弱
20,UCUzwYBo6tmwsVKkVRtISzpw,The Ghetographer,https://cn.noxinfluencer.com/youtube/channel/UCUzwYBo6tmwsVKkVRtISzpw,0,badcase,无标签，无法判断相关性
21,UCy_LbUw93GTUz5cW6X_CHHQ,Tools and Gadgets,https://cn.noxinfluencer.com/youtube/channel/UCy_LbUw93GTUz5cW6X_CHHQ,0,badcase,游戏/泛视频标签为主，与 power bank 不符
25,UCe7pIPGhmOCHVPo9hukkH6Q,Murdic3k,https://cn.noxinfluencer.com/youtube/channel/UCe7pIPGhmOCHVPo9hukkH6Q,1,badcase,枪械/游戏等主题偏离，缺少移动电源受众
27,UCPicB6zsJutW3AVNmLA0EQg,Joseph Singer,https://cn.noxinfluencer.com/youtube/channel/UCPicB6zsJutW3AVNmLA0EQg,0,badcase,无有效标签和内容证据，无法判断为数码推广对象
31,UCcIXFu21t_OWKVwaI_5jYVg,Today's Deals,https://cn.noxinfluencer.com/youtube/channel/UCcIXFu21t_OWKVwaI_5jYVg,0,badcase,缺少标签和内容证据，无法确认充电宝推广相关
34,UCvtj18THtc0UDtxRnGv55Ig,Temu Reviews ES,https://cn.noxinfluencer.com/youtube/channel/UCvtj18THtc0UDtxRnGv55Ig,0,badcase,无标签和内容，基本无召回信号
35,UC3LnsUei94ixnSLKvYfg_6g,Ivan Meneses,https://cn.noxinfluencer.com/youtube/channel/UC3LnsUei94ixnSLKvYfg_6g,0,badcase,无标签和内容，基本无召回信号
40,UCWqVjlLDbIaojlaDpotEQEQ,HW Mobiles,https://cn.noxinfluencer.com/youtube/channel/UCWqVjlLDbIaojlaDpotEQEQ,0,badcase,无有效标签，无法判断为推广对象
41,UCx-yx2LO1JAQg17x4aBUAwg,Techno Panda,https://cn.noxinfluencer.com/youtube/channel/UCx-yx2LO1JAQg17x4aBUAwg,0,badcase,GPU新闻吐槽向，和充电宝推广场景不匹配
43,UC-UBpWUk0yrEClbUNInPJdg,Shah Chisty,https://cn.noxinfluencer.com/youtube/channel/UC-UBpWUk0yrEClbUNInPJdg,0,badcase,无有效标签，无法判断为推广对象
44,UCyrT4Y6Qpdyzi9S79gxIw1A,The Big Heavy,https://cn.noxinfluencer.com/youtube/channel/UCyrT4Y6Qpdyzi9S79gxIw1A,0,badcase,车辆/生活泛内容，充电宝推广相关性弱
46,UCVL10pAdEOvRtO8ZTD8ZuZA,NeoTechi,https://cn.noxinfluencer.com/youtube/channel/UCVL10pAdEOvRtO8ZTD8ZuZA,0,badcase,教育内容，和充电宝推广场景不匹配
50,UCgscDYr0xJHlMoA8QwKS9qw,entertainment gadget,https://cn.noxinfluencer.com/youtube/channel/UCgscDYr0xJHlMoA8QwKS9qw,0,badcase,无有效标签，无法判断为推广对象
53,UCl5J-2noQ2dFuP6NkQrW7lw,Luis Enrique Lemus Acosta,https://cn.noxinfluencer.com/youtube/channel/UCl5J-2noQ2dFuP6NkQrW7lw,0,badcase,无标签无内容，无法支撑充电宝推广
55,UCyMLQBnT2IB3SPu0TX5VgXQ,Power king,https://cn.noxinfluencer.com/youtube/channel/UCyMLQBnT2IB3SPu0TX5VgXQ,-15,badcase,娱乐影视短内容为主，和充电宝推广明显不匹配
63,UCOUWQop6sgEXA-NtKZ5XMIw,Ah Tech,https://cn.noxinfluencer.com/youtube/channel/UCOUWQop6sgEXA-NtKZ5XMIw,0,badcase,无标签无内容，无法支撑充电宝推广
64,UCI5SD4b3Cf29wbkpxOMCtOg,JJCoolStuff,https://cn.noxinfluencer.com/youtube/channel/UCI5SD4b3Cf29wbkpxOMCtOg,0,badcase,无标签无内容，无法支撑充电宝推广
69,UCUfmtLwOygFEb220eI_E_Qg,HOT DIGITAL,https://cn.noxinfluencer.com/youtube/channel/UCUfmtLwOygFEb220eI_E_Qg,0,badcase,无标签无内容，无法支撑充电宝推广
70,UCb6Pfe7BEv_VhbyRnoQYbpg,Dan Reviews Stuff,https://cn.noxinfluencer.com/youtube/channel/UCb6Pfe7BEv_VhbyRnoQYbpg,0,badcase,无标签无内容，无法支撑充电宝推广
71,UCuxohPmcHMQJgELyoj3rGZQ,BOXscape,https://cn.noxinfluencer.com/youtube/channel/UCuxohPmcHMQJgELyoj3rGZQ,0,badcase,无标签无内容，无法支撑充电宝推广
75,UCy17T_iA1-pUlAhsovai76g,AE Insider,https://cn.noxinfluencer.com/youtube/channel/UCy17T_iA1-pUlAhsovai76g,0,badcase,无标签无内容，无法支撑充电宝推广
77,UC--2-CR3wf_H9EHxJsTLR7Q,Purple Unicorns,https://cn.noxinfluencer.com/youtube/channel/UC--2-CR3wf_H9EHxJsTLR7Q,-15,badcase,宠物频道，非人用充电宝受众
79,UCfJ7JX9PtbHg5G_rt_gjs8A,Sumaho Friends,https://cn.noxinfluencer.com/youtube/channel/UCfJ7JX9PtbHg5G_rt_gjs8A,5,badcase,动画喜剧频道，产品推广不适配
81,UCNiA_4Fy-XWexfHNwtfJuqw,ToolStacked,https://cn.noxinfluencer.com/youtube/channel/UCNiA_4Fy-XWexfHNwtfJuqw,0,badcase,缺少标签与内容证据
83,UCUclONNzMKiFkUtdjIC10tQ,eROCS,https://cn.noxinfluencer.com/youtube/channel/UCUclONNzMKiFkUtdjIC10tQ,0,badcase,缺少可判断的相关证据
86,UCN46oZGvFWh_dteGrUSTA1A,Best Reviews,https://cn.noxinfluencer.com/youtube/channel/UCN46oZGvFWh_dteGrUSTA1A,0,badcase,缺少标签与内容证据
92,UCmYWsebEg_kGWowObZy4zwQ,Insight Reviews,https://cn.noxinfluencer.com/youtube/channel/UCmYWsebEg_kGWowObZy4zwQ,0,badcase,缺少标签与内容证据
95,UCKkbW1FdTbfbvwmcASzYDoQ,Objectively Curious,https://cn.noxinfluencer.com/youtube/channel/UCKkbW1FdTbfbvwmcASzYDoQ,0,badcase,缺少标签与内容证据
97,UC-zKkHgJqoZcP4uOAsd5sAg,Smart Gadget Haven,https://cn.noxinfluencer.com/youtube/channel/UC-zKkHgJqoZcP4uOAsd5sAg,0,badcase,缺少标签与内容证据
100,UC6vZaalfq4ZEyXIC5yxuPAQ,The Life of Bob,https://cn.noxinfluencer.com/youtube/channel/UC6vZaalfq4ZEyXIC5yxuPAQ,0,badcase,缺少标签与内容证据
108,UCHIje81epnZNcXTuXr7Q_Rg,Denise Blackburn,https://cn.noxinfluencer.com/youtube/channel/UCHIje81epnZNcXTuXr7Q_Rg,0,badcase,无标签且无内容证据，无法判断为相关频道
117,UCTYi_S2bu2WhQp0zCXTR3gQ,Licious,https://cn.noxinfluencer.com/youtube/channel/UCTYi_S2bu2WhQp0zCXTR3gQ,0,badcase,无标签与内容证据，相关性不足
131,UCO0--uVBE8kcIJJkvDJ83tA,NDA Hack,https://cn.noxinfluencer.com/youtube/channel/UCO0--uVBE8kcIJJkvDJ83tA,0,badcase,生活技巧泛频道，缺少数码产品语境
133,UCji1uLbgjNaRnUqqMd-YKZg,Mind Over Machine,https://cn.noxinfluencer.com/youtube/channel/UCji1uLbgjNaRnUqqMd-YKZg,0,badcase,无有效标签，无法判断为相关频道
135,UCAY682COgIchF5kkvjd-nwg,TopReviewPro,https://cn.noxinfluencer.com/youtube/channel/UCAY682COgIchF5kkvjd-nwg,0,badcase,无有效标签，缺少推广判断依据
140,UCpra2LkCtiSQ67ypU05lfbQ,Valentine Lewis,https://cn.noxinfluencer.com/youtube/channel/UCpra2LkCtiSQ67ypU05lfbQ,0,badcase,美妆时尚为主，缺少数码购买语境
142,UCEth8Mr49WNJNdtn7Dy3rqA,Darius Wallis - PrayersHelp,https://cn.noxinfluencer.com/youtube/channel/UCEth8Mr49WNJNdtn7Dy3rqA,-10,badcase,宗教内容为主，不适合推充电宝
143,UCBIREPb3tY-m0zNSgmCXHzQ,Will U Push The Button,https://cn.noxinfluencer.com/youtube/channel/UCBIREPb3tY-m0zNSgmCXHzQ,-15,badcase,娱乐问答/梗内容，和充电宝推广不匹配
151,UCdK5AQDeiTlRJzgg_D5YBrg,Evilcrossover,https://cn.noxinfluencer.com/youtube/channel/UCdK5AQDeiTlRJzgg_D5YBrg,0,badcase,纯游戏内容，缺少充电宝推广语境
159,UCRw9MTUBEh1R3oEf5IPiVAw,Mr. & Mrs. Tesla,https://cn.noxinfluencer.com/youtube/channel/UCRw9MTUBEh1R3oEf5IPiVAw,0,badcase,汽车题材为主，缺少充电宝购买语境
162,UCmrLjMe92fXiF6fKKIn67Mw,MaccaGames,https://cn.noxinfluencer.com/youtube/channel/UCmrLjMe92fXiF6fKKIn67Mw,0,badcase,纯游戏频道，和充电宝推广弱
167,UC5NOsV_-C4Ikr8JxG2CDGgA,CamXPetra,https://cn.noxinfluencer.com/youtube/channel/UC5NOsV_-C4Ikr8JxG2CDGgA,0,badcase,纯游戏设定向，缺少数码选品语境
170,UCMmaSthZOBhCJDO9FnIbX0g,TEST COMPARISONS,https://cn.noxinfluencer.com/youtube/channel/UCMmaSthZOBhCJDO9FnIbX0g,0,badcase,标签太泛，缺少充电宝相关信号
179,UCnhTCZp_jbcjzriXiTi1uog,ZedIOptima,https://cn.noxinfluencer.com/youtube/channel/UCnhTCZp_jbcjzriXiTi1uog,0,badcase,以木工DIY为主，和充电宝推广不匹配
181,UCmwQwyg4oDJYQgYSnsJAA1A,The Breakdown With Luke,https://cn.noxinfluencer.com/youtube/channel/UCmwQwyg4oDJYQgYSnsJAA1A,1,badcase,题材过泛，缺少充电宝导购场景
183,UCxi3iYavQbXeZV_Oa9nj-nw,Supercar Street Racing,https://cn.noxinfluencer.com/youtube/channel/UCxi3iYavQbXeZV_Oa9nj-nw,0,badcase,赛车内容为主，和充电宝受众不匹配
188,UCDD7GP95AeY4M5PrnLl2_kQ,Modern DIY Projects,https://cn.noxinfluencer.com/youtube/channel/UCDD7GP95AeY4M5PrnLl2_kQ,0,badcase,优惠券工具号，缺少充电宝相关性
192,UCERaE187ThYiZtjokJ0QVUQ,DLX Willington,https://cn.noxinfluencer.com/youtube/channel/UCERaE187ThYiZtjokJ0QVUQ,-10,badcase,音频对比型频道，不适合充电宝推广
193,UCK8L2t-brDEipg93Wba8WUw,Fixperiment king Lab,https://cn.noxinfluencer.com/youtube/channel/UCK8L2t-brDEipg93Wba8WUw,0,badcase,实验DIY频道，和数码电源产品不对口
197,UCLDw7ummSJnILbMZn2Azf2g,ON THE RADAR,https://cn.noxinfluencer.com/youtube/channel/UCLDw7ummSJnILbMZn2Azf2g,0,badcase,保健补剂频道，和充电宝完全无关
199,UCL9SfaiEORmmm8l6qxuDkJA,Virtual Travel Videos | In Case You're Wondering,https://cn.noxinfluencer.com/youtube/channel/UCL9SfaiEORmmm8l6qxuDkJA,0,badcase,纯旅行内容，缺少数码配件推广语境
201,UCneCMMIbVZ-Z4-naVnQx_ZQ,First&Best,https://cn.noxinfluencer.com/youtube/channel/UCneCMMIbVZ-Z4-naVnQx_ZQ,0,badcase,仅有portable泛词，缺少电源品类或购买意图
203,UCN50FugHe-GwnG-0mfXJa4Q,Dan the Fix it Man,https://cn.noxinfluencer.com/youtube/channel/UCN50FugHe-GwnG-0mfXJa4Q,0,badcase,车修DIY频道，与充电宝无明显受众重合
204,UCNo1wJYtvLOAOqhn1Woce9w,Technical Shahzada,https://cn.noxinfluencer.com/youtube/channel/UCNo1wJYtvLOAOqhn1Woce9w,0,badcase,教程短视频泛类，缺少数码充电语境
