rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
8,UCCHcDNftAWMacace8MmOYdA,vanguard k9 dog trainings,https://www.youtube.com/channel/UCCHcDNftAWMacace8MmOYdA,-15,badcase,纯犬类训练频道，和人用 swim vest 场景冲突
9,UCJ971OJexE13JbU6jGvd2cA,Nyle Lynn,https://www.youtube.com/channel/UCJ971OJexE13JbU6jGvd2cA,0,badcase,演艺娱乐为主，商品相关信号不足
11,UCd8C1d30Mw5dokaaNUPSiew,The Malamute Pack,https://www.youtube.com/channel/UCd8C1d30Mw5dokaaNUPSiew,-15,badcase,纯犬类 vlog，属于宠物场景，不适合人用泳具
13,UCPebP56QemIt41_UNTZPcpA,Mommy Churvs,https://www.youtube.com/channel/UCPebP56QemIt41_UNTZPcpA,-15,badcase,猫宠内容为主，和人用 swim vest 不匹配
14,UCfRKXoEpMz_4gzezGjMWu7Q,Toytik Show,https://www.youtube.com/channel/UCfRKXoEpMz_4gzezGjMWu7Q,-15,badcase,儿童故事娱乐号，与商品推广场景不匹配
23,UCNjsoaLHhxEUUpOIEbo2l_Q,Tech Moments,https://www.youtube.com/channel/UCNjsoaLHhxEUUpOIEbo2l_Q,0,badcase,科技泛资讯，和 swim vest 基本无关
24,UCvTw1J7hv11o19Ceb6Eb_oQ,Sai and Family,https://www.youtube.com/channel/UCvTw1J7hv11o19Ceb6Eb_oQ,-15,badcase,ASMR 短视频娱乐为主，是明显格式错配
25,UCjH4vQSss-wcoWkr9M3YZ1w,Sweetie Pie Pets,https://www.youtube.com/channel/UCjH4vQSss-wcoWkr9M3YZ1w,-15,badcase,纯宠物犬类频道，和人用 swim vest 不匹配
26,UCfsMK0RrT5APhnRVDTG0w4g,Sara Hughes,https://www.youtube.com/channel/UCfsMK0RrT5APhnRVDTG0w4g,-10,badcase,狗类内容，和人用 swim vest 受众不符
29,UC19lNj4oH91poIlAPgCRz1g,ItsSupriyas Life,https://www.youtube.com/channel/UC19lNj4oH91poIlAPgCRz1g,0,badcase,节庆生活类，缺少泳具或水上场景
31,UCBhwktEfRUytcc2z_rr44kw,eSchooled with Amanda Melrose,https://www.youtube.com/channel/UCBhwktEfRUytcc2z_rr44kw,0,badcase,教育频道，和泳具推广场景不匹配
33,UC4-DZzt7swq7uj83bg-P9HA,Dog & Cat Supplies online store,https://www.youtube.com/channel/UC4-DZzt7swq7uj83bg-P9HA,-15,badcase,宠物用品店，和人用 swim vest 目标完全不符
35,UCfK690FJZSD_BbyGM2YwnFA,Thewellbeing4All,https://www.youtube.com/channel/UCfK690FJZSD_BbyGM2YwnFA,0,badcase,无有效标签或内容信号
36,UCcH6Mo0jvunvQCHFE6OAqUQ,VELEZ FAMILY CHANNEL,https://www.youtube.com/channel/UCcH6Mo0jvunvQCHFE6OAqUQ,0,badcase,无有效标签或内容信号
37,UCcEiLg23lFfGN-vWjGDrRKQ,Caitlin Best,https://www.youtube.com/channel/UCcEiLg23lFfGN-vWjGDrRKQ,0,badcase,无有效标签或内容信号
39,UCXtf9tCG665OV0wyTyn81sg,St,https://www.youtube.com/channel/UCXtf9tCG665OV0wyTyn81sg,-5,badcase,宠物向，不适合人用泳具推广
40,UC34zgo49DqyjmKJbo-2OAPQ,BubbleGum,https://www.youtube.com/channel/UC34zgo49DqyjmKJbo-2OAPQ,0,badcase,内容偏娱乐，缺少泳具推广场景
41,UCR0U0x3ApEOc5cTtDjumPZQ,The Traveling Shus,https://www.youtube.com/channel/UCR0U0x3ApEOc5cTtDjumPZQ,0,badcase,旅游频道，缺少泳具相关购买意图
42,UC0TdrXZIq_-e-Tm6AnQ5zhQ,Calikorean,https://www.youtube.com/channel/UC0TdrXZIq_-e-Tm6AnQ5zhQ,0,badcase,无有效标签或内容信号
43,UCbgO1bzVFhrYT3CtnL95qeA,OlapMahakan,https://www.youtube.com/channel/UCbgO1bzVFhrYT3CtnL95qeA,0,badcase,无有效标签或内容信号
44,UCMhOtPRnqG1ZGd-4nWMfzNQ,Bradley David Good,https://www.youtube.com/channel/UCMhOtPRnqG1ZGd-4nWMfzNQ,0,badcase,汽车/机械向，与泳具无关
46,UCljYUFAqDTIB0DlJPEO6wrA,Birddok,https://www.youtube.com/channel/UCljYUFAqDTIB0DlJPEO6wrA,0,badcase,无有效标签或内容信号
48,UCwX1CwrcL7RTqBCSE3n3qKw,ALIEXPRESS COUPON CODE,https://www.youtube.com/channel/UCwX1CwrcL7RTqBCSE3n3qKw,0,badcase,无有效标签或内容信号
52,UCNheH0af92GRtQMnzyV3WxQ,Andrew Stock Media,https://www.youtube.com/channel/UCNheH0af92GRtQMnzyV3WxQ,0,badcase,人物素材/医疗风格，和泳具促销不匹配
54,UC14glhf581fzJOYoHGxWTsg,Chicken Goodies,https://www.youtube.com/channel/UC14glhf581fzJOYoHGxWTsg,0,badcase,缺少游泳或泳具相关证据
55,UCLHIeofA7RKnYzPexZDnoMA,Do Not Pet,https://www.youtube.com/channel/UCLHIeofA7RKnYzPexZDnoMA,-15,badcase,宠物狗内容，和人用泳具受众冲突
57,UCgSMwkFikRyg_5uQesXtmrQ,WebEye News,https://www.youtube.com/channel/UCgSMwkFikRyg_5uQesXtmrQ,0,badcase,科技资讯频道，与泳具推广场景不相关
59,UCeLHEJ5FHV5aY8a8xXytsHQ,Meow Moments,https://www.youtube.com/channel/UCeLHEJ5FHV5aY8a8xXytsHQ,0,badcase,宠物向频道，非人用泳具受众
60,UCHCl8-idaFT5kwaMglVjDeg,"DeTechTive ""Max""",https://www.youtube.com/channel/UCHCl8-idaFT5kwaMglVjDeg,0,badcase,缺少游泳/泳具相关证据
61,UCpcgi2CJ2nL9NM0ULtgXZMw,Right Ideas,https://www.youtube.com/channel/UCpcgi2CJ2nL9NM0ULtgXZMw,0,badcase,缺少游泳/泳具相关证据
62,UCkaLNO8qXV3E629Lzw9uQ1g,Lachmore Family Adventures,https://www.youtube.com/channel/UCkaLNO8qXV3E629Lzw9uQ1g,0,badcase,家庭冒险向，泳具相关性不足
63,UCFu4-VQQ-K3wFRfHvHOFcTA,ERICK and The Ourbacks,https://www.youtube.com/channel/UCFu4-VQQ-K3wFRfHvHOFcTA,0,badcase,旅行美食为主，泳具相关性弱
66,UCssaa7o6N8HouKNMrMQGG3g,The Resto Maestro,https://www.youtube.com/channel/UCssaa7o6N8HouKNMrMQGG3g,0,badcase,缺少游泳/泳具相关证据
