rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,UCPebP56QemIt41_UNTZPcpA,Mommy Churvs,https://cn.noxinfluencer.com/youtube/channel/UCPebP56QemIt41_UNTZPcpA,-15,badcase,宠物/娱乐向，和人用游泳背心推广不符
2,UC06syzMZqkuy63K6uzVnnBQ,Weaver Reviews,https://cn.noxinfluencer.com/youtube/channel/UC06syzMZqkuy63K6uzVnnBQ,0,badcase,无标签无视频证据，难判断相关性
3,UC0TdrXZIq_-e-Tm6AnQ5zhQ,Calikorean,https://cn.noxinfluencer.com/youtube/channel/UC0TdrXZIq_-e-Tm6AnQ5zhQ,0,badcase,无标签无视频证据，难判断相关性
4,UC14glhf581fzJOYoHGxWTsg,Chicken Goodies,https://cn.noxinfluencer.com/youtube/channel/UC14glhf581fzJOYoHGxWTsg,0,badcase,无标签无视频证据，难判断相关性
5,UC19lNj4oH91poIlAPgCRz1g,ItsSupriyas Life,https://cn.noxinfluencer.com/youtube/channel/UC19lNj4oH91poIlAPgCRz1g,0,badcase,母婴生活vlog但无游泳/产品意图，相关性弱
7,UC34zgo49DqyjmKJbo-2OAPQ,BubbleGum,https://cn.noxinfluencer.com/youtube/channel/UC34zgo49DqyjmKJbo-2OAPQ,-15,badcase,搞笑娱乐向，和产品推广场景不匹配
8,UC4-DZzt7swq7uj83bg-P9HA,Dog & Cat Supplies online store,https://cn.noxinfluencer.com/youtube/channel/UC4-DZzt7swq7uj83bg-P9HA,-15,badcase,宠物用品店，非人用游泳背心受众
10,UC8E1t_MXN8xHGdkq_Yqpz7Q,N'Joy,https://cn.noxinfluencer.com/youtube/channel/UC8E1t_MXN8xHGdkq_Yqpz7Q,0,badcase,无标签无视频证据，难判断相关性
12,UCBhwktEfRUytcc2z_rr44kw,eSchooled with Amanda Melrose,https://cn.noxinfluencer.com/youtube/channel/UCBhwktEfRUytcc2z_rr44kw,0,badcase,偏家庭教育内容，缺少游泳或商品意图
13,UCCHcDNftAWMacace8MmOYdA,vanguard k9 dog trainings,https://cn.noxinfluencer.com/youtube/channel/UCCHcDNftAWMacace8MmOYdA,-15,badcase,狗训宠物向，和人用产品推广不符
14,UCFMyyO3widMf0JC1V9G2p_A,Sarah Burford,https://cn.noxinfluencer.com/youtube/channel/UCFMyyO3widMf0JC1V9G2p_A,0,badcase,无标签无视频证据，难判断相关性
15,UCFu4-VQQ-K3wFRfHvHOFcTA,ERICK and The Ourbacks,https://cn.noxinfluencer.com/youtube/channel/UCFu4-VQQ-K3wFRfHvHOFcTA,0,badcase,无标签无视频证据，难判断相关性
16,UCHCl8-idaFT5kwaMglVjDeg,"DeTechTive ""Max""",https://cn.noxinfluencer.com/youtube/channel/UCHCl8-idaFT5kwaMglVjDeg,0,badcase,无标签无视频证据，难判断相关性
19,UCIwi08Vb_jpzNzUncSYe9NA,MoKo,https://cn.noxinfluencer.com/youtube/channel/UCIwi08Vb_jpzNzUncSYe9NA,0,badcase,数码配件频道，和游泳背心品类不符
20,UCJ971OJexE13JbU6jGvd2cA,Nyle Lynn,https://cn.noxinfluencer.com/youtube/channel/UCJ971OJexE13JbU6jGvd2cA,-15,badcase,宠物娱乐向，和人用游泳背心不符
21,UCLHIeofA7RKnYzPexZDnoMA,Do Not Pet,https://cn.noxinfluencer.com/youtube/channel/UCLHIeofA7RKnYzPexZDnoMA,-15,badcase,狗狗内容频道，属于宠物场景而非人用
22,UCMhOtPRnqG1ZGd-4nWMfzNQ,Bradley David Good,https://cn.noxinfluencer.com/youtube/channel/UCMhOtPRnqG1ZGd-4nWMfzNQ,0,badcase,题材偏车辆/家居，和游泳背心无关
24,UCNheH0af92GRtQMnzyV3WxQ,Andrew Stock Media,https://cn.noxinfluencer.com/youtube/channel/UCNheH0af92GRtQMnzyV3WxQ,0,badcase,偏人物/影像素材，和游泳背心无关
25,UCNjsoaLHhxEUUpOIEbo2l_Q,Tech Moments,https://cn.noxinfluencer.com/youtube/channel/UCNjsoaLHhxEUUpOIEbo2l_Q,0,badcase,科普科技向，和游泳背心无关
31,UCUz0mrJmLmUtCAIvVP-sBOw,HightP Reviews,https://cn.noxinfluencer.com/youtube/channel/UCUz0mrJmLmUtCAIvVP-sBOw,0,badcase,无标签无内容证据，无法判断相关性
33,UCW5be2zb0NhPaZ2kLw1mEEw,Product Peek,https://cn.noxinfluencer.com/youtube/channel/UCW5be2zb0NhPaZ2kLw1mEEw,0,badcase,无标签无内容证据，相关性不足
36,UCX8HTsRCZjz_rCrqRwRVxBA,Lesley Floats,https://cn.noxinfluencer.com/youtube/channel/UCX8HTsRCZjz_rCrqRwRVxBA,0,badcase,仅有频道名，无标签内容支撑
37,UCXtf9tCG665OV0wyTyn81sg,St,https://cn.noxinfluencer.com/youtube/channel/UCXtf9tCG665OV0wyTyn81sg,-5,badcase,宠物向频道，人用泳具投放不合适
39,UC_iA9vZtxWwP4AHYyEczSgg,The Living Guide,https://cn.noxinfluencer.com/youtube/channel/UC_iA9vZtxWwP4AHYyEczSgg,0,badcase,板块过泛且无泳类信号，相关性弱
40,UCbgO1bzVFhrYT3CtnL95qeA,OlapMahakan,https://cn.noxinfluencer.com/youtube/channel/UCbgO1bzVFhrYT3CtnL95qeA,0,badcase,无标签内容，无法支持投放判断
41,UCcEiLg23lFfGN-vWjGDrRKQ,Caitlin Best,https://cn.noxinfluencer.com/youtube/channel/UCcEiLg23lFfGN-vWjGDrRKQ,0,badcase,无标签内容，无法判断相关性
42,UCcH6Mo0jvunvQCHFE6OAqUQ,VELEZ FAMILY CHANNEL,https://cn.noxinfluencer.com/youtube/channel/UCcH6Mo0jvunvQCHFE6OAqUQ,0,badcase,频道信息不足，缺少投放判断依据
43,UCd8C1d30Mw5dokaaNUPSiew,The Malamute Pack,https://cn.noxinfluencer.com/youtube/channel/UCd8C1d30Mw5dokaaNUPSiew,-15,badcase,犬类宠物频道，和人用泳具目标完全不一致
44,UCeLHEJ5FHV5aY8a8xXytsHQ,Meow Moments,https://cn.noxinfluencer.com/youtube/channel/UCeLHEJ5FHV5aY8a8xXytsHQ,0,badcase,无标签内容，相关性无法成立
45,UCfK690FJZSD_BbyGM2YwnFA,Thewellbeing4All,https://cn.noxinfluencer.com/youtube/channel/UCfK690FJZSD_BbyGM2YwnFA,0,badcase,无标签内容，无法支持投放
46,UCfRKXoEpMz_4gzezGjMWu7Q,Toytik Show,https://cn.noxinfluencer.com/youtube/channel/UCfRKXoEpMz_4gzezGjMWu7Q,1,badcase,家庭娱乐向，缺少商品选购与泳类信号
47,UCfsMK0RrT5APhnRVDTG0w4g,Sara Hughes,https://cn.noxinfluencer.com/youtube/channel/UCfsMK0RrT5APhnRVDTG0w4g,0,badcase,无标签内容，相关性不足
