rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
11,UCMGRqpXjTYTqlnnGTjMmigw,DarkPlayzz,https://cn.noxinfluencer.com/youtube/channel/UCMGRqpXjTYTqlnnGTjMmigw,5,badcase,宗教诵读为主，科技只是边缘标签，不适合推广
38,UCFUsBdbrNe2a8tnVsxBwoZw,Plainrock124,https://cn.noxinfluencer.com/youtube/channel/UCFUsBdbrNe2a8tnVsxBwoZw,5,badcase,破坏式娱乐频道，虽有 tech 标签但不适合推广
67,UCS65Cob8tlnYCjStAM8sdxg,MOIN BLAZE,https://cn.noxinfluencer.com/youtube/channel/UCS65Cob8tlnYCjStAM8sdxg,5,badcase,宗教内容为主，科技标签不足以代表受众
85,UC4xU1pYKI2mXcGP8qdxLL6g,ABEiiiKU,https://cn.noxinfluencer.com/youtube/channel/UC4xU1pYKI2mXcGP8qdxLL6g,10,badcase,直击tech但ASMR格式强不匹配，缺少评测购买语境
141,UCXMVaxrax7RNDPdfRrXXgtQ,Hafu Go,https://cn.noxinfluencer.com/youtube/channel/UCXMVaxrax7RNDPdfRrXXgtQ,3,badcase,仅有测试/DIY 弱相关，主体偏娱乐短视频
162,UCZ7znURDSO1B6Zk8dCntqew,Rad,https://cn.noxinfluencer.com/youtube/channel/UCZ7znURDSO1B6Zk8dCntqew,8,badcase,ASMR/氛围向，和实物科技推广格式不匹配
187,UCozwejESfvl88CBBL0KgEhw,Hamster Kombat,https://cn.noxinfluencer.com/youtube/channel/UCozwejESfvl88CBBL0KgEhw,0,badcase,加密/金融游戏为主，和科技产品推广无关
198,UCWnXgKA2DvgVcL6Itd76Waw,Digital Express Universe,https://cn.noxinfluencer.com/youtube/channel/UCWnXgKA2DvgVcL6Itd76Waw,5,badcase,ASMR/游戏短视频为主，存在明显格式不匹配
237,UC4ppc207yFcH_b9Td3hxaCQ,VOZOL RUSSIA,https://cn.noxinfluencer.com/youtube/channel/UC4ppc207yFcH_b9Td3hxaCQ,10,badcase,ASMR为主且带音频展示属性，属于明显推广格式不匹配
241,UCf41OY0yx1wdO6980jAHRmw,Christian Perez,https://cn.noxinfluencer.com/youtube/channel/UCf41OY0yx1wdO6980jAHRmw,0,badcase,缺少tech相关标签，内容以游戏恐怖玩法为主，不适合科技推广
257,UCEbFX3P9ADiJvle5Z0Qyw2A,Becca Farsace,https://cn.noxinfluencer.com/youtube/channel/UCEbFX3P9ADiJvle5Z0Qyw2A,0,badcase,无科技标签，生活方式 vlog 为主，相关性弱
268,UC4xKdmAXFh4ACyhpiQ_3qBw,TechLead,https://cn.noxinfluencer.com/youtube/channel/UC4xKdmAXFh4ACyhpiQ_3qBw,0,badcase,缺少 tech 标签，金融/加密为主，不适合科技推广
278,UC8fOlR6nYZmeFE9SOUSo35g,MudiwAura👑,https://cn.noxinfluencer.com/youtube/channel/UC8fOlR6nYZmeFE9SOUSo35g,-15,badcase,音乐娱乐频道，和科技推广目标不符
285,UCFe2Kq8Hg15UomoVYdmRg_Q,Socially Inept,https://cn.noxinfluencer.com/youtube/channel/UCFe2Kq8Hg15UomoVYdmRg_Q,-15,badcase,纯娱乐笑话频道，和科技推广不符
288,UCK5fzlNLiXwKm8PgJcJh5lw,Elastic Dimension Records,https://cn.noxinfluencer.com/youtube/channel/UCK5fzlNLiXwKm8PgJcJh5lw,5,badcase,音乐风格频道，tech 只是曲风标签
291,UCYmFKw7swKPJiaMloRmptHw,WSJ Podcasts,https://cn.noxinfluencer.com/youtube/channel/UCYmFKw7swKPJiaMloRmptHw,-15,badcase,新闻政治播客，科技产品推广不合适
298,UC2htIc3-njRI5BKTJ2QqNfA,Our Future,https://cn.noxinfluencer.com/youtube/channel/UC2htIc3-njRI5BKTJ2QqNfA,5,badcase,短视频故事型频道，科技推广转化弱
311,UCkehTo1bcI7FdAkaUTsNShQ,panda tech,https://cn.noxinfluencer.com/youtube/channel/UCkehTo1bcI7FdAkaUTsNShQ,5,badcase,ASMR/舒缓音频导向，和科技推广格式不匹配
319,UCr5plgyYkHldqPu4MNd0cvA,NatureBased,https://cn.noxinfluencer.com/youtube/channel/UCr5plgyYkHldqPu4MNd0cvA,6,badcase,科幻娱乐为主，科技仅是主题点缀
325,UCFbRxTStDk4y7MXi0mUQi-w,Uk Ashraf Reactions,https://cn.noxinfluencer.com/youtube/channel/UCFbRxTStDk4y7MXi0mUQi-w,7,badcase,娱乐反应向为主，科技只是点缀，不适合投放
326,UCIALMKvObZNtJ6AmdCLP7Lg,Bloomberg Television,https://cn.noxinfluencer.com/youtube/channel/UCIALMKvObZNtJ6AmdCLP7Lg,0,badcase,财经新闻为主，缺少科技产品推广信号
328,UC7r4-nZ4icT8SIcnisXFSHQ,The Investor Channel,https://cn.noxinfluencer.com/youtube/channel/UC7r4-nZ4icT8SIcnisXFSHQ,0,badcase,股票财经频道，和科技产品推广相关性很弱
347,UCYqXh1HzJSYYYmbaoK4veDw,Hobby Explorer,https://cn.noxinfluencer.com/youtube/channel/UCYqXh1HzJSYYYmbaoK4veDw,0,badcase,泛生活/地域频道，科技推广相关信号不足
348,UCjSYpiJmYW-dMiP-F0TiJNA,Tech Design,https://cn.noxinfluencer.com/youtube/channel/UCjSYpiJmYW-dMiP-F0TiJNA,-15,badcase,纯娱乐故事向，缺少科技产品推广场景
350,UCjoQZyJEejRlmUd7Ir-n6VA,The Klyshe Code,https://cn.noxinfluencer.com/youtube/channel/UCjoQZyJEejRlmUd7Ir-n6VA,15,badcase,有科技开箱信号，但ASMR/娱乐格式不适合推广
364,UCd_qbmDWHuMl9tANh724Bbg,TK TAMILAN,https://cn.noxinfluencer.com/youtube/channel/UCd_qbmDWHuMl9tANh724Bbg,-5,badcase,娱乐/搞笑/动漫向频道，缺少科技推广相关受众与场景
