rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
13,UCVyopZsoS91MU_-pwqg1b4g,ShoppingTv,https://www.youtube.com/channel/UCVyopZsoS91MU_-pwqg1b4g,20,badcase,标签杂乱，宠物粮像噪声，不适合投放
35,UCbta5UYAzeIOQAL7-A4s0WA,Bounce The Pit Bull,https://www.youtube.com/channel/UCbta5UYAzeIOQAL7-A4s0WA,-10,badcase,ASMR吃播导向，偏娱乐不适合卖宠物食品
36,UCEnZnMqeErT_pXlogYLiOog,CuteKitten,https://www.youtube.com/channel/UCEnZnMqeErT_pXlogYLiOog,2,badcase,锻造/刀具为主，仅有猫标签，宠物食品相关性弱
38,UC_9miWNwjvRIwRFuhSYczIw,Chihuahua Bites,https://www.youtube.com/channel/UC_9miWNwjvRIwRFuhSYczIw,0,badcase,无标签无内容证据，无法判断宠物食品相关性
42,UCaoHzhtuszfMwZ6gys82DDg,Henry,https://www.youtube.com/channel/UCaoHzhtuszfMwZ6gys82DDg,0,badcase,发型喜剧频道，缺少宠物食品相关受众
47,UCsqX0O8H0eG-H3pDQCMlyRQ,Zooologist,https://www.youtube.com/channel/UCsqX0O8H0eG-H3pDQCMlyRQ,-15,badcase,野生动物对抗内容，和宠物食品推广场景不匹配
54,UCXC-MAuZ_SKKGs2VmGdwmKQ,"Jinan Arrow Machinery Co., Ltd",https://www.youtube.com/channel/UCXC-MAuZ_SKKGs2VmGdwmKQ,-14,badcase,工业挤出机频道，与宠物食品推广场景明显不匹配
60,UCbK9lZUnc-Pz1YEEed_pWYw,Hen Farm,https://www.youtube.com/channel/UCbK9lZUnc-Pz1YEEed_pWYw,0,badcase,频道为养鸡/农场向，缺少宠粮相关信号，推广相关性低
64,UCjAIr97ndhIhz7P1bJ7sGMg,AB12TV,https://www.youtube.com/channel/UCjAIr97ndhIhz7P1bJ7sGMg,0,badcase,宗教/趋势为主，和宠物食品投放无关
70,UCkS6U3-hR9dzqQTXKsyUXBA,Nutrena,https://www.youtube.com/channel/UCkS6U3-hR9dzqQTXKsyUXBA,-10,badcase,前5标签主打家禽饲料，不适合宠物食品投放
74,UCRDIBDL4XKVrpGg1IgWkQRw,JUNINZ FF,https://www.youtube.com/channel/UCRDIBDL4XKVrpGg1IgWkQRw,-8,badcase,主体是游戏梗内容，和宠物食品推广明显不匹配
78,UCOzJTPsRjFviJ746AIfhQXg,Winter Munoz,https://www.youtube.com/channel/UCOzJTPsRjFviJ746AIfhQXg,-15,badcase,二次元/娱乐向，和宠物食品推广基本无关
84,UCwgnd9mYrJNihPC5fjRm-ig,Miqaju Chilobe,https://www.youtube.com/channel/UCwgnd9mYrJNihPC5fjRm-ig,-15,badcase,纯娱乐短视频，和宠粮推广目标明显不符
85,UC8shTy-GHETM8MtUXUmdjuA,Penguin Berry,https://www.youtube.com/channel/UC8shTy-GHETM8MtUXUmdjuA,-5,badcase,以企鹅等动物娱乐为主，不适合宠物食品推广
88,UCgVAsokGLLyOW0BnDjurJ5w,li li ai,https://www.youtube.com/channel/UCgVAsokGLLyOW0BnDjurJ5w,0,badcase,无有效标签与内容证据，无法判断为宠粮相关
89,UCom9LN8FxBVoGjLXfcKQEhw,Ana's Personal Vlog,https://www.youtube.com/channel/UCom9LN8FxBVoGjLXfcKQEhw,0,badcase,生活记录为主，宠物食品推广相关性弱
91,UCabMIxPqyncOr9Pcu8JrF8w,Puerto Rican David Torres Jr,https://www.youtube.com/channel/UCabMIxPqyncOr9Pcu8JrF8w,0,badcase,旅行游戏为主，宠物词分散且无宠粮意图
95,UCUldPQCtWVa7Iw4va8MKpBA,Daily Savage Fun,https://www.youtube.com/channel/UCUldPQCtWVa7Iw4va8MKpBA,0,badcase,无标签，且名称偏娱乐，难支撑宠粮推广
99,UCF5-ThEfw-wzgzZqxdpighw,Dr. Pol Presents,https://www.youtube.com/channel/UCF5-ThEfw-wzgzZqxdpighw,-3,badcase,兽医娱乐节目属性强，非宠粮转化场景
104,UC82a20zvFNpxaIo7Oq_D87Q,Crazy Pig,https://www.youtube.com/channel/UC82a20zvFNpxaIo7Oq_D87Q,-3,badcase,以猪内容为主，和宠粮投放受众不匹配
108,UC0jtVC2BLkYYBZlE4adiWuw,Dumpster Diving Rookie,https://www.youtube.com/channel/UC0jtVC2BLkYYBZlE4adiWuw,0,badcase,以捡漏搬运为主，缺少宠粮相关受众
109,UCHXw1nv6FBmVwOGj2GiEQrg,All in One Garden and Kitchen,https://www.youtube.com/channel/UCHXw1nv6FBmVwOGj2GiEQrg,2,badcase,偏人类餐饮与旅行内容，和宠粮投放不对口
110,UCEJlsxdqnkWZGdYySJxfZtA,DAVE,https://www.youtube.com/channel/UCEJlsxdqnkWZGdYySJxfZtA,-14,badcase,娱乐游戏向明显，宠粮转化场景很弱
118,UCBabo_Wr8JZtvy3k7jdGWow,Ming Ming De Mi Ni Chu Fang,https://www.youtube.com/channel/UCBabo_Wr8JZtvy3k7jdGWow,-15,badcase,主体是儿童玩具和迷你厨房，与宠物食品推广明显不符
120,UCgoOKrgNFbPvBMUpC2IEU5A,Bicolana Sa America,https://www.youtube.com/channel/UCgoOKrgNFbPvBMUpC2IEU5A,-15,badcase,频道核心是捡食和垃圾寻食，和宠物食品推广不匹配
125,UC4qLWOiNXLjxr8FUsYu3LwQ,Auranest,https://www.youtube.com/channel/UC4qLWOiNXLjxr8FUsYu3LwQ,0,badcase,家居健康类频道，与宠物食品推广不匹配
127,UCdB-EiDI1N_TlcqNofYxt1g,VLGM,https://www.youtube.com/channel/UCdB-EiDI1N_TlcqNofYxt1g,3,badcase,动物故事/AI内容偏娱乐，不适合食品推广
133,UCCJPt2eTQui4wqD_LHKKrzw,Curtis Bryant Jr.,https://www.youtube.com/channel/UCCJPt2eTQui4wqD_LHKKrzw,-15,badcase,娱乐动画频道，缺少宠物食品推广语境，明显不匹配
135,UCtIvUuy9ZX7bV5JxW_rrIDg,Nizage Gojoqu,https://www.youtube.com/channel/UCtIvUuy9ZX7bV5JxW_rrIDg,0,badcase,无标签和视频证据，无法支持宠物食品推广相关性
137,UCMXMVFrlIM6iT36rKbtqWRg,ANIMAL MIX CHANNEL2,https://www.youtube.com/channel/UCMXMVFrlIM6iT36rKbtqWRg,-13,badcase,娱乐吃播为主，缺少宠物饲料/宠物照护信号，不适合投放宠物食品
154,UCYraPYy3a14ssZh0o0zPU4g,Kerry Chapman,https://www.youtube.com/channel/UCYraPYy3a14ssZh0o0zPU4g,0,badcase,以家庭搞笑为主，和宠物食品推广关联弱
156,UCuY80SbgTlOTnLIXw3jPcjQ,Carlos Alberto,https://www.youtube.com/channel/UCuY80SbgTlOTnLIXw3jPcjQ,0,badcase,热门杂项短视频号，与宠物食品无关
169,UCS6JRIepDEKsW4BumsSYkWQ,PKT UP,https://www.youtube.com/channel/UCS6JRIepDEKsW4BumsSYkWQ,-15,badcase,挑战/测验型娱乐频道，和宠粮购买转化关联弱
170,UCyUG2htFsMtlhuvBHKYxPrQ,Pete B: East Texas Homesteading,https://www.youtube.com/channel/UCyUG2htFsMtlhuvBHKYxPrQ,-15,badcase,人类健康饮食频道，和宠粮推广对象不匹配
175,UCb93oL-S6o2eGE_j2Kt3wUw,My frugal life,https://www.youtube.com/channel/UCb93oL-S6o2eGE_j2Kt3wUw,-15,badcase,以农场/囤货/短缺为主，和宠物食品推广明显不符
176,UCKx1UJRIXL5bhcOuBP8NB6A,Cat Baby Cute 22,https://www.youtube.com/channel/UCKx1UJRIXL5bhcOuBP8NB6A,0,badcase,无有效标签与内容信号，无法支撑宠物食品推广
184,UC8BVVWLHzA3azS2QRD0oWhA,PLANET X,https://www.youtube.com/channel/UC8BVVWLHzA3azS2QRD0oWhA,-9,badcase,野生动物纪录片为主，不是宠物喂养投放场景
189,UCl0hRESBLmri_FXwR8aDc5Q,Mario That Ai,https://www.youtube.com/channel/UCl0hRESBLmri_FXwR8aDc5Q,-2,badcase,宠物故事娱乐号，偏叙事内容，不是商品投放场景
191,UCKzeyEahvTa8zEgxFStPD0Q,Ana's Random Vlog & Shorts,https://www.youtube.com/channel/UCKzeyEahvTa8zEgxFStPD0Q,0,badcase,娱乐型频道，缺少宠物食品相关信号
192,UCtB_xONmepHz28BwR46gLNw,DuoQuest,https://www.youtube.com/channel/UCtB_xONmepHz28BwR46gLNw,0,badcase,无标签无内容证据，难判断可投放性
197,UCxsDLqSLOOZfaq6cparBueQ,James Olivar,https://www.youtube.com/channel/UCxsDLqSLOOZfaq6cparBueQ,0,badcase,无标签无内容证据，难判断相关性
204,UCIsCILTZvG9bcFdwnzUAVnA,MicroBuzz,https://www.youtube.com/channel/UCIsCILTZvG9bcFdwnzUAVnA,-3,badcase,吃播娱乐向，只有泛食物标签，和宠物食品推广不匹配
214,UCgOToFl2vRDCgWXMOm27x6Q,TT SHOW,https://www.youtube.com/channel/UCgOToFl2vRDCgWXMOm27x6Q,0,badcase,以鸟类、野生动物和游戏为主，和宠物食品关联弱
215,UC6S4uC7LPrJk9L9F3DDdMzQ,ManmanHanhan,https://www.youtube.com/channel/UC6S4uC7LPrJk9L9F3DDdMzQ,0,badcase,无标签无内容，无法判断为宠物食品相关
219,UCWtTkrJdAbRvJqhyN9gpIvg,Crocodile GuanGuan,https://www.youtube.com/channel/UCWtTkrJdAbRvJqhyN9gpIvg,0,badcase,野生动物和鳄鱼内容为主，不适合宠物食品
227,UCV5XJ4ysOo0TIOP2nAbGAng,ឃាក ខេង-Kheak kheng,https://www.youtube.com/channel/UCV5XJ4ysOo0TIOP2nAbGAng,-15,badcase,主内容偏农场动物和杂类动物，不适合宠物食品推广
231,UCHxTpDpegk5Nbd4OuYJkKOg,Clevelandmarko,https://www.youtube.com/channel/UCHxTpDpegk5Nbd4OuYJkKOg,0,badcase,家装检测/安全类内容，和宠物食品推广无关
232,UCqT3Z6z9z4YJO4R40_R6v3w,Reaxion Mode,https://www.youtube.com/channel/UCqT3Z6z9z4YJO4R40_R6v3w,-15,badcase,人类吃播娱乐，和宠物食品推广明显不匹配
233,UCusC1WFKMMbYqKpFJak7mRg,Scrap It Up!,https://www.youtube.com/channel/UCusC1WFKMMbYqKpFJak7mRg,0,badcase,垃圾回收/废品内容，缺少宠物消费场景
453,UCBq0s8QPrgBIUcjnocM7UjQ,Babydraem,https://www.youtube.com/channel/UCBq0s8QPrgBIUcjnocM7UjQ,-9,badcase,动画娱乐为主，宠物食品场景不匹配
