rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
6,UCUTyRDr9A6FZsCvkeiQrd4w,My Cute Pomeranian,https://cn.noxinfluencer.com/youtube/channel/UCUTyRDr9A6FZsCvkeiQrd4w,-9,badcase,恐怖故事/游戏为主，宠物食品受众明显不匹配
10,UCUHxuPoyNEiA5hNVvpWt-EQ,Haoren Special Effects,https://cn.noxinfluencer.com/youtube/channel/UCUHxuPoyNEiA5hNVvpWt-EQ,-3,badcase,娱乐型泛内容，宠物食品转化弱
12,UCjaNEVaSWPDGmegG2msb4-w,Shaq The Pug,https://cn.noxinfluencer.com/youtube/channel/UCjaNEVaSWPDGmegG2msb4-w,0,badcase,前五标签偏游戏娱乐，和宠物食品投放关联弱
29,UCHzogYDGS6nihFLkiYw6iNQ,Gadget Fusion 5,https://cn.noxinfluencer.com/youtube/channel/UCHzogYDGS6nihFLkiYw6iNQ,0,badcase,无相关标签和内容，频道更偏数码，和宠物食品推广不匹配
38,UCOCFVAOVOkfZTOlu3sxKZ_Q,Wutelz,https://cn.noxinfluencer.com/youtube/channel/UCOCFVAOVOkfZTOlu3sxKZ_Q,-15,badcase,频道为游戏内容，与宠物食品推广场景明显不符
43,UCiGcokmNvo-f2OxqviT0cKA,Pet Reacts: LOL Edition!,https://cn.noxinfluencer.com/youtube/channel/UCiGcokmNvo-f2OxqviT0cKA,-15,badcase,以动画娱乐为主，宠物食品推广场景不匹配
46,UCa5NNydb5xIiju8Z7au7htg,Ideal Farming,https://cn.noxinfluencer.com/youtube/channel/UCa5NNydb5xIiju8Z7au7htg,0,badcase,农耕内容为主，与宠物食品推广关联很弱
60,UCS6JRIepDEKsW4BumsSYkWQ,PKT UP,https://cn.noxinfluencer.com/youtube/channel/UCS6JRIepDEKsW4BumsSYkWQ,0,badcase,纯娱乐谜题频道，与宠物食品推广不相关
61,UCMcE4tg412Lz0GmqId_hcwQ,Me Ai  Animation TV,https://cn.noxinfluencer.com/youtube/channel/UCMcE4tg412Lz0GmqId_hcwQ,0,badcase,无宠物食品相关信号
71,UCgoOKrgNFbPvBMUpC2IEU5A,Bicolana Sa America,https://cn.noxinfluencer.com/youtube/channel/UCgoOKrgNFbPvBMUpC2IEU5A,-15,badcase,以捡食垃圾为主，与宠物粮推广明显不匹配
76,UCx86b9-td6cTLFI4qM2QYlg,Li Mo,https://cn.noxinfluencer.com/youtube/channel/UCx86b9-td6cTLFI4qM2QYlg,2,badcase,泛食品/ASMR内容，缺少宠物受众
77,UCRCaqxCYfLmGNKAWlpXdU4A,Bà Già Review,https://cn.noxinfluencer.com/youtube/channel/UCRCaqxCYfLmGNKAWlpXdU4A,1,badcase,人类美食频道，不适合宠物粮推广
83,UCbK9lZUnc-Pz1YEEed_pWYw,Hen Farm,https://cn.noxinfluencer.com/youtube/channel/UCbK9lZUnc-Pz1YEEed_pWYw,-5,badcase,频道主题偏农场禽类，不适合宠粮投放
89,UCS2qMWCYdmvVH1zVsVWF8qQ,PAP CAT,https://cn.noxinfluencer.com/youtube/channel/UCS2qMWCYdmvVH1zVsVWF8qQ,-15,badcase,历史旅游鬼屋向，和宠粮投放明显错位
91,UCTp62kR9ahSGj1T9PjInm0A,sen sen,https://cn.noxinfluencer.com/youtube/channel/UCTp62kR9ahSGj1T9PjInm0A,0,badcase,生活娱乐向，无宠物或食品信号
94,UCi0hTpaLV4_Mg6pqTNrpHeg,KingOfAquariums,https://cn.noxinfluencer.com/youtube/channel/UCi0hTpaLV4_Mg6pqTNrpHeg,-15,badcase,娱乐反应号，明显不适合宠物食品推广
98,UCqARyNoyVHBlfJIf8pzzRQw,Jackie Bites,https://cn.noxinfluencer.com/youtube/channel/UCqARyNoyVHBlfJIf8pzzRQw,0,badcase,无标签无内容，无法判断为相关频道
99,UCJ2HMjSPrAp7x2JELObeb-A,More Media Production,https://cn.noxinfluencer.com/youtube/channel/UCJ2HMjSPrAp7x2JELObeb-A,0,badcase,科技教程向，与宠物食品无关
