rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
8,UCL9HUjgHMiVglTQVlccVBXg,Daya Gk Pharmacy,https://cn--xtb.noxinfluencer.com/youtube/channel/UCL9HUjgHMiVglTQVlccVBXg,-8,badcase,主要是药品用法科普，婴童相关只占少数，不适合补充剂推广
15,UC2SEbI-QkAhcgNntgGdyy3w,Raiqa Doll,https://cn--xtb.noxinfluencer.com/youtube/channel/UC2SEbI-QkAhcgNntgGdyy3w,-7,badcase,以可爱宝宝娱乐为主，缺少补剂、营养和购买意图，相关性弱。
17,UC23gy5gIUfZeCzzP3Y2QFZw,HananTube,https://cn--xtb.noxinfluencer.com/youtube/channel/UC23gy5gIUfZeCzzP3Y2QFZw,-9,badcase,购物/开箱为主，近期内容也非婴儿营养场景
18,UCM0IOabtzkNCWOhj_RJ9KuQ,COPS Camera USA,https://cn--xtb.noxinfluencer.com/youtube/channel/UCM0IOabtzkNCWOhj_RJ9KuQ,-15,badcase,娱乐频道主轴明显，婴儿营养内容与推广格式冲突
19,UCWGiaIitYCA_wLin0xBG2kg,Baby Velora,https://cn--xtb.noxinfluencer.com/youtube/channel/UCWGiaIitYCA_wLin0xBG2kg,-10,badcase,只有泛宝宝情绪内容，缺少营养或购买意图
22,UCtP2RQ99kq1vU9zAYo_lZlg,Dr Hussnain,https://cn--xtb.noxinfluencer.com/youtube/channel/UCtP2RQ99kq1vU9zAYo_lZlg,-9,badcase,健康泛类且偏美妆娱乐，缺少婴儿营养/补剂定向
25,UCKMfm4XMWC_9BvPD2YaJzrA,Ciencia y Salud - Vive Mejor,https://cn--xtb.noxinfluencer.com/youtube/channel/UCKMfm4XMWC_9BvPD2YaJzrA,-10,badcase,无婴幼儿营养/护理信号，近期多为成人保健品与商业推广
27,UC0p-KLPmLkLemj53r9GdzSg,The Simon Family,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0p-KLPmLkLemj53r9GdzSg,-3,badcase,家庭育儿弱相关，但健身娱乐内容占比高，缺少婴儿营养/补剂意图
29,UCKhzHlq399HrtArZB2Ea8Mw,HA VY FAMILY,https://cn--xtb.noxinfluencer.com/youtube/channel/UCKhzHlq399HrtArZB2Ea8Mw,-20,badcase,主频道偏娱乐/动画/新闻，和婴儿补充剂推广的格式与受众都不匹配
32,UCf9hKlngqgySuDp4hPmhBYw,Evanji,https://cn--xtb.noxinfluencer.com/youtube/channel/UCf9hKlngqgySuDp4hPmhBYw,-16,badcase,近期有婴儿喂养内容，但频道核心标签偏游戏故事，不适合补充剂推广
