rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,UC-b79wTDquaFDMHdVlMSZ4g,Forgotten History Files,https://cn.noxinfluencer.com/youtube/channel/UC-b79wTDquaFDMHdVlMSZ4g,0,badcase,无标签无内容，无法支撑咖啡机推广
17,UC2AUc-4_yMsFHLfPP9Ub8ZA,George Fan,https://cn.noxinfluencer.com/youtube/channel/UC2AUc-4_yMsFHLfPP9Ub8ZA,-10,badcase,无咖啡机相关标签，近期全是其他家电/数码评测，相关性弱
23,UC8Nr144OO16a0Vt8kTXGYsg,Billy Aiken,https://cn.noxinfluencer.com/youtube/channel/UC8Nr144OO16a0Vt8kTXGYsg,-10,badcase,无咖啡机相关标签，近期内容几乎全是无关泛品类
28,UCyx8oMDV6UUTj9DUQZmu_lw,Mind Over Mess,https://cn.noxinfluencer.com/youtube/channel/UCyx8oMDV6UUTj9DUQZmu_lw,-2,badcase,虽有咖啡机标签，但频道主体是ASMR清洁，格式不匹配
36,UC8p5jRXm-dACHhbsbzyI6aQ,New Gadgets USA,https://cn.noxinfluencer.com/youtube/channel/UC8p5jRXm-dACHhbsbzyI6aQ,-7,badcase,只有泛厨房器具标签，近期全是厨房收纳和小工具
38,UCpra2LkCtiSQ67ypU05lfbQ,Valentine Lewis,https://cn.noxinfluencer.com/youtube/channel/UCpra2LkCtiSQ67ypU05lfbQ,-9,badcase,偏家电测评但近期全是清洁园艺充电器，咖啡机不聚焦
39,UCh5jBjwAxQHB4-IZL4c5o3g,Video introduce the latest products,https://cn.noxinfluencer.com/youtube/channel/UCh5jBjwAxQHB4-IZL4c5o3g,-10,badcase,泛数码和家居新品号，近期主题与咖啡机几乎无关
41,UCgwtPKpRHv55720txpYi93Q,Target Engineer,https://cn.noxinfluencer.com/youtube/channel/UCgwtPKpRHv55720txpYi93Q,-10,badcase,近期几乎全是 Roblox 娱乐内容，和咖啡机推广不匹配
45,UC0bXm7SnF_ssc47s6Ab8Yhg,Jack Du,https://cn.noxinfluencer.com/youtube/channel/UC0bXm7SnF_ssc47s6Ab8Yhg,-25,badcase,工业包装产线内容为主，和家用咖啡机推广场景明显不匹配
47,UCQRwnN5O01LpT_gJ-ZKAz8g,Nealie Boschma,https://cn.noxinfluencer.com/youtube/channel/UCQRwnN5O01LpT_gJ-ZKAz8g,-6,badcase,生活方式号有咖啡场景，但缺少咖啡机或评测信号，近期也多不匹配
53,UCXB3Nt_Zk9c5Vp4EWSZPcLQ,ChillSnap,https://cn.noxinfluencer.com/youtube/channel/UCXB3Nt_Zk9c5Vp4EWSZPcLQ,-25,badcase,ASMR沉浸内容，与咖啡机推广格式不匹配
55,UCEx3_RBoQQ6HbsJl_EuAUOg,Purity Sin Gaming,https://cn.noxinfluencer.com/youtube/channel/UCEx3_RBoQQ6HbsJl_EuAUOg,-25,badcase,游戏娱乐频道，咖啡机内容只是标题噪音
56,UCOI0mmygUxwPp6WB7D35Ucg,Christina Nicci,https://cn.noxinfluencer.com/youtube/channel/UCOI0mmygUxwPp6WB7D35Ucg,-7,badcase,健康健身为主，咖啡机投放相关性弱
65,UCR-n-jxtKFYJGdC9OjlfaaA,ChrisGTXvideos,https://cn.noxinfluencer.com/youtube/channel/UCR-n-jxtKFYJGdC9OjlfaaA,-25,badcase,娱乐搞笑短视频，主题与咖啡机推广明显不匹配
