rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
4,UC-b79wTDquaFDMHdVlMSZ4g,Forgotten History Files,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-b79wTDquaFDMHdVlMSZ4g,10,badcase,虽有咖啡机标签，但近期全是历史叙事，题材与促销场景不符
21,UCQejwlr91D4nSUEMX3Bfkfg,Versus Lab,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQejwlr91D4nSUEMX3Bfkfg,-8,badcase,家电测评但近10条全是炒锅，缺少咖啡机相关购买导向
24,UCF93kQGx2jXDxcGOkRyw8Eg,Natalie Minassian,https://cn--xtb.noxinfluencer.com/youtube/channel/UCF93kQGx2jXDxcGOkRyw8Eg,-21,badcase,以ASMR和日常咖啡饮用为主，缺少咖啡机评测或导购
33,UClACkwySPPiNneu8pGT5mHA,Penglai Machine,https://cn--xtb.noxinfluencer.com/youtube/channel/UClACkwySPPiNneu8pGT5mHA,-25,badcase,工业灌装包装机频道，与咖啡机推广场景明显不符
40,UC0m33OrU-_JpvIjxyh3RtyQ,BrewTube Cafe: Coffee Creations,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0m33OrU-_JpvIjxyh3RtyQ,-35,badcase,ASMR/音乐氛围号，属于典型格式不匹配
47,UCGBOUZu__ronz8MKyvjeu8g,Jasmine Dy,https://cn--xtb.noxinfluencer.com/youtube/channel/UCGBOUZu__ronz8MKyvjeu8g,-23,badcase,宠物号为主，咖啡机受众和近10条内容都不匹配
48,UCJKKIWM-xxS9JY7yCwFK-HA,SirCraze,https://cn--xtb.noxinfluencer.com/youtube/channel/UCJKKIWM-xxS9JY7yCwFK-HA,-35,badcase,ATV/骑行为主且带ASMR格式，不适合咖啡机推广
51,UC9V-LA8C7BuTr3Aag-jo1VA,Kismile Official,https://cn--xtb.noxinfluencer.com/youtube/channel/UC9V-LA8C7BuTr3Aag-jo1VA,-8,badcase,仅有 coffee 弱相关，近10条多为制冰/烧烤/空气炸锅内容
54,UC60QFXXU0r5ljxqA77grPyw,Doug Wollman,https://cn--xtb.noxinfluencer.com/youtube/channel/UC60QFXXU0r5ljxqA77grPyw,-27,badcase,ASMR/睡眠/氛围音为主，且近期多为非咖啡内容，格式强不匹配
57,UCda7mTMmOO-W6i0P9yXG2tg,CHEFMAN,https://cn--xtb.noxinfluencer.com/youtube/channel/UCda7mTMmOO-W6i0P9yXG2tg,-10,badcase,以通用厨房短视频为主，缺少咖啡机或咖啡购买意图
61,UCCZOlUdFx-GZ5pYJQmN8O9w,Enter MMC,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCZOlUdFx-GZ5pYJQmN8O9w,-8,badcase,偏咖啡饮品短视频，缺少咖啡机测评/购买/设备语境
62,UC19syw_O9tICDkb8jq4iTaw,FUBO PACKAGING MACHINERY,https://cn--xtb.noxinfluencer.com/youtube/channel/UC19syw_O9tICDkb8jq4iTaw,-25,badcase,工业包装机频道，内容与咖啡机推广主题明显不匹配
67,UCoxyDS3Z5bB5fhe_Gi915Sg,EyadAnas,https://cn--xtb.noxinfluencer.com/youtube/channel/UCoxyDS3Z5bB5fhe_Gi915Sg,-20,badcase,以手机短视频为主，和咖啡机推广格式明显不符
69,UCjsmSCIXhOwFQNM0l7B1y6Q,tori frank,https://cn--xtb.noxinfluencer.com/youtube/channel/UCjsmSCIXhOwFQNM0l7B1y6Q,-34,badcase,娱乐歌词/短视频为主，且近期内容多不相关
70,UC1Dd24FDDK4nj3LDstEA1UQ,Ebony N Rogers,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1Dd24FDDK4nj3LDstEA1UQ,-2,badcase,清洁生活频道，近期偏咖啡车饮品内容，缺少咖啡机评测购买意图
73,UCoYBnzipbufk1HY5zB9f93Q,Golemzy,https://cn--xtb.noxinfluencer.com/youtube/channel/UCoYBnzipbufk1HY5zB9f93Q,-10,badcase,Minecraft 娱乐内容，和咖啡机推广场景无关
