keyword,provider,page_group,page_range,total,fit,adjacent,badcase,failed,badcase_rate
coffee machine,nox,前10页,1-10,500,179,127,194,0,38.8%
coffee machine,nox,中间10页,46-55,500,76,82,342,0,68.4%
coffee machine,nox,最后10页,92-101,460,79,58,323,0,70.2%
coffee machine,xtb,前10页,1-10,500,113,83,304,0,60.8%
coffee machine,xtb,中间10页,46-55,500,42,53,405,0,81.0%
coffee machine,xtb,最后10页,92-101,500,16,29,455,0,91.0%
lawn mower,nox,前10页,1-10,500,242,102,156,0,31.2%
lawn mower,nox,中间10页,92-101,500,11,67,422,0,84.4%
lawn mower,nox,最后10页,184-193,487,10,58,419,0,86.0%
lawn mower,xtb,前10页,1-10,500,296,97,107,0,21.4%
lawn mower,xtb,中间10页,92-101,500,23,77,400,0,80.0%
lawn mower,xtb,最后10页,184-193,500,13,34,453,0,90.6%
tech,nox,前10页,1-10,500,413,54,33,0,6.6%
tech,nox,中间10页,96-105,500,266,117,117,0,23.4%
tech,nox,最后10页,191-200,500,178,110,212,0,42.4%
tech,xtb,前10页,1-10,500,393,72,35,0,7.0%
tech,xtb,中间10页,96-105,500,183,118,199,0,39.8%
tech,xtb,最后10页,191-200,500,285,82,133,0,26.6%
fashion,nox,前10页,1-10,500,476,20,4,0,0.8%
fashion,nox,中间10页,96-105,500,296,56,148,0,29.6%
fashion,nox,最后10页,191-200,500,211,56,233,0,46.6%
fashion,xtb,前10页,1-10,500,435,44,21,0,4.2%
fashion,xtb,中间10页,96-105,500,345,118,37,0,7.4%
fashion,xtb,最后10页,191-200,500,299,96,105,0,21.0%
lifestyle,nox,前10页,1-10,500,463,36,1,0,0.2%
lifestyle,nox,中间10页,96-105,500,335,98,67,0,13.4%
lifestyle,nox,最后10页,191-200,500,316,114,70,0,14.0%
lifestyle,xtb,前10页,1-10,500,471,24,5,0,1.0%
lifestyle,xtb,中间10页,96-105,500,381,70,49,0,9.8%
lifestyle,xtb,最后10页,191-200,500,333,98,69,0,13.8%
power bank,nox,前10页,1-10,500,135,205,160,0,32.0%
power bank,nox,中间10页,96-105,500,19,113,368,0,73.6%
power bank,nox,最后10页,191-200,500,14,121,365,0,73.0%
power bank,xtb,前10页,1-10,500,227,158,115,0,23.0%
power bank,xtb,中间10页,96-105,500,75,99,326,0,65.2%
power bank,xtb,最后10页,191-200,500,17,53,430,0,86.0%
swim vest,nox,前50%页,1-1,50,1,7,42,0,84.0%
swim vest,nox,后50%页,2-2,20,0,3,17,0,85.0%
swim vest,xtb,前50%页,1-1,50,13,8,29,0,58.0%
swim vest,xtb,后50%页,2-2,50,4,19,27,0,54.0%
vacuum cleaner,nox,前10页,1-10,500,168,114,218,0,43.6%
vacuum cleaner,nox,中间10页,96-105,500,6,52,442,0,88.4%
vacuum cleaner,nox,最后10页,191-200,500,3,64,433,0,86.6%
vacuum cleaner,xtb,前10页,1-10,500,202,116,182,0,36.4%
vacuum cleaner,xtb,中间10页,96-105,500,30,59,411,0,82.2%
vacuum cleaner,xtb,最后10页,191-200,500,30,46,424,0,84.8%
baby supplement,nox,前50%页,1-2,100,3,19,78,0,78.0%
baby supplement,nox,后50%页,3-3,36,0,10,26,0,72.2%
baby supplement,xtb,前50%页,1-2,100,26,35,39,0,39.0%
baby supplement,xtb,后50%页,3-3,50,9,11,30,0,60.0%
pet food,nox,前10页,1-10,500,103,144,253,0,50.6%
pet food,nox,中间10页,46-55,500,19,106,375,0,75.0%
pet food,nox,最后10页,91-100,465,14,109,342,0,73.5%
pet food,xtb,前10页,1-10,500,115,115,270,0,54.0%
pet food,xtb,中间10页,46-55,500,31,90,379,0,75.8%
pet food,xtb,最后10页,91-100,500,28,87,385,0,77.0%
