keyword,provider,common_pages,sample_pages,common_depth_records,fit,adjacent,badcase,failed,badcase_rate,gpt5.5_reviewed,supplement_sources
coffee machine,nox,101,"1-10,46-55,92-101",1460,334,267,859,0,58.8%,224,0
coffee machine,xtb,101,"1-10,46-55,92-101",1500,171,165,1164,0,77.6%,268,1
lawn mower,nox,193,"1-10,92-101,184-193",1487,263,227,997,0,67.0%,329,0
lawn mower,xtb,193,"1-10,92-101,184-193",1500,332,208,960,0,64.0%,237,1
tech,nox,200,"1-10,96-105,191-200",1500,857,281,362,0,24.1%,161,0
tech,xtb,200,"1-10,96-105,191-200",1500,861,272,367,0,24.5%,149,0
fashion,nox,200,"1-10,96-105,191-200",1500,983,132,385,0,25.7%,135,0
fashion,xtb,200,"1-10,96-105,191-200",1500,1079,258,163,0,10.9%,101,0
lifestyle,nox,200,"1-10,96-105,191-200",1500,1114,248,138,0,9.2%,190,0
lifestyle,xtb,200,"1-10,96-105,191-200",1500,1185,192,123,0,8.2%,107,0
power bank,nox,200,"1-10,96-105,191-200",1500,168,439,893,0,59.5%,466,0
power bank,xtb,200,"1-10,96-105,191-200",1500,319,310,871,0,58.1%,317,0
swim vest,nox,2,1-2,70,1,10,59,0,84.3%,27,0
swim vest,xtb,2,1-2,100,17,27,56,0,56.0%,218,0
vacuum cleaner,nox,200,"1-10,96-105,191-200",1500,177,230,1093,0,72.9%,422,0
vacuum cleaner,xtb,200,"1-10,96-105,191-200",1500,262,221,1017,0,67.8%,199,0
baby supplement,nox,3,1-3,136,3,29,104,0,76.5%,30,0
baby supplement,xtb,3,1-3,150,35,46,69,0,46.0%,190,0
pet food,nox,100,"1-10,46-55,91-100",1465,136,359,970,0,66.2%,307,0
pet food,xtb,100,"1-10,46-55,91-100",1500,174,292,1034,0,68.9%,272,1
