rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2251,UCOlg2zdSutM06eExWQLeGOQ,Sage Real Estate,https://cn--xtb.noxinfluencer.com/youtube/channel/UCOlg2zdSutM06eExWQLeGOQ,-10,badcase,房产投资频道，近期内容与咖啡机推广场景完全不相关
2253,UCuRavolXny-qc3Me7lJcUrA,PhonkFlixs,https://cn--xtb.noxinfluencer.com/youtube/channel/UCuRavolXny-qc3Me7lJcUrA,-30,badcase,娱乐音乐短视频号，和咖啡机推广属于强格式错配
2254,UCqwS09S9j0pJRqS1EtACpnw,No BraKes,https://cn--xtb.noxinfluencer.com/youtube/channel/UCqwS09S9j0pJRqS1EtACpnw,-25,badcase,工业数控频道，受众与家用咖啡机推广几乎不重合
2255,UCbg-2jVIvmljXvKRmuc1qjg,Design Vision,https://cn--xtb.noxinfluencer.com/youtube/channel/UCbg-2jVIvmljXvKRmuc1qjg,-10,badcase,偏平面与包装设计，和咖啡机购买推广场景不匹配
2256,UC9C2SNNN5bs1wGVmDoOAxHw,The Boss Blitz,https://cn--xtb.noxinfluencer.com/youtube/channel/UC9C2SNNN5bs1wGVmDoOAxHw,-20,badcase,ASMR手作频道，近期无咖啡机购买/评测信号
2257,UCq5j3ecL5WohYKF7RV_qUGg,Mechanical Art,https://cn--xtb.noxinfluencer.com/youtube/channel/UCq5j3ecL5WohYKF7RV_qUGg,-5,badcase,机械工程/工业维修向，和咖啡机消费投放场景不强相关
2258,UC1Ji2x4Mzq6yk_h4saReRww,Enginediyshop,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1Ji2x4Mzq6yk_h4saReRww,-8,badcase,发动机模型频道，只有泛机修词，缺少咖啡机意图
2259,UCsU6FMYptcI5C8p6w_FQIrg,TAVCO Large-Format & Raster-to-Vector Technologies,https://cn--xtb.noxinfluencer.com/youtube/channel/UCsU6FMYptcI5C8p6w_FQIrg,-10,badcase,扫描打印设备频道，和咖啡机品类关联很弱
2261,UCOnL6z48yP1VcyqsRNwC1Iw,Logan Graphic,https://cn--xtb.noxinfluencer.com/youtube/channel/UCOnL6z48yP1VcyqsRNwC1Iw,-10,badcase,手工 cosplay 频道，近期内容与咖啡机推广无关
2264,UCUVNmNDvV_C-MwbD8CmtOcA,Where Nerdy is Cool!,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUVNmNDvV_C-MwbD8CmtOcA,-5,badcase,3D 打印评测为主，和咖啡机人群偏远
2265,UCwzUfVNRiDjoYVhs50QpRpQ,Fenstek Window & Facade Machinery,https://cn--xtb.noxinfluencer.com/youtube/channel/UCwzUfVNRiDjoYVhs50QpRpQ,-25,badcase,窗门工业设备频道，和咖啡机消费场景完全不相干
2267,UCifsXMmTSFTZYbwgaebGDIQ,Trần  Hùng Bối Cảnh Phim,https://cn--xtb.noxinfluencer.com/youtube/channel/UCifsXMmTSFTZYbwgaebGDIQ,-10,badcase,频道偏影视幕后与咖啡馆内容，缺少咖啡机推广的购买/测评意图
2268,UCoNEC0pJlIOshmPt_LsA56g,Mr. Techbot,https://cn--xtb.noxinfluencer.com/youtube/channel/UCoNEC0pJlIOshmPt_LsA56g,-10,badcase,以迪士尼和3D打印为主，近期内容偏手作展示，不是咖啡机推广场景
2269,UClsFfja3DWu3uPXL_nZbaUw,FEARLESS FEMME LONGNAIL BADDIE,https://cn--xtb.noxinfluencer.com/youtube/channel/UClsFfja3DWu3uPXL_nZbaUw,-25,badcase,美甲/ASMR频道，格式与咖啡机硬广明显不匹配
2270,UCX_-pp9iB-KOoERUP2whkjw,SweetMapleRidge,https://cn--xtb.noxinfluencer.com/youtube/channel/UCX_-pp9iB-KOoERUP2whkjw,-4,badcase,家庭自给自足内容可承接家居人群，但咖啡机推广意图仍偏弱
2271,UCZPR2no7zsOlsgFWBYvPWVg,MythicalPingu,https://cn--xtb.noxinfluencer.com/youtube/channel/UCZPR2no7zsOlsgFWBYvPWVg,-10,badcase,游戏/麦块内容与咖啡机消费场景无关，近10条无相关产品意图
2272,UCfOuD_6gWvG7vrChQxuXeOQ,KYA,https://cn--xtb.noxinfluencer.com/youtube/channel/UCfOuD_6gWvG7vrChQxuXeOQ,-10,badcase,美妆假发内容为主，偶有咖啡提及但非咖啡机/购买场景
2273,UCMY5UmMmwU7gZl_oPnzFaeg,BEIPCO – Syntraxx™ Official,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMY5UmMmwU7gZl_oPnzFaeg,-10,badcase,工业封盖设备频道，和家用咖啡机推广场景不匹配
2274,UC53OJsaJAMmTb1TfiM226WQ,Resell CNC,https://cn--xtb.noxinfluencer.com/youtube/channel/UC53OJsaJAMmTb1TfiM226WQ,-10,badcase,工业CNC设备拍卖频道，非咖啡机目标受众
2275,UCMK35dc3gTdhNTic_NA_5lQ,HandyDadTV,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMK35dc3gTdhNTic_NA_5lQ,-8,badcase,仅有家居DIY弱相关，近期内容集中草坪/机器人 mower，非咖啡机推广场景
2276,UCzgoaFsJS66Ef9a6B0K0WDw,URUTONDE TV,https://cn--xtb.noxinfluencer.com/youtube/channel/UCzgoaFsJS66Ef9a6B0K0WDw,-10,badcase,体育/喜剧为主，近期内容与咖啡机无关，缺乏促销场景。
2277,UCQPrlX70yCE9wuz-dtqoPMQ,Married with Wanderlust,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQPrlX70yCE9wuz-dtqoPMQ,-22,badcase,旅行/ASMR频道，近期是咖啡饮品和氛围内容，不适合咖啡机推广。
2278,UCinz5D5ncktFgQAraeUYo9A,Lyrically Untouched,https://cn--xtb.noxinfluencer.com/youtube/channel/UCinz5D5ncktFgQAraeUYo9A,-10,badcase,音乐制作/娱乐频道，近期内容与咖啡机无关，购买意图弱。
2279,UC2pNA5cKXfUoRuLsJgN56Mw,Shuliy Charcoal Machine,https://cn--xtb.noxinfluencer.com/youtube/channel/UC2pNA5cKXfUoRuLsJgN56Mw,-25,badcase,工业木炭机器频道，和咖啡机品类完全不一致，受众不匹配。
2280,UCgeStlUnitobx8QcSxTw2aQ,Ben Heck Hacks,https://cn--xtb.noxinfluencer.com/youtube/channel/UCgeStlUnitobx8QcSxTw2aQ,-9,badcase,偏电子硬件改装频道，近10条内容全不相关，适合度低
2281,UCMYttpZ1IIzRIzt73TM8g0A,Ba Tiger,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMYttpZ1IIzRIzt73TM8g0A,-10,badcase,工业制造流程频道，近期全是工艺/机械内容，与咖啡机投放不相关
2282,UCMGIuUVFsKKtHnNYfSDyWxw,Stoic Version,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMGIuUVFsKKtHnNYfSDyWxw,-10,badcase,科普快短频道，近期多为泛科技杂谈，缺少咖啡机评测或购买信号
2283,UChsb5ijI7XiZs5jo7SUXqWQ,Bryarly,https://cn--xtb.noxinfluencer.com/youtube/channel/UChsb5ijI7XiZs5jo7SUXqWQ,-9,badcase,有咖啡聊天标签，但频道主体是vlog/翻唱，缺少咖啡机使用或购买意图
2284,UCXMa-L-k5AgA5XG3ab2__ig,Larosa Ziebol,https://cn--xtb.noxinfluencer.com/youtube/channel/UCXMa-L-k5AgA5XG3ab2__ig,-10,badcase,杂项测评与生活技巧频道，近期主题分散，几乎没有咖啡机相关内容
2285,UCselRi2AhAMr-uCJ13_61-A,Kiersten Simone,https://cn--xtb.noxinfluencer.com/youtube/channel/UCselRi2AhAMr-uCJ13_61-A,-3,badcase,主线为时尚生活方式，咖啡内容是蘑菇咖啡测评，非咖啡机推广场景
2286,UCzBrb3beHXNNFfnJizJVV6g,Process 6.0,https://cn--xtb.noxinfluencer.com/youtube/channel/UCzBrb3beHXNNFfnJizJVV6g,-20,badcase,娱乐/电视节目型频道，近期内容偏工厂过程，缺少咖啡机推广场景
2287,UClt7UbXXjjqQWv1iWVP0fig,PyarAlys DRS,https://cn--xtb.noxinfluencer.com/youtube/channel/UClt7UbXXjjqQWv1iWVP0fig,-7,badcase,计数机频道，仅有通用机器/科技弱相关，与咖啡机购买推广不匹配
2288,UCdabayvkv140rCyKSptqcCQ,Happy Coffee House,https://cn--xtb.noxinfluencer.com/youtube/channel/UCdabayvkv140rCyKSptqcCQ,-24,badcase,咖啡氛围音乐频道，偏听觉放松而非咖啡机评测/购买
2289,UCUDpN0SAQXOkyxAnZ7NJLcw,MING JILEE Machinery,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUDpN0SAQXOkyxAnZ7NJLcw,-7,badcase,工业机械制造频道，偏B2B设备生产，与家用咖啡机推广不符
2292,UChUA_nngPo5CSQtcvgRrf0A,Fulton Machinery,https://cn--xtb.noxinfluencer.com/youtube/channel/UChUA_nngPo5CSQtcvgRrf0A,-18,badcase,工程机械频道，和咖啡机推广主题明显不符
2293,UCLLq-IsstztDUcuKfSI9jrw,SPRUNKI LAB,https://cn--xtb.noxinfluencer.com/youtube/channel/UCLLq-IsstztDUcuKfSI9jrw,-18,badcase,娱乐游戏频道，和咖啡机推广完全不匹配
2294,UCvUDDFIvW-kqMM6Ox7f8RuQ,Scale Addiction,https://cn--xtb.noxinfluencer.com/youtube/channel/UCvUDDFIvW-kqMM6Ox7f8RuQ,-25,badcase,RC/车辆手工频道，受众与咖啡机购买场景不相关
2295,UCUOFM5_7YRO_8K7B9-eQjEg,Future Process,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUOFM5_7YRO_8K7B9-eQjEg,-25,badcase,工厂流程/ASMR为主，属于明显的推广形式不匹配
2296,UCaHVTWyYLJjA0B_Eg2ZKQ-g,Catny Coffee Cup,https://cn--xtb.noxinfluencer.com/youtube/channel/UCaHVTWyYLJjA0B_Eg2ZKQ-g,-25,badcase,咖啡馆音乐氛围号，偏音频内容，不适合咖啡机投放
2298,UCCeOw5RQeJOirGxTnqoePCA,Echo Fu Fly Laser,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCeOw5RQeJOirGxTnqoePCA,-25,badcase,工业激光设备频道，和咖啡机推广完全不是同一品类
2299,UCGWaEzRKK76ThB4PAf0mfJg,NIDE Group,https://cn--xtb.noxinfluencer.com/youtube/channel/UCGWaEzRKK76ThB4PAf0mfJg,-25,badcase,工业电机制造频道，和咖啡机消费品投放场景明显不符
2300,UCpt_2-MipoMd0J8_qO-2yiw,Hali Charles5,https://cn--xtb.noxinfluencer.com/youtube/channel/UCpt_2-MipoMd0J8_qO-2yiw,-9,badcase,仅有泛开箱标签，近期内容杂且无咖啡机/家电投放语境
2301,UCSYIuhKub8qO9x1V_K5lVVw,Business Pro,https://cn--xtb.noxinfluencer.com/youtube/channel/UCSYIuhKub8qO9x1V_K5lVVw,-10,badcase,商业机器创业内容，和咖啡机消费推广不匹配
2302,UC_jeraufvokhQ5Q-7a54QlA,INDUSTRY INSIDER,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_jeraufvokhQ5Q-7a54QlA,-10,badcase,工厂制造科普为主，不是咖啡机种草场景
2304,UCO1MDwEuOgUIUNIkv0cVr8w,Syntegon Packaging USA,https://cn--xtb.noxinfluencer.com/youtube/channel/UCO1MDwEuOgUIUNIkv0cVr8w,-10,badcase,包装产线内容，和咖啡机消费推广场景不符
2305,UCY_wdexpLFWaEOd5vgbuQRg,Eda Castle,https://cn--xtb.noxinfluencer.com/youtube/channel/UCY_wdexpLFWaEOd5vgbuQRg,0,badcase,频道以HiKOKI电动工具为主，近期内容与咖啡机推广不匹配
2306,UCzFjNsPtHMbCmLwdYufDU-Q,Refresh with Sarah Tess,https://cn--xtb.noxinfluencer.com/youtube/channel/UCzFjNsPtHMbCmLwdYufDU-Q,-7,badcase,生活方式频道，咖啡相关很少，近10条大多与咖啡机无关
2307,UCHHvbhAIL3mszhB8S0ZGj9w,毒角SHOW,https://cn--xtb.noxinfluencer.com/youtube/channel/UCHHvbhAIL3mszhB8S0ZGj9w,-16,badcase,喜剧娱乐为主，频道格式不适合咖啡机推广
2308,UCG_EcEMERh9mBVlqdV4Xkvw,Diligence in Frames,https://cn--xtb.noxinfluencer.com/youtube/channel/UCG_EcEMERh9mBVlqdV4Xkvw,-10,badcase,农业维修/园艺内容与咖啡机受众关联很弱，最近也全不相关
2310,UCEzNimKThcRdGjViEGCjuiw,Restoration Projects,https://cn--xtb.noxinfluencer.com/youtube/channel/UCEzNimKThcRdGjViEGCjuiw,-10,badcase,内容偏工程设备修复，近10条与咖啡机推广无关
2311,UCeVsslZwZDxBRGYncMruO1w,HHX PARTS,https://cn--xtb.noxinfluencer.com/youtube/channel/UCeVsslZwZDxBRGYncMruO1w,-25,badcase,发动机涡轮内容与咖啡机推广完全不相关
2313,UCuLz8VoTtULm12GYbKn17uA,Wonder Maker,https://cn--xtb.noxinfluencer.com/youtube/channel/UCuLz8VoTtULm12GYbKn17uA,-10,badcase,DIY电磁装置与咖啡机投放场景不匹配
2315,UCWWs7iL24Mq0tFP33kXAR0Q,DWAI,https://cn--xtb.noxinfluencer.com/youtube/channel/UCWWs7iL24Mq0tFP33kXAR0Q,-25,badcase,游戏和枪械内容与咖啡机推广不相干
2316,UCQonPXT_Va4SVErmuRvZvBA,5masfood,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQonPXT_Va4SVErmuRvZvBA,-22,badcase,纯ASMR收纳/清洁频道，和咖啡机推广格式与受众都不匹配
2317,UCkVCTkykRgEUW41oGSWJf-g,Making with Marilyn,https://cn--xtb.noxinfluencer.com/youtube/channel/UCkVCTkykRgEUW41oGSWJf-g,-10,badcase,手工工艺频道，缺少咖啡机购买或评测语境，相关性弱
2318,UCjODmoOPYf3k8YQeD8iQIQQ,TekShinji,https://cn--xtb.noxinfluencer.com/youtube/channel/UCjODmoOPYf3k8YQeD8iQIQQ,-10,badcase,GPU/机械维修向频道，与咖啡机推广主题无明显交集
