rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
4552,UCRcPcb0yFS114x5-s1pSlyA,Dylan Saborio,https://cn--xtb.noxinfluencer.com/youtube/channel/UCRcPcb0yFS114x5-s1pSlyA,-1,badcase,无标签，近期内容也与割草机推广无关
4553,UCIVdp6uRxtDDu0RcsmUvl4A,iPull-uPull Auto Parts,https://cn--xtb.noxinfluencer.com/youtube/channel/UCIVdp6uRxtDDu0RcsmUvl4A,-25,badcase,汽车拆件频道，割草机推广受众和品类都不匹配
4554,UCq9UkUhaL2b3CJ0tgEud4IQ,MrWolf,https://cn--xtb.noxinfluencer.com/youtube/channel/UCq9UkUhaL2b3CJ0tgEud4IQ,-10,badcase,DIY机车电子内容，和割草机场景关联弱且近期不相关
4556,UCsgWqelZofl-dVmJYUsWxgQ,Facts Releases,https://cn--xtb.noxinfluencer.com/youtube/channel/UCsgWqelZofl-dVmJYUsWxgQ,-25,badcase,叙事短剧/娱乐号，和割草机推广场景明显不符，近期内容几乎全不匹配
4557,UC2kfYpELzwa4M6__R5kl-bQ,TTT - Construction,https://cn--xtb.noxinfluencer.com/youtube/channel/UC2kfYpELzwa4M6__R5kl-bQ,-8,badcase,水泥园艺/宠物屋DIY为主，缺少割草机或草坪养护推广意图
4559,UCfBvw7lpkctutZBeqz5SMWg,MollyTheLag,https://cn--xtb.noxinfluencer.com/youtube/channel/UCfBvw7lpkctutZBeqz5SMWg,-24,badcase,频道以相机/Gopro、旅行和气枪娱乐为主，缺少草坪工具相关内容
4560,UC3oFSnZlAxNXsEzQmy1igAw,Tula BNG Games,https://cn--xtb.noxinfluencer.com/youtube/channel/UC3oFSnZlAxNXsEzQmy1igAw,-25,badcase,游戏模拟频道，主体是娱乐内容，不适合做割草机产品推广
4561,UCdP3VSqi0w1dAHaRlRR1ZZA,Buck Creek TV,https://cn--xtb.noxinfluencer.com/youtube/channel/UCdP3VSqi0w1dAHaRlRR1ZZA,-11,badcase,频道以钓鱼户外为主，缺少草坪设备或园艺购买场景
4563,UCk3M1d6D1HaQypmccXGx4ew,Sim Song,https://cn--xtb.noxinfluencer.com/youtube/channel/UCk3M1d6D1HaQypmccXGx4ew,-20,badcase,儿童儿歌频道与割草机推广场景不符，受众完全不匹配
4564,UCnFHXvPvKR0eezgZLYhzlhg,New Stuff TV,https://cn--xtb.noxinfluencer.com/youtube/channel/UCnFHXvPvKR0eezgZLYhzlhg,-10,badcase,电视评测频道，受众偏家电影音，与割草机推广关联很弱
