rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2251,UC6U03NLs3XPPbhH2jcis1dQ,Julie's Book,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6U03NLs3XPPbhH2jcis1dQ,-8,badcase,宠物娱乐向，缺少喂养/采购意图，近期全是情绪短内容
2252,UCjGPp851P8fdcz3x0DofTlA,A & J Outside,https://cn--xtb.noxinfluencer.com/youtube/channel/UCjGPp851P8fdcz3x0DofTlA,-7,badcase,猫狗娱乐号，只有宠物受众，没有宠粮相关购买或喂养场景
2253,UCvJngQHCz-tY36Th_CzFwCw,Upload Again YouTube,https://cn--xtb.noxinfluencer.com/youtube/channel/UCvJngQHCz-tY36Th_CzFwCw,-8,badcase,猫类娱乐+音乐号，偏内容消费，不利于宠粮推广
2254,UC3305KBFh0DVa37ySepx2fg,PauleenMM Vlog 🇺🇸,https://cn--xtb.noxinfluencer.com/youtube/channel/UC3305KBFh0DVa37ySepx2fg,-21,badcase,ASMR/直播料理向，强格式不匹配宠物食品投放
2256,UCj0EHIZq21EQ3q1Kp3JmvRQ,Zonzon,https://cn--xtb.noxinfluencer.com/youtube/channel/UCj0EHIZq21EQ3q1Kp3JmvRQ,-8,badcase,宠物娱乐为主，缺少宠粮/喂养/购买意图，近10条均不匹配
2259,UCBjyRaVLGh1pVNbnBe89F7Q,LENA BELLEZA,https://cn--xtb.noxinfluencer.com/youtube/channel/UCBjyRaVLGh1pVNbnBe89F7Q,-10,badcase,以动物故事/轻娱乐为主，和宠粮推广的购买场景不匹配
2260,UC09IvZwjpunzrdHH1EHok-w,Funny Animals' Life,https://cn--xtb.noxinfluencer.com/youtube/channel/UC09IvZwjpunzrdHH1EHok-w,-9,badcase,动物搞笑内容为主，只有泛宠物受众，缺少宠粮意图
2261,UChj16SbtoV-i1_ugl-_-KDA,EllaLull23,https://cn--xtb.noxinfluencer.com/youtube/channel/UChj16SbtoV-i1_ugl-_-KDA,-7,badcase,以娱乐短视频为主，仅少量宠物内容，最近10条多数不匹配宠物食品推广
2262,UCtrnZByj-IZgEz8BWwm8fnQ,Pet Stories AI,https://cn--xtb.noxinfluencer.com/youtube/channel/UCtrnZByj-IZgEz8BWwm8fnQ,-22,badcase,AI宠物故事短视频，缺少宠粮购买/测评/喂养场景，近期内容全不匹配
2263,UCugVQwwiy69VC2uJ6iCfveg,Baby Funny​ 2025,https://cn--xtb.noxinfluencer.com/youtube/channel/UCugVQwwiy69VC2uJ6iCfveg,-20,badcase,婴儿娱乐频道，受众与宠物食品不符，近10条也无相关内容
2264,UCnYayFvqnfu5EP7tFWpUuQg,Mega Mom,https://cn--xtb.noxinfluencer.com/youtube/channel/UCnYayFvqnfu5EP7tFWpUuQg,-10,badcase,内容为家庭母婴日常，近10条无宠物/喂养相关，和宠物食品推广弱相关
2265,UC9dHwUM8zB9-GBIbnzye9kg,Gjj Yuu,https://cn--xtb.noxinfluencer.com/youtube/channel/UC9dHwUM8zB9-GBIbnzye9kg,-20,badcase,娱乐短视频号，非宠物食品内容，近10条全不匹配
2266,UCXZk5dnpQtmpJdRmnOzjJJw,Papi Picanha TV,https://cn--xtb.noxinfluencer.com/youtube/channel/UCXZk5dnpQtmpJdRmnOzjJJw,-10,badcase,人类烹饪频道，缺少宠物喂养/购买信号
2267,UCg9SxSah2uSCa7_yxU6w4vg,Mocki,https://cn--xtb.noxinfluencer.com/youtube/channel/UCg9SxSah2uSCa7_yxU6w4vg,-33,badcase,宠物娱乐搞笑频道，无食品营养或购买场景，近期内容不匹配
2268,UCpa6ccQloWjT306GHsek8Vg,May Chan TV,https://cn--xtb.noxinfluencer.com/youtube/channel/UCpa6ccQloWjT306GHsek8Vg,-18,badcase,猫故事娱乐为主，和宠物食品推广转化场景不符
2270,UCldrSaTYnKUT1log9DaxvMg,AI Palette-Cute Creatures,https://cn--xtb.noxinfluencer.com/youtube/channel/UCldrSaTYnKUT1log9DaxvMg,-22,badcase,AI/ASMR叙事猫内容，不适合宠物食品投放
2271,UCVQBIye022ZizuSz6XhRl7A,Peaceful Dog Sleep,https://cn--xtb.noxinfluencer.com/youtube/channel/UCVQBIye022ZizuSz6XhRl7A,-20,badcase,犬只安抚音乐频道，非宠物食品投放场景
2272,UC5vrFyKqznOBYKQpsyLO8ew,Delia,https://cn--xtb.noxinfluencer.com/youtube/channel/UC5vrFyKqznOBYKQpsyLO8ew,-20,badcase,短视频娱乐号，缺少宠物食品购买与喂养意图
2273,UCoecncfHAJqcqKjYtw_oQIQ,Backyard Nature,https://cn--xtb.noxinfluencer.com/youtube/channel/UCoecncfHAJqcqKjYtw_oQIQ,-22,badcase,野生动物与自然直播频道，和宠物食品受众不匹配
2274,UCbPiAt4g3HPaHjMdITEp-yQ,The Poki guy,https://cn--xtb.noxinfluencer.com/youtube/channel/UCbPiAt4g3HPaHjMdITEp-yQ,-25,badcase,人类餐食频道，宠物食品推广场景明显错位
2275,UCnJpHvsgvPR65-cZ7rG2lXw,Animal Ai,https://cn--xtb.noxinfluencer.com/youtube/channel/UCnJpHvsgvPR65-cZ7rG2lXw,-20,badcase,动物故事/AI娱乐号，情绪内容多，缺少宠物食品意图
2277,UCGH84yrSm5kbMWUTw4NTkLg,Yenna-,https://cn--xtb.noxinfluencer.com/youtube/channel/UCGH84yrSm5kbMWUTw4NTkLg,-15,badcase,纯娱乐搞笑频道，和宠物食品推广主题几乎无关。
2278,UCn43POdJsGxv097uhTs0Qyw,blacklight_ai_shorts,https://cn--xtb.noxinfluencer.com/youtube/channel/UCn43POdJsGxv097uhTs0Qyw,-24,badcase,以猫宠娱乐短片为主，内容是AI喜剧而非宠物食品场景。
2280,UCyvBj89jQydWI6zg1LlxP6A,MsDiversity3,https://cn--xtb.noxinfluencer.com/youtube/channel/UCyvBj89jQydWI6zg1LlxP6A,-10,badcase,美食吃播频道，面向人类食品场景，与宠物食品不匹配。
2281,UCWGxgYSfZPxDQJUcUK-PsOQ,Amazing pets,https://cn--xtb.noxinfluencer.com/youtube/channel/UCWGxgYSfZPxDQJUcUK-PsOQ,-7,badcase,仅有宠物泛标签，缺少宠物食品/营养/购买意图，近期内容也偏娱乐
2282,UCZE-lLb8DHU_Wooc2HcatUA,No's Candy,https://cn--xtb.noxinfluencer.com/youtube/channel/UCZE-lLb8DHU_Wooc2HcatUA,-35,badcase,娱乐短视频和音乐反应号，缺少宠物喂养/选购语境
2283,UCzTVnnX-lIMCbCB2Bno2N3g,Lynn’s  Art  Designs,https://cn--xtb.noxinfluencer.com/youtube/channel/UCzTVnnX-lIMCbCB2Bno2N3g,-3,badcase,仅有宠物弱信号，频道以艺术生活直播和杂项内容为主
2284,UCzgFiZPdY1BOZl7iwI3bpTQ,Meow-curious,https://cn--xtb.noxinfluencer.com/youtube/channel/UCzgFiZPdY1BOZl7iwI3bpTQ,-7,badcase,仅有猫类弱相关标签，近期内容全是娱乐短视频，缺少宠物食品推广场景
2285,UCZHtFzIldHQ0iWEVY42YnNg,Sunoofy,https://cn--xtb.noxinfluencer.com/youtube/channel/UCZHtFzIldHQ0iWEVY42YnNg,-8,badcase,宠物/动物泛内容，缺少宠物食品测评或购买意图，近10条均偏娱乐化
2286,UCcmqR35q9eEEKjebc1mr3lg,Cocinando Con Efrain fuentes,https://cn--xtb.noxinfluencer.com/youtube/channel/UCcmqR35q9eEEKjebc1mr3lg,-25,badcase,人类烹饪频道，受众与宠物食品完全错位
2287,UCRpNVpZoW56rOsV-6wFK3lg,4 Ever Green,https://cn--xtb.noxinfluencer.com/youtube/channel/UCRpNVpZoW56rOsV-6wFK3lg,-23,badcase,动物娱乐/奇闻频道，缺少宠物食品营养或购买语境
2288,UC1xHNhC9zA84K6Hp3MOfxmQ,ANIMALES TOPS,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1xHNhC9zA84K6Hp3MOfxmQ,-8,badcase,动物题材有弱相关，但主体是野生动物娱乐，和宠物食品促销不匹配
2289,UCLycGANpADjvZVeWfAOELUw,Mommy Igorota  in 🇺🇸,https://cn--xtb.noxinfluencer.com/youtube/channel/UCLycGANpADjvZVeWfAOELUw,-6,badcase,仅有宠物/食物弱标签，近期多为生活旅行短视频，缺少宠物食品推广语境
2290,UCVaGOCpZ-9Mnud6fphXWHfg,Monkey Galaxxy,https://cn--xtb.noxinfluencer.com/youtube/channel/UCVaGOCpZ-9Mnud6fphXWHfg,-20,badcase,烹饪+猴子娱乐为主，属于人类食品/娱乐格式，不适合宠物食品推广
2291,UCIhljTEjHMEndjczZ1Bxj0Q,ajantha,https://cn--xtb.noxinfluencer.com/youtube/channel/UCIhljTEjHMEndjczZ1Bxj0Q,-10,badcase,美食频道，缺少宠物受众与宠物食品购买/测评信号
2293,UCBCPXzSQUk7ytFSkuiuKz4Q,DogoMeow,https://cn--xtb.noxinfluencer.com/youtube/channel/UCBCPXzSQUk7ytFSkuiuKz4Q,-20,badcase,宠物娱乐短视频为主，无宠物食品/营养/购买意图
2294,UCi4BFonz1QuI9sLCbIOLymA,Beauty Files 🎬,https://cn--xtb.noxinfluencer.com/youtube/channel/UCi4BFonz1QuI9sLCbIOLymA,-10,badcase,时尚美妆内容与宠物食品无关，近期内容也明显不匹配
2295,UC0sNJCSCo_bEnylPWd4E2bA,happy hour,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0sNJCSCo_bEnylPWd4E2bA,-10,badcase,野生动物搞笑内容非宠物场景，对宠物食品推广帮助有限
2297,UCfqicLOZYZfeIgk7ABJMvsg,Snack Attack 3D,https://cn--xtb.noxinfluencer.com/youtube/channel/UCfqicLOZYZfeIgk7ABJMvsg,-25,badcase,3D食物恐怖短视频，和宠粮推广完全不符
2298,UC7ks3jxxLgsjLJWqD9WAuaA,Deppy Jackman,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7ks3jxxLgsjLJWqD9WAuaA,-25,badcase,剧情娱乐短剧导向，基本没有宠物粮推广价值
2300,UCv45JPTsl02Wm7pg7jtCOAQ,Cemoyy Fahluuvy Risma official,https://cn--xtb.noxinfluencer.com/youtube/channel/UCv45JPTsl02Wm7pg7jtCOAQ,-25,badcase,频道为搞笑短视频，近10条无宠物食品相关，主题与推广目的高度不符
2301,UCR16DizysZ6vDk2kbigWW1w,Ramsey Chef Rambo Jordan,https://cn--xtb.noxinfluencer.com/youtube/channel/UCR16DizysZ6vDk2kbigWW1w,-9,badcase,人类美食频道，虽有food标签但与宠物食品投放对象不符
2302,UCee4rnIXP8iGDvlu5rOYzqg,With the story,https://cn--xtb.noxinfluencer.com/youtube/channel/UCee4rnIXP8iGDvlu5rOYzqg,-25,badcase,动画故事娱乐为主，和宠物食品投放场景明显不匹配
2306,UCm1gE0VyBYGYseLIgq9hY0A,linda eats,https://cn--xtb.noxinfluencer.com/youtube/channel/UCm1gE0VyBYGYseLIgq9hY0A,-22,badcase,美食ASMR/mukbang人类吃播，和宠物食品推广完全不匹配
