rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
174,UCBXNpF6k2n8dsI6nBH8q4sQ,123 GO!,https://cn.noxinfluencer.com/youtube/channel/UCBXNpF6k2n8dsI6nBH8q4sQ,5,badcase,娱乐向频道为主，时尚仅是泛标签，促销匹配弱
204,UCnwmETac0hF66cL5YAhqHuw,Sprunki Cubes DIY,https://cn.noxinfluencer.com/youtube/channel/UCnwmETac0hF66cL5YAhqHuw,5,badcase,ASMR/DIY为主，时尚仅弱露出，推广格式不匹配
275,UCNr4i-nrmg7c1Zv55wSuing,Hines Management Group,https://cn.noxinfluencer.com/youtube/channel/UCNr4i-nrmg7c1Zv55wSuing,5,badcase,虽有fashion标签，但主体是玩具/娃娃/AI艺术，受众不匹配
304,UCIHgO1mmXdEZJooloF3pF2g,Lyra Dolls,https://cn.noxinfluencer.com/youtube/channel/UCIHgO1mmXdEZJooloF3pF2g,5,badcase,纸娃娃/玩具为主，真实时尚产品推广不匹配
4757,UC6n8sO-i3di29Xk8gpHAYqA,My Kawaii Dolls by KA!,https://cn.noxinfluencer.com/youtube/channel/UC6n8sO-i3di29Xk8gpHAYqA,0,badcase,玩具娱乐频道，缺少时尚与穿搭受众，不适合推广
4759,UC3CXq9jKsfIuyhOiDETTwwQ,MIA's Fashion,https://cn.noxinfluencer.com/youtube/channel/UC3CXq9jKsfIuyhOiDETTwwQ,0,badcase,仅频道名含Fashion，缺少标签和内容证据，无法确认推广相关性
4762,UCbyLViRNxjuEKv_ED4RCxlA,Harli Kane,https://cn.noxinfluencer.com/youtube/channel/UCbyLViRNxjuEKv_ED4RCxlA,0,badcase,无标签无内容，缺少任何时尚相关证据
4765,UCZav_qPaf0ldYCycRf3NjfQ,Fashionsisi,https://cn.noxinfluencer.com/youtube/channel/UCZav_qPaf0ldYCycRf3NjfQ,0,badcase,无标签，仅名称含 fashion，证据不足
4767,UCKOZX1haJ-9E99qEs00UOxw,Speak English Mindset,https://cn.noxinfluencer.com/youtube/channel/UCKOZX1haJ-9E99qEs00UOxw,-15,badcase,有声书/小说频道，内容域与时尚推广明显不符
4771,UCgKh6yu4zc74QGzLwduBGxg,OldPCGamesGalore,https://cn.noxinfluencer.com/youtube/channel/UCgKh6yu4zc74QGzLwduBGxg,0,badcase,标签偏娱乐/游戏，缺少服饰或时尚受众，推广相关性很弱
4773,UCXHJGnLd27zwiICI7VyS8XQ,GRAMZUNKUT aka KELO,https://cn.noxinfluencer.com/youtube/channel/UCXHJGnLd27zwiICI7VyS8XQ,0,badcase,频道以音乐/嘻哈为主，缺少时尚推广相关信号
4780,UCNqqWXpu0WVo8pqOmexjZyQ,Koko bayuk,https://cn.noxinfluencer.com/youtube/channel/UCNqqWXpu0WVo8pqOmexjZyQ,0,badcase,无可用标签与内容信号，不适合时尚推广
4781,UCIY8omQOqzPXFQubJyrNHFQ,Honeyrose USA,https://cn.noxinfluencer.com/youtube/channel/UCIY8omQOqzPXFQubJyrNHFQ,-15,badcase,频道聚焦戒烟/假烟，与时尚推广人群明显不符
4788,UChUBW2AZRihZTGWaKDuRLsw,Tamela Clarke,https://cn.noxinfluencer.com/youtube/channel/UChUBW2AZRihZTGWaKDuRLsw,0,badcase,无标签无内容证据，无法判断与 fashion 推广相关
4789,UCOQW7lbFh7D2xxrUTJSjyww,Gabriella Triple Charm,https://cn.noxinfluencer.com/youtube/channel/UCOQW7lbFh7D2xxrUTJSjyww,10,badcase,主内容是音乐舞蹈娱乐，fashion 仅是挂标，不适合服饰推广
4794,UC6KKI3DEOqSuRBqFbFghogA,alicia zamora,https://cn.noxinfluencer.com/youtube/channel/UC6KKI3DEOqSuRBqFbFghogA,0,badcase,无标签、无相关视频或近期内容，缺少时尚推广相关证据
4802,UCnPuqN6JA1rAfR6H3pwOXIQ,Audree Kate Lopez,https://cn.noxinfluencer.com/youtube/channel/UCnPuqN6JA1rAfR6H3pwOXIQ,0,badcase,无标签无内容证据，与时尚推广相关性不足
