rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
65,UCvYQIojdxIyAe2GYASQ7OOQ,CartoonHome,https://cn--xtb.noxinfluencer.com/youtube/channel/UCvYQIojdxIyAe2GYASQ7OOQ,-5,badcase,有时尚标签，但近10条全是动画短剧，推广格式严重不匹配
77,UCp3jDijpkJJrtGEU8eoEh6A,Alicia Romero,https://cn--xtb.noxinfluencer.com/youtube/channel/UCp3jDijpkJJrtGEU8eoEh6A,10,badcase,虽有时尚标签，但近期10条几乎都是娱乐八卦，推广不匹配
117,UC6H3GDiuN5Xbh0LC3wrFFMg,Eira Doll,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6H3GDiuN5Xbh0LC3wrFFMg,-5,badcase,虽有fashion标签，但核心是纸娃娃/玩具娱乐，非真实时尚种草
134,UCnwmETac0hF66cL5YAhqHuw,Sprunki Cubes DIY,https://cn--xtb.noxinfluencer.com/youtube/channel/UCnwmETac0hF66cL5YAhqHuw,-5,badcase,ASMR纸片人DIY为主，虽有时尚字样但受众与形式都不匹配
219,UC6GTOYdZ5tXXsIwhzQqebwA,Illumitati,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6GTOYdZ5tXXsIwhzQqebwA,13,badcase,虽有fashion标签，但近期多为娱乐/meme，时尚内容稀疏
224,UCguO8qNXVHwm18bnhzKax0Q,Chichoe TV,https://cn--xtb.noxinfluencer.com/youtube/channel/UCguO8qNXVHwm18bnhzKax0Q,8,badcase,主频道是搞笑娱乐，时尚词存在但不适合投放
249,UChZ-5Y7C3q5s3g5fpmSaSNw,Molly Paper,https://cn--xtb.noxinfluencer.com/youtube/channel/UChZ-5Y7C3q5s3g5fpmSaSNw,-5,badcase,虽有Fashion标签，但主内容是纸娃娃手工娱乐，不适合真人时尚推广
280,UC4qtZykyiblnEUkMKmQYNqA,eryten rggg034,https://cn--xtb.noxinfluencer.com/youtube/channel/UC4qtZykyiblnEUkMKmQYNqA,7,badcase,有Fashion标签，但内容偏动漫游戏病毒短视频，推广适配差
314,UCU94sQhECxKuyk1tjyrXX8w,Fashion Shorts,https://cn--xtb.noxinfluencer.com/youtube/channel/UCU94sQhECxKuyk1tjyrXX8w,12,badcase,标签命中但近10条多为名人短视频，时尚推广承接弱
332,UCsOR4Z77u07Q2ud_lovQhqw,Elijah Monroe,https://cn--xtb.noxinfluencer.com/youtube/channel/UCsOR4Z77u07Q2ud_lovQhqw,2,badcase,虽有fashion标签，但近期以歌词/音乐视频为主，时尚只是零散点缀
352,UCqBLOEb5PaoblRo09bEG4DA,Popped by Cherry,https://cn--xtb.noxinfluencer.com/youtube/channel/UCqBLOEb5PaoblRo09bEG4DA,3,badcase,有时尚标签，但近期以storytime和日常叙事为主，转化不稳
373,UCLkOU1H-E7Fo2ta8DzmAN6A,audaamar,https://cn--xtb.noxinfluencer.com/youtube/channel/UCLkOU1H-E7Fo2ta8DzmAN6A,10,badcase,标签虽有fashion，但近期几乎全是车/音乐/舞蹈，和时尚推广不匹配
382,UC0yGfNo20w7AASCgJin3qIg,Dolphin,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0yGfNo20w7AASCgJin3qIg,10,badcase,标签命中但近期全是音乐MV，时尚只是包装标签
411,UCsct3ObicR8yKvRoTcyqoRg,Life in 60s,https://cn--xtb.noxinfluencer.com/youtube/channel/UCsct3ObicR8yKvRoTcyqoRg,11,badcase,虽有Fashion标签，但内容以影视剧情为主，近10条多不符推广场景
418,UCZcZo41MoeSVRr8cNlMasLg,Myria Fashion,https://cn--xtb.noxinfluencer.com/youtube/channel/UCZcZo41MoeSVRr8cNlMasLg,4,badcase,虽有fashion标签，但内容偏数字绘画/角色换装，导购属性弱
442,UC4rsNWGl5FrNaBScR6iBBVA,DD Archive,https://cn--xtb.noxinfluencer.com/youtube/channel/UC4rsNWGl5FrNaBScR6iBBVA,10,badcase,虽有fashion标签，但近期十条几乎全是泛娱乐/日常短片，不利投放
447,UCtTMpe5wXHqUa4o9ol2PYfw,Chicklet & Maleni,https://cn--xtb.noxinfluencer.com/youtube/channel/UCtTMpe5wXHqUa4o9ol2PYfw,-5,badcase,虽有fashion标签，但主体是喜剧播客，近10期全娱乐，强不匹配
454,UCzVhioGjGb6dThheaz6t91g,Brent Atwater,https://cn--xtb.noxinfluencer.com/youtube/channel/UCzVhioGjGb6dThheaz6t91g,-2,badcase,主轴是宠物灵媒，时尚仅零散出现，近期大多不相关
461,UCtTMpe5wXHqUa4o9ol2PYfw,Chicklet & Maleni,https://cn--xtb.noxinfluencer.com/youtube/channel/UCtTMpe5wXHqUa4o9ol2PYfw,-5,badcase,虽有fashion标签，但核心是喜剧播客/娱乐八卦，推广格式不匹配
468,UC7KDWBR-gKWyYHnGCbZ79Kg,Salomé Muñoz,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7KDWBR-gKWyYHnGCbZ79Kg,10,badcase,二次元/搞笑短视频为主，时尚仅是边缘标签
476,UCvIepP8sdkAMUS9TPHHxiGw,Mik Morrone Fans,https://cn--xtb.noxinfluencer.com/youtube/channel/UCvIepP8sdkAMUS9TPHHxiGw,10,badcase,粉丝向娱乐频道，近期内容几乎全是明星生活，时尚不成主线
4754,UCMfZd428y_aCAWJ65nys4aQ,Choose One,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMfZd428y_aCAWJ65nys4aQ,10,badcase,虽然有fashion标签，但近期几乎全是生日/吃喝挑战，失配明显。
4785,UCHPwT7E_6kAufVbv62wqRHA,Zuvixo Quiz,https://cn--xtb.noxinfluencer.com/youtube/channel/UCHPwT7E_6kAufVbv62wqRHA,-5,badcase,有fashion标签，但近期全是问答/礼物挑战，非时尚推广场景
4799,UCIV3-3BYvRj6VSpkPb8l5-g,Meaghan Lindsey,https://cn--xtb.noxinfluencer.com/youtube/channel/UCIV3-3BYvRj6VSpkPb8l5-g,11,badcase,直中fashion标签，但近期多为生活、健身、发型，时尚内容很少。
4801,UCHPwT7E_6kAufVbv62wqRHA,Zuvixo Quiz,https://cn--xtb.noxinfluencer.com/youtube/channel/UCHPwT7E_6kAufVbv62wqRHA,-5,badcase,虽有fashion标签，但内容是问答挑战与礼物玩法，和服饰推广不匹配
4831,UClUlrM40W0H_veD79JveEww,Bright Spark Kids,https://cn--xtb.noxinfluencer.com/youtube/channel/UClUlrM40W0H_veD79JveEww,10,badcase,时尚标签在，但近期全是儿童绘画内容，推广相关性弱
4837,UCQf2DFS0hHN5gJ1D0ZWJogQ,Dr. Monique Rodgers,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQf2DFS0hHN5gJ1D0ZWJogQ,10,badcase,仅标签沾边，近期全是书籍/信仰内容，时尚推广不合适
4849,UClJMlg1zMD-g87GHOpzziBw,Thoughts & Fashion,https://cn--xtb.noxinfluencer.com/youtube/channel/UClJMlg1zMD-g87GHOpzziBw,11,badcase,虽有 fashion 标签，但主体是反应/信仰短视频，时尚占比很低
4865,UCz4VDW16Texr7hkye37tvfw,Salwas kitchen,https://cn--xtb.noxinfluencer.com/youtube/channel/UCz4VDW16Texr7hkye37tvfw,1,badcase,虽有Fashion标签，但频道主轴为食物/ASMR，近期时尚内容少
4867,UCAfoYnm5IX2ddpCOswmpI9w,Learner Bytes,https://cn--xtb.noxinfluencer.com/youtube/channel/UCAfoYnm5IX2ddpCOswmpI9w,-10,badcase,内容为历史/武器/自然科普，与时尚推广无关，近10条均不匹配
4874,UCfpI31Rzgtc8IsnBxsBGYrA,tv dewra,https://cn--xtb.noxinfluencer.com/youtube/channel/UCfpI31Rzgtc8IsnBxsBGYrA,-2,badcase,标签有时尚但近期全是歌曲/歌词视频，推广服饰不合适
4892,UCinlN_4s9R9uXIg-7Tj6Bhw,LEIMAI💎🌾LM_THEONE,https://cn--xtb.noxinfluencer.com/youtube/channel/UCinlN_4s9R9uXIg-7Tj6Bhw,10,badcase,虽有时尚标签，但最近全是娱乐偶像内容，推广相关性弱
4898,UC_PLQbCglVPqCXZALPAMyMQ,Hazel17XX,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_PLQbCglVPqCXZALPAMyMQ,0,badcase,频道主打搞笑短剧，近10条无时尚消费语境，偏离明显
4904,UCyEVQvo82sRhxkjGb_mH1tg,Best Sexy,https://cn--xtb.noxinfluencer.com/youtube/channel/UCyEVQvo82sRhxkjGb_mH1tg,0,badcase,虽有fashion标签，但近期多为AI励志/女性主题，推广不匹配
4911,UCinlN_4s9R9uXIg-7Tj6Bhw,LEIMAI💎🌾LM_THEONE,https://cn--xtb.noxinfluencer.com/youtube/channel/UCinlN_4s9R9uXIg-7Tj6Bhw,10,badcase,虽有fashion标签，但近期全是饭圈娱乐内容，投放不匹配
4917,UC_PLQbCglVPqCXZALPAMyMQ,Hazel17XX,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_PLQbCglVPqCXZALPAMyMQ,-5,badcase,虽有Fashion标签，但近期全是喜剧/恶搞内容，时尚推广不匹配
4924,UCdKDsnzV1HkC0N7oB8Bxy6w,SheekTv,https://cn--xtb.noxinfluencer.com/youtube/channel/UCdKDsnzV1HkC0N7oB8Bxy6w,0,badcase,虽有时尚标签，但近期几乎全是娱乐八卦，推广适配差
4939,UCyRs3EZzMyjqnAYRLdXQRjQ,ind,https://cn--xtb.noxinfluencer.com/youtube/channel/UCyRs3EZzMyjqnAYRLdXQRjQ,11,badcase,虽有Fashion标签，但主体是家庭搞笑内容，近10条几乎都不做时尚
4957,UCS_NhUhXzNbJrzJ32hWWGrQ,Natii,https://cn--xtb.noxinfluencer.com/youtube/channel/UCS_NhUhXzNbJrzJ32hWWGrQ,10,badcase,有fashion标签，但近期几乎全是泛娱乐短视频，时尚内容不足
4969,UCubsi4CEcl33rTzknO1sBsQ,Elsword,https://cn--xtb.noxinfluencer.com/youtube/channel/UCubsi4CEcl33rTzknO1sBsQ,-3,badcase,游戏频道里卖的是游戏内服饰，非真人时尚推广场景。
