rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
5,UCw9UnS-amGQga3rhvzGqcYA,Super Krew,https://cn.noxinfluencer.com/youtube/channel/UCw9UnS-amGQga3rhvzGqcYA,5,badcase,儿童假装玩耍频道，虽有割草机标签但受众不匹配
9,UC3EnCMGIwSqLUSlaYILlgxQ,Schneider & Son,https://cn.noxinfluencer.com/youtube/channel/UC3EnCMGIwSqLUSlaYILlgxQ,0,badcase,无标签无内容信号，难以承接推广
13,UCU3gQGhk0lYK-fKOR0sopgg,CarsandCameras,https://cn.noxinfluencer.com/youtube/channel/UCU3gQGhk0lYK-fKOR0sopgg,0,badcase,赛车汽车为主，和割草机推广不相关
20,UCi71_6BH_4IknooDc5BpRWA,Best Lawn Mowers,https://cn.noxinfluencer.com/youtube/channel/UCi71_6BH_4IknooDc5BpRWA,-10,badcase,足球娱乐标签占主导，和割草机推广不符
21,UCDSfLlvgZ0cHNDpQdNfgGwg,Ariens,https://cn.noxinfluencer.com/youtube/channel/UCDSfLlvgZ0cHNDpQdNfgGwg,0,badcase,以雪吹机为主，和割草机推广关联弱
22,UCNffHFfYVYE4xxkzpDXg96g,The G Automotive And More,https://cn.noxinfluencer.com/youtube/channel/UCNffHFfYVYE4xxkzpDXg96g,0,badcase,汽车维修频道，缺少草坪机械相关信号
26,UCRYTHQdVVOy3EI_KBezw29A,Vintage Moments,https://cn.noxinfluencer.com/youtube/channel/UCRYTHQdVVOy3EI_KBezw29A,0,badcase,怀旧广告内容，和割草机推广人群不匹配
27,UC-J9tlS17r5mLQ4aYiojV3Q,Lazy Grandpa's Garage,https://cn.noxinfluencer.com/youtube/channel/UC-J9tlS17r5mLQ4aYiojV3Q,0,badcase,缺少标签与内容证据，无法判断与割草机相关
30,UCpH76SieU--EG2A11wxcq7g,He. Andrew,https://cn.noxinfluencer.com/youtube/channel/UCpH76SieU--EG2A11wxcq7g,-10,badcase,娱乐爽感内容为主，与割草机推广场景不符
40,UCc9N-_S7WPpyLCPlJ3GZxbA,Cool Stuff Guys Like,https://cn.noxinfluencer.com/youtube/channel/UCc9N-_S7WPpyLCPlJ3GZxbA,2,badcase,仅有泛DIY/教程弱相关，缺少草坪护理或割草机推广证据
51,UCwitivJMVE0CTWaG0j3b_-g,Lawn & Outdoors TV,https://cn.noxinfluencer.com/youtube/channel/UCwitivJMVE0CTWaG0j3b_-g,0,badcase,频道名相关但缺少标签、视频与近期内容证据，召回相关性不足
52,UCFvj_I4oLmGjfkZmp5UNY7A,Air Ratchet Garage,https://cn.noxinfluencer.com/youtube/channel/UCFvj_I4oLmGjfkZmp5UNY7A,0,badcase,无标签、标题或近期内容支持割草机推广相关性
55,UCUp9imM6sZqkgZw58hsQIZQ,Average Maintenance,https://cn.noxinfluencer.com/youtube/channel/UCUp9imM6sZqkgZw58hsQIZQ,1,badcase,仅有泛科技弱相关，无园艺、草坪护理或工具推广信号
57,UC3CNQ02Jx_XV5HQF_gk4jcw,How To DIY Moore,https://cn.noxinfluencer.com/youtube/channel/UC3CNQ02Jx_XV5HQF_gk4jcw,0,badcase,汽车/DIY 频道，与 lawn mower 推广缺乏明确相关性
58,UCH5_GxLN3mv0GmXZOoCllNg,BTECK,https://cn.noxinfluencer.com/youtube/channel/UCH5_GxLN3mv0GmXZOoCllNg,0,badcase,无标签无内容信号，无法判断与 lawn mower 推广相关
67,UCvG-mX0rWIsKOQ_e6AvhCeA,Mow It Wells,https://cn.noxinfluencer.com/youtube/channel/UCvG-mX0rWIsKOQ_e6AvhCeA,5,badcase,有割草机词，但主内容是ASMR割草，偏娱乐不偏推广
68,UCrFbpwEEYsRZDli-AEfCWFw,Square2448,https://cn.noxinfluencer.com/youtube/channel/UCrFbpwEEYsRZDli-AEfCWFw,5,badcase,农场模拟游戏频道，割草机只是在游戏语境中出现
73,UCWU6gCZsOnmOP_ypWd_KNYA,D.R.C. Productions,https://cn.noxinfluencer.com/youtube/channel/UCWU6gCZsOnmOP_ypWd_KNYA,0,badcase,无标签无内容，缺少任何相关性证据
76,UC5WEDSpOj5kotV7a7PJ1iMQ,Geo Programmer,https://cn.noxinfluencer.com/youtube/channel/UC5WEDSpOj5kotV7a7PJ1iMQ,0,badcase,仅有泛 DIY/教程标签，缺少割草机或 lawn care 语义
78,UCXqgb_iVJtmE73ycq43ZZwA,Kid Crew,https://cn.noxinfluencer.com/youtube/channel/UCXqgb_iVJtmE73ycq43ZZwA,20,badcase,有直击标签，但 kids/toys 受众偏玩具场景，不适合人用割草机推广
79,UCcDOwRJNmQZ54r583alacwA,GEAR TESTED,https://cn.noxinfluencer.com/youtube/channel/UCcDOwRJNmQZ54r583alacwA,0,badcase,汽车/拖车为主，和 lawn mower 推广关联很弱
83,UCaQSXrk9g3aw-OBwxFmVPmg,Visack72,https://cn.noxinfluencer.com/youtube/channel/UCaQSXrk9g3aw-OBwxFmVPmg,0,badcase,泛娱乐/生活类，无 lawn mower 相关信号
86,UCM29JpL4J9yvc4lAlQcw3yA,Arts3D,https://cn.noxinfluencer.com/youtube/channel/UCM29JpL4J9yvc4lAlQcw3yA,0,badcase,无标签、无内容信号，与 lawn mower 推广无关
92,UCbFh-R_44sgVmohjMEPzmfQ,Something 2LookAt,https://cn.noxinfluencer.com/youtube/channel/UCbFh-R_44sgVmohjMEPzmfQ,5,badcase,虽命中割草机，但ASMR/沉浸式听感为主，产品推广不合适
94,UC6zzlBIwNS9GJZZ3rBx_WhQ,Hudson's Playground Gaming,https://cn.noxinfluencer.com/youtube/channel/UC6zzlBIwNS9GJZZ3rBx_WhQ,5,badcase,命中割草机，但核心是游戏/模拟类内容，偏离真实产品推广
101,UChxyqA6I6Q82GaQ4CZwRhFg,Nunki Rider,https://cn.noxinfluencer.com/youtube/channel/UChxyqA6I6Q82GaQ4CZwRhFg,0,badcase,无割草机相关信号，宠物/生活方式标签与人用推广不匹配
112,UCdLp4p4hl9DJ1V7XUbLaBWw,Jack of All Trades,https://cn.noxinfluencer.com/youtube/channel/UCdLp4p4hl9DJ1V7XUbLaBWw,0,badcase,无标签无内容，缺少 lawn mower 相关信号
116,UCMWlbh8hYOw3SjGcZNZvtsA,Mow It Wells Plus,https://cn.noxinfluencer.com/youtube/channel/UCMWlbh8hYOw3SjGcZNZvtsA,8,badcase,有直击词但核心是ASMR割草，偏娱乐展示，不适合投放
117,UCZ9qhtRvSWLA_51iUDTNaRA,TW Review,https://cn.noxinfluencer.com/youtube/channel/UCZ9qhtRvSWLA_51iUDTNaRA,0,badcase,无草坪割草相关信号，泛生活科技频道
135,UCxnRe3y0u35HnuYAp9FmBGQ,Hudson's Playground,https://cn.noxinfluencer.com/youtube/channel/UCxnRe3y0u35HnuYAp9FmBGQ,10,badcase,虽有lawn mower标签，但频道偏儿童拖拉机娱乐，推广格式不匹配
143,UCoR95Wx8C_Jre7psvQ-3uog,WholeToolBox,https://cn.noxinfluencer.com/youtube/channel/UCoR95Wx8C_Jre7psvQ-3uog,0,badcase,无标签、无内容证据，无法判断为割草机推广相关
