rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
8,UCw9UnS-amGQga3rhvzGqcYA,Super Krew,https://cn--xtb.noxinfluencer.com/youtube/channel/UCw9UnS-amGQga3rhvzGqcYA,-3,badcase,儿童娱乐为主，割草机只是穿插，受众与推广对象明显错位
23,UCLcco9E21Z_ARim0VM6EKIQ,Hillbilly Blueprints,https://cn--xtb.noxinfluencer.com/youtube/channel/UCLcco9E21Z_ARim0VM6EKIQ,-5,badcase,虽有 lawn mower 标签，但主轴是越野改装泥地 mower，非家用割草机
26,UCU3gQGhk0lYK-fKOR0sopgg,CarsandCameras,https://cn--xtb.noxinfluencer.com/youtube/channel/UCU3gQGhk0lYK-fKOR0sopgg,10,badcase,全是 go kart/赛车改装，虽有 mower 标签但与割草机推广不符
35,UCPXXG0mMXuNopVsb_9xoJDA,Satisfying Lawn Care Videos,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPXXG0mMXuNopVsb_9xoJDA,-25,badcase,标签偏游戏且近期是ASMR草坪内容，明显不适合推广
50,UCSavPw3cMUdBItSLBS0oeZg,dramanew,https://cn--xtb.noxinfluencer.com/youtube/channel/UCSavPw3cMUdBItSLBS0oeZg,-25,badcase,剧情/故事型频道，虽含 lawnmower 但不适合产品推广。
76,UCKs7-oGzd8G24cEWbk_lcKA,Chris Rollins,https://cn--xtb.noxinfluencer.com/youtube/channel/UCKs7-oGzd8G24cEWbk_lcKA,-5,badcase,虽有割草机标签，但主体是慢动作/娱乐实验，推广不适合
85,UCLXcc4od8_AK-K48NbxVzlQ,Vaquero De Nueva York,https://cn--xtb.noxinfluencer.com/youtube/channel/UCLXcc4od8_AK-K48NbxVzlQ,-8,badcase,以施工/搞笑/家装短内容为主，缺少割草机推广场景
112,UCEdYYZg_pcPAKQ5puFGKzig,Satisfying-Lawn,https://cn--xtb.noxinfluencer.com/youtube/channel/UCEdYYZg_pcPAKQ5puFGKzig,-15,badcase,虽有 lawncare/mowing 相关，但近期以剧情短剧为主，推广形态不合。
145,UC8y9SfJyCw6_xdg-joNaXlA,MakeShiftGarage,https://cn--xtb.noxinfluencer.com/youtube/channel/UC8y9SfJyCw6_xdg-joNaXlA,-10,badcase,汽车短视频和车展内容为主，与割草机推广不匹配
146,UCsfHHLD8NiBA-TQb4pNS1AA,Dohc Holiday customs,https://cn--xtb.noxinfluencer.com/youtube/channel/UCsfHHLD8NiBA-TQb4pNS1AA,-8,badcase,以moped/scooter改装为主，割草机只是在标题里点到
153,UCAYXR5eEASm9XYDT9lr_qVA,777 Auction Company,https://cn--xtb.noxinfluencer.com/youtube/channel/UCAYXR5eEASm9XYDT9lr_qVA,-10,badcase,车辆拍卖频道，近期几乎全是汽车/卡车/叉车，无割草机相关内容
168,UCpHwUr1Mu3BQI47EGDbliYg,Fryins,https://cn--xtb.noxinfluencer.com/youtube/channel/UCpHwUr1Mu3BQI47EGDbliYg,-10,badcase,游戏频道为主，近期内容多为娱乐向，与割草机推广不匹配
169,UCQkiplgkZ_ms1ztYpZKf3IQ,Samko Trad Bow,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQkiplgkZ_ms1ztYpZKf3IQ,-10,badcase,狩猎户外向频道，缺少割草机购买或测评语境
187,UCR9765Boybvdqcf_TF86KOA,CRACKED HOUSING FAB,https://cn--xtb.noxinfluencer.com/youtube/channel/UCR9765Boybvdqcf_TF86KOA,-22,badcase,改装/漂移内容为主，近期多为毁改割草机，推广割草机不适配
193,UCxO1WbPs9HWKgpDwPxYSUHw,Tool Up Handyman,https://cn--xtb.noxinfluencer.com/youtube/channel/UCxO1WbPs9HWKgpDwPxYSUHw,-10,badcase,近期全是汽车/机油维修，和割草机推广无关
204,UCNutCLP7G8gRrASkUtyNKMw,Minh Huy LQ,https://cn--xtb.noxinfluencer.com/youtube/channel/UCNutCLP7G8gRrASkUtyNKMw,-25,badcase,稻谷收割机频道，品类和家用割草机完全不匹配
208,UCXNipNRV-wL7p5Gq9wCc1Ng,The HOA Insider,https://cn--xtb.noxinfluencer.com/youtube/channel/UCXNipNRV-wL7p5Gq9wCc1Ng,-22,badcase,故事号为主，虽有 lawnmower 话题但非产品推广场景
211,UCFu8BlhP8v6OM6z0y_E0vug,TN - Creative Project,https://cn--xtb.noxinfluencer.com/youtube/channel/UCFu8BlhP8v6OM6z0y_E0vug,-8,badcase,偏木工DIY频道，和割草机推广场景不匹配，近10条内容也都不相关
212,UCg9A0jd7UebTjondajzUzzQ,Getallproducts,https://cn--xtb.noxinfluencer.com/youtube/channel/UCg9A0jd7UebTjondajzUzzQ,-8,badcase,泛品类频道，草坪割草机相关仅零星出现，近期大多不匹配。
216,UCnkBe_V_v_C1BvpiF0G1U5Q,GDaYARDman,https://cn--xtb.noxinfluencer.com/youtube/channel/UCnkBe_V_v_C1BvpiF0G1U5Q,-2,badcase,虽有 lawn mower 标签，但 ASMR/shorts 娱乐占主导，格式不适配。
219,UCPixKydtianMPzfAmYD8jrQ,more jello please,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPixKydtianMPzfAmYD8jrQ,-4,badcase,标题有割草机词，但近期多为音乐/宠物等娱乐内容
229,UC9JeihYy268H18beICx9kXA,MVN Motorsports,https://cn--xtb.noxinfluencer.com/youtube/channel/UC9JeihYy268H18beICx9kXA,-22,badcase,赛车/对战娱乐为主，虽有 lawn mower 词但不适合推广
237,UCa5vXRgNvNx00vXykmAsQBg,Minh Qui Vlogs,https://cn--xtb.noxinfluencer.com/youtube/channel/UCa5vXRgNvNx00vXykmAsQBg,-20,badcase,水稻收割机内容，和家用割草机推广场景明显不匹配
253,UC0hMkxoyXGNusDFTIoPCh3Q,Mujahid Shohel,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0hMkxoyXGNusDFTIoPCh3Q,-8,badcase,近10条大多是音乐/杂项，只有少量割草内容，推广相关性弱
257,UCIQdH63Wi6nLu3sQxn5hBvw,"Shopping with Amy - Homegoods, Tech, Gift Ideas",https://cn--xtb.noxinfluencer.com/youtube/channel/UCIQdH63Wi6nLu3sQxn5hBvw,-9,badcase,家居评测为主，缺少割草机/草坪场景，近期内容也不匹配
260,UC-pSphMHM7POyT9pUWHcYfg,The Boring Channel Shorts,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-pSphMHM7POyT9pUWHcYfg,-10,badcase,草坪服务相关但主打剧情搬运，近期内容偏叙事，促销转化弱
261,UC5ZxJKZI74cmupCqrB-UioQ,WorldKnow,https://cn--xtb.noxinfluencer.com/youtube/channel/UC5ZxJKZI74cmupCqrB-UioQ,-22,badcase,无标签且标题偏叙事冲突故事，不适合割草机推广
267,UC7Wy-UuuwOqHxu4JeVWVX4g,Steve DOES,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7Wy-UuuwOqHxu4JeVWVX4g,-8,badcase,智能家居测评频道，近10条几乎无割草机相关内容
269,UCyDPf-Son4Xb6kLLm8Us1gA,Boo Reviews,https://cn--xtb.noxinfluencer.com/youtube/channel/UCyDPf-Son4Xb6kLLm8Us1gA,-10,badcase,泛产品测评频道，近10条主要是家电、家具和运动器材
270,UCrW5mKz-7RQWgMROfNe6Ocw,RC JAY,https://cn--xtb.noxinfluencer.com/youtube/channel/UCrW5mKz-7RQWgMROfNe6Ocw,-22,badcase,割木短视频/ASMR频道，和草坪割草机促销场景不匹配
271,UC4KnSPTeu6IO4wLSEP5By5w,Boss Adams Garage,https://cn--xtb.noxinfluencer.com/youtube/channel/UC4KnSPTeu6IO4wLSEP5By5w,-7,badcase,以汽修DIY为主，仅少量割草机内容，近10条大多不匹配
