rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
499,UCcc7lNgD7X8OkPwPpK_Msaw,BEbyHER,https://cn.noxinfluencer.com/youtube/channel/UCcc7lNgD7X8OkPwPpK_Msaw,20,badcase,直命中 lifestyle，但核心是塔罗占卜娱乐，产品推广不佳
4754,UCa1TJlv21wKLrd4rJxZTF1g,The Hoof GP Clips,https://cn.noxinfluencer.com/youtube/channel/UCa1TJlv21wKLrd4rJxZTF1g,5,badcase,有 lifestyle 标签，但主内容是牛蹄护理，和生活方式推广明显不符
4763,UCRpteGECoJ3JzZO7w3o2XCQ,Emperor Alan,https://cn.noxinfluencer.com/youtube/channel/UCRpteGECoJ3JzZO7w3o2XCQ,0,badcase,无标签无内容，缺少任何生活方式相关信号
4765,UCagQiL8IQ2TChmExU8qWkbQ,DONA Indonesia,https://cn.noxinfluencer.com/youtube/channel/UCagQiL8IQ2TChmExU8qWkbQ,5,badcase,有 lifestyle 标签，但 mukbang/ASMR 为主，格式不匹配
4779,UCMlSf7BCzfdRsIGAIpCnrXA,Sand Tagious,https://cn.noxinfluencer.com/youtube/channel/UCMlSf7BCzfdRsIGAIpCnrXA,5,badcase,ASMR玩沙玩具号，虽有lifestyle标签，但内容与推广场景明显不符
4787,UChlJCgmoJjoNVh-FfPf0hkg,Naija Khloe,https://cn.noxinfluencer.com/youtube/channel/UChlJCgmoJjoNVh-FfPf0hkg,0,badcase,无标签无内容信号，无法判断为lifestyle相关
4790,UC5sYx2jxfJ_4tBb1KY2xcMQ,HolySoundscape,https://cn.noxinfluencer.com/youtube/channel/UC5sYx2jxfJ_4tBb1KY2xcMQ,20,badcase,lifestyle只是泛标，主体是宗教/梗内容，和生活方式推广不匹配
4791,UChI4gdn52pPZuLHBOVRDPwA,Carson Clark,https://cn.noxinfluencer.com/youtube/channel/UChI4gdn52pPZuLHBOVRDPwA,0,badcase,无标签与内容证据，和lifestyle推广关联很弱
4805,UCNU0mQ2qi6v5_r_sNk9PAwg,Dezzyloops,https://cn.noxinfluencer.com/youtube/channel/UCNU0mQ2qi6v5_r_sNk9PAwg,0,badcase,无标签和内容证据，无法判断为 lifestyle 相关频道
4806,UCOgfhqvLJrmrek_yFzevRJw,Jessica Chanel,https://cn.noxinfluencer.com/youtube/channel/UCOgfhqvLJrmrek_yFzevRJw,0,badcase,无标签命中且缺少内容证据，相关性弱
4831,UCLsWvajZiYFQoKDiiZH7pVg,Zarina K,https://cn.noxinfluencer.com/youtube/channel/UCLsWvajZiYFQoKDiiZH7pVg,0,badcase,无标签无内容证据，与 lifestyle 推广相关性不足
4832,UCk2fmJwVqs0o9BETmJjYEyQ,Happy Doggo,https://cn.noxinfluencer.com/youtube/channel/UCk2fmJwVqs0o9BETmJjYEyQ,5,badcase,仅有泛词lifestyle，主体是犬类救援内容，推广场景不匹配
4842,UC5lrBYwmKb4F1jpf9Ci8i2Q,Wolfman,https://cn.noxinfluencer.com/youtube/channel/UC5lrBYwmKb4F1jpf9Ci8i2Q,5,badcase,宠物犬内容为主，和人类生活方式推广受众不匹配
4844,UCNTuVMv2WRVnYcgJx7DjNPQ,Adventures With Purpose,https://cn.noxinfluencer.com/youtube/channel/UCNTuVMv2WRVnYcgJx7DjNPQ,10,badcase,真探纪录片为主，生活方式推广相关性偏弱
4853,UClkUrNgGC4BD6pWURJbM9MQ,AWESMR pop,https://cn.noxinfluencer.com/youtube/channel/UClkUrNgGC4BD6pWURJbM9MQ,5,badcase,ASMR玩具为主，生活方式标签被娱乐格式压过
4887,UCd5CT3t6lh490F0ev3MTN4A,Leah French,https://cn.noxinfluencer.com/youtube/channel/UCd5CT3t6lh490F0ev3MTN4A,0,badcase,无标签无内容，缺少相关性证据
4889,UCfVTfCPxvK2PGyAwJqG9Lzw,Toys and Colors Shorts,https://cn.noxinfluencer.com/youtube/channel/UCfVTfCPxvK2PGyAwJqG9Lzw,10,badcase,虽有 lifestyle，但以儿童娱乐短视频为主，推广错位明显
4900,UCl4AQ00D5KK-Fe5oYdDZvag,Naswillshine Nikki,https://cn.noxinfluencer.com/youtube/channel/UCl4AQ00D5KK-Fe5oYdDZvag,0,badcase,无标签和视频信息，缺少可用相关性证据
4908,UCuTSG2ogq3U6hmaYysar-5A,Anthony Crittenden,https://cn.noxinfluencer.com/youtube/channel/UCuTSG2ogq3U6hmaYysar-5A,0,badcase,无标签与内容信号，无法支撑 lifestyle 推广相关性
4909,UCuxFRWcH9lyqKwFZGZjLeUw,belen,https://cn.noxinfluencer.com/youtube/channel/UCuxFRWcH9lyqKwFZGZjLeUw,0,badcase,无标签与内容信号，无法支撑 lifestyle 推广相关性
4919,UCGQhFkidS6BB8Ol6_0JVDKQ,Cali Lavello,https://cn.noxinfluencer.com/youtube/channel/UCGQhFkidS6BB8Ol6_0JVDKQ,0,badcase,无标签、视频或近期内容证据，无法支持生活方式推广相关性
4921,UC43fUDhVdWKeTheClfn_eVw,DMERRA,https://cn.noxinfluencer.com/youtube/channel/UC43fUDhVdWKeTheClfn_eVw,0,badcase,无标签无内容证据，相关性不足
4925,UCMcZMH-uRwyocefO7UBOgtw,🧿31 frames🪬,https://cn.noxinfluencer.com/youtube/channel/UCMcZMH-uRwyocefO7UBOgtw,0,badcase,无标签无内容证据，相关性不足
4928,UCvZe6ZCbF9xgbbbdkiodPKQ,Baumgartner Restoration,https://cn.noxinfluencer.com/youtube/channel/UCvZe6ZCbF9xgbbbdkiodPKQ,10,badcase,ASMR 修复向，内容格式与生活方式推广不匹配
4929,UCpS46gC_plVW4yvmBGaebIA,Juwstin,https://cn.noxinfluencer.com/youtube/channel/UCpS46gC_plVW4yvmBGaebIA,0,badcase,无标签无内容信号，无法判断相关性
4930,UC-24483CtyVfhJ-XxRfPr8Q,Polenar Tactical,https://cn.noxinfluencer.com/youtube/channel/UC-24483CtyVfhJ-XxRfPr8Q,10,badcase,战术射击为主，lifestyle 仅是表层标签，受众不匹配
4936,UC1FzSlRqiPVqzovZbq8aidw,GodsGirlKesha,https://cn.noxinfluencer.com/youtube/channel/UC1FzSlRqiPVqzovZbq8aidw,0,badcase,无相关标签或内容信号
4939,UCUMm-lEYEyc5BvfgpTr90Mw,Mona Li-Meow,https://cn.noxinfluencer.com/youtube/channel/UCUMm-lEYEyc5BvfgpTr90Mw,10,badcase,ASMR解压为主，偏娱乐格式，不适合生活方式推广
4950,UCOBC7vbh8PtXkVeqPl61BDA,lourdes ⋆˚࿔,https://cn.noxinfluencer.com/youtube/channel/UCOBC7vbh8PtXkVeqPl61BDA,0,badcase,无标签与内容证据，无法判断为生活方式相关频道
4951,UCG4RWhYnJKnNKewA22VvySA,ASMR Phan,https://cn.noxinfluencer.com/youtube/channel/UCG4RWhYnJKnNKewA22VvySA,5,badcase,有lifestyle标签，但频道主体是ASMR/吃播，推广生活方式产品不匹配
4952,UCZObtUtsTNevDkEbexiTM4A,Adaobi Cynthiaa,https://cn.noxinfluencer.com/youtube/channel/UCZObtUtsTNevDkEbexiTM4A,0,badcase,无标签、相关视频或近期内容证据，无法支持生活方式推广
4981,UC1Ndgj4LgDH3LSGGUaa-4Kg,Glamixa,https://cn.noxinfluencer.com/youtube/channel/UC1Ndgj4LgDH3LSGGUaa-4Kg,0,badcase,无标签、视频或近期内容证据，无法判断生活方式推广相关性
4983,UCvCDo7i9AZk42KW-aOntomg,Twin Paranormal,https://cn.noxinfluencer.com/youtube/channel/UCvCDo7i9AZk42KW-aOntomg,5,badcase,虽有 lifestyle 直击标签，但频道主线是灵异恐怖内容，不适合生活方式推广
4991,UCY5DlpdjsmXD3KKVkOyoN6g,Jay The Wrap Specialist,https://cn.noxinfluencer.com/youtube/channel/UCY5DlpdjsmXD3KKVkOyoN6g,5,badcase,虽命中lifestyle，但核心是汽车改装ASMR，推广匹配差
4993,UCON4MFtQPcSo3gaXBHed-cw,T. Fletcher-Mother of Two,https://cn.noxinfluencer.com/youtube/channel/UCON4MFtQPcSo3gaXBHed-cw,0,badcase,无标签、标题或近期内容证据，无法判断适合生活方式推广
4996,UC2nZZ48jInHYcNLe3xnvgWQ,itsmvrht,https://cn.noxinfluencer.com/youtube/channel/UC2nZZ48jInHYcNLe3xnvgWQ,0,badcase,无有效标签与内容信号，难支撑 lifestyle 推广
4997,UC6gLlIAnzg7eJ8VuXDCZ_vg,Gentle Whispering ASMR,https://cn.noxinfluencer.com/youtube/channel/UC6gLlIAnzg7eJ8VuXDCZ_vg,0,badcase,虽有 lifestyle 标签，但 ASMR/娱乐主导，推广格式明显不匹配
5000,UClqNSqnWeOOUVkzcJFj4rBw,Tingting ASMR,https://cn.noxinfluencer.com/youtube/channel/UClqNSqnWeOOUVkzcJFj4rBw,-5,badcase,ASMR/吃播/短视频主导，和 lifestyle 推广场景不匹配
5003,UCDRx0wMgscsG6vPNB0sO65Q,Life Hacks & Experiments,https://cn.noxinfluencer.com/youtube/channel/UCDRx0wMgscsG6vPNB0sO65Q,5,badcase,ASMR/吃播型内容，和生活方式产品推广格式不匹配
5004,UC7brSEzOeLLb0l3QhAtdkgw,Sounds of the Dawn,https://cn.noxinfluencer.com/youtube/channel/UC7brSEzOeLLb0l3QhAtdkgw,5,badcase,冥想疗愈/环境音主轴，适合听感不适合商品推广
5005,UCp8_0-ED6-TjCX8pxZ7SPFw,Picnicio,https://cn.noxinfluencer.com/youtube/channel/UCp8_0-ED6-TjCX8pxZ7SPFw,5,badcase,故事娱乐向为主，生活方式标签不足以支撑推广
5009,UC5sGstI4qWmolp58ncHPrbQ,Diana and Roma ESP Collection,https://cn.noxinfluencer.com/youtube/channel/UC5sGstI4qWmolp58ncHPrbQ,10,badcase,儿童向内容为主，和通用lifestyle推广不太适配
5012,UC8GydqCg3oQG1eZuGB6MJAw,Vhannah’s Corner,https://cn.noxinfluencer.com/youtube/channel/UC8GydqCg3oQG1eZuGB6MJAw,0,badcase,无标签无内容信号，无法判断与 lifestyle 推广相关
5017,UCuteTN5py6Df5BEwFyylMdQ,Chelcy July,https://cn.noxinfluencer.com/youtube/channel/UCuteTN5py6Df5BEwFyylMdQ,0,badcase,无标签无内容证据，与 lifestyle 推广无明显匹配
5023,UCLhq2Bw3u176gLc1z-yVwiA,Modern Malinois,https://cn.noxinfluencer.com/youtube/channel/UCLhq2Bw3u176gLc1z-yVwiA,15,badcase,宠物向频道，lifestyle 只是泛标记，做人类生活方式推广不合适
5034,UCOVbKNE23cqyMVEzTWMScbg,Journey with Mary,https://cn.noxinfluencer.com/youtube/channel/UCOVbKNE23cqyMVEzTWMScbg,0,badcase,无标签无内容信号，与lifestyle推广关联不足
5074,UCuTluls8MC1xBrZuO7FbGoQ,Rosie Fabz,https://cn.noxinfluencer.com/youtube/channel/UCuTluls8MC1xBrZuO7FbGoQ,0,badcase,无标签、标题或近期内容证据，无法判断生活方式推广相关性
5079,UCcO_tKc04tcFo8VLR3B468A,Greggory Harris,https://cn.noxinfluencer.com/youtube/channel/UCcO_tKc04tcFo8VLR3B468A,0,badcase,无标签无内容证据，无法判断为 lifestyle 相关
5099,UCjJYD85vaiBowhJNqY_pZOw,MindSeed TV,https://cn.noxinfluencer.com/youtube/channel/UCjJYD85vaiBowhJNqY_pZOw,10,badcase,命中 lifestyle，但主体是惊悚超自然，和生活方式推广冲突
5100,UCwg87DBpPlOVRBR0-_lWgRQ,iStoryan,https://cn.noxinfluencer.com/youtube/channel/UCwg87DBpPlOVRBR0-_lWgRQ,10,badcase,命中 lifestyle，但以短视频娱乐和 meme 为主，推广适配差
5115,UCsSRxYAK0PiA7d0XUR6sPFA,The Paranormal Files (Official Channel),https://cn.noxinfluencer.com/youtube/channel/UCsSRxYAK0PiA7d0XUR6sPFA,8,badcase,虽有lifestyle标签，但频道核心是灵异恐怖娱乐，不适合生活方式推广
5132,UCOuB80zFhnE7taCBhedC3AA,Myia T,https://cn.noxinfluencer.com/youtube/channel/UCOuB80zFhnE7taCBhedC3AA,0,badcase,无标签、标题或近期内容证据支持 lifestyle 推广相关性
5138,UC2hQ7roZEEAYDXeM2jGctZg,Destv2025,https://cn.noxinfluencer.com/youtube/channel/UC2hQ7roZEEAYDXeM2jGctZg,0,badcase,无标签无内容信号，相关性不足
5141,UCrtmaWh38_T3B_vpy0XHK0g,Shakiyla White,https://cn.noxinfluencer.com/youtube/channel/UCrtmaWh38_T3B_vpy0XHK0g,0,badcase,无标签与内容证据，无法判断为 lifestyle 相关
5165,UCAI5QLNSOSzOQTYCyNA06EQ,My Mountain Husky,https://cn.noxinfluencer.com/youtube/channel/UCAI5QLNSOSzOQTYCyNA06EQ,5,badcase,虽有 lifestyle 直击，但宠物向内容不适合人类生活方式推广
5174,UCSk99eg0oeT_c66-8A5r7Gg,faith danaé,https://cn.noxinfluencer.com/youtube/channel/UCSk99eg0oeT_c66-8A5r7Gg,0,badcase,无标签和内容证据，和lifestyle推广关联不足
5180,UCKtxjnlU93-ro_ZUBWeHr0A,Celita-Ashley,https://cn.noxinfluencer.com/youtube/channel/UCKtxjnlU93-ro_ZUBWeHr0A,0,badcase,无标签无内容证据，无法判断与lifestyle推广相关
5186,UC2TTf3i4wwsRW8ex1zRXH8A,Car Wizard,https://cn.noxinfluencer.com/youtube/channel/UC2TTf3i4wwsRW8ex1zRXH8A,20,badcase,汽车修理为主，lifestyle 只是泛标签，和生活方式推广不匹配
5189,UCMJlGrPk73l9U6qahc8D_gA,Randy Santel,https://cn.noxinfluencer.com/youtube/channel/UCMJlGrPk73l9U6qahc8D_gA,20,badcase,以大胃王挑战和吃播为主，生活方式推广相关性弱
5190,UCerSe8Wv1HEs_hBi-nFLKQg,Petsies,https://cn.noxinfluencer.com/youtube/channel/UCerSe8Wv1HEs_hBi-nFLKQg,20,badcase,宠物定制玩偶为主，受众与 lifestyle 推广不够贴合
5194,UCZp0GgpV69F-MTXHx6c3qrw,Jey Meena,https://cn.noxinfluencer.com/youtube/channel/UCZp0GgpV69F-MTXHx6c3qrw,0,badcase,无标签无内容，缺乏任何相关性证据
5200,UCdL10d4Szqx6RCu4-lwUY6A,ولاد اور نکی مجموعہ,https://cn.noxinfluencer.com/youtube/channel/UCdL10d4Szqx6RCu4-lwUY6A,20,badcase,标签命中，但以儿童玩具娱乐为主，不适合生活方式推广
5204,UC3BvJ1vuR1xOIeNkvfEL3aQ,Clarissa Murra,https://cn.noxinfluencer.com/youtube/channel/UC3BvJ1vuR1xOIeNkvfEL3aQ,0,badcase,无标签无内容证据，无法判断相关性
5234,UCZxczifT-FIguXwuT1s9CBA,Mizero Media,https://cn.noxinfluencer.com/youtube/channel/UCZxczifT-FIguXwuT1s9CBA,0,badcase,标签多为社媒与联系信息，无生活方式定位，缺少推广相关内容
5241,UCFmL725KKPx2URVPvH3Gp8w,ASMR Glow,https://cn.noxinfluencer.com/youtube/channel/UCFmL725KKPx2URVPvH3Gp8w,5,badcase,ASMR睡眠向，生活方式推广场景不匹配
5245,UC6dRhNRx1ZDTc-elBFDnGKQ,Quantum,https://cn.noxinfluencer.com/youtube/channel/UC6dRhNRx1ZDTc-elBFDnGKQ,5,badcase,游戏内容占主导，lifestyle仅弱泛标签
