rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
6,UCUTyRDr9A6FZsCvkeiQrd4w,My Cute Pomeranian,https://cn.noxinfluencer.com/youtube/channel/UCUTyRDr9A6FZsCvkeiQrd4w,-10,badcase,宠物名义但标签以恐怖故事/游戏为主，推广宠粮场景不匹配
10,UCd9Mk3xE7o4KSykpQNbRonQ,BalchemANH,https://cn.noxinfluencer.com/youtube/channel/UCd9Mk3xE7o4KSykpQNbRonQ,-5,badcase,偏农业乳业/动物营养机构，非宠物食品消费推广频道
11,UCUHxuPoyNEiA5hNVvpWt-EQ,Haoren Special Effects,https://cn.noxinfluencer.com/youtube/channel/UCUHxuPoyNEiA5hNVvpWt-EQ,2,badcase,仅有宠物/食物泛标签，偏娱乐生活向，缺少宠物食品投放意图
12,UCjaNEVaSWPDGmegG2msb4-w,Shaq The Pug,https://cn.noxinfluencer.com/youtube/channel/UCjaNEVaSWPDGmegG2msb4-w,0,badcase,标签以娱乐/游戏为主，宠物与食品都很泛，投放相关性弱
15,UCsi0ttIib6iEhWvGQVm94QA,Poodle Family,https://cn.noxinfluencer.com/youtube/channel/UCsi0ttIib6iEhWvGQVm94QA,0,badcase,无标签无内容信号，无法判断为宠物食品相关
16,UCTha-ni2CTXtK4Cw3kzdGaA,China Saibainuo Machinery,https://cn.noxinfluencer.com/youtube/channel/UCTha-ni2CTXtK4Cw3kzdGaA,2,badcase,仅有宠物/食品弱泛化标签，机械频道与宠粮推广不匹配
17,UCVyopZsoS91MU_-pwqg1b4g,ShoppingTv,https://cn.noxinfluencer.com/youtube/channel/UCVyopZsoS91MU_-pwqg1b4g,0,badcase,无相关标签或内容，缺乏宠粮推广相关性
20,UCnkHaip0YYyckHI074c444A,Gunbam Cutie,https://cn.noxinfluencer.com/youtube/channel/UCnkHaip0YYyckHI074c444A,10,badcase,虽命中宠粮，但ASMR/睡眠型内容与实体宠粮推广强冲突
21,UCFBGleFWjbiZ5LJgpb0D0FQ,Golden Retriever Duobao,https://cn.noxinfluencer.com/youtube/channel/UCFBGleFWjbiZ5LJgpb0D0FQ,0,badcase,无标签、标题或近期内容证据，无法判断适合宠物食品推广
29,UCHzogYDGS6nihFLkiYw6iNQ,Gadget Fusion 5,https://cn.noxinfluencer.com/youtube/channel/UCHzogYDGS6nihFLkiYw6iNQ,0,badcase,无标签无内容，缺少与宠物食品相关的任何信号
