rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
11,UCUHxuPoyNEiA5hNVvpWt-EQ,Haoren Special Effects,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUHxuPoyNEiA5hNVvpWt-EQ,-5,badcase,标签命中但近期几乎全是AI娱乐/剧情内容，宠物食品推广不适配
13,UCjaNEVaSWPDGmegG2msb4-w,Shaq The Pug,https://cn--xtb.noxinfluencer.com/youtube/channel/UCjaNEVaSWPDGmegG2msb4-w,-5,badcase,标签命中但频道主轴是挑战娱乐，近期内容几乎全不相关
16,UCCneK8iTGx_kzc9a4qxm_fw,monkeyjourney36,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCneK8iTGx_kzc9a4qxm_fw,-19,badcase,故事娱乐型频道，少量狗粮标题不足以抵消整体错配
26,UCbgm0idoc6cG8HFvxwr9KHw,FxcTablaDholak,https://cn--xtb.noxinfluencer.com/youtube/channel/UCbgm0idoc6cG8HFvxwr9KHw,-24,badcase,宠物吃播娱乐向，近10条均偏人类食物/表演，不适合宠物食品推广
29,UCy76s60XoVQL2RvrUKs2VRA,Penguinpepperpia,https://cn--xtb.noxinfluencer.com/youtube/channel/UCy76s60XoVQL2RvrUKs2VRA,-7,badcase,猫粮/喂食相关但以ASMR娱乐为主，明显是格式不匹配
35,UCq8eTfGzOxruGjPdM7Q4mEQ,TasteOfOriental,https://cn--xtb.noxinfluencer.com/youtube/channel/UCq8eTfGzOxruGjPdM7Q4mEQ,-10,badcase,狗肉街食/娱乐内容，和宠物食品推广目标明显冲突
37,UCbta5UYAzeIOQAL7-A4s0WA,Bounce The Pit Bull,https://cn--xtb.noxinfluencer.com/youtube/channel/UCbta5UYAzeIOQAL7-A4s0WA,-15,badcase,ASMR和吃播为主，偏声音娱乐，不是宠物食品推广场景
40,UCmO2B5hFxdFlskmYSn0Uqsg,Jakshylyk,https://cn--xtb.noxinfluencer.com/youtube/channel/UCmO2B5hFxdFlskmYSn0Uqsg,-7,badcase,泛娱乐频道，只有dog/food弱相关，近期内容与宠物食品不符
50,UC3Xt9vA9gbQWakSjXD7SGHg,cooking with sherry,https://cn--xtb.noxinfluencer.com/youtube/channel/UC3Xt9vA9gbQWakSjXD7SGHg,-9,badcase,以人类烹饪为主，只有零星宠物食物提及，推广不匹配
51,UC3Xt9vA9gbQWakSjXD7SGHg,cooking with sherry,https://cn--xtb.noxinfluencer.com/youtube/channel/UC3Xt9vA9gbQWakSjXD7SGHg,-6,badcase,以人类烹饪为主，宠物食品信号弱且近10条多为无关做菜
54,UCF4KKfse9lLNQxEFhHIvJWg,ZyroRushUSA,https://cn--xtb.noxinfluencer.com/youtube/channel/UCF4KKfse9lLNQxEFhHIvJWg,-25,badcase,娱乐宗教内容为主，叙事向与宠物食品推广不匹配
57,UCaoHzhtuszfMwZ6gys82DDg,Henry,https://cn--xtb.noxinfluencer.com/youtube/channel/UCaoHzhtuszfMwZ6gys82DDg,-8,badcase,近期有宠物喂食内容但频道主标签偏喜剧娱乐，非宠物食品推广垂类
59,UCoaQM2b8l9gP-FouujM48_w,JoshuaPNW,https://cn--xtb.noxinfluencer.com/youtube/channel/UCoaQM2b8l9gP-FouujM48_w,-30,badcase,频道以娱乐/直播/病毒短视频为主，缺少宠物食品推广意图
61,UCmW_ACWL_ckn0WyLWKiO04w,Caloy USA,https://cn--xtb.noxinfluencer.com/youtube/channel/UCmW_ACWL_ckn0WyLWKiO04w,-15,badcase,人类猎奇美食/动物视频频道，近期内容与宠物食品受众不符
65,UCoudkcdWRiK0X2lm0DCHz7w,Duan,https://cn--xtb.noxinfluencer.com/youtube/channel/UCoudkcdWRiK0X2lm0DCHz7w,-1,badcase,仅少量狗狗找食视频，其余多为无关skit/喜剧
68,UCNWGdQkQlOcaXqseXmEGbvA,Murgigio,https://cn--xtb.noxinfluencer.com/youtube/channel/UCNWGdQkQlOcaXqseXmEGbvA,-22,badcase,以搞笑狗狗短视频为主，偏娱乐，不是宠物食品种草或测评场景。
70,UCDnQlLuZm8mOvlfaZrwX46g,Unique Fact Store,https://cn--xtb.noxinfluencer.com/youtube/channel/UCDnQlLuZm8mOvlfaZrwX46g,-15,badcase,只有宠物角色和搞笑短视频，缺少喂养、测评、购买意图，不适合。
72,UCN73jI2kqRVkAc9XLb6i6BA,Jamish the Wanderer,https://cn--xtb.noxinfluencer.com/youtube/channel/UCN73jI2kqRVkAc9XLb6i6BA,-22,badcase,ASMR+美食/喝播为主，几乎无宠粮语境，且格式不适合产品推广。
77,UCpx2mTyLI7EZ5ehWq5z943g,carefresh,https://cn--xtb.noxinfluencer.com/youtube/channel/UCpx2mTyLI7EZ5ehWq5z943g,-9,badcase,主打小宠垫料，近期内容也全是垫料，不利于宠粮推广
78,UCP932vRtiCbJD9RxVo_daAA,GOOD FOOD,https://cn--xtb.noxinfluencer.com/youtube/channel/UCP932vRtiCbJD9RxVo_daAA,-22,badcase,近10条多为童趣烹饪/ASMR，非宠物食品推广场景
79,UCz-sEQD4N69e5NgiqDI2zdw,HelpPets KH,https://cn--xtb.noxinfluencer.com/youtube/channel/UCz-sEQD4N69e5NgiqDI2zdw,2,badcase,宠物/食物相关但以狗打架抢食娱乐为主，缺少宠物食品推广语境
80,UCFqtq_k792883_40S1V8VMw,HAIDER حيدر,https://cn--xtb.noxinfluencer.com/youtube/channel/UCFqtq_k792883_40S1V8VMw,-20,badcase,主要是人类餐食与游戏内容，不适合宠粮推广
81,UCdAIkeHeSXMogIiei8m8rAw,Albe Know,https://cn--xtb.noxinfluencer.com/youtube/channel/UCdAIkeHeSXMogIiei8m8rAw,-10,badcase,金融搞笑号，近10条几乎无宠物喂养或购买语境
84,UCT9DY2T6esXwLlNtKvTBxlg,CAM-LIVES,https://cn--xtb.noxinfluencer.com/youtube/channel/UCT9DY2T6esXwLlNtKvTBxlg,-10,badcase,猎奇食物与动物内容，缺少宠物喂养和购买语境
90,UC6b_JOl_OudOdqwyrvIuFKA,BanterHits,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6b_JOl_OudOdqwyrvIuFKA,-35,badcase,娱乐/AI短剧为主，宠物词只是剧情元素，不适合投放
93,UC1B-BsatedrD9MkLBL8ZVpA,VidVulture,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1B-BsatedrD9MkLBL8ZVpA,-10,badcase,垃圾寻宝频道，最近内容与宠物食品投放几乎无关
94,UCXC-MAuZ_SKKGs2VmGdwmKQ,"Jinan Arrow Machinery Co., Ltd",https://cn--xtb.noxinfluencer.com/youtube/channel/UCXC-MAuZ_SKKGs2VmGdwmKQ,-25,badcase,工业食品机械频道，与宠物食品推广目标明显不匹配
95,UCI-4BS5ebSkP6Wy_VxrSlZw,Ăn Dặm Cùng Con,https://cn--xtb.noxinfluencer.com/youtube/channel/UCI-4BS5ebSkP6Wy_VxrSlZw,-10,badcase,婴儿吃播内容，和宠物食品受众完全不匹配
96,UCuxbFHJVWYfJ9R7YJEBogFQ,Delvix Pet,https://cn--xtb.noxinfluencer.com/youtube/channel/UCuxbFHJVWYfJ9R7YJEBogFQ,-13,badcase,宠物狗和护理标签相关，但近10条多为宠物助眠音乐，和宠物食品推广格式不符
97,UCCsbb09LpJqwaGdOSxlay-Q,ДРТ club,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCsbb09LpJqwaGdOSxlay-Q,-14,badcase,以搞笑狗狗短视频为主，喂养相关仅少量，宠物食品推广承接弱
99,UCgC0bJdpwSVD9aHri6a7Bfw,Roselin Ramos,https://cn--xtb.noxinfluencer.com/youtube/channel/UCgC0bJdpwSVD9aHri6a7Bfw,-10,badcase,泛生活和人类美食内容为主，缺少宠物食品或喂养购买意图
100,UC4ID1nDwfHUwp117HMGu6wQ,Pets Grow,https://cn--xtb.noxinfluencer.com/youtube/channel/UC4ID1nDwfHUwp117HMGu6wQ,-20,badcase,宠物娱乐、ASMR和搞笑内容为主，喂养意图弱，格式明显错配
103,UCbK9lZUnc-Pz1YEEed_pWYw,Hen Farm,https://cn--xtb.noxinfluencer.com/youtube/channel/UCbK9lZUnc-Pz1YEEed_pWYw,-10,badcase,近期内容为泛娱乐/事故梗，与宠物食品推广不匹配
106,UCYPOUBR4gC5vYuvsLzvx2sw,FunnyPet,https://cn--xtb.noxinfluencer.com/youtube/channel/UCYPOUBR4gC5vYuvsLzvx2sw,-17,badcase,以猫/宠物娱乐和ASMR为主，缺少宠粮购买或测评意图
108,UCmjqbJAUAHDaTMUqqZECasg,Val Kelly,https://cn--xtb.noxinfluencer.com/youtube/channel/UCmjqbJAUAHDaTMUqqZECasg,-2,badcase,宠物受众相关，但主打搞笑短剧，缺少宠物食品购买/评测语境
110,UCykZFiDNWLOnCIGSKLJKtWQ,Emma Williams,https://cn--xtb.noxinfluencer.com/youtube/channel/UCykZFiDNWLOnCIGSKLJKtWQ,-25,badcase,ASMR娱乐频道，近10条偏动物趣味内容，不适合宠物食品推广
