rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
11,UCIS_t7BSMRUjpe-oRjJ042A,Modern Reviews,https://cn.noxinfluencer.com/youtube/channel/UCIS_t7BSMRUjpe-oRjJ042A,0,badcase,生活/DIY标签泛化，缺少充电宝相关信号
14,UC3f-DJSYl-UBjFKP6P2eFAQ,GOODaaa Official,https://cn.noxinfluencer.com/youtube/channel/UC3f-DJSYl-UBjFKP6P2eFAQ,0,badcase,无标签无内容，无法判断相关性
20,UCUzwYBo6tmwsVKkVRtISzpw,The Ghetographer,https://cn.noxinfluencer.com/youtube/channel/UCUzwYBo6tmwsVKkVRtISzpw,0,badcase,无标签无内容线索，无法判断为充电宝相关频道
21,UCy_LbUw93GTUz5cW6X_CHHQ,Tools and Gadgets,https://cn.noxinfluencer.com/youtube/channel/UCy_LbUw93GTUz5cW6X_CHHQ,0,badcase,标签全是泛流量/平台词，与充电宝推广无明确相关
29,UCPicB6zsJutW3AVNmLA0EQg,Joseph Singer,https://cn.noxinfluencer.com/youtube/channel/UCPicB6zsJutW3AVNmLA0EQg,0,badcase,无标签无内容，无法判断为相关频道
31,UCcIXFu21t_OWKVwaI_5jYVg,Today's Deals,https://cn.noxinfluencer.com/youtube/channel/UCcIXFu21t_OWKVwaI_5jYVg,0,badcase,无标签、视频或近期内容证据支持充电宝推广相关性
34,UCvtj18THtc0UDtxRnGv55Ig,Temu Reviews ES,https://cn.noxinfluencer.com/youtube/channel/UCvtj18THtc0UDtxRnGv55Ig,0,badcase,无标签、视频或近期内容证据支持充电宝推广相关性
35,UC3LnsUei94ixnSLKvYfg_6g,Ivan Meneses,https://cn.noxinfluencer.com/youtube/channel/UC3LnsUei94ixnSLKvYfg_6g,0,badcase,无标签和内容信号，难判断为可投放频道
40,UCx-yx2LO1JAQg17x4aBUAwg,Techno Panda,https://cn.noxinfluencer.com/youtube/channel/UCx-yx2LO1JAQg17x4aBUAwg,-8,badcase,近期10条几乎全是显卡新闻，和充电宝推广严重不符
41,UCWqVjlLDbIaojlaDpotEQEQ,HW Mobiles,https://cn.noxinfluencer.com/youtube/channel/UCWqVjlLDbIaojlaDpotEQEQ,0,badcase,无标签无内容，缺少任何充电宝相关信号
43,UC-UBpWUk0yrEClbUNInPJdg,Shah Chisty,https://cn.noxinfluencer.com/youtube/channel/UC-UBpWUk0yrEClbUNInPJdg,0,badcase,无标签无内容，无法判断为充电宝相关频道
45,UCyrT4Y6Qpdyzi9S79gxIw1A,The Big Heavy,https://cn.noxinfluencer.com/youtube/channel/UCyrT4Y6Qpdyzi9S79gxIw1A,1,badcase,仅有泛科技弱相关，无产品评测或购买意图证据
46,UCVL10pAdEOvRtO8ZTD8ZuZA,NeoTechi,https://cn.noxinfluencer.com/youtube/channel/UCVL10pAdEOvRtO8ZTD8ZuZA,0,badcase,教育类频道，无充电宝相关或购买场景，缺乏推广匹配度
53,UCl5J-2noQ2dFuP6NkQrW7lw,Luis Enrique Lemus Acosta,https://cn.noxinfluencer.com/youtube/channel/UCl5J-2noQ2dFuP6NkQrW7lw,0,badcase,无标签无内容信号，无法支撑充电宝推广相关性
57,UCyMLQBnT2IB3SPu0TX5VgXQ,Power king,https://cn.noxinfluencer.com/youtube/channel/UCyMLQBnT2IB3SPu0TX5VgXQ,-10,badcase,娱乐影视内容为主，不适合充电宝推广
63,UCOUWQop6sgEXA-NtKZ5XMIw,Ah Tech,https://cn.noxinfluencer.com/youtube/channel/UCOUWQop6sgEXA-NtKZ5XMIw,0,badcase,无标签、无标题、无内容证据，无法判断与充电宝推广相关
