rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,UCPebP56QemIt41_UNTZPcpA,Mommy Churvs,https://cn.noxinfluencer.com/youtube/channel/UCPebP56QemIt41_UNTZPcpA,-10,badcase,宠物猫内容，与人用游泳背心受众明显不匹配
2,UC06syzMZqkuy63K6uzVnnBQ,Weaver Reviews,https://cn.noxinfluencer.com/youtube/channel/UC06syzMZqkuy63K6uzVnnBQ,0,badcase,无标签无内容，缺少推广相关证据
3,UC0TdrXZIq_-e-Tm6AnQ5zhQ,Calikorean,https://cn.noxinfluencer.com/youtube/channel/UC0TdrXZIq_-e-Tm6AnQ5zhQ,0,badcase,无标签无内容，缺少推广相关证据
4,UC14glhf581fzJOYoHGxWTsg,Chicken Goodies,https://cn.noxinfluencer.com/youtube/channel/UC14glhf581fzJOYoHGxWTsg,0,badcase,无标签无内容，缺少与游泳背心的相关证据
5,UC19lNj4oH91poIlAPgCRz1g,ItsSupriyas Life,https://cn.noxinfluencer.com/youtube/channel/UC19lNj4oH91poIlAPgCRz1g,3,badcase,仅有亲子泛标签，无游泳/救生衣推广意图
7,UC34zgo49DqyjmKJbo-2OAPQ,BubbleGum,https://cn.noxinfluencer.com/youtube/channel/UC34zgo49DqyjmKJbo-2OAPQ,-15,badcase,娱乐搞笑号，主内容与泳背心推广场景不匹配
8,UC4-DZzt7swq7uj83bg-P9HA,Dog & Cat Supplies online store,https://cn.noxinfluencer.com/youtube/channel/UC4-DZzt7swq7uj83bg-P9HA,-15,badcase,宠物用品号，面向猫狗而非人用泳背心，属排斥场景
10,UC8E1t_MXN8xHGdkq_Yqpz7Q,N'Joy,https://cn.noxinfluencer.com/youtube/channel/UC8E1t_MXN8xHGdkq_Yqpz7Q,0,badcase,无标签、无相关视频、无近期内容，缺少泳衣/救生背心推广相关性
12,UCBhwktEfRUytcc2z_rr44kw,eSchooled with Amanda Melrose,https://cn.noxinfluencer.com/youtube/channel/UCBhwktEfRUytcc2z_rr44kw,0,badcase,家庭教育频道与泳衣背心推广关联弱，缺少明确水上用品语境
13,UCCHcDNftAWMacace8MmOYdA,vanguard k9 dog trainings,https://cn.noxinfluencer.com/youtube/channel/UCCHcDNftAWMacace8MmOYdA,-15,badcase,宠物犬训练频道，和人用泳衣/浮力背心推广明显不匹配
14,UCFMyyO3widMf0JC1V9G2p_A,Sarah Burford,https://cn.noxinfluencer.com/youtube/channel/UCFMyyO3widMf0JC1V9G2p_A,0,badcase,无标签、相关标题或近期内容，缺少泳衣救生推广相关证据
15,UCFu4-VQQ-K3wFRfHvHOFcTA,ERICK and The Ourbacks,https://cn.noxinfluencer.com/youtube/channel/UCFu4-VQQ-K3wFRfHvHOFcTA,0,badcase,无标签、无相关视频或近期内容，缺少泳衣推广相关证据
16,UCHCl8-idaFT5kwaMglVjDeg,"DeTechTive ""Max""",https://cn.noxinfluencer.com/youtube/channel/UCHCl8-idaFT5kwaMglVjDeg,0,badcase,无标签、相关标题或近期内容证据，无法支持泳 vest 推广
17,UCHFNzIJkEayT5T7iuxeVYZA,Enjoy Swimming,https://cn.noxinfluencer.com/youtube/channel/UCHFNzIJkEayT5T7iuxeVYZA,0,badcase,无标签、标题或近期内容证据，无法支持泳衣救生背心推广
18,UCHsKQz9R0FUCPgPzu616rGw,Reviewprous,https://cn.noxinfluencer.com/youtube/channel/UCHsKQz9R0FUCPgPzu616rGw,0,badcase,通用评测号，缺少泳具或游泳场景信号
19,UCIwi08Vb_jpzNzUncSYe9NA,MoKo,https://cn.noxinfluencer.com/youtube/channel/UCIwi08Vb_jpzNzUncSYe9NA,0,badcase,手机壳/电子类频道，和泳具推广无关
