rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
50,UCIWnQePSlaOuEPooD5-wkvw,Xecurity Pulse,https://cn--xtb.noxinfluencer.com/youtube/channel/UCIWnQePSlaOuEPooD5-wkvw,2,badcase,标签偏科技，但近10条多数是移民/励志内容，频道当前不稳定
51,UCIWnQePSlaOuEPooD5-wkvw,Xecurity Pulse,https://cn--xtb.noxinfluencer.com/youtube/channel/UCIWnQePSlaOuEPooD5-wkvw,2,badcase,科技标签有，但近10条多为移民法，近期内容偏离推广场景
63,UC6HSkhtwgURZUUzGlrgRqLQ,AuraPets,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6HSkhtwgURZUUzGlrgRqLQ,-1,badcase,娱乐内容占主导，科技只是零散标签，推广 tech 不合适
77,UCUxC2moitXNAtH97KiR1ldA,CRYPTO VECTOR,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUxC2moitXNAtH97KiR1ldA,2,badcase,主域是多米诺/加密推广，科技产品受众不匹配
110,UC_OhoHv3-Jj5fnNZ01Zhzgw,Kahani Markaz,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_OhoHv3-Jj5fnNZ01Zhzgw,-4,badcase,故事频道为主，科技标签难抵受众与内容错位
151,UCI-azkD2eJoAzrz0cijFhCA,Maye Muses,https://cn--xtb.noxinfluencer.com/youtube/channel/UCI-azkD2eJoAzrz0cijFhCA,3,badcase,泛故事/娱乐为主，科技只是边缘标签，近期内容不够产品向
167,UCMTJbrdbmU2BHiwruFI5WGg,The Atlas Project,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMTJbrdbmU2BHiwruFI5WGg,-8,badcase,以游戏/生活杂谈为主，近期内容与技术推广不匹配。
171,UCHgcgYu7i_kahtljmpGSw8w,Trevor ai,https://cn--xtb.noxinfluencer.com/youtube/channel/UCHgcgYu7i_kahtljmpGSw8w,-15,badcase,娱乐AI梗图频道，科技词存在但推广场景明显不匹配
178,UC_gQmnd7k42S-jKE1Tqyyzw,Ryan and Michelle,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_gQmnd7k42S-jKE1Tqyyzw,0,badcase,有 tech 标签，但近期几乎全是自然/宠物内容
182,UCYG2S4MawCW-fH4mbbDA0CQ,Kristofer Prophet,https://cn--xtb.noxinfluencer.com/youtube/channel/UCYG2S4MawCW-fH4mbbDA0CQ,0,badcase,娱乐音乐为主，最近内容几乎全是梗和搞笑，不适合科技推广
191,UC_rHIryFaY1d9Tt46SQE8tQ,Lift the Veil,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_rHIryFaY1d9Tt46SQE8tQ,0,badcase,政治/战争内容为主，近10条都不匹配，科技推广价值低
210,UCWnkBElsh7yLjwCPXEZ0AtQ,Crypto Dreams,https://cn--xtb.noxinfluencer.com/youtube/channel/UCWnkBElsh7yLjwCPXEZ0AtQ,-15,badcase,主标签娱乐恐怖，科技推广场景不匹配
225,UCMPvjC9OecnyvoOZcPcoovg,Chad Rocky,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMPvjC9OecnyvoOZcPcoovg,-25,badcase,娱乐/meme为主，近10条全是AI梗图式内容，不适合tech推广
228,UCUfUzo5AvQKMdzUpWI1cCZw,Dude,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUfUzo5AvQKMdzUpWI1cCZw,-5,badcase,虽有科技标签，但主体是娱乐梗图，近10条基本不适合推广
253,UCsehkGuWtNLG0MQFe7rq_kw,Bad Joke Society,https://cn--xtb.noxinfluencer.com/youtube/channel/UCsehkGuWtNLG0MQFe7rq_kw,-25,badcase,以搞笑AI短内容为主，缺少技术推广场景
259,UCZE3V7__ieMM6XZfaZYYhKA,Tim Truth,https://cn--xtb.noxinfluencer.com/youtube/channel/UCZE3V7__ieMM6XZfaZYYhKA,5,badcase,虽有科技标签，但近期几乎全是政治阴谋内容，受众与推广场景不匹配。
263,UCPXweYKz0x9uoAO2lrTuudQ,𝐍𝐅𝐓 𝐈𝐍𝐒𝐈𝐃𝐄𝐑,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPXweYKz0x9uoAO2lrTuudQ,-10,badcase,内容以加密货币项目评测为主，近10条也不属于科技产品推广场景
278,UCXj-TK6b0yW_EBK1c1TxexQ,AiStory2050,https://cn--xtb.noxinfluencer.com/youtube/channel/UCXj-TK6b0yW_EBK1c1TxexQ,-23,badcase,以AI梗图/故事为主，缺少科技产品推广场景，格式不匹配
281,UCiox3X-SPgCs-uJ6l5Mnk9A,Crypto Goat,https://cn--xtb.noxinfluencer.com/youtube/channel/UCiox3X-SPgCs-uJ6l5Mnk9A,-10,badcase,加密货币/代币交易频道，近10条均偏投资投机，不适合科技推广。
285,UCUxC2moitXNAtH97KiR1ldA,CRYPTO VECTOR,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUxC2moitXNAtH97KiR1ldA,-10,badcase,加密代币与多米诺短视频为主，偏投机娱乐，不利于科技推广。
297,UCDmLHomSDolCSBjF7GDwzcQ,CoinFluence,https://cn--xtb.noxinfluencer.com/youtube/channel/UCDmLHomSDolCSBjF7GDwzcQ,-8,badcase,以加密交易为主，近期内容多为金融交易，科技产品推广不匹配。
304,UCY62nzGSgt6lOrNPkL3V1sQ,CRYPTOLOGIST,https://cn--xtb.noxinfluencer.com/youtube/channel/UCY62nzGSgt6lOrNPkL3V1sQ,-10,badcase,频道主打加密货币推广，近10条内容均偏离泛科技产品推广场景
305,UC2L3LW-TMebP0fgBGKW6Tog,e-man,https://cn--xtb.noxinfluencer.com/youtube/channel/UC2L3LW-TMebP0fgBGKW6Tog,-14,badcase,娱乐/故事型频道，AI词很多但非科技推广语境，近10条几乎都不匹配
319,UCTIkPi38UqlElB2m3N0erdw,LSP开车,https://cn--xtb.noxinfluencer.com/youtube/channel/UCTIkPi38UqlElB2m3N0erdw,-5,badcase,成人娱乐/短视频为主，虽有科技标签但与科技推广场景明显不匹配
320,UCPYhGjE9bpafqm9fYgEGQTg,Seggy Said,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPYhGjE9bpafqm9fYgEGQTg,-5,badcase,灵性娱乐短视频为主，AI/科技多为叙事包装，推广转化弱
324,UCGHdJQXNge_Dv7i9mGBC1zg,ariinbeijing,https://cn--xtb.noxinfluencer.com/youtube/channel/UCGHdJQXNge_Dv7i9mGBC1zg,-8,badcase,仅有AI/ChatGPT弱相关，近期以街访与语言内容为主，tech推广不匹配
328,UCnqA6eCBbOrcbq8pvXoONug,Token Empire,https://cn--xtb.noxinfluencer.com/youtube/channel/UCnqA6eCBbOrcbq8pvXoONug,-10,badcase,无tech直击标签，近10条全是加密货币/预售内容，泛科技推广不匹配
332,UCVN0y2A3e2i6za-rOOqQ36A,My Happy Crypto,https://cn--xtb.noxinfluencer.com/youtube/channel/UCVN0y2A3e2i6za-rOOqQ36A,-10,badcase,以加密货币交易为主，缺少科技产品推广语境，近10条均不匹配
360,UCJZfnLD8sz-Ty1GB0VGCogg,Cristy Verse,https://cn--xtb.noxinfluencer.com/youtube/channel/UCJZfnLD8sz-Ty1GB0VGCogg,-10,badcase,游戏+加密宣传为主，几乎没有科技产品推广语境
410,UClFjWrsaZmoXgnLY670wgeg,AI Adventure,https://cn--xtb.noxinfluencer.com/youtube/channel/UClFjWrsaZmoXgnLY670wgeg,10,badcase,有AI/technology相关，但内容以游戏娱乐梗短视频为主，推广科技产品弱
419,UC7Yd5FcFQxYL3IWRnqTiF8A,SURVIVAL DISPATCH NEWS,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7Yd5FcFQxYL3IWRnqTiF8A,-10,badcase,生存预警/政治新闻导向，最近10条与科技推广明显不匹配
423,UCLDVdlHp9_E4ExBG_xs5gmw,ᴄʀʏᴘʙᴜᴢᴢ,https://cn--xtb.noxinfluencer.com/youtube/channel/UCLDVdlHp9_E4ExBG_xs5gmw,-15,badcase,标签偏加密科技，但近10条全是运动挑战短视频，推广场景不匹配
442,UCej4ERq-by9BUl5SgiRRrQw,DeFiVerse,https://cn--xtb.noxinfluencer.com/youtube/channel/UCej4ERq-by9BUl5SgiRRrQw,-35,badcase,娱乐短视频和交易/潮鞋内容为主，与科技产品推广不匹配
450,UCvcDm4vKChbGGMi7D2a8iTw,Stronger AI,https://cn--xtb.noxinfluencer.com/youtube/channel/UCvcDm4vKChbGGMi7D2a8iTw,-35,badcase,娱乐短视频为主，AI标题偏叙事，不适合科技产品推广
459,UCvcDm4vKChbGGMi7D2a8iTw,Stronger AI,https://cn--xtb.noxinfluencer.com/youtube/channel/UCvcDm4vKChbGGMi7D2a8iTw,-20,badcase,以娱乐AI短片为主，缺少技术推广/评测场景
4757,UCBVAaHkKSwfzee79b7SPyPw,Stavvy's World,https://cn--xtb.noxinfluencer.com/youtube/channel/UCBVAaHkKSwfzee79b7SPyPw,-25,badcase,顶部多为 comedy/entertainment，脱口秀内容与科技推广明显不符
