rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,UCrzySfCZIMqhYlDsDqtpQ6w,HPad,https://cn--xtb.noxinfluencer.com/youtube/channel/UCrzySfCZIMqhYlDsDqtpQ6w,-5,badcase,虽有吸尘器标签，但主要是破坏娱乐内容，促销场景不匹配。
5,UC8fNxgl93pWAig9iJJIMpyA,Levsob,https://cn--xtb.noxinfluencer.com/youtube/channel/UC8fNxgl93pWAig9iJJIMpyA,-5,badcase,虽有吸尘器标签，但频道主内容是娱乐短剧情，明显不适合推广。
6,UCtirMQlaZ6ksFrpbKmPC2yA,Calming Ambience Sounds,https://cn--xtb.noxinfluencer.com/youtube/channel/UCtirMQlaZ6ksFrpbKmPC2yA,-5,badcase,标签直中但频道是助眠白噪音，强格式错配，不适合推广吸尘器
24,UCG9Kc_szc29vlUICXP0MM0w,AI reels,https://cn--xtb.noxinfluencer.com/youtube/channel/UCG9Kc_szc29vlUICXP0MM0w,-2,badcase,有吸尘器词但主体是AI短视频，促销格式严重不符
25,UCS9cJpWSQUOw4cIqC_ndSjQ,Sleeping Easy,https://cn--xtb.noxinfluencer.com/youtube/channel/UCS9cJpWSQUOw4cIqC_ndSjQ,-2,badcase,ASMR吸尘器白噪音频道，偏音频娱乐而非产品推广，近10条也均失配
27,UCPySskaPsPYeejViLabdONg,Vacuum Sensation,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPySskaPsPYeejViLabdONg,5,badcase,有直达词，但ASMR吸尘声内容是强格式错配，不适合做推广
29,UC1X7MdmCG0uh-Nxe4Yr81Sg,Her Cozy Rituals,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1X7MdmCG0uh-Nxe4Yr81Sg,-13,badcase,近期多是吸尘清洁ASMR，标签偏健身生活，投放格式不匹配
31,UC6i6ZM4NBogI6_9Jr7WTwlw,Ambience,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6i6ZM4NBogI6_9Jr7WTwlw,-5,badcase,ASMR吸尘器音效为主，偏放松聆听，不是产品推广场景
49,UCVf7VFzMDadwa9To0Izmegw,Serba Serbi,https://cn--xtb.noxinfluencer.com/youtube/channel/UCVf7VFzMDadwa9To0Izmegw,-7,badcase,标签不相关，近期虽有吸尘器短视频，但整体内容杂乱
50,UCReq2gJITMbr0vArn2MAEmQ,SMILEatTheDEALS,https://cn--xtb.noxinfluencer.com/youtube/channel/UCReq2gJITMbr0vArn2MAEmQ,-7,badcase,频道偏古董收藏，吸尘器多为旧货展示，不适合新品推广
52,UCUKcmsAb2t80-IArEn3iJKQ,YourPeacefulSound,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUKcmsAb2t80-IArEn3iJKQ,-2,badcase,虽有 vacuum cleaner 直命中，但内容是白噪音/睡眠声，不适合产品推广
53,UCSAVIfJoCVB0PIR0kL6hEqg,Shanice At Home,https://cn--xtb.noxinfluencer.com/youtube/channel/UCSAVIfJoCVB0PIR0kL6hEqg,-10,badcase,生活带货/出版类频道，无吸尘器相关标签，近10条全不匹配
59,UCekILbbHFXMZmd2DU2ujndg,CleanFlow ASMR,https://cn--xtb.noxinfluencer.com/youtube/channel/UCekILbbHFXMZmd2DU2ujndg,-22,badcase,白噪音/ASMR清洁流，属于强格式错配，不适合吸尘器推广
60,UCQJt1liRGafkw-sSeUk2TVw,Velvet Relax ASMR,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQJt1liRGafkw-sSeUk2TVw,-24,badcase,ASMR主导且近期多为放松清洁音频，和吸尘器推广错配
