rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,UC-b79wTDquaFDMHdVlMSZ4g,Forgotten History Files,https://cn.noxinfluencer.com/youtube/channel/UC-b79wTDquaFDMHdVlMSZ4g,0,badcase,无咖啡机相关信号，内容域不匹配
11,UCxa1-6tdkyOAXanjDWExaqQ,Pan Boroda,https://cn.noxinfluencer.com/youtube/channel/UCxa1-6tdkyOAXanjDWExaqQ,0,badcase,车/生活向，和咖啡机推广不匹配
17,UC2AUc-4_yMsFHLfPP9Ub8ZA,George Fan,https://cn.noxinfluencer.com/youtube/channel/UC2AUc-4_yMsFHLfPP9Ub8ZA,0,badcase,无相关内容信号，难以用于推广
23,UC8Nr144OO16a0Vt8kTXGYsg,Billy Aiken,https://cn.noxinfluencer.com/youtube/channel/UC8Nr144OO16a0Vt8kTXGYsg,0,badcase,财经动机类，与咖啡机推广无关
28,UCyx8oMDV6UUTj9DUQZmu_lw,Mind Over Mess,https://cn.noxinfluencer.com/youtube/channel/UCyx8oMDV6UUTj9DUQZmu_lw,5,badcase,ASMR清洁/补货格式不适合咖啡机推广
30,UCE5Y-aXhtlu797qUNU1znfA,bzzim m,https://cn.noxinfluencer.com/youtube/channel/UCE5Y-aXhtlu797qUNU1znfA,0,badcase,无相关标签或视频，缺少可投放证据
34,UCEkuogE57xac9EPZ3EZwWIg,Morgan Eckroth,https://cn.noxinfluencer.com/youtube/channel/UCEkuogE57xac9EPZ3EZwWIg,0,badcase,无咖啡或家电标签，相关性不足
41,UCA3uN7IN2GClwa4OslN4DAw,Mrr Little,https://cn.noxinfluencer.com/youtube/channel/UCA3uN7IN2GClwa4OslN4DAw,0,badcase,无相关标签，和咖啡机推广不匹配
45,UC0bXm7SnF_ssc47s6Ab8Yhg,Jack Du,https://cn.noxinfluencer.com/youtube/channel/UC0bXm7SnF_ssc47s6Ab8Yhg,0,badcase,无相关标签，和咖啡机推广不匹配
47,UC2cDae0GAy9ytVEmkFi4i5g,Hoon's Coffee,https://cn.noxinfluencer.com/youtube/channel/UC2cDae0GAy9ytVEmkFi4i5g,0,badcase,无咖啡相关标签，证据过弱
49,UCQRwnN5O01LpT_gJ-ZKAz8g,Nealie Boschma,https://cn.noxinfluencer.com/youtube/channel/UCQRwnN5O01LpT_gJ-ZKAz8g,0,badcase,短视频时尚号，无产品推广相关证据
53,UCXB3Nt_Zk9c5Vp4EWSZPcLQ,ChillSnap,https://cn.noxinfluencer.com/youtube/channel/UCXB3Nt_Zk9c5Vp4EWSZPcLQ,-15,badcase,ASMR放松频道，内容形态与小家电推广明显错位
55,UCEx3_RBoQQ6HbsJl_EuAUOg,Purity Sin Gaming,https://cn.noxinfluencer.com/youtube/channel/UCEx3_RBoQQ6HbsJl_EuAUOg,-10,badcase,游戏娱乐频道，和咖啡机推广场景不匹配
63,UCYjSxwrpOInzuU1hz1l9FsA,Imran Ahmed Khan,https://cn.noxinfluencer.com/youtube/channel/UCYjSxwrpOInzuU1hz1l9FsA,0,badcase,无有效标签与内容证据，相关性不足
