rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,UC-b79wTDquaFDMHdVlMSZ4g,Forgotten History Files,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-b79wTDquaFDMHdVlMSZ4g,0,badcase,历史叙事频道，咖啡机只是标签残留，近期内容完全跑偏
10,UCRUbMWqqTVV1UIUe6AZgMyw,TOPSFLO Micro Pump,https://cn--xtb.noxinfluencer.com/youtube/channel/UCRUbMWqqTVV1UIUe6AZgMyw,0,badcase,只讲咖啡机泵方案，偏零件/B2B，不适合整机推广
21,UCQejwlr91D4nSUEMX3Bfkfg,Versus Lab,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQejwlr91D4nSUEMX3Bfkfg,-10,badcase,近10期全是炒锅测评，与咖啡机无关
32,UClACkwySPPiNneu8pGT5mHA,Penglai Machine,https://cn--xtb.noxinfluencer.com/youtube/channel/UClACkwySPPiNneu8pGT5mHA,-15,badcase,工业包装机械频道，不适合咖啡机推广
39,UC0m33OrU-_JpvIjxyh3RtyQ,BrewTube Cafe: Coffee Creations,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0m33OrU-_JpvIjxyh3RtyQ,-22,badcase,ASMR/氛围音频道，不适合咖啡机推广
47,UCJKKIWM-xxS9JY7yCwFK-HA,SirCraze,https://cn--xtb.noxinfluencer.com/youtube/channel/UCJKKIWM-xxS9JY7yCwFK-HA,-22,badcase,ATV/骑行频道，和咖啡机受众不相干
51,UCvBIv0lK8_WCNQveoAPktUg,Car Sharing Jho,https://cn--xtb.noxinfluencer.com/youtube/channel/UCvBIv0lK8_WCNQveoAPktUg,-4,badcase,有少量咖啡内容，但主体是汽车/车行，缺少咖啡机推广能力
52,UCb4qATmXQ933t5lSA6GlpRw,Weekly Coffee Dose,https://cn--xtb.noxinfluencer.com/youtube/channel/UCb4qATmXQ933t5lSA6GlpRw,0,badcase,无标签、无视频证据，无法证明与咖啡机推广相关
53,UC60QFXXU0r5ljxqA77grPyw,Doug Wollman,https://cn--xtb.noxinfluencer.com/youtube/channel/UC60QFXXU0r5ljxqA77grPyw,-8,badcase,ASMR/安静氛围型频道，虽有咖啡器具视频但推广格式明显不匹配
75,UCyx8oMDV6UUTj9DUQZmu_lw,Mind Over Mess,https://cn--xtb.noxinfluencer.com/youtube/channel/UCyx8oMDV6UUTj9DUQZmu_lw,-5,badcase,虽有咖啡机标签，但频道主轴是清洁ASMR收纳，近期全是清洁内容
86,UC-W2u7Y8i_6jmeTEtQqUqJQ,Stemon,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-W2u7Y8i_6jmeTEtQqUqJQ,-10,badcase,工业粉碎/混料设备为主，和家用咖啡机推广场景不匹配
89,UC0-wGG4qZI6D2M7qwkyjGnA,Coffee and Tools,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0-wGG4qZI6D2M7qwkyjGnA,-10,badcase,工具与太阳能内容为主，和咖啡机类目关联弱
90,UC0bXm7SnF_ssc47s6Ab8Yhg,Jack Du,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0bXm7SnF_ssc47s6Ab8Yhg,-10,badcase,包装机械频道，近期是咖啡包装线，不是咖啡机
91,UC19syw_O9tICDkb8jq4iTaw,FUBO PACKAGING MACHINERY,https://cn--xtb.noxinfluencer.com/youtube/channel/UC19syw_O9tICDkb8jq4iTaw,-10,badcase,家电评测与厨房类目宽泛相关，但近10条无咖啡机
95,UC28pLRWhwtbDvoHbzPNPmcQ,Romiter Machinery,https://cn--xtb.noxinfluencer.com/youtube/channel/UC28pLRWhwtbDvoHbzPNPmcQ,-15,badcase,工业机械厂，和咖啡机受众不符
98,UC3z1Viu8O8Wy7SW3uzzYnaw,"Ruian Huajing Machinery Co., Ltd.",https://cn--xtb.noxinfluencer.com/youtube/channel/UC3z1Viu8O8Wy7SW3uzzYnaw,-15,badcase,咖啡杯盖热成型设备为主，不是咖啡机
