rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
46,UCF78m6pVdDJ6zu6AS04KPSQ,A2zsyt,https://cn--xtb.noxinfluencer.com/youtube/channel/UCF78m6pVdDJ6zu6AS04KPSQ,10,badcase,标签有fashion但内容几乎全是理工科教育
65,UC6GTOYdZ5tXXsIwhzQqebwA,Illumitati,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6GTOYdZ5tXXsIwhzQqebwA,3,badcase,近期多为娱乐和梗图，时尚只是零散露出，转化弱
69,UCfsmv7KdgORNv9h-R6i_1PA,WIN EDIT,https://cn--xtb.noxinfluencer.com/youtube/channel/UCfsmv7KdgORNv9h-R6i_1PA,10,badcase,音乐剪辑为主，时尚只是素材，不适合服饰推广
74,UC0T4NyBrRdaYBeH5Q4wyyPA,Zayd Makhmud,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0T4NyBrRdaYBeH5Q4wyyPA,12,badcase,游戏/表情包为主，近10条多为日期占位，时尚弱
82,UC4qtZykyiblnEUkMKmQYNqA,eryten rggg034,https://cn--xtb.noxinfluencer.com/youtube/channel/UC4qtZykyiblnEUkMKmQYNqA,1,badcase,虽有fashion标签，但主体是动漫/游戏/搞笑短视频，不适合时尚推广
103,UCsOR4Z77u07Q2ud_lovQhqw,Elijah Monroe,https://cn--xtb.noxinfluencer.com/youtube/channel/UCsOR4Z77u07Q2ud_lovQhqw,1,badcase,虽有fashion标签，但近10条以歌词视频为主，格式不匹配
124,UC0yGfNo20w7AASCgJin3qIg,Dolphin,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0yGfNo20w7AASCgJin3qIg,-5,badcase,虽有fashion标签，但最新10条全是音乐视频，属于明显错配
131,UCaVsilrJGSYLYRaNZqvRbDg,Fun With Zartasha,https://cn--xtb.noxinfluencer.com/youtube/channel/UCaVsilrJGSYLYRaNZqvRbDg,0,badcase,家庭短视频为主，时尚无产品推广语境，近10条都不匹配
143,UC3xzo6-CVcvY6exQoLyVv1g,Monster Story,https://cn--xtb.noxinfluencer.com/youtube/channel/UC3xzo6-CVcvY6exQoLyVv1g,1,badcase,动物娱乐内容混杂，时尚词不足以支撑推广
147,UCtTMpe5wXHqUa4o9ol2PYfw,Chicklet & Maleni,https://cn--xtb.noxinfluencer.com/youtube/channel/UCtTMpe5wXHqUa4o9ol2PYfw,0,badcase,播客八卦娱乐为主，不适合服饰转化
168,UCjlddd4BeK028Av428tFDkw,Grey’s World,https://cn--xtb.noxinfluencer.com/youtube/channel/UCjlddd4BeK028Av428tFDkw,10,badcase,娱乐家庭向内容占主导，时尚只是附属标签，推广不稳
197,UCtWgnB49MSR13eOK553S6NA,Fashion & Flow,https://cn--xtb.noxinfluencer.com/youtube/channel/UCtWgnB49MSR13eOK553S6NA,-5,badcase,主轴是音乐配乐，和时尚推广的内容格式不符
206,UC9U9sGb_eXUsXbqY4RUaeCg,Curvy Lens,https://cn--xtb.noxinfluencer.com/youtube/channel/UC9U9sGb_eXUsXbqY4RUaeCg,-1,badcase,虽有fashion标签，但主体是人物百科/模特资料，促销适配差
208,UCm97h2a-LI7dcAEuFxJG0yw,perfectC,https://cn--xtb.noxinfluencer.com/youtube/channel/UCm97h2a-LI7dcAEuFxJG0yw,-1,badcase,以舞蹈娱乐为主，时尚只是标题噪音，带货适配很差
219,UC1OsB1tPvXtpYxn2prHmsBw,Jennifer Ngo,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1OsB1tPvXtpYxn2prHmsBw,0,badcase,虽有fashion标签，但近期以ASMR/满足系娱乐为主
227,UCFj28TzEfGGQCPSDZEsXgmQ,Tokischa,https://cn--xtb.noxinfluencer.com/youtube/channel/UCFj28TzEfGGQCPSDZEsXgmQ,0,badcase,音乐娱乐为主，近10条几乎无时尚推广场景
243,UCLl5Fkt4JptozhdbNi_NvRw,Fashion Wow,https://cn--xtb.noxinfluencer.com/youtube/channel/UCLl5Fkt4JptozhdbNi_NvRw,-5,badcase,命中时尚词但主体是动画变装娱乐，产品推广场景不合适
253,UCG6j4EeJ7s_-8Xe_5Tv2xjQ,AIllusions,https://cn--xtb.noxinfluencer.com/youtube/channel/UCG6j4EeJ7s_-8Xe_5Tv2xjQ,8,badcase,AI时尚秀偏娱乐展示，不是商品推广型频道
265,UC48DOiEvCDu3sThBijwkQ1A,juicystar07,https://cn--xtb.noxinfluencer.com/youtube/channel/UC48DOiEvCDu3sThBijwkQ1A,12,badcase,近期几乎全是storytime，时尚推广承接力弱
276,UC1XUDNlTtcmpFgdF6hatRjQ,Noa Tishby,https://cn--xtb.noxinfluencer.com/youtube/channel/UC1XUDNlTtcmpFgdF6hatRjQ,0,badcase,政治人权频道，fashion 只是边缘标签，近10条几乎全不相关
283,UCuLe-2WXP_8HSbR0RXzmslA,Mahesh MG Gholve,https://cn--xtb.noxinfluencer.com/youtube/channel/UCuLe-2WXP_8HSbR0RXzmslA,0,badcase,标签有fashion但近期全是体育新闻，主题与推广场景严重错位
298,UCLKQoTgt5BwFJJKWyeXHbig,safiya shorts,https://cn--xtb.noxinfluencer.com/youtube/channel/UCLKQoTgt5BwFJJKWyeXHbig,0,badcase,虽有fashion标签，但近期多宠物、蜡烛和娱乐内容，偏离明显
307,UCi1o1XEwf0efNMDrk15Msew,SP Show,https://cn--xtb.noxinfluencer.com/youtube/channel/UCi1o1XEwf0efNMDrk15Msew,4,badcase,娱乐短视频为主，时尚标签偏泛，推广不适合
343,UCcglI0AKYiCNqgSB-ezDesQ,Seegi Makeup,https://cn--xtb.noxinfluencer.com/youtube/channel/UCcglI0AKYiCNqgSB-ezDesQ,-5,badcase,定格纸艺/ASMR风格，虽有fashion词但不适合真实服装推广
362,UCEr55381WIqO1w_IzgcI5DQ,Anwar Jibawi,https://cn--xtb.noxinfluencer.com/youtube/channel/UCEr55381WIqO1w_IzgcI5DQ,0,badcase,以搞笑娱乐为主，虽有Fashion标签但近期内容与穿搭推广不符
379,UC-4mIX9ls8ROVk9ApfeYf5w,French Montana,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-4mIX9ls8ROVk9ApfeYf5w,0,badcase,频道主轴是音乐娱乐，时尚只是附带标签
392,UC7hqLcR6E-M7br0vkTFQG1Q,chronic fashion,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7hqLcR6E-M7br0vkTFQG1Q,-5,badcase,游戏穿搭，非时尚商品推广场景
404,UCuThV_Tomey6fYwRckBol9Q,Style Scope,https://cn--xtb.noxinfluencer.com/youtube/channel/UCuThV_Tomey6fYwRckBol9Q,-5,badcase,近期几乎全是ASMR/助眠/故事，时尚推广场景严重不匹配
407,UCPmQPPYvZGzUG4fjxenkT8g,Imbadkidjay,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPmQPPYvZGzUG4fjxenkT8g,0,badcase,游戏娱乐为主，时尚标签偏弱，近期内容不利于服饰推广
