rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,UC9HMNn0WUUdfx5mJ7eVx_-Q,Smart Agricultural Equipment,https://cn.noxinfluencer.com/youtube/channel/UC9HMNn0WUUdfx5mJ7eVx_-Q,0,badcase,标签过少，缺少割草机相关证据
5,UCw9UnS-amGQga3rhvzGqcYA,Super Krew,https://cn.noxinfluencer.com/youtube/channel/UCw9UnS-amGQga3rhvzGqcYA,5,badcase,儿童玩乐频道，草坪机推广场景不匹配
9,UC3EnCMGIwSqLUSlaYILlgxQ,Schneider & Son,https://cn.noxinfluencer.com/youtube/channel/UC3EnCMGIwSqLUSlaYILlgxQ,0,badcase,无标签无内容证据
13,UCU3gQGhk0lYK-fKOR0sopgg,CarsandCameras,https://cn.noxinfluencer.com/youtube/channel/UCU3gQGhk0lYK-fKOR0sopgg,0,badcase,汽车/卡丁车内容，缺少草坪机证据
20,UCi71_6BH_4IknooDc5BpRWA,Best Lawn Mowers,https://cn.noxinfluencer.com/youtube/channel/UCi71_6BH_4IknooDc5BpRWA,-10,badcase,体育足球娱乐标签主导，与草坪机推广不符
23,UCyCVQsbOMQpk0S-Kqx92LXw,Boonslick Equipment,https://cn.noxinfluencer.com/youtube/channel/UCyCVQsbOMQpk0S-Kqx92LXw,0,badcase,标签几乎无相关线索，证据过弱
26,UCRYTHQdVVOy3EI_KBezw29A,Vintage Moments,https://cn.noxinfluencer.com/youtube/channel/UCRYTHQdVVOy3EI_KBezw29A,-15,badcase,娱乐+老广告内容，和产品推广场景不匹配
27,UC-J9tlS17r5mLQ4aYiojV3Q,Lazy Grandpa's Garage,https://cn.noxinfluencer.com/youtube/channel/UC-J9tlS17r5mLQ4aYiojV3Q,0,badcase,标签为空，缺少可判断的相关证据
30,UCpH76SieU--EG2A11wxcq7g,He. Andrew,https://cn.noxinfluencer.com/youtube/channel/UCpH76SieU--EG2A11wxcq7g,-15,badcase,娱乐/搞笑/慢镜头为主，和产品推广场景不匹配
32,UCso4Ur7dreUJh8ehPqO4LJw,Steve Jessup,https://cn.noxinfluencer.com/youtube/channel/UCso4Ur7dreUJh8ehPqO4LJw,10,badcase,喜剧播客取向强，割草机词更像人设而非推广场景
41,UCLcco9E21Z_ARim0VM6EKIQ,Hillbilly Blueprints,https://cn.noxinfluencer.com/youtube/channel/UCLcco9E21Z_ARim0VM6EKIQ,-5,badcase,游戏和越野资讯为主，不适合割草机推广
52,UCFvj_I4oLmGjfkZmp5UNY7A,Air Ratchet Garage,https://cn.noxinfluencer.com/youtube/channel/UCFvj_I4oLmGjfkZmp5UNY7A,0,badcase,车库工具向，缺少割草机相关证据
56,UCUp9imM6sZqkgZw58hsQIZQ,Average Maintenance,https://cn.noxinfluencer.com/youtube/channel/UCUp9imM6sZqkgZw58hsQIZQ,0,badcase,泛生活/科技向，缺少 lawn mower 相关性
58,UCH5_GxLN3mv0GmXZOoCllNg,BTECK,https://cn.noxinfluencer.com/youtube/channel/UCH5_GxLN3mv0GmXZOoCllNg,0,badcase,无标签/视频证据，相关性不足
67,UCrFbpwEEYsRZDli-AEfCWFw,Square2448,https://cn.noxinfluencer.com/youtube/channel/UCrFbpwEEYsRZDli-AEfCWFw,10,badcase,游戏模拟语境，不适合卖割草机
68,UCvG-mX0rWIsKOQ_e6AvhCeA,Mow It Wells,https://cn.noxinfluencer.com/youtube/channel/UCvG-mX0rWIsKOQ_e6AvhCeA,5,badcase,ASMR割草内容，明显是声音/观赏向
71,UC5WEDSpOj5kotV7a7PJ1iMQ,Geo Programmer,https://cn.noxinfluencer.com/youtube/channel/UC5WEDSpOj5kotV7a7PJ1iMQ,0,badcase,无割草机或园艺推广相关信号
74,UCWU6gCZsOnmOP_ypWd_KNYA,D.R.C. Productions,https://cn.noxinfluencer.com/youtube/channel/UCWU6gCZsOnmOP_ypWd_KNYA,0,badcase,无标签、无内容证据，无法判断相关
78,UCXqgb_iVJtmE73ycq43ZZwA,Kid Crew,https://cn.noxinfluencer.com/youtube/channel/UCXqgb_iVJtmE73ycq43ZZwA,5,badcase,儿童向内容，成人割草机推广匹配差
84,UCaQSXrk9g3aw-OBwxFmVPmg,Visack72,https://cn.noxinfluencer.com/youtube/channel/UCaQSXrk9g3aw-OBwxFmVPmg,0,badcase,标签泛娱乐，和割草机无关
86,UCM29JpL4J9yvc4lAlQcw3yA,Arts3D,https://cn.noxinfluencer.com/youtube/channel/UCM29JpL4J9yvc4lAlQcw3yA,0,badcase,无标签与内容证据，难以相关
