rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
8,UCw9UnS-amGQga3rhvzGqcYA,Super Krew,https://cn--xtb.noxinfluencer.com/youtube/channel/UCw9UnS-amGQga3rhvzGqcYA,-5,badcase,儿童娱乐频道，虽有产品词但不适合做割草机推广
28,UCPXXG0mMXuNopVsb_9xoJDA,Satisfying Lawn Care Videos,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPXXG0mMXuNopVsb_9xoJDA,-25,badcase,标签是游戏，近期又是ASMR草坪短片，和割草机推广场景不匹配
43,UCSavPw3cMUdBItSLBS0oeZg,dramanew,https://cn--xtb.noxinfluencer.com/youtube/channel/UCSavPw3cMUdBItSLBS0oeZg,-25,badcase,剧情/故事型频道，近10条几乎全不适合卖割草机
44,UCzqBuhTIXYYTL1fSzaXvwnQ,Shanti Regan,https://cn--xtb.noxinfluencer.com/youtube/channel/UCzqBuhTIXYYTL1fSzaXvwnQ,-13,badcase,木工/杂项为主，仅少量草坪词，推广割草机不匹配
69,UCKs7-oGzd8G24cEWbk_lcKA,Chris Rollins,https://cn--xtb.noxinfluencer.com/youtube/channel/UCKs7-oGzd8G24cEWbk_lcKA,-5,badcase,标题虽含割草机，但核心是慢动作/娱乐整活，不适合
105,UCEdYYZg_pcPAKQ5puFGKzig,Satisfying-Lawn,https://cn--xtb.noxinfluencer.com/youtube/channel/UCEdYYZg_pcPAKQ5puFGKzig,-20,badcase,短剧/故事向内容为主，不适合推广 lawn mower
118,UCh8mgK_A16XHfjfJyPdXoOg,RetroMowers,https://cn--xtb.noxinfluencer.com/youtube/channel/UCh8mgK_A16XHfjfJyPdXoOg,-17,badcase,以时尚娱乐为主，割草相关只是戏仿，不适合推广
138,UC8y9SfJyCw6_xdg-joNaXlA,MakeShiftGarage,https://cn--xtb.noxinfluencer.com/youtube/channel/UC8y9SfJyCw6_xdg-joNaXlA,-9,badcase,汽车修理/车展为主，与 lawn mower 关联弱且近期不符
139,UCsfHHLD8NiBA-TQb4pNS1AA,Dohc Holiday customs,https://cn--xtb.noxinfluencer.com/youtube/channel/UCsfHHLD8NiBA-TQb4pNS1AA,-10,badcase,自定义 moped/scooter 内容为主，lawn mower 仅是零星 hashtag
142,UCrFbpwEEYsRZDli-AEfCWFw,Square2448,https://cn--xtb.noxinfluencer.com/youtube/channel/UCrFbpwEEYsRZDli-AEfCWFw,-2,badcase,农场模拟游戏频道，真实割草机投放不合适
147,UCAYXR5eEASm9XYDT9lr_qVA,777 Auction Company,https://cn--xtb.noxinfluencer.com/youtube/channel/UCAYXR5eEASm9XYDT9lr_qVA,-10,badcase,车辆拍卖频道，和割草机推广无关
162,UCQkiplgkZ_ms1ztYpZKf3IQ,Samko Trad Bow,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQkiplgkZ_ms1ztYpZKf3IQ,-25,badcase,狩猎/弓箭频道，和割草机消费场景不匹配
163,UCnve3s6oVSSIrQ2uCI6wJZw,MeeP,https://cn--xtb.noxinfluencer.com/youtube/channel/UCnve3s6oVSSIrQ2uCI6wJZw,-23,badcase,游戏频道为主，近期多为无关娱乐内容
177,UCEvMaEeDbt4VnevfmFzXK6g,Mow It Wells Shorts,https://cn--xtb.noxinfluencer.com/youtube/channel/UCEvMaEeDbt4VnevfmFzXK6g,3,badcase,虽有mowing标签，但ASMR/oddly satisfying格式与产品推广不匹配
180,UCR9765Boybvdqcf_TF86KOA,CRACKED HOUSING FAB,https://cn--xtb.noxinfluencer.com/youtube/channel/UCR9765Boybvdqcf_TF86KOA,-9,badcase,近期多为改装/漂移内容，非草坪机购买或评测场景
185,UCnctwyKFsCAAe_sd1K7hrmA,Life With Brian Lofty,https://cn--xtb.noxinfluencer.com/youtube/channel/UCnctwyKFsCAAe_sd1K7hrmA,1,badcase,ASMR/满意类割草内容，产品推广格式明显不匹配
186,UCxO1WbPs9HWKgpDwPxYSUHw,Tool Up Handyman,https://cn--xtb.noxinfluencer.com/youtube/channel/UCxO1WbPs9HWKgpDwPxYSUHw,-10,badcase,汽车维修向，和 lawn mower 主题基本无关
187,UCMcCAix0u6yIvFvRY6vpg3Q,Killer Fuzz,https://cn--xtb.noxinfluencer.com/youtube/channel/UCMcCAix0u6yIvFvRY6vpg3Q,-6,badcase,有草坪护理内容，但频道混合鱼类/ASMR，推广适配偏弱
197,UCNutCLP7G8gRrASkUtyNKMw,Minh Huy LQ,https://cn--xtb.noxinfluencer.com/youtube/channel/UCNutCLP7G8gRrASkUtyNKMw,-15,badcase,稻谷收割机内容，与家用割草机推广场景不符
201,UCXNipNRV-wL7p5Gq9wCc1Ng,The HOA Insider,https://cn--xtb.noxinfluencer.com/youtube/channel/UCXNipNRV-wL7p5Gq9wCc1Ng,-22,badcase,故事/HOA频道，零散提词不构成产品受众
204,UCFu8BlhP8v6OM6z0y_E0vug,TN - Creative Project,https://cn--xtb.noxinfluencer.com/youtube/channel/UCFu8BlhP8v6OM6z0y_E0vug,-15,badcase,手作/木工频道与割草机推广关联很弱
209,UCnkBe_V_v_C1BvpiF0G1U5Q,GDaYARDman,https://cn--xtb.noxinfluencer.com/youtube/channel/UCnkBe_V_v_C1BvpiF0G1U5Q,-5,badcase,ASMR/舒缓型格式与产品推广强冲突
222,UC9JeihYy268H18beICx9kXA,MVN Motorsports,https://cn--xtb.noxinfluencer.com/youtube/channel/UC9JeihYy268H18beICx9kXA,-20,badcase,赛车对战型内容，卖割草机的适配性差
229,UCKC1y-TpzTXOsBpqyNYpbDQ,Restorations Tools,https://cn--xtb.noxinfluencer.com/youtube/channel/UCKC1y-TpzTXOsBpqyNYpbDQ,-15,badcase,修复类内容与割草机促销不匹配
230,UCa5vXRgNvNx00vXykmAsQBg,Minh Qui Vlogs,https://cn--xtb.noxinfluencer.com/youtube/channel/UCa5vXRgNvNx00vXykmAsQBg,-15,badcase,农机收割向，不是草坪割草机赛道
246,UC0hMkxoyXGNusDFTIoPCh3Q,Mujahid Shohel,https://cn--xtb.noxinfluencer.com/youtube/channel/UC0hMkxoyXGNusDFTIoPCh3Q,-8,badcase,近10条多数与割草机无关，缺少明确推广场景
255,UC5ZxJKZI74cmupCqrB-UioQ,WorldKnow,https://cn--xtb.noxinfluencer.com/youtube/channel/UC5ZxJKZI74cmupCqrB-UioQ,-20,badcase,无标签且近期全是剧情冲突叙事，不适合卖割草机
256,UC7XRRxgwoSm5dgWzWmo_Fbg,Lawnster Mowing,https://cn--xtb.noxinfluencer.com/youtube/channel/UC7XRRxgwoSm5dgWzWmo_Fbg,-20,badcase,ASMR割草内容偏感官娱乐，和产品推广格式冲突
263,UCrW5mKz-7RQWgMROfNe6Ocw,RC JAY,https://cn--xtb.noxinfluencer.com/youtube/channel/UCrW5mKz-7RQWgMROfNe6Ocw,-15,badcase,链锯砍树内容为主，和割草机推广场景不匹配
269,UC6WgD7wYTDHh8Pdl-saOOlw,Ideas for Our Time,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6WgD7wYTDHh8Pdl-saOOlw,-20,badcase,以AI梗图和泛户外内容为主，割草机只是偶发提及
274,UCZ6CZMbfTkEFRPSweFRzb0Q,Johnny Hutson,https://cn--xtb.noxinfluencer.com/youtube/channel/UCZ6CZMbfTkEFRPSweFRzb0Q,-17,badcase,娱乐搞笑为主，割草机只是顺带提及
277,UCut-AlZrONZXFET0qPahvUw,Dashing in the D,https://cn--xtb.noxinfluencer.com/youtube/channel/UCut-AlZrONZXFET0qPahvUw,-21,badcase,短视频搞笑搬运，产品词只是插入式提及
286,UC-fU_-yuEwnVY7F-mVAfO6w,Open Circuit RC & Tech,https://cn--xtb.noxinfluencer.com/youtube/channel/UC-fU_-yuEwnVY7F-mVAfO6w,-10,badcase,RC和电子评测为主，和 lawn mower 关联太弱
293,UCV9E-EZUlDhzGwWCnRdGV1g,Diy Lord Farm,https://cn--xtb.noxinfluencer.com/youtube/channel/UCV9E-EZUlDhzGwWCnRdGV1g,-15,badcase,以迷你农机科学项目和ASMR为主，不是消费级割草机受众
294,UCgjvVXG-TjqKxXSFP3dJ59A,Trash or Treasure?,https://cn--xtb.noxinfluencer.com/youtube/channel/UCgjvVXG-TjqKxXSFP3dJ59A,-16,badcase,剧情短视频为主，园艺/割草多是标题点缀，不适合卖货
