rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
7,UCUTyRDr9A6FZsCvkeiQrd4w,My Cute Pomeranian,https://cn.noxinfluencer.com/youtube/channel/UCUTyRDr9A6FZsCvkeiQrd4w,-15,badcase,故事/惊悚娱乐为主，与宠物食品推广明显不符
11,UCd9Mk3xE7o4KSykpQNbRonQ,BalchemANH,https://cn.noxinfluencer.com/youtube/channel/UCd9Mk3xE7o4KSykpQNbRonQ,0,badcase,泛科普与农业向，缺少宠物食品推广语境
16,UCsi0ttIib6iEhWvGQVm94QA,Poodle Family,https://cn.noxinfluencer.com/youtube/channel/UCsi0ttIib6iEhWvGQVm94QA,0,badcase,无标签无内容信号，无法判断相关性
18,UCVyopZsoS91MU_-pwqg1b4g,ShoppingTv,https://cn.noxinfluencer.com/youtube/channel/UCVyopZsoS91MU_-pwqg1b4g,0,badcase,空标签空内容，缺少任何相关信号
20,UCnkHaip0YYyckHI074c444A,Gunbam Cutie,https://cn.noxinfluencer.com/youtube/channel/UCnkHaip0YYyckHI074c444A,5,badcase,直接命中但ASMR/睡眠格式冲突，适合度偏低
21,UCFBGleFWjbiZ5LJgpb0D0FQ,Golden Retriever Duobao,https://cn.noxinfluencer.com/youtube/channel/UCFBGleFWjbiZ5LJgpb0D0FQ,0,badcase,无标签与内容线索，缺少宠物食品推广相关性
29,UCHzogYDGS6nihFLkiYw6iNQ,Gadget Fusion 5,https://cn.noxinfluencer.com/youtube/channel/UCHzogYDGS6nihFLkiYw6iNQ,0,badcase,无宠物食品相关标签或内容，基本不相关
32,UCQOR5alhYXDNPiC5om0uiZg,Kiki and Bonbon,https://cn.noxinfluencer.com/youtube/channel/UCQOR5alhYXDNPiC5om0uiZg,-9,badcase,宠物吃播/ASMR，物理宠物食品推广场景不匹配
38,UCOCFVAOVOkfZTOlu3sxKZ_Q,Wutelz,https://cn.noxinfluencer.com/youtube/channel/UCOCFVAOVOkfZTOlu3sxKZ_Q,-15,badcase,游戏频道，与宠物食品推广完全不相关
43,UCiGcokmNvo-f2OxqviT0cKA,Pet Reacts: LOL Edition!,https://cn.noxinfluencer.com/youtube/channel/UCiGcokmNvo-f2OxqviT0cKA,-15,badcase,动画娱乐向，缺少宠粮推广场景
48,UCa5NNydb5xIiju8Z7au7htg,Ideal Farming,https://cn.noxinfluencer.com/youtube/channel/UCa5NNydb5xIiju8Z7au7htg,-10,badcase,ASMR农场向，和宠粮推广形式不匹配
49,UC24vt2DadgsExVUXWt4E8sg,Eating Dogs,https://cn.noxinfluencer.com/youtube/channel/UC24vt2DadgsExVUXWt4E8sg,-10,badcase,娱乐向内容，推广宠粮场景偏差大
53,UCZ7wyEoUFqBrRWA9_6Hj9yw,Rocket The Iguana,https://cn.noxinfluencer.com/youtube/channel/UCZ7wyEoUFqBrRWA9_6Hj9yw,-10,badcase,ASMR娱乐为主，和宠粮推广格式冲突
58,UCS6JRIepDEKsW4BumsSYkWQ,PKT UP,https://cn.noxinfluencer.com/youtube/channel/UCS6JRIepDEKsW4BumsSYkWQ,-15,badcase,娱乐答题频道，和宠粮推广不匹配
60,UCMcE4tg412Lz0GmqId_hcwQ,Me Ai  Animation TV,https://cn.noxinfluencer.com/youtube/channel/UCMcE4tg412Lz0GmqId_hcwQ,0,badcase,无标签无内容，缺少相关性证据
63,UCmFUCCyiVgERFKmoZNe2dvg,Wild Hoshi,https://cn.noxinfluencer.com/youtube/channel/UCmFUCCyiVgERFKmoZNe2dvg,-8,badcase,ASMR格式与宠物食品推广明显不匹配
67,UCj8qlV0-4cEFJnV0ZX_SJsg,SIMA TH 92,https://cn.noxinfluencer.com/youtube/channel/UCj8qlV0-4cEFJnV0ZX_SJsg,0,badcase,宠物词只在尾部露出，主题基本不相关
70,UCgoOKrgNFbPvBMUpC2IEU5A,Bicolana Sa America,https://cn.noxinfluencer.com/youtube/channel/UCgoOKrgNFbPvBMUpC2IEU5A,0,badcase,以翻找食物为主，与宠物食品推广不符
78,UCx86b9-td6cTLFI4qM2QYlg,Li Mo,https://cn.noxinfluencer.com/youtube/channel/UCx86b9-td6cTLFI4qM2QYlg,-10,badcase,ASMR/舒缓型内容，与宠物食品推广场景不匹配
79,UCRCaqxCYfLmGNKAWlpXdU4A,Bà Già Review,https://cn.noxinfluencer.com/youtube/channel/UCRCaqxCYfLmGNKAWlpXdU4A,0,badcase,偏家常做菜内容，缺少宠物受众和喂养场景
85,UCbK9lZUnc-Pz1YEEed_pWYw,Zimal's Diary,https://cn.noxinfluencer.com/youtube/channel/UCbK9lZUnc-Pz1YEEed_pWYw,0,badcase,无标签无视频，缺乏可判断的相关性
87,UCS2qMWCYdmvVH1zVsVWF8qQ,BETTER LIFE PHILLIPINES,https://cn.noxinfluencer.com/youtube/channel/UCS2qMWCYdmvVH1zVsVWF8qQ,0,badcase,旅行灵异类内容，与宠粮推广不相关
90,UCal8iLbvvoIBvnrk9nKJ4-A,Diablo Ruby & Bane,https://cn.noxinfluencer.com/youtube/channel/UCal8iLbvvoIBvnrk9nKJ4-A,0,badcase,美食号为主，与宠物食品受众不匹配
91,UCi0hTpaLV4_Mg6pqTNrpHeg,KingOfAquariums,https://cn.noxinfluencer.com/youtube/channel/UCi0hTpaLV4_Mg6pqTNrpHeg,0,badcase,反应娱乐向，和宠物食品无关
93,UCTp62kR9ahSGj1T9PjInm0A,sen sen,https://cn.noxinfluencer.com/youtube/channel/UCTp62kR9ahSGj1T9PjInm0A,0,badcase,生活娱乐向，缺少宠物食品相关信号
95,UCutUv2A6NxOyiF0Fk43TRbA,KABOOM!,https://cn.noxinfluencer.com/youtube/channel/UCutUv2A6NxOyiF0Fk43TRbA,0,badcase,泛娱乐加生活窍门，和宠物食品关联弱
96,UCJ2HMjSPrAp7x2JELObeb-A,More Media Production,https://cn.noxinfluencer.com/youtube/channel/UCJ2HMjSPrAp7x2JELObeb-A,0,badcase,科技拍摄向，和宠物食品基本无关
98,UClxuDTo2dElLqpDQ5tx1Zew,UNIQUE CREATIVITY,https://cn.noxinfluencer.com/youtube/channel/UClxuDTo2dElLqpDQ5tx1Zew,0,badcase,电影娱乐向，和宠物食品不匹配
100,UCHWJTRkohZncuQTrleAuf-g,Flurry Bureau,https://cn.noxinfluencer.com/youtube/channel/UCHWJTRkohZncuQTrleAuf-g,0,badcase,无标签无视频，缺少可判断的宠物食品证据
105,UCRDIBDL4XKVrpGg1IgWkQRw,JUNINZ FF,https://cn.noxinfluencer.com/youtube/channel/UCRDIBDL4XKVrpGg1IgWkQRw,0,badcase,游戏梗内容为主，与宠粮推广基本无关
108,UCA740MG-F8XR_StFkcwNb8Q,Sylvania News,https://cn.noxinfluencer.com/youtube/channel/UCA740MG-F8XR_StFkcwNb8Q,0,badcase,新闻/人类食品向，与宠粮推广场景不匹配
112,UCY82AHbxRpoM722t3dQoHXQ,Dog Mukbang ASMR,https://cn.noxinfluencer.com/youtube/channel/UCY82AHbxRpoM722t3dQoHXQ,-12,badcase,ASMR/mukbang格式与宠物食品推广不符
114,UC-RdavfNhJxUy8SANoW2REg,Steven Wiseblood,https://cn.noxinfluencer.com/youtube/channel/UC-RdavfNhJxUy8SANoW2REg,0,badcase,无标签无视频，缺乏任何相关信号
122,UCS3DcBv2WVqxmwwTPhzO6Yw,Nano Spark Ai,https://cn.noxinfluencer.com/youtube/channel/UCS3DcBv2WVqxmwwTPhzO6Yw,-9,badcase,ASMR/搞笑食品号，和宠物食品推广场景不匹配
124,UCG0bbfSqpZH-pUZ0f5v85_w,Vườn xanh - Bếp vui của My,https://cn.noxinfluencer.com/youtube/channel/UCG0bbfSqpZH-pUZ0f5v85_w,0,badcase,无标签无内容证据，无法判断相关性
126,UCqARyNoyVHBlfJIf8pzzRQw,Jackie Bites,https://cn.noxinfluencer.com/youtube/channel/UCqARyNoyVHBlfJIf8pzzRQw,0,badcase,无标签无内容证据，缺少可用受众信号
127,UCe1BOLqwnextHEgShSIOnWw,Landpack Packing Filling Machine,https://cn.noxinfluencer.com/youtube/channel/UCe1BOLqwnextHEgShSIOnWw,1,badcase,工业包装机械号，和宠物食品推广目标不符
