rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,UC5rs0KQbynTiXjyhivBUkAQ,Freshpet,https://cn--xtb.noxinfluencer.com/youtube/channel/UC5rs0KQbynTiXjyhivBUkAQ,8,badcase,品牌广告号为主，非独立创作者推广场景
9,UCUHxuPoyNEiA5hNVvpWt-EQ,Haoren Special Effects,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUHxuPoyNEiA5hNVvpWt-EQ,-5,badcase,AI特效娱乐号，宠物食品标签不构成推广匹配
10,UCC-2Z1rqAqYD9aPoCHF5rIg,Petify TV,https://cn--xtb.noxinfluencer.com/youtube/channel/UCC-2Z1rqAqYD9aPoCHF5rIg,1,badcase,宠物吃播/娱乐为主，缺少真正的宠粮推广内容
14,UCCneK8iTGx_kzc9a4qxm_fw,monkeyjourney36,https://cn--xtb.noxinfluencer.com/youtube/channel/UCCneK8iTGx_kzc9a4qxm_fw,-7,badcase,主体是AI故事娱乐，虽偶有狗粮标题但不适合投放
24,UCbgm0idoc6cG8HFvxwr9KHw,FxcTablaDholak,https://cn--xtb.noxinfluencer.com/youtube/channel/UCbgm0idoc6cG8HFvxwr9KHw,-4,badcase,娱乐化狗吃播/mukbang，产品推广场景不合适
27,UCy76s60XoVQL2RvrUKs2VRA,Penguinpepperpia,https://cn--xtb.noxinfluencer.com/youtube/channel/UCy76s60XoVQL2RvrUKs2VRA,-10,badcase,猫粮+ASMR娱乐，推广宠物食品的格式不匹配
33,UCq8eTfGzOxruGjPdM7Q4mEQ,TasteOfOriental,https://cn--xtb.noxinfluencer.com/youtube/channel/UCq8eTfGzOxruGjPdM7Q4mEQ,-7,badcase,街头美食与狗肉娱乐为主，和宠物食品推广目标不符
35,UCbta5UYAzeIOQAL7-A4s0WA,Bounce The Pit Bull,https://cn--xtb.noxinfluencer.com/youtube/channel/UCbta5UYAzeIOQAL7-A4s0WA,-25,badcase,ASMR吃播为主，属于明显的宠物食品推广格式错位
38,UCmO2B5hFxdFlskmYSn0Uqsg,Jakshylyk,https://cn--xtb.noxinfluencer.com/youtube/channel/UCmO2B5hFxdFlskmYSn0Uqsg,-8,badcase,泛娱乐账号，少量狗/食物标签不足以支撑宠物食品推广
44,UC_9miWNwjvRIwRFuhSYczIw,Chihuahua Bites,https://cn--xtb.noxinfluencer.com/youtube/channel/UC_9miWNwjvRIwRFuhSYczIw,-10,badcase,纯狗狗搞笑进食挑战，娱乐属性重，不适合产品推广
