rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
14,UC3f-DJSYl-UBjFKP6P2eFAQ,GOODaaa Official,https://cn.noxinfluencer.com/youtube/channel/UC3f-DJSYl-UBjFKP6P2eFAQ,0,badcase,无标签无内容信号，相关性不足
20,UCUzwYBo6tmwsVKkVRtISzpw,The Ghetographer,https://cn.noxinfluencer.com/youtube/channel/UCUzwYBo6tmwsVKkVRtISzpw,0,badcase,无标签无内容信号，相关性不足
21,UCy_LbUw93GTUz5cW6X_CHHQ,Tools and Gadgets,https://cn.noxinfluencer.com/youtube/channel/UCy_LbUw93GTUz5cW6X_CHHQ,0,badcase,标签全是游戏/平台词，缺少电子产品推广语境
29,UCPicB6zsJutW3AVNmLA0EQg,Joseph Singer,https://cn.noxinfluencer.com/youtube/channel/UCPicB6zsJutW3AVNmLA0EQg,0,badcase,无标签无内容，缺少任何相关信号
31,UCcIXFu21t_OWKVwaI_5jYVg,Today's Deals,https://cn.noxinfluencer.com/youtube/channel/UCcIXFu21t_OWKVwaI_5jYVg,0,badcase,无标签无视频，相关性不足
35,UC3LnsUei94ixnSLKvYfg_6g,Ivan Meneses,https://cn.noxinfluencer.com/youtube/channel/UC3LnsUei94ixnSLKvYfg_6g,0,badcase,无相关信号
41,UCWqVjlLDbIaojlaDpotEQEQ,HW Mobiles,https://cn.noxinfluencer.com/youtube/channel/UCWqVjlLDbIaojlaDpotEQEQ,0,badcase,无标签无视频证据，难判断为可推广充电宝频道
43,UC-UBpWUk0yrEClbUNInPJdg,Shah Chisty,https://cn.noxinfluencer.com/youtube/channel/UC-UBpWUk0yrEClbUNInPJdg,0,badcase,信息缺失，无法判断为充电宝推广相关频道
46,UCVL10pAdEOvRtO8ZTD8ZuZA,NeoTechi,https://cn.noxinfluencer.com/youtube/channel/UCVL10pAdEOvRtO8ZTD8ZuZA,0,badcase,教育内容与充电宝推广场景不匹配
49,UCgscDYr0xJHlMoA8QwKS9qw,entertainment gadget,https://cn.noxinfluencer.com/youtube/channel/UCgscDYr0xJHlMoA8QwKS9qw,0,badcase,娱乐向信息不足，缺少产品推广适配信号
54,UCl5J-2noQ2dFuP6NkQrW7lw,Luis Enrique Lemus Acosta,https://cn.noxinfluencer.com/youtube/channel/UCl5J-2noQ2dFuP6NkQrW7lw,0,badcase,无有效标签和内容信号，难判断为相关频道
57,UCyMLQBnT2IB3SPu0TX5VgXQ,Power king,https://cn.noxinfluencer.com/youtube/channel/UCyMLQBnT2IB3SPu0TX5VgXQ,-15,badcase,娱乐短视频频道，和充电宝推广场景不匹配
63,UCOUWQop6sgEXA-NtKZ5XMIw,Ah Tech,https://cn.noxinfluencer.com/youtube/channel/UCOUWQop6sgEXA-NtKZ5XMIw,0,badcase,无标签无内容，缺少可判断的充电宝推广信号
64,UCI5SD4b3Cf29wbkpxOMCtOg,JJCoolStuff,https://cn.noxinfluencer.com/youtube/channel/UCI5SD4b3Cf29wbkpxOMCtOg,0,badcase,无标签无内容，缺少可判断的充电宝推广信号
69,UCUfmtLwOygFEb220eI_E_Qg,HOT DIGITAL,https://cn.noxinfluencer.com/youtube/channel/UCUfmtLwOygFEb220eI_E_Qg,0,badcase,无标签无内容，缺少可判断的充电宝推广信号
70,UCuxohPmcHMQJgELyoj3rGZQ,BOXscape,https://cn.noxinfluencer.com/youtube/channel/UCuxohPmcHMQJgELyoj3rGZQ,0,badcase,无标签无内容，缺少可判断的充电宝推广信号
