rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,UCPebP56QemIt41_UNTZPcpA,Mommy Churvs,https://cn.noxinfluencer.com/youtube/channel/UCPebP56QemIt41_UNTZPcpA,-10,badcase,宠物/猫内容与人用游泳背心推广互斥
3,UC0TdrXZIq_-e-Tm6AnQ5zhQ,Calikorean,https://cn.noxinfluencer.com/youtube/channel/UC0TdrXZIq_-e-Tm6AnQ5zhQ,0,badcase,无标签、无视频证据，相关性不足
4,UC14glhf581fzJOYoHGxWTsg,Chicken Goodies,https://cn.noxinfluencer.com/youtube/channel/UC14glhf581fzJOYoHGxWTsg,0,badcase,名称偏禽类/食品方向，缺少相关证据
7,UC34zgo49DqyjmKJbo-2OAPQ,BubbleGum,https://cn.noxinfluencer.com/youtube/channel/UC34zgo49DqyjmKJbo-2OAPQ,0,badcase,娱乐向频道，缺少产品推广证据
8,UC4-DZzt7swq7uj83bg-P9HA,Dog & Cat Supplies online store,https://cn.noxinfluencer.com/youtube/channel/UC4-DZzt7swq7uj83bg-P9HA,-15,badcase,宠物用品店与人用游泳背心推广互斥
10,UC8E1t_MXN8xHGdkq_Yqpz7Q,N'Joy,https://cn.noxinfluencer.com/youtube/channel/UC8E1t_MXN8xHGdkq_Yqpz7Q,0,badcase,无标签、无视频证据，相关性不足
13,UCCHcDNftAWMacace8MmOYdA,vanguard k9 dog trainings,https://cn.noxinfluencer.com/youtube/channel/UCCHcDNftAWMacace8MmOYdA,-15,badcase,宠物训犬频道，与人用swim vest人群冲突
14,UCFMyyO3widMf0JC1V9G2p_A,Sarah Burford,https://cn.noxinfluencer.com/youtube/channel/UCFMyyO3widMf0JC1V9G2p_A,0,badcase,无标签和视频证据，相关性不足
15,UCFu4-VQQ-K3wFRfHvHOFcTA,ERICK and The Ourbacks,https://cn.noxinfluencer.com/youtube/channel/UCFu4-VQQ-K3wFRfHvHOFcTA,0,badcase,无标签和视频证据，相关性不足
16,UCHCl8-idaFT5kwaMglVjDeg,"DeTechTive ""Max""",https://cn.noxinfluencer.com/youtube/channel/UCHCl8-idaFT5kwaMglVjDeg,0,badcase,无标签和视频证据，相关性不足
20,UCJ971OJexE13JbU6jGvd2cA,Nyle Lynn,https://cn.noxinfluencer.com/youtube/channel/UCJ971OJexE13JbU6jGvd2cA,-5,badcase,宠物娱乐频道，宠物向与人用产品冲突
21,UCLHIeofA7RKnYzPexZDnoMA,Do Not Pet,https://cn.noxinfluencer.com/youtube/channel/UCLHIeofA7RKnYzPexZDnoMA,-15,badcase,宠物狗垂类，与人用泳背心互斥
