rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
10,UCMGRqpXjTYTqlnnGTjMmigw,DarkPlayzz,https://cn.noxinfluencer.com/youtube/channel/UCMGRqpXjTYTqlnnGTjMmigw,5,badcase,宗教诵读主频道，与科技推广不符
40,UCFUsBdbrNe2a8tnVsxBwoZw,Plainrock124,https://cn.noxinfluencer.com/youtube/channel/UCFUsBdbrNe2a8tnVsxBwoZw,5,badcase,破坏式娱乐内容，不适合做科技产品推广
84,UC4xU1pYKI2mXcGP8qdxLL6g,ABEiiiKU,https://cn.noxinfluencer.com/youtube/channel/UC4xU1pYKI2mXcGP8qdxLL6g,10,badcase,虽有开箱，但ASMR导向强，产品推广适配差
89,UCS65Cob8tlnYCjStAM8sdxg,MOIN BLAZE,https://cn.noxinfluencer.com/youtube/channel/UCS65Cob8tlnYCjStAM8sdxg,5,badcase,宗教主内容为主，科技仅弱标签，明显不适合
165,UCZ7znURDSO1B6Zk8dCntqew,Rad,https://cn.noxinfluencer.com/youtube/channel/UCZ7znURDSO1B6Zk8dCntqew,8,badcase,ASMR/氛围型，不适合做科技产品推广
174,UCozwejESfvl88CBBL0KgEhw,Hamster Kombat,https://cn.noxinfluencer.com/youtube/channel/UCozwejESfvl88CBBL0KgEhw,0,badcase,加密金融频道，与科技推广主题不匹配
215,UCWnXgKA2DvgVcL6Itd76Waw,Digital Express Universe,https://cn.noxinfluencer.com/youtube/channel/UCWnXgKA2DvgVcL6Itd76Waw,8,badcase,有tech但ASMR/游戏混杂，格式不匹配
237,UC4ppc207yFcH_b9Td3hxaCQ,VOZOL RUSSIA,https://cn.noxinfluencer.com/youtube/channel/UC4ppc207yFcH_b9Td3hxaCQ,10,badcase,ASMR+品牌向内容，tech词不改成可投放的推广位
259,UCEbFX3P9ADiJvle5Z0Qyw2A,Becca Farsace,https://cn.noxinfluencer.com/youtube/channel/UCEbFX3P9ADiJvle5Z0Qyw2A,0,badcase,缺少科技产品语义，偏生活方式频道，不适合
262,UCf41OY0yx1wdO6980jAHRmw,Christian Perez,https://cn.noxinfluencer.com/youtube/channel/UCf41OY0yx1wdO6980jAHRmw,0,badcase,纯游戏娱乐向，和科技产品推广关联弱
273,UCHunTRJxHj8dZIdBQJzxWLQ,TECH Tire Repairs,https://cn.noxinfluencer.com/youtube/channel/UCHunTRJxHj8dZIdBQJzxWLQ,2,badcase,汽车轮胎维修向，tech标签疑似泛化
276,UCYmFKw7swKPJiaMloRmptHw,WSJ Podcasts,https://cn.noxinfluencer.com/youtube/channel/UCYmFKw7swKPJiaMloRmptHw,0,badcase,新闻播客，缺少科技或产品信号
278,UC4xKdmAXFh4ACyhpiQ_3qBw,TechLead,https://cn.noxinfluencer.com/youtube/channel/UC4xKdmAXFh4ACyhpiQ_3qBw,0,badcase,财经加加密为主，tech标签缺位
