rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,UCrzySfCZIMqhYlDsDqtpQ6w,HPad,https://cn.noxinfluencer.com/youtube/channel/UCrzySfCZIMqhYlDsDqtpQ6w,8,badcase,吸尘器相关但以破坏为主，推广格式不匹配
3,UC8fNxgl93pWAig9iJJIMpyA,Levsob,https://cn.noxinfluencer.com/youtube/channel/UC8fNxgl93pWAig9iJJIMpyA,0,badcase,泛娱乐生活号，缺少吸尘器相关性
4,UCtirMQlaZ6ksFrpbKmPC2yA,Calming Ambience Sounds,https://cn.noxinfluencer.com/youtube/channel/UCtirMQlaZ6ksFrpbKmPC2yA,5,badcase,吸尘器ASMR/白噪音，明显是声音场景而非推广
8,UCNeX87X-8qTja1F5lQ6rsbQ,Power Masheni,https://cn.noxinfluencer.com/youtube/channel/UCNeX87X-8qTja1F5lQ6rsbQ,0,badcase,无标签无内容证据，无法建立相关性
11,UCTnDXsb68jsU6E6Z0es9YNw,Marshall studios  production98,https://cn.noxinfluencer.com/youtube/channel/UCTnDXsb68jsU6E6Z0es9YNw,0,badcase,无标签无视频，缺少吸尘器相关证据
12,UCOYpPCNQmb_v6hWaQIyLkJA,Matthew Gonzalez,https://cn.noxinfluencer.com/youtube/channel/UCOYpPCNQmb_v6hWaQIyLkJA,0,badcase,体育娱乐向，和吸尘器推广场景无关
15,UC3hPcM4FlXRPPi9fhPra4Zw,The Kirby Company,https://cn.noxinfluencer.com/youtube/channel/UC3hPcM4FlXRPPi9fhPra4Zw,0,badcase,仅生活方式标签，缺少吸尘器相关证据
16,UCHhOiF9yUARmkEsTwsfMWHg,My Top 5 Choices,https://cn.noxinfluencer.com/youtube/channel/UCHhOiF9yUARmkEsTwsfMWHg,0,badcase,无标签无视频，缺少可判断的相关性
17,UCUKcmsAb2t80-IArEn3iJKQ,YourPeacefulSound,https://cn.noxinfluencer.com/youtube/channel/UCUKcmsAb2t80-IArEn3iJKQ,5,badcase,白噪音助眠ASMR与吸尘器推广强不匹配
18,UCnwmBFm0ofTKKhNxCaq2LTA,Dreame Tech,https://cn.noxinfluencer.com/youtube/channel/UCnwmBFm0ofTKKhNxCaq2LTA,5,badcase,ASMR睡眠频道与吸尘器推广格式强冲突
19,UCOz5vfQ9qcUfXRvEqat1DVA,Cozy Sleep Sounds,https://cn.noxinfluencer.com/youtube/channel/UCOz5vfQ9qcUfXRvEqat1DVA,5,badcase,助眠ASMR频道与吸尘器推广格式强冲突
22,UClfEV_bXQjZ_lf3icxCPloA,Blackheartvacs,https://cn.noxinfluencer.com/youtube/channel/UClfEV_bXQjZ_lf3icxCPloA,0,badcase,无标签无视频证据，相关性不足
24,UCEZmfmpj8T5_tzabVVBSFeA,nikkib ASMR,https://cn.noxinfluencer.com/youtube/channel/UCEZmfmpj8T5_tzabVVBSFeA,8,badcase,ASMR/声音向，虽命中 vacuum cleaner 仍不适合带货
25,UCCZoL53G8zqL3Yswc-8QWCg,Must-Have Finds,https://cn.noxinfluencer.com/youtube/channel/UCCZoL53G8zqL3Yswc-8QWCg,0,badcase,无标签与视频证据，无法判断为相关频道
28,UCcIXFu21t_OWKVwaI_5jYVg,Today's Deals,https://cn.noxinfluencer.com/youtube/channel/UCcIXFu21t_OWKVwaI_5jYVg,0,badcase,无产品品类与评测证据，相关性不足
