rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
2,UCrzySfCZIMqhYlDsDqtpQ6w,HPad,https://cn--xtb.noxinfluencer.com/youtube/channel/UCrzySfCZIMqhYlDsDqtpQ6w,-2,badcase,以破坏娱乐为主，虽有吸尘器词但不适合推广
5,UCtirMQlaZ6ksFrpbKmPC2yA,Calming Ambience Sounds,https://cn--xtb.noxinfluencer.com/youtube/channel/UCtirMQlaZ6ksFrpbKmPC2yA,-5,badcase,白噪音/ASMR为主，产品词只是声景素材
6,UC8fNxgl93pWAig9iJJIMpyA,Levsob,https://cn--xtb.noxinfluencer.com/youtube/channel/UC8fNxgl93pWAig9iJJIMpyA,-5,badcase,娱乐剧情向为主，吸尘器词不构成推广适配
18,UCS9cJpWSQUOw4cIqC_ndSjQ,Sleeping Easy,https://cn--xtb.noxinfluencer.com/youtube/channel/UCS9cJpWSQUOw4cIqC_ndSjQ,-5,badcase,ASMR白噪音频道，虽有吸尘器词但明显不适合产品推广
19,UCPySskaPsPYeejViLabdONg,Vacuum Sensation,https://cn--xtb.noxinfluencer.com/youtube/channel/UCPySskaPsPYeejViLabdONg,-5,badcase,吸尘ASMR/满足感内容为主，属明显格式不匹配
23,UC6i6ZM4NBogI6_9Jr7WTwlw,Ambience,https://cn--xtb.noxinfluencer.com/youtube/channel/UC6i6ZM4NBogI6_9Jr7WTwlw,5,badcase,ASMR白噪音频道，主打吸尘声而非卖点内容
41,UCVf7VFzMDadwa9To0Izmegw,Serba Serbi,https://cn--xtb.noxinfluencer.com/youtube/channel/UCVf7VFzMDadwa9To0Izmegw,-7,badcase,标签与吸尘器无关，近期多为理发/汽车内容
42,UCReq2gJITMbr0vArn2MAEmQ,SMILEatTheDEALS,https://cn--xtb.noxinfluencer.com/youtube/channel/UCReq2gJITMbr0vArn2MAEmQ,-7,badcase,古董收藏为主，吸尘器只是偶发陈列
44,UCUKcmsAb2t80-IArEn3iJKQ,YourPeacefulSound,https://cn--xtb.noxinfluencer.com/youtube/channel/UCUKcmsAb2t80-IArEn3iJKQ,-5,badcase,白噪音助眠格式，与吸尘器推广严重错位
45,UCSAVIfJoCVB0PIR0kL6hEqg,Shanice At Home,https://cn--xtb.noxinfluencer.com/youtube/channel/UCSAVIfJoCVB0PIR0kL6hEqg,-10,badcase,副业/出版为主，缺少家电评测语境
50,UC5EvZKkmr8T2Vu3DlLHeAaQ,Aura Roboclean,https://cn--xtb.noxinfluencer.com/youtube/channel/UC5EvZKkmr8T2Vu3DlLHeAaQ,-8,badcase,娱乐短视频为主，仅有弱清洁语境
51,UCekILbbHFXMZmd2DU2ujndg,CleanFlow ASMR,https://cn--xtb.noxinfluencer.com/youtube/channel/UCekILbbHFXMZmd2DU2ujndg,-25,badcase,ASMR/白噪音频道，偏解压不偏推广，卖吸尘器不合适
52,UCQJt1liRGafkw-sSeUk2TVw,Velvet Relax ASMR,https://cn--xtb.noxinfluencer.com/youtube/channel/UCQJt1liRGafkw-sSeUk2TVw,-25,badcase,ASMR清洁解压号，核心是白噪音和拆盒，不适合吸尘器推广
63,UCk1h4LWbmVdglcAhT8UMitw,Genevieve Moore88,https://cn--xtb.noxinfluencer.com/youtube/channel/UCk1h4LWbmVdglcAhT8UMitw,-25,badcase,喜剧家庭内容，吸尘器只是笑点，不具备产品推广场景
71,UCGumXE53FJ3B-V7pIGasPaw,Vacuum Sleep Sounds,https://cn--xtb.noxinfluencer.com/youtube/channel/UCGumXE53FJ3B-V7pIGasPaw,-25,badcase,白噪音助眠频道，吸尘器仅作声音素材，不适合产品推广
