"keyword","nox badcase率","xtb badcase率","差值(nox-xtb)","nox labels","xtb labels","nox avg/channel","xtb avg/channel","文档"
"coffee machine","33.6%","32.2%","1.4%","fit 91, adjacent 241, badcase 168","fit 89, adjacent 250, badcase 161","7.5s","7.1s","[provider-comparison.md](coffee-machine/provider-comparison.md)"
"lawn mower","26.4%","21.6%","4.8%","fit 151, adjacent 217, badcase 132","fit 156, adjacent 236, badcase 108","5.8s","7.3s","[provider-comparison.md](lawn-mower/provider-comparison.md)"
"tech","35.0%","5.6%","29.4%","fit 181, adjacent 144, badcase 175","fit 196, adjacent 276, badcase 28","6.5s","7.8s","[provider-comparison.md](tech/provider-comparison.md)"
"fashion","0.0%","1.0%","-1.0%","fit 401, adjacent 99, badcase 0","fit 361, adjacent 134, badcase 5","4.8s","4.9s","[provider-comparison.md](fashion/provider-comparison.md)"
"lifestyle","2.4%","0.2%","2.2%","fit 414, adjacent 74, badcase 12","fit 402, adjacent 97, badcase 1","5.4s","4.3s","[provider-comparison.md](lifestyle/provider-comparison.md)"
"power bank","63.2%","61.8%","1.4%","fit 47, adjacent 137, badcase 316","fit 67, adjacent 124, badcase 309","5.8s","6.7s","[provider-comparison.md](power-bank/provider-comparison.md)"
"swim vest","61.0%","55.2%","5.8%","fit 8, adjacent 187, badcase 305","fit 18, adjacent 206, badcase 276","5.2s","5.8s","[provider-comparison.md](swim-vest/provider-comparison.md)"
"vacuum cleaner","31.6%","25.0%","6.6%","fit 110, adjacent 232, badcase 158","fit 100, adjacent 275, badcase 125","6.0s","6.8s","[provider-comparison.md](vacuum-cleaner/provider-comparison.md)"
"baby supplement","24.4%","24.2%","0.2%","fit 117, adjacent 261, badcase 122","fit 117, adjacent 262, badcase 121","6.0s","7.0s","[provider-comparison.md](baby-supplement/provider-comparison.md)"
"pet food","26.0%","16.2%","9.8%","fit 155, adjacent 215, badcase 130","fit 212, adjacent 207, badcase 81","6.1s","7.4s","[provider-comparison.md](pet-food/provider-comparison.md)"
