rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,243406982,Derek Lunsford,https://cn.noxinfluencer.com/instagram/channel/243406982,0,badcase,健身增肌垂类，与婴儿补充剂受众不匹配
4,186282576,Katriona Aromin,https://cn.noxinfluencer.com/instagram/channel/186282576,0,badcase,纯健身号，缺少婴儿产品场景
6,315965120,Robert Wilmote,https://cn.noxinfluencer.com/instagram/channel/315965120,0,badcase,运动号，和婴儿补充剂无关
14,51823825480,"Madison Brown, PA-C | Tips + Tricks to keep your family healthy",https://cn.noxinfluencer.com/instagram/channel/51823825480,0,badcase,标签为空，缺少可用相关性证据
19,3436108899,Cortney Campbell | anti-cancer living 🌱,https://cn.noxinfluencer.com/instagram/channel/3436108899,0,badcase,抗癌健康内容，与婴儿补充剂无关
20,1446209614,"Ashly Locklin | Weight Loss, Beauty, & Business",https://cn.noxinfluencer.com/instagram/channel/1446209614,0,badcase,生活/商业号，缺少婴儿或营养场景
26,60860444597,Gina | Impactful Marketing & Consultancy,https://cn.noxinfluencer.com/instagram/channel/60860444597,-10,badcase,以减脂健身为主，与婴儿补充剂受众不符
27,4276936859,Helping Hands Healing Sanctuary 501c3,https://cn.noxinfluencer.com/instagram/channel/4276936859,-10,badcase,动物疗愈账号，和婴儿补充剂不匹配
29,674784050,Cole Munoz | Online Fitness Coach,https://cn.noxinfluencer.com/instagram/channel/674784050,-10,badcase,以健身训练为主，与婴儿补充剂无关
30,41066493513,Olayinka Aiyelabowo,https://cn.noxinfluencer.com/instagram/channel/41066493513,-4,badcase,内容偏商业和发型，美妆关联弱
38,64724238829,"Jordan Harpst RN, BSN |  Cortisol + Natural Weight Loss",https://cn.noxinfluencer.com/instagram/channel/64724238829,-8,badcase,减脂和激素话题为主，不适合婴儿补剂
39,62240772567,Allison Sadler,https://cn.noxinfluencer.com/instagram/channel/62240772567,-10,badcase,医疗自由/疫苗争议向，和补剂推广不稳
41,47355604358,Dr. Ashley Mayer,https://cn.noxinfluencer.com/instagram/channel/47355604358,-3,badcase,虽有母婴词，但 medical freedom 拉低适配
42,439139591,Kait | Registered Dietitian & Lactation Counselor⚡️,https://cn.noxinfluencer.com/instagram/channel/439139591,0,badcase,无标签，相关性证据不足
55,39054944660,MamaC ♥︎,https://cn.noxinfluencer.com/instagram/channel/39054944660,0,badcase,业务型泛账号，缺少母婴或补充剂相关受众
66,189789825,monnie,https://cn.noxinfluencer.com/instagram/channel/189789825,0,badcase,时尚摄影泛账号，缺少母婴补充剂相关性
72,67691505655,"Quinn, CLC",https://cn.noxinfluencer.com/instagram/channel/67691505655,0,badcase,无标签无内容线索，无法判断适配
73,441308933,Amanda,https://cn.noxinfluencer.com/instagram/channel/441308933,0,badcase,健身泛账号，和婴儿补充剂无关
84,437462479,The Estrogen Free®Lifestyle,https://cn.noxinfluencer.com/instagram/channel/437462479,0,badcase,激素/乳腺话题，和婴儿补充剂推广关联弱
86,3400954033,Fera Pets,https://cn.noxinfluencer.com/instagram/channel/3400954033,-15,badcase,宠物犬猫频道，与人类婴儿补充剂受众互斥
87,4508479522,"Laura Kummerle, PT, DPT, OCS",https://cn.noxinfluencer.com/instagram/channel/4508479522,0,badcase,健身频道，缺少婴儿或母婴语境
90,15360170,Anita Herbert,https://cn.noxinfluencer.com/instagram/channel/15360170,0,badcase,健美训练号，和婴儿补充剂目标人群不符
98,7880261837,Mel | Dietitian,https://cn.noxinfluencer.com/instagram/channel/7880261837,0,badcase,做菜频道，缺少婴幼儿营养语境
105,55759171,Harriet Harper,https://cn.noxinfluencer.com/instagram/channel/55759171,0,badcase,健身号，和婴儿补充剂主题不匹配
109,1496990209,Puget Sound Goat Rescue,https://cn.noxinfluencer.com/instagram/channel/1496990209,-15,badcase,山羊救援频道，和人类婴儿补充剂互斥
114,7267421880,🌮24 Toyota Tacoma TRD Sport 4x4,https://cn.noxinfluencer.com/instagram/channel/7267421880,0,badcase,汽车/户外频道，婴儿词只是噪声
126,292349962,Protect Animals Worldwide,https://cn.noxinfluencer.com/instagram/channel/292349962,-15,badcase,宠物狗内容，和婴儿补剂受众完全不一致
129,2693343880,Jeffrey Kyle Younker,https://cn.noxinfluencer.com/instagram/channel/2693343880,-10,badcase,成人健身增肌号，和婴儿补剂受众错位
130,24142349,Ashley Horner,https://cn.noxinfluencer.com/instagram/channel/24142349,0,badcase,纯健身激励内容，缺少母婴或营养场景
143,600498667,Carlee Olivera,https://cn.noxinfluencer.com/instagram/channel/600498667,0,badcase,成人健身内容，和婴儿补剂购买场景不匹配
145,394323982,ʟɪɴᴅᴀ ʟɪᴅᴜᴍᴀ•Certified Fitness Coach,https://cn.noxinfluencer.com/instagram/channel/394323982,-10,badcase,增肌健身号，和婴儿补剂受众冲突
160,199460573,𝐈𝐅𝐁𝐁 𝐟𝐢𝐠𝐮𝐫𝐞 𝐏𝐫𝐨 𝐌𝐚𝐫𝐢𝐚 𝐃𝐢𝐚𝐳🇨🇱 /4•NY Pro Champ,https://cn.noxinfluencer.com/instagram/channel/199460573,0,badcase,健身 bodybuilding 号，和婴儿补充剂受众不匹配
167,46194231,Season | Thrive Through & Beyond Cancer,https://cn.noxinfluencer.com/instagram/channel/46194231,0,badcase,癌症医疗内容，和母婴补充剂无关
168,50837129333,Brie🌾 | Urban Homesteading,https://cn.noxinfluencer.com/instagram/channel/50837129333,0,badcase,家居烹饪内容，和婴儿补充剂不匹配
171,2999115300,"Emily | Running, Strength & Hormone Health",https://cn.noxinfluencer.com/instagram/channel/2999115300,0,badcase,跑步健身号，和婴儿补充剂目标受众不符
184,17283427,NATALIE MACRITCHIE💕,https://cn.noxinfluencer.com/instagram/channel/17283427,1,badcase,仅泛母亲标签，缺少婴儿营养或购买意图
188,351937236,Lilyanna Eide,https://cn.noxinfluencer.com/instagram/channel/351937236,0,badcase,食品/健康泛内容，缺少母婴补充剂受众
189,32721709,Adaleta Avdić,https://cn.noxinfluencer.com/instagram/channel/32721709,-12,badcase,美妆+ASMR格式错位，婴儿补充剂不适合
191,203527238,"Susana Demore | Breast Cancer Survivor, DPT",https://cn.noxinfluencer.com/instagram/channel/203527238,1,badcase,健康叙事偏泛，缺少母婴营养明确场景
192,2109363408,"Dr. Stesha Reukauf, PhD",https://cn.noxinfluencer.com/instagram/channel/2109363408,0,badcase,职业/财富向为主，婴儿补充剂相关性弱
193,19836199,Kelsey Smith: Brand & Messaging Strategist,https://cn.noxinfluencer.com/instagram/channel/19836199,1,badcase,品牌职场内容，母婴补充剂受众不清晰
194,50143951,ATL Personal Trainer & Nutrition Coach,https://cn.noxinfluencer.com/instagram/channel/50143951,0,badcase,营养健身面向成人，非婴儿补充剂目标人群
196,12052157728,Baylee | Women’s Strength Coach,https://cn.noxinfluencer.com/instagram/channel/12052157728,0,badcase,健身强、母婴弱，和婴儿补充剂不匹配
197,14084768,Lindsay Oehmen | THYROID • HORMONE • STRESS,https://cn.noxinfluencer.com/instagram/channel/14084768,0,badcase,甲状腺/激素主题偏泛，缺少母婴营养场景
198,32648498772,Heart & Soil,https://cn.noxinfluencer.com/instagram/channel/32648498772,0,badcase,动物基饮食与婴儿补充剂人群不符
201,1501439870,Heather Miller | HORMONES | MIDLIFE | WOMENS HEALTH,https://cn.noxinfluencer.com/instagram/channel/1501439870,1,badcase,中年女性健康向，和婴儿补充剂受众不符
216,4257380305,AJ FERRARI,https://cn.noxinfluencer.com/instagram/channel/4257380305,-15,badcase,格斗/直播受众，和婴儿补充剂推广错位
228,1378750651,"Evan ""T-Rex"" Singleton 🇺🇸",https://cn.noxinfluencer.com/instagram/channel/1378750651,0,badcase,健身强人号，与婴儿补剂受众不匹配
229,229513569,THE PUG QUEEN,https://cn.noxinfluencer.com/instagram/channel/229513569,-10,badcase,宠物狗内容为主，属人类婴儿补剂的排斥场景
234,250536818,Cyd Gillon,https://cn.noxinfluencer.com/instagram/channel/250536818,0,badcase,纯健美训练号，和婴儿补剂目标受众无关
244,10822755,Ryan Shedrick  | Losing Weight  | Makeup Tips,https://cn.noxinfluencer.com/instagram/channel/10822755,0,badcase,美妆商业号，和婴儿补剂不相关
251,3645249934,Alyssa Masten,https://cn.noxinfluencer.com/instagram/channel/3645249934,-15,badcase,宠物救助号，与婴儿补剂受众互斥
253,48017269110,"TAYLOR CUMBO | SIMPLE, HEALTHY RECIPES!",https://cn.noxinfluencer.com/instagram/channel/48017269110,0,badcase,缺少母婴或营养相关证据
254,3569568867,Kelley Nemiro,https://cn.noxinfluencer.com/instagram/channel/3569568867,0,badcase,泛健身健康号，缺少婴童场景
255,341120763,Kate Hall,https://cn.noxinfluencer.com/instagram/channel/341120763,0,badcase,糖尿病/田径内容，与婴儿补剂无关
262,4614104893,Kyndle | Women’s Fat Loss Coach,https://cn.noxinfluencer.com/instagram/channel/4614104893,0,badcase,减脂教练号，与婴儿补剂不相关
263,2267660937,Shontae Wilson,https://cn.noxinfluencer.com/instagram/channel/2267660937,0,badcase,购物时尚号，缺少母婴健康场景
266,1656684664,"Barb, Kitten Mom",https://cn.noxinfluencer.com/instagram/channel/1656684664,-15,badcase,宠物猫内容，与人类婴儿补剂互斥
273,257249294,Kelsie Anderson,https://cn.noxinfluencer.com/instagram/channel/257249294,0,badcase,女性激素话题，非母婴补剂受众
274,55480066,"Breanna Mueller || Faith, Farming & Holsitic Living",https://cn.noxinfluencer.com/instagram/channel/55480066,0,badcase,内容过泛，缺少母婴与营养线索
278,11925400643,I Am Nurtured,https://cn.noxinfluencer.com/instagram/channel/11925400643,0,badcase,无标签无视频，缺少可用相关性
291,39177783543,Ashlie Lynne | Informed Consent Advocate,https://cn.noxinfluencer.com/instagram/channel/39177783543,-15,badcase,红丸/矩阵类内容与母婴产品推广明显不相容
302,30280097739,Doodle Mountain,https://cn.noxinfluencer.com/instagram/channel/30280097739,-15,badcase,宠物犬垂类，与人类婴儿补充剂互斥
304,10609244308,P A T I E N C E // R I C A R D,https://cn.noxinfluencer.com/instagram/channel/10609244308,0,badcase,无标签无内容，相关性不足
308,2081316887,Shayda Torabi Howell,https://cn.noxinfluencer.com/instagram/channel/2081316887,0,badcase,地域生活号，和婴儿补充剂无关
311,7381491338,"Jenna Johnson, M. Ed | Teacher & Intentional Mom",https://cn.noxinfluencer.com/instagram/channel/7381491338,0,badcase,无明显婴儿/营养相关信号
313,248663365,"Jordan Langhough, RD, CPT",https://cn.noxinfluencer.com/instagram/channel/248663365,0,badcase,无标签无内容，难判断相关性
321,2860851839,Brooke Hemingway | Identity & Wealth Architect,https://cn.noxinfluencer.com/instagram/channel/2860851839,0,badcase,商业/财富定位，和婴儿补充剂无关
323,29418693,SAMANTHA LEE,https://cn.noxinfluencer.com/instagram/channel/29418693,0,badcase,海滩生活号，无关婴儿补充剂
325,213088708,Hannah Coleman,https://cn.noxinfluencer.com/instagram/channel/213088708,0,badcase,健身生活号，与婴儿补充剂不匹配
328,2869204855,Hopewell Family Care,https://cn.noxinfluencer.com/instagram/channel/2869204855,0,badcase,泛健康家庭向，但缺少婴幼儿补剂信号
330,16780961,Hannah - your natural minded friend,https://cn.noxinfluencer.com/instagram/channel/16780961,0,badcase,信息不足，缺少相关受众或产品信号
335,305838520,Chelsea Dasinger,https://cn.noxinfluencer.com/instagram/channel/305838520,0,badcase,缺少可用主题信号
338,9271195374,Rachel Fenstermacher,https://cn.noxinfluencer.com/instagram/channel/9271195374,0,badcase,家庭受众有，但婴儿补剂关联弱
339,2138199937,The Birth Hour,https://cn.noxinfluencer.com/instagram/channel/2138199937,-15,badcase,播客故事型，推广场景明显不匹配
340,28350287,Michelle | Neurodivergent T1D Mom,https://cn.noxinfluencer.com/instagram/channel/28350287,0,badcase,成人慢病健康为主，不指向母婴
341,1332861062,Monica Valenti,https://cn.noxinfluencer.com/instagram/channel/1332861062,0,badcase,缺少任何主题信息
344,41218196917,Liv | Unfiltered Motherhood,https://cn.noxinfluencer.com/instagram/channel/41218196917,0,badcase,生活娱乐向，缺少婴儿补剂场景
345,227911167,PCOS Weight Loss • Tallene Hacatoryan,https://cn.noxinfluencer.com/instagram/channel/227911167,-3,badcase,成人减重受众，与婴儿补剂错位
347,1532813631,Dr. Aimee Eyvazzadeh,https://cn.noxinfluencer.com/instagram/channel/1532813631,0,badcase,备孕/生育为主，非婴儿补剂场景
348,2527837733,High-Yield Market Farming,https://cn.noxinfluencer.com/instagram/channel/2527837733,-5,badcase,农业农场内容，婴儿补剂场景不成立
358,29594350690,Dr. Kiera Lane,https://cn.noxinfluencer.com/instagram/channel/29594350690,0,badcase,无标签与母婴补剂相关
360,24867733245,Olivia Tox Filler Sculptra Injector | chicago,https://cn.noxinfluencer.com/instagram/channel/24867733245,0,badcase,美妆注射号，和婴儿补剂受众不匹配
363,410635817,Barbara Cesar,https://cn.noxinfluencer.com/instagram/channel/410635817,0,badcase,运动服饰/时尚号，和婴儿补剂无关
365,2309979743,Bridget Levine | Baby Food | Mom Tips | Postpartum Weight loss,https://cn.noxinfluencer.com/instagram/channel/2309979743,-14,badcase,宠物标签占主导，和人类婴儿补剂冲突
369,1965692083,Emily Saunders,https://cn.noxinfluencer.com/instagram/channel/1965692083,2,badcase,标签过于稀薄，和婴儿补剂联系弱
370,47946949903,Comai TheCoach,https://cn.noxinfluencer.com/instagram/channel/47946949903,1,badcase,泛商业频道，缺少母婴或营养场景
372,7809473,Jessica Thompson,https://cn.noxinfluencer.com/instagram/channel/7809473,-15,badcase,宠物猫内容，和人类婴儿补剂冲突
374,40008980,IAN WENDT,https://cn.noxinfluencer.com/instagram/channel/40008980,0,badcase,现实娱乐号，婴儿补剂转化意图弱
376,1380524198,Raw Feeding Miami,https://cn.noxinfluencer.com/instagram/channel/1380524198,-15,badcase,犬类生食账号，目标受众与人类婴儿补充剂完全相反
388,32740856870,Gabriel DeStefano,https://cn.noxinfluencer.com/instagram/channel/32740856870,0,badcase,男士健身/健美受众与婴儿补充剂场景不匹配
389,1460958124,Whitney NP | Metabolism • Midlife Fat Loss • Mom,https://cn.noxinfluencer.com/instagram/channel/1460958124,0,badcase,标签缺失且无婴儿/母婴证据，相关性不足
390,1441701081,Sarah Wright Olsen,https://cn.noxinfluencer.com/instagram/channel/1441701081,-12,badcase,播客/故事型娱乐内容，属于明显格式错配
392,485394411,Jason Alan Robinson,https://cn.noxinfluencer.com/instagram/channel/485394411,0,badcase,健身/创业向男性账号，与婴儿补充剂几乎无关
399,30752443048,Ch-a Mosley,https://cn.noxinfluencer.com/instagram/channel/30752443048,0,badcase,没有可用标签或内容证据，无法支持相关性
401,289907526,Frankie Del Duca,https://cn.noxinfluencer.com/instagram/channel/289907526,0,badcase,无婴儿营养或家长场景信号，相关性很弱
405,196473470,"Lake Superior Zoo - Duluth, MN",https://cn.noxinfluencer.com/instagram/channel/196473470,-5,badcase,动物内容，和人类婴儿补剂互斥
406,5676552826,Ziggys Refuge,https://cn.noxinfluencer.com/instagram/channel/5676552826,-15,badcase,宠物救助/动物受众，完全不匹配
408,39719576059,Crazy Cat Kitten Rescue GA,https://cn.noxinfluencer.com/instagram/channel/39719576059,-15,badcase,宠物救援频道，婴儿补剂不适用
414,5861563431,Kion,https://cn.noxinfluencer.com/instagram/channel/5861563431,-2,badcase,成人咖啡/蛋白/健身补剂向，和婴儿补剂错位
416,3316779134,Juliet's House Animal Rescue,https://cn.noxinfluencer.com/instagram/channel/3316779134,-15,badcase,动物救助内容，和人类婴儿补剂互斥
420,5951496558,John Ott,https://cn.noxinfluencer.com/instagram/channel/5951496558,-3,badcase,成人健身增肌受众，与婴儿补剂不匹配
424,25142779,Dr. Kasey Davis | Facial Aesthetics + Clean Beauty,https://cn.noxinfluencer.com/instagram/channel/25142779,0,badcase,美妆整形向，和婴儿补剂场景不一致
425,1554286542,Joey Szatmary (Zat-Mary),https://cn.noxinfluencer.com/instagram/channel/1554286542,-3,badcase,成人健身账号，与婴儿补剂不匹配
430,10489391163,Sarah Kleiner | Fix Your Metabolism - Light First,https://cn.noxinfluencer.com/instagram/channel/10489391163,1,badcase,成人减脂账号，仅有妈妈弱相关
431,52635783248,𝐂𝐡𝐥𝐨𝐞 𝐅𝐞𝐥𝐭𝐬,https://cn.noxinfluencer.com/instagram/channel/52635783248,0,badcase,旅行婚礼类，和宝宝补剂无关
432,42369731,Christie May | Midlife | Hormones |Almost Empty Nester,https://cn.noxinfluencer.com/instagram/channel/42369731,0,badcase,中年女性生活主题，缺少母婴场景
