rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,307109251,Naty Cardona,https://cn--xtb.noxinfluencer.com/instagram/channel/307109251,0,badcase,健身生活号，和婴儿补充剂无关
2,13044492397,Alex Ochoa Cornejo,https://cn--xtb.noxinfluencer.com/instagram/channel/13044492397,0,badcase,无标签无内容证据
6,1388580814,Lizeth Loya,https://cn--xtb.noxinfluencer.com/instagram/channel/1388580814,3,badcase,泛健康账号，缺少婴儿或补充剂产品信号
7,40226992235,Rosa.Raudales,https://cn--xtb.noxinfluencer.com/instagram/channel/40226992235,0,badcase,家居账号，和婴儿补充剂无关
9,2094164698,Valeria Vásquez,https://cn--xtb.noxinfluencer.com/instagram/channel/2094164698,0,badcase,无标签无内容证据
14,48736585590,"Cetaphil, Jumiso, Cerave",https://cn--xtb.noxinfluencer.com/instagram/channel/48736585590,0,badcase,无标签无内容证据
17,7226986421,L’il Critters Gummy Vitamins,https://cn--xtb.noxinfluencer.com/instagram/channel/7226986421,0,badcase,缺少婴儿补充剂相关标签证据
20,3209422340,Mari Jimm ♡,https://cn--xtb.noxinfluencer.com/instagram/channel/3209422340,0,badcase,时尚生活号，婴儿补充剂信号弱
23,255208395,z a r e t h,https://cn--xtb.noxinfluencer.com/instagram/channel/255208395,0,badcase,无标签无内容证据
24,490985413,Delmy Reyes | Salud & Negocio Internacional,https://cn--xtb.noxinfluencer.com/instagram/channel/490985413,0,badcase,泛商务健康号，婴儿营养相关性不足
25,2709335475,Suplementos y nutricion,https://cn--xtb.noxinfluencer.com/instagram/channel/2709335475,0,badcase,无标签无内容证据
28,5664807044,Brixenta胜利,https://cn--xtb.noxinfluencer.com/instagram/channel/5664807044,0,badcase,美妆日用品为主，和婴儿补充剂无关
37,6695760221,Доход онлайн | FITLINE |PM | USA| РАБОТА |США,https://cn--xtb.noxinfluencer.com/instagram/channel/6695760221,0,badcase,仅有零散妈妈/礼物标签，和婴儿补充剂无关
40,1600619111,Катерина  🇺🇦Ужгород,https://cn--xtb.noxinfluencer.com/instagram/channel/1600619111,0,badcase,标签为空，无法判断为母婴相关
