rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
5,234211645,Brian Kurniawan,https://cn--xtb.noxinfluencer.com/instagram/channel/234211645,0,badcase,烘焙料理向，缺少咖啡机相关
16,3917260,Mamasmagicalbeanjuice,https://cn--xtb.noxinfluencer.com/instagram/channel/3917260,-13,badcase,ASMR拉低适配，缺少机型/评测
20,1386711,⛓️ 𝔚𝔥𝔦𝔱𝔫𝔢𝔶 ⛓️,https://cn--xtb.noxinfluencer.com/instagram/channel/1386711,0,badcase,母婴/生活向，无咖啡机相关
21,69096970980,Central-FL-dude - Swamp Water Roasting 🐊,https://cn--xtb.noxinfluencer.com/instagram/channel/69096970980,0,badcase,标签为空，无法支撑咖啡机投放
25,59536897530,Leiser Laura,https://cn--xtb.noxinfluencer.com/instagram/channel/59536897530,0,badcase,关系/幽默向，无产品相关
26,30519370,Briar Bonadonna,https://cn--xtb.noxinfluencer.com/instagram/channel/30519370,0,badcase,旅行海滩生活号，与咖啡机推广无关
35,197139,小林 秀人,https://cn--xtb.noxinfluencer.com/instagram/channel/197139,0,badcase,纯料理内容，无咖啡机或评测语境
51,63163672631,Dila | Diata Design,https://cn--xtb.noxinfluencer.com/instagram/channel/63163672631,0,badcase,家居装饰为主，咖啡机相关信号不足
52,3142426334,Ben’s Automotive Decor,https://cn--xtb.noxinfluencer.com/instagram/channel/3142426334,-15,badcase,汽车装饰域，与咖啡机推广互斥
56,1000914004,Retha Nichole,https://cn--xtb.noxinfluencer.com/instagram/channel/1000914004,0,badcase,仅 life，缺少品类相关信号
59,10171950086,Professional Reps,https://cn--xtb.noxinfluencer.com/instagram/channel/10171950086,0,badcase,仅 kitchen，过于稀疏
65,10475018401,LuvNStitches By Colene LLC,https://cn--xtb.noxinfluencer.com/instagram/channel/10475018401,0,badcase,无有效标签，无法判断
66,10587907299,caitlyn,https://cn--xtb.noxinfluencer.com/instagram/channel/10587907299,0,badcase,生活方式泛化，咖啡机关联很弱
67,10674783,Richard Negri,https://cn--xtb.noxinfluencer.com/instagram/channel/10674783,0,badcase,艺术内容，与咖啡机推广无关
74,1092416817,Independent Motorsports | Premier Powersports Dealer,https://cn--xtb.noxinfluencer.com/instagram/channel/1092416817,0,badcase,动力运动品类，与咖啡机无关
75,10955557242,BobWellsNursery,https://cn--xtb.noxinfluencer.com/instagram/channel/10955557242,0,badcase,园艺养殖向，与咖啡机无关
79,11158607,"The Papineau Home | Interior Decor, Vintage & Antiques",https://cn--xtb.noxinfluencer.com/instagram/channel/11158607,0,badcase,无标签无内容，无法判断与咖啡机推广的相关性
82,11229244561,EGRO USA,https://cn--xtb.noxinfluencer.com/instagram/channel/11229244561,0,badcase,无标签无内容，无法建立有效相关性判断
83,11283500667,Khadija G.,https://cn--xtb.noxinfluencer.com/instagram/channel/11283500667,0,badcase,时尚生活垂类，缺少咖啡机推广所需的产品语境
88,1143351788,Hannah | Women’s Health Dietitian | PA-C,https://cn--xtb.noxinfluencer.com/instagram/channel/1143351788,0,badcase,健康营养垂类，与咖啡机产品种草关联弱
