rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,6505467917,SEVILAY CELIK,https://cn.noxinfluencer.com/instagram/channel/6505467917,0,badcase,beauty/skincare 为主，与割草机推广不符
23,220149,Matt Therrien🤘🤘🤘,https://cn.noxinfluencer.com/instagram/channel/220149,0,badcase,无标签、无视频证据，无法判断相关性
37,55269329825,Kickball Dad,https://cn.noxinfluencer.com/instagram/channel/55269329825,0,badcase,纯运动家庭号，与割草机推广无关
42,39963126,🌻 Francesca 🇵🇷,https://cn.noxinfluencer.com/instagram/channel/39963126,20,badcase,健身内容为主，草坪词疑似噪声
45,40928932319,Dad Advice From Bo,https://cn.noxinfluencer.com/instagram/channel/40928932319,0,badcase,纯生活建议号，和割草机无关
47,53252783317,DaveyStruggle,https://cn.noxinfluencer.com/instagram/channel/53252783317,0,badcase,家具改造号，和割草机场景不符
51,50776670852,Tyler Graham,https://cn.noxinfluencer.com/instagram/channel/50776670852,0,badcase,无相关标签与内容信号
61,71695882578,Casey&Rashad,https://cn.noxinfluencer.com/instagram/channel/71695882578,0,badcase,无标签无内容，无法判断相关
62,48924703,Vince Grove,https://cn.noxinfluencer.com/instagram/channel/48924703,1,badcase,仅有草坪弱词，证据太少
64,4233275888,MANSCAPED®,https://cn.noxinfluencer.com/instagram/channel/4233275888,0,badcase,男士护理品牌，与割草机不匹配
65,58019365333,Inspiring Designs,https://cn.noxinfluencer.com/instagram/channel/58019365333,0,badcase,偏设计种草，与割草机主题偏离
66,205184074,Ben Schmanke,https://cn.noxinfluencer.com/instagram/channel/205184074,0,badcase,电子数码号，缺少草坪机械相关信号
70,652165091,Michael Wittig,https://cn.noxinfluencer.com/instagram/channel/652165091,0,badcase,健身号与割草机推广无关
71,1530430756,John Inzerillo,https://cn.noxinfluencer.com/instagram/channel/1530430756,0,badcase,自行车汽车内容，与割草机无关
73,257787548,Camryn Bryant,https://cn.noxinfluencer.com/instagram/channel/257787548,0,badcase,艺术绘画号，完全不相关
75,1130878512,ECHO USA,https://cn.noxinfluencer.com/instagram/channel/1130878512,0,badcase,标签过泛，缺少割草机证据
76,45065258476,Tyler Bouldin,https://cn.noxinfluencer.com/instagram/channel/45065258476,0,badcase,家装DIY为主，缺少草坪/割草相关信号
78,1035091873,Rodney Smith Jr,https://cn.noxinfluencer.com/instagram/channel/1035091873,0,badcase,家庭公益向，和 lawn mower 主题无关
91,39387770276,CONSTRUCTION MEMES / VIDS ! 😄,https://cn.noxinfluencer.com/instagram/channel/39387770276,0,badcase,娱乐梗图为主，缺少割草机推广导向
