rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
9,873613309,Randy Baldera,https://cn--xtb.noxinfluencer.com/instagram/channel/873613309,0,badcase,无草坪或割草相关信号
10,1281999615,Long Live Dallas 🙏🏾👼🏽,https://cn--xtb.noxinfluencer.com/instagram/channel/1281999615,0,badcase,无草坪或割草相关信号
12,11076779329,Chase Stetson,https://cn--xtb.noxinfluencer.com/instagram/channel/11076779329,-10,badcase,清洁/ASMR型内容，不适合卖割草机
16,412799250,Sherri French,https://cn--xtb.noxinfluencer.com/instagram/channel/412799250,0,badcase,泛促账号，和割草机主题不相关
22,49255020886,SB Mowing,https://cn--xtb.noxinfluencer.com/instagram/channel/49255020886,-12,badcase,ASMR割草内容，偏感官娱乐，不适合推广
50,469871714,2k.lil😍🎵,https://cn--xtb.noxinfluencer.com/instagram/channel/469871714,0,badcase,纯泛娱乐号，几乎无产品推广场景
57,2292669686,Nate & Abby TheRcSaylors,https://cn--xtb.noxinfluencer.com/instagram/channel/2292669686,0,badcase,RC 玩具频道，与草坪机械无关
59,217025178,Vince Sanders,https://cn--xtb.noxinfluencer.com/instagram/channel/217025178,0,badcase,缺少任何草坪或园艺相关信号
60,65295035359,Hanna Ray | Golfer + Creator,https://cn--xtb.noxinfluencer.com/instagram/channel/65295035359,0,badcase,高尔夫/旅游内容，与 lawn mower 无关
65,77379648291,Owen N. | Everything But College,https://cn--xtb.noxinfluencer.com/instagram/channel/77379648291,0,badcase,无可用标签，无法判断相关性
67,78902244095,Chris Laflamme,https://cn--xtb.noxinfluencer.com/instagram/channel/78902244095,0,badcase,无草坪机械相关信号
77,7280903197,Tim Jackson,https://cn--xtb.noxinfluencer.com/instagram/channel/7280903197,0,badcase,越野车/卡车为主，与割草机推广无关。
81,15438625194,NOT2TWINZ,https://cn--xtb.noxinfluencer.com/instagram/channel/15438625194,8,badcase,娱乐/舞蹈为主，割草机标签像偶发提及。
85,3155926849,ryfulll,https://cn--xtb.noxinfluencer.com/instagram/channel/3155926849,10,badcase,车圈漂移为主，割草机标签不构成有效受众。
92,59189159734,L0wb0dy Media,https://cn--xtb.noxinfluencer.com/instagram/channel/59189159734,10,badcase,汽车展示为主，割草机标签像边缘噪声。
122,23937100,VP Racing,https://cn--xtb.noxinfluencer.com/instagram/channel/23937100,0,badcase,汽车赛事和油液类内容，与割草机无关
130,1035091873,Rodney Smith Jr,https://cn--xtb.noxinfluencer.com/instagram/channel/1035091873,8,badcase,有 mowing 但主轴是公益故事，非产品推广
154,16708514521,Pattay’s Performance,https://cn--xtb.noxinfluencer.com/instagram/channel/16708514521,0,badcase,缺少园艺或草坪设备信号，相关性不足
156,17206155799,Taylor Daniska,https://cn--xtb.noxinfluencer.com/instagram/channel/17206155799,0,badcase,缺少草坪机械相关信号，难支持推广判断
159,1805786489,Team Smith Sells 225,https://cn--xtb.noxinfluencer.com/instagram/channel/1805786489,0,badcase,房产账号与割草机推广场景不匹配
170,205645232,Buy Local Bowling Green,https://cn--xtb.noxinfluencer.com/instagram/channel/205645232,0,badcase,餐饮本地生活账号与割草机推广不匹配
188,257787548,Camryn Bryant,https://cn--xtb.noxinfluencer.com/instagram/channel/257787548,0,badcase,艺术绘画账号，缺少设备相关语义
201,296571446,Ron Ayers Motorsports,https://cn--xtb.noxinfluencer.com/instagram/channel/296571446,0,badcase,无草坪机相关内容信号
203,30172648010,Peach Outdoor,https://cn--xtb.noxinfluencer.com/instagram/channel/30172648010,0,badcase,户外泛类，缺少草坪机信号
204,302899546,Vince Vitrano,https://cn--xtb.noxinfluencer.com/instagram/channel/302899546,-10,badcase,内容偏啦啦队和娱乐，和割草机推广不匹配
211,31242737596,Lopatofsky Auction LLC,https://cn--xtb.noxinfluencer.com/instagram/channel/31242737596,0,badcase,拍卖频道，不适合割草机推广
215,317218478,TWP MOTORSPORTS,https://cn--xtb.noxinfluencer.com/instagram/channel/317218478,0,badcase,赛车机车向，和割草机不相关
