rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
28,28160352864,Mama Shawna,https://cn.noxinfluencer.com/instagram/channel/28160352864,0,badcase,无任何相关标签或内容信号
34,9303247705,Tate and Kenna and Fizz,https://cn.noxinfluencer.com/instagram/channel/9303247705,0,badcase,仅有泛食物标签，缺少宠物受众
36,309654407,Taylor,https://cn.noxinfluencer.com/instagram/channel/309654407,0,badcase,家电/广告向内容，不适合宠粮推广
45,4646212464,Acabonac Farms,https://cn.noxinfluencer.com/instagram/channel/4646212464,0,badcase,农场牛肉内容，和宠物食品受众不匹配
48,1811044330,Trooper & Vortec,https://cn.noxinfluencer.com/instagram/channel/1811044330,0,badcase,无任何相关标签或内容信号
50,2986132496,Animal Savvy LLC,https://cn.noxinfluencer.com/instagram/channel/2986132496,0,badcase,仅有公司名，缺少宠物食品相关信号
52,45771897,Ren • campfires | adventures,https://cn.noxinfluencer.com/instagram/channel/45771897,0,badcase,露营家庭内容，与宠物食品推广无关
54,65733883394,Toby & Blü,https://cn.noxinfluencer.com/instagram/channel/65733883394,0,badcase,无宠物食品相关信号
57,69549171106,Peanut,https://cn.noxinfluencer.com/instagram/channel/69549171106,0,badcase,无可用宠物食品相关证据
66,4056975347,Katey,https://cn.noxinfluencer.com/instagram/channel/4056975347,0,badcase,无宠物食品相关信号
75,57280971108,Bennett 🐾🐱,https://cn.noxinfluencer.com/instagram/channel/57280971108,8,badcase,ASMR宠物内容，推广形态不匹配
81,472922490,Notorious,https://cn.noxinfluencer.com/instagram/channel/472922490,0,badcase,无标签无内容，相关信号缺失
105,10415928,Simplehuman,https://cn.noxinfluencer.com/instagram/channel/10415928,5,badcase,家居收纳为主，宠物食品标签疑似噪音
111,7815350186,Cary Colón aka Cleantok Cary,https://cn.noxinfluencer.com/instagram/channel/7815350186,0,badcase,清洁生活方式频道，缺少宠物食品受众
115,549170313,Christopher Gillette,https://cn.noxinfluencer.com/instagram/channel/549170313,-5,badcase,野生动物/爬宠内容，与宠物食品人群不符
116,49923311684,Gubba Homestead,https://cn.noxinfluencer.com/instagram/channel/49923311684,0,badcase,家居自给自足内容，缺少宠物食品受众
123,211428898,Sonny Otieno,https://cn.noxinfluencer.com/instagram/channel/211428898,0,badcase,无标签，无召回依据
135,53522321207,𝗞𝗔𝗬𝗟𝗘𝗘 𝗠𝗔𝗥𝗜𝗘Ｉ𝑹𝒐𝒐𝒕 𝑪𝒂𝒖𝒔𝒆 𝑷𝒓𝒂𝒄𝒕𝒊𝒕𝒊𝒐𝒏𝒆𝒓,https://cn.noxinfluencer.com/instagram/channel/53522321207,0,badcase,健康理疗向，和宠粮推广不匹配
140,52450744033,Frankie,https://cn.noxinfluencer.com/instagram/channel/52450744033,5,badcase,有宠粮标签，但ASMR形式压制转化
141,10600505541,ℝ𝕚𝕤𝕖𝕤𝕒𝕓𝕠𝕧𝕖𝕚𝕥𝕒𝕝𝕝- Functional + Holistic Medicine,https://cn.noxinfluencer.com/instagram/channel/10600505541,0,badcase,健康育儿向，和宠粮推广不相关
142,48347443117,CultivateElevate,https://cn.noxinfluencer.com/instagram/channel/48347443117,0,badcase,生活方式与冥想向，和宠粮无关
145,33072223055,Noah Young,https://cn.noxinfluencer.com/instagram/channel/33072223055,0,badcase,农场泛动物内容，缺少宠粮投放意图
151,6660694966,Nick Kokenos & Erica Battle | Adventure Travel,https://cn.noxinfluencer.com/instagram/channel/6660694966,1,badcase,旅行美食号，只有泛 food 标签，宠粮推广相关性弱
153,25425340,"San Antonio, Texas | Amanda",https://cn.noxinfluencer.com/instagram/channel/25425340,3,badcase,人类美食账号，缺少宠物与喂养场景
161,65175390766,"Ivy, Opie, Koi & Dottie",https://cn.noxinfluencer.com/instagram/channel/65175390766,-4,badcase,猫内容带 ASMR 偏娱乐，不适合宠粮推广
163,21562492323,Megan Nichols | NC Eat & Play,https://cn.noxinfluencer.com/instagram/channel/21562492323,1,badcase,本地美食旅游号，与宠粮推广不匹配
168,26065037619,Melissa Mal | Modern health Naturopath,https://cn.noxinfluencer.com/instagram/channel/26065037619,0,badcase,人类健康账号，与宠粮无关
170,62240772567,Allison Sadler,https://cn.noxinfluencer.com/instagram/channel/62240772567,0,badcase,医疗争议号，与宠粮推广无关
173,490499849,Casey Cromwell | Gluten Free Celiac Foodie,https://cn.noxinfluencer.com/instagram/channel/490499849,1,badcase,人类无麸质美食号，与宠粮无关
180,294505418,PAWS Chicago,https://cn.noxinfluencer.com/instagram/channel/294505418,0,badcase,标签几乎无宠物食品相关信号
181,47596344261,Angel Freitas,https://cn.noxinfluencer.com/instagram/channel/47596344261,0,badcase,家居DIY号，与宠物食品无关
190,44198560066,memes by bepis,https://cn.noxinfluencer.com/instagram/channel/44198560066,0,badcase,无宠物食品相关信号
197,1825120733,DALLASITES101,https://cn.noxinfluencer.com/instagram/channel/1825120733,0,badcase,本地生活/食物号，与宠物食品无关
198,45666144583,Leah Seeling| East Coast Adventures,https://cn.noxinfluencer.com/instagram/channel/45666144583,0,badcase,旅行户外号，与宠物食品无关
200,44988968072,Things to Do in Dallas - Fort Worth with Kids,https://cn.noxinfluencer.com/instagram/channel/44988968072,0,badcase,家庭本地生活号，与宠物食品无关
208,268227254,Yatzuri Thomas✨| DMV Family Travel and Getaways,https://cn.noxinfluencer.com/instagram/channel/268227254,0,badcase,纯家庭旅行号，和宠物食品无关
212,47670532753,Michelle Bianca,https://cn.noxinfluencer.com/instagram/channel/47670532753,0,badcase,动物维权/素食立场，和宠物食品投放不匹配
214,65961419319,Allie Christine,https://cn.noxinfluencer.com/instagram/channel/65961419319,0,badcase,健康排毒内容，和宠物食品无关
217,290933311,NJ Mom® ❤️ New Jersey Mom,https://cn.noxinfluencer.com/instagram/channel/290933311,0,badcase,泛家庭生活号，缺少宠物受众
223,645805605,Tampa Bay is Awesome,https://cn.noxinfluencer.com/instagram/channel/645805605,0,badcase,本地生活/旅行号，和宠物食品无关
227,45483461929,"Angel City Market, Inc.™️",https://cn.noxinfluencer.com/instagram/channel/45483461929,1,badcase,仅泛食品/市集内容，缺少宠物受众
228,7039958373,Kelly | When In Tampa,https://cn.noxinfluencer.com/instagram/channel/7039958373,1,badcase,本地美食旅行号，和宠粮投放不匹配
231,1489026963,CLTGuide,https://cn.noxinfluencer.com/instagram/channel/1489026963,1,badcase,泛本地美食内容，非宠物消费场景
233,5584891387,Foxes Journey Sanctuary,https://cn.noxinfluencer.com/instagram/channel/5584891387,0,badcase,野生动物救助号，非宠物食品场景
235,53370916619,Lindsay DeAguila | Animal Based Wellness,https://cn.noxinfluencer.com/instagram/channel/53370916619,0,badcase,人类健康饮食号，不是宠物喂养场景
236,8607303730,MAGIC MARKET,https://cn.noxinfluencer.com/instagram/channel/8607303730,1,badcase,素食市集号，和宠粮推广相关性弱
243,7161134393,Jimmy (Bug),https://cn.noxinfluencer.com/instagram/channel/7161134393,0,badcase,美妆美甲号，宠物食品受众不匹配
244,73698207194,Cookie Cat,https://cn.noxinfluencer.com/instagram/channel/73698207194,0,badcase,仅名称像猫，缺少可验证宠物内容
245,13465356714,Natasha | Arizona Family Adventures,https://cn.noxinfluencer.com/instagram/channel/13465356714,1,badcase,家庭旅行号，非宠物消费场景
247,7833547,Katie McGowan,https://cn.noxinfluencer.com/instagram/channel/7833547,0,badcase,纹身艺术号，和宠粮目标人群无关
248,50411983278,🌸kamryn marie | fruit faerie🦋,https://cn.noxinfluencer.com/instagram/channel/50411983278,1,badcase,人类健康饮食号，缺少宠物语境
249,835724788,Turtle Survival Alliance,https://cn.noxinfluencer.com/instagram/channel/835724788,0,badcase,野生动物保护号，不是宠物食品场景
250,3056106644,New York State Department of Environmental Conservation,https://cn.noxinfluencer.com/instagram/channel/3056106644,0,badcase,自然环保号，和宠粮推广不相关
252,424407188,Jon Moore,https://cn.noxinfluencer.com/instagram/channel/424407188,0,badcase,旅行美食账号，与宠物食品无关
254,49230632854,Austin Fun For Kids,https://cn.noxinfluencer.com/instagram/channel/49230632854,0,badcase,儿童内容，与宠物食品无关
257,1739013365,Pustika Samaddar || TRAVEL CREATOR ||NY || NJ || PA || DE,https://cn.noxinfluencer.com/instagram/channel/1739013365,0,badcase,旅行博主账号，与宠物食品无关
258,1212019805,Girls Who Eat | Non-Toxic Living,https://cn.noxinfluencer.com/instagram/channel/1212019805,0,badcase,生活方式饮食账号，缺少宠物受众
259,15825976,Hope • Chattanooga Hiking Tour Guide,https://cn.noxinfluencer.com/instagram/channel/15825976,0,badcase,徒步旅行账号，与宠物食品无关
263,261424341,MyFWC Florida Fish & Wildlife,https://cn.noxinfluencer.com/instagram/channel/261424341,0,badcase,野生动物与宠物食品投放目标不符
266,1901705740,HVHAPPENINGS | Sharing NY's Best Places,https://cn.noxinfluencer.com/instagram/channel/1901705740,0,badcase,本地美食内容，与宠物食品无关
275,57310874647,Aeris Raelyn,https://cn.noxinfluencer.com/instagram/channel/57310874647,0,badcase,健康母婴内容，与宠物食品无关
276,296109889,Long Beach Stuff,https://cn.noxinfluencer.com/instagram/channel/296109889,0,badcase,海滩本地生活号，与宠物食品无关
279,37271393811,Jamie Lomax | Pacific Knit Co.,https://cn.noxinfluencer.com/instagram/channel/37271393811,0,badcase,编织手作号，主题无关
282,4129275188,Smart City Apartments • HTX,https://cn.noxinfluencer.com/instagram/channel/4129275188,0,badcase,公寓房产号，和宠物食品无关
283,48559990998,Omaha Places,https://cn.noxinfluencer.com/instagram/channel/48559990998,0,badcase,本地美食生活号，缺少宠物受众
286,579532745,Yellow Green Farmers Market,https://cn.noxinfluencer.com/instagram/channel/579532745,0,badcase,农贸市场/本地生活号，不相关
289,174144406,𝐊eiakeyala Curtis,https://cn.noxinfluencer.com/instagram/channel/174144406,0,badcase,人类美食博主，与宠物食品无关
291,58352253424,Tiffany | Frederick Maryland Family Fun & Travel,https://cn.noxinfluencer.com/instagram/channel/58352253424,0,badcase,家庭旅行号，和宠物食品无关
292,12248490515,Sasha's Beauty Pans,https://cn.noxinfluencer.com/instagram/channel/12248490515,0,badcase,标签缺失，缺乏相关证据
294,2709205039,Smorgasburg LA,https://cn.noxinfluencer.com/instagram/channel/2709205039,0,badcase,本地餐饮活动号，不相关
295,24201090,Erica Costello | Southern California Guide,https://cn.noxinfluencer.com/instagram/channel/24201090,0,badcase,南加餐饮点评号，不相关
301,7588568553,💙Skylar Bleu💙,https://cn.noxinfluencer.com/instagram/channel/7588568553,0,badcase,时尚旅行号，宠物食品受众不匹配
303,3627352382,DallasPartyOf2: Things To Do In DFW,https://cn.noxinfluencer.com/instagram/channel/3627352382,0,badcase,本地美食/出行内容，缺少宠物受众
305,354040782,Jessica | Mid Atlantic Travel | East Coast Adventures,https://cn.noxinfluencer.com/instagram/channel/354040782,0,badcase,旅行亲子号，和宠物食品相关性弱
306,389767776,West Coast Craft,https://cn.noxinfluencer.com/instagram/channel/389767776,0,badcase,手作艺术号，和宠物食品推广关系弱
308,61228201708,Lauren Hewitt | Cleaning | Home Organization | Amazon Finds,https://cn.noxinfluencer.com/instagram/channel/61228201708,-10,badcase,ASMR形式与宠物食品推广不匹配
312,65720318657,Ponyo and Luna 🤍,https://cn.noxinfluencer.com/instagram/channel/65720318657,0,badcase,无标签信息，无法判断宠物食品相关性
313,2523963737,"Marissa Fiala | Houston, TX",https://cn.noxinfluencer.com/instagram/channel/2523963737,0,badcase,美食达人号，和宠物食品受众不匹配
321,15701606922,Creep It Real OC Events,https://cn.noxinfluencer.com/instagram/channel/15701606922,-10,badcase,惊悚娱乐内容，和宠物食品投放场景不符
323,6722972060,Utah Fun Activities,https://cn.noxinfluencer.com/instagram/channel/6722972060,0,badcase,亲子活动号，缺少宠物受众
325,144002035,Bella Organic Farm,https://cn.noxinfluencer.com/instagram/channel/144002035,0,badcase,农场美食内容，缺少宠物食品受众
328,60332304198,Simple Kitties,https://cn.noxinfluencer.com/instagram/channel/60332304198,0,badcase,无标签与宠粮相关，证据缺失。
329,257350070,Orange County Connect™ | OC Media Group 🚀,https://cn.noxinfluencer.com/instagram/channel/257350070,0,badcase,篮球训练账号，与宠粮无关。
334,1296649697,Family Tree Nursery,https://cn.noxinfluencer.com/instagram/channel/1296649697,0,badcase,苗圃内容，与宠粮无关。
339,6742420403,Flounder Cat | Talking Fish,https://cn.noxinfluencer.com/instagram/channel/6742420403,-5,badcase,娱乐向拟人内容，和宠粮推广格式不匹配。
346,42192232043,"Myranda Hausheer | Denver, Colorado | hiking | outdoors",https://cn.noxinfluencer.com/instagram/channel/42192232043,0,badcase,户外旅行号，与宠粮无关。
347,3198265158,End of the Leash,https://cn.noxinfluencer.com/instagram/channel/3198265158,0,badcase,无标签无内容证据，无法判断为相关。
