rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
43,18649781314,Jalen Noble,https://cn--xtb.noxinfluencer.com/instagram/channel/18649781314,0,badcase,泛生活/清洁向，宠物食品相关性弱
52,19049043083,Orion 🌎,https://cn--xtb.noxinfluencer.com/instagram/channel/19049043083,0,badcase,无标签无内容，无法判断为宠物食品相关
56,360966670,I M A (ee-mah),https://cn--xtb.noxinfluencer.com/instagram/channel/360966670,0,badcase,摄影旅行美食向，和宠物食品无关
58,53705394874,Dr. Lisa Christine Christiansen ®,https://cn--xtb.noxinfluencer.com/instagram/channel/53705394874,0,badcase,骑行生活向，宠物食品相关性不足
67,70401074214,Peach🍑,https://cn--xtb.noxinfluencer.com/instagram/channel/70401074214,0,badcase,无标签无内容，无法建立相关性
72,17450512,Steph Wilson,https://cn--xtb.noxinfluencer.com/instagram/channel/17450512,0,badcase,旅行海滩向内容，与宠物食品不相关
81,1164098477,ThatWolfMother 🐺🖤🐺,https://cn--xtb.noxinfluencer.com/instagram/channel/1164098477,0,badcase,无可用标签，缺少宠物食品信号
88,63393130933,Enzo,https://cn--xtb.noxinfluencer.com/instagram/channel/63393130933,0,badcase,无标签，缺少宠物食品信号
92,1992965199,Pet 'n Shape,https://cn--xtb.noxinfluencer.com/instagram/channel/1992965199,0,badcase,无标签，缺少宠物食品信号
95,259167624,Hawley Awad,https://cn--xtb.noxinfluencer.com/instagram/channel/259167624,0,badcase,动物内容但与宠物食品无关
98,31705157851,"Mr. BeauxJangles, Maizie Mae & Maddie the Maligator",https://cn--xtb.noxinfluencer.com/instagram/channel/31705157851,0,badcase,无标签，缺少宠物食品信号
103,21744834734,Marty 🐾,https://cn--xtb.noxinfluencer.com/instagram/channel/21744834734,1,badcase,体育为主，仅有宠物泛标签
104,1088533389,ASHLEY | UGC CREATOR,https://cn--xtb.noxinfluencer.com/instagram/channel/1088533389,0,badcase,与宠物食品无关，缺少相关受众
110,8529800613,Charity Hamilton,https://cn--xtb.noxinfluencer.com/instagram/channel/8529800613,0,badcase,无标签，无法判断相关性
123,7614090766,mia,https://cn--xtb.noxinfluencer.com/instagram/channel/7614090766,0,badcase,无标签，无法判断
125,52450744033,Frankie,https://cn--xtb.noxinfluencer.com/instagram/channel/52450744033,-5,badcase,ASMR格式与宠物食品推广强冲突
143,2272954972,Medi-Crunch,https://cn--xtb.noxinfluencer.com/instagram/channel/2272954972,0,badcase,无有效标签，缺少可用相关性证据
150,2201174542,TickledPet,https://cn--xtb.noxinfluencer.com/instagram/channel/2201174542,0,badcase,无标签，无法判断为宠物食品相关
152,74929170476,😺 Rosie • Cleo • Calvin 🐾,https://cn--xtb.noxinfluencer.com/instagram/channel/74929170476,0,badcase,标签为空，缺少宠粮相关信号
155,37699795424,Ares York,https://cn--xtb.noxinfluencer.com/instagram/channel/37699795424,-5,badcase,ASMR与宠粮推广格式冲突
156,3750880286,Lauryn Pinkston,https://cn--xtb.noxinfluencer.com/instagram/channel/3750880286,0,badcase,农牧/牛肉向，不是宠粮消费场景
158,12638617831,Falco,https://cn--xtb.noxinfluencer.com/instagram/channel/12638617831,0,badcase,无有效标签，难判断
167,2946256585,Ruby,https://cn--xtb.noxinfluencer.com/instagram/channel/2946256585,1,badcase,宠物泛标签过弱，且偏摄影/公益语境
179,20964079,Lyndsey Belle,https://cn--xtb.noxinfluencer.com/instagram/channel/20964079,-5,badcase,有产品评测意图，但ASMR格式冲突，卖货不适合
185,6343797523,Meowfecta 🐱Cat Songs🐱,https://cn--xtb.noxinfluencer.com/instagram/channel/6343797523,0,badcase,纯猫歌内容，无宠物食品推广信号
198,253774614,Ciaméra Jimenez 3️⃣0️⃣2️⃣🗽🇵🇷🎓,https://cn--xtb.noxinfluencer.com/instagram/channel/253774614,0,badcase,旅行夜生活号，与宠物食品无关
199,2211580265,Claire,https://cn--xtb.noxinfluencer.com/instagram/channel/2211580265,0,badcase,无有效宠物或食品证据
203,5214868,sam grey,https://cn--xtb.noxinfluencer.com/instagram/channel/5214868,0,badcase,美妆生活方式，宠物食品相关性很低
210,78538081620,Mouse | Chihuahua Puppy,https://cn--xtb.noxinfluencer.com/instagram/channel/78538081620,0,badcase,几乎无标签证据，相关性不足
212,2195186110,Serendipity By Kei Boutique,https://cn--xtb.noxinfluencer.com/instagram/channel/2195186110,0,badcase,时尚店铺向，宠物食品证据不足
222,10423477370,Jesús Moreno,https://cn--xtb.noxinfluencer.com/instagram/channel/10423477370,0,badcase,娱乐梗图向，宠物食品投放不匹配
224,7030500606,"🐾 Charlie, Clyde & Cleo 🐾",https://cn--xtb.noxinfluencer.com/instagram/channel/7030500606,-13,badcase,ASMR格式与宠物食品推广强冲突
227,55239582153,pharaoh & cleo,https://cn--xtb.noxinfluencer.com/instagram/channel/55239582153,0,badcase,标签缺失，无法支持宠物食品推广判断
228,58579337325,Tux The Blue Pomsky,https://cn--xtb.noxinfluencer.com/instagram/channel/58579337325,0,badcase,标签缺失，无法支持宠物食品推广判断
241,4029997199,Nobody Starves On Long Island,https://cn--xtb.noxinfluencer.com/instagram/channel/4029997199,8,badcase,公益募捐频道，虽有宠物食品标签但不适合投放
268,33697081504,Fresh Mink Pets,https://cn--xtb.noxinfluencer.com/instagram/channel/33697081504,4,badcase,宠物摄影为主，缺少食品或购买场景
311,266766135,Ben White IFBB PRO,https://cn--xtb.noxinfluencer.com/instagram/channel/266766135,0,badcase,健身账号，宠物食品推广场景弱
313,57280971108,Bennett 🐾🐱,https://cn--xtb.noxinfluencer.com/instagram/channel/57280971108,-10,badcase,ASMR娱乐格式与实物产品推广强冲突
324,1070502907,Habitat Buffalo ReStore,https://cn--xtb.noxinfluencer.com/instagram/channel/1070502907,0,badcase,家居回收为主，宠物食品相关性低
332,420532042,Kendall Coupons,https://cn--xtb.noxinfluencer.com/instagram/channel/420532042,0,badcase,美食折扣号，缺少宠物受众与宠粮语义
351,10415928,Simplehuman,https://cn--xtb.noxinfluencer.com/instagram/channel/10415928,0,badcase,家居清洁品牌，和宠粮投放关系弱
364,14041111,Margareth Martin,https://cn--xtb.noxinfluencer.com/instagram/channel/14041111,2,badcase,旅行生活号，只有零散宠物词
368,2202651034,LITTLE BIG BRANDS,https://cn--xtb.noxinfluencer.com/instagram/channel/2202651034,10,badcase,品牌设计号，非直接投放受众
369,51631789450,Petstar,https://cn--xtb.noxinfluencer.com/instagram/channel/51631789450,1,badcase,婴童时尚为主，宠粮投放不匹配
370,10011623688,904 Pop Up,https://cn--xtb.noxinfluencer.com/instagram/channel/10011623688,0,badcase,本地活动与服饰为主，几乎无宠粮相关
380,1027721681,Baby Fair Hawaii,https://cn--xtb.noxinfluencer.com/instagram/channel/1027721681,-3,badcase,以亲子旅行为主，与宠粮人群不符
