rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,61179165439,Chidsj US,https://cn.noxinfluencer.com/instagram/channel/61179165439,0,badcase,无相关标签或视频，缺乏推广相关性
4,30795980,Josh,https://cn.noxinfluencer.com/instagram/channel/30795980,0,badcase,无标签无内容证据，无法判断相关性
5,5421115946,KIWI design,https://cn.noxinfluencer.com/instagram/channel/5421115946,0,badcase,VR游戏配件方向，和充电宝推广关联弱
6,1612876753,Burak Tayanç,https://cn.noxinfluencer.com/instagram/channel/1612876753,0,badcase,无相关标签或视频，缺乏推广相关性
24,7260921782,Eric Alves,https://cn.noxinfluencer.com/instagram/channel/7260921782,0,badcase,纯游戏娱乐向，缺少电源配件相关性
25,2282240749,Jewish Voice for Peace,https://cn.noxinfluencer.com/instagram/channel/2282240749,-5,badcase,政治议题频道，和电源产品推广不匹配
26,341385912,Shaquille Hinkson,https://cn.noxinfluencer.com/instagram/channel/341385912,0,badcase,主题偏商业/金融，和移动电源推广场景偏离
29,863646148,Joi-Lin Hunt,https://cn.noxinfluencer.com/instagram/channel/863646148,0,badcase,创业/商业类内容，与移动电源推广关联弱
31,1081351522,John Hope Bryant,https://cn.noxinfluencer.com/instagram/channel/1081351522,0,badcase,金融教育向，和移动电源推广不匹配
32,1638072075,Working Class History,https://cn.noxinfluencer.com/instagram/channel/1638072075,0,badcase,历史/摄影内容，和移动电源推广无关
33,1206283565,Entrepreneur | Podcast | Formula 4 Race Team🔥,https://cn.noxinfluencer.com/instagram/channel/1206283565,0,badcase,播客/创业内容，缺少产品推广相关性
37,10915851946,Ih’Haiyanna Oh’Jani Zah’el,https://cn.noxinfluencer.com/instagram/channel/10915851946,0,badcase,灵性/教育类主题，与移动电源推广不符
41,20737252089,Binal Shah ✨,https://cn.noxinfluencer.com/instagram/channel/20737252089,0,badcase,时尚旅游类主题，和移动电源推广关联弱
42,228448479,World Bank Group,https://cn.noxinfluencer.com/instagram/channel/228448479,0,badcase,机构播客/发展议题，与移动电源推广不符
43,579642518,Gökçe Ercan Seymour,https://cn.noxinfluencer.com/instagram/channel/579642518,0,badcase,生活旅行杂项内容，缺少数码产品推广场景
44,34994309280,Justin Black - Espionage History,https://cn.noxinfluencer.com/instagram/channel/34994309280,0,badcase,历史叙事类内容，与移动电源推广无关
45,54615275515,Michael S. Gibson | Entrepreneur Mentor | Speaker,https://cn.noxinfluencer.com/instagram/channel/54615275515,0,badcase,健康/观点类内容，和移动电源推广不匹配
53,1599179800,Josh Nelson,https://cn.noxinfluencer.com/instagram/channel/1599179800,0,badcase,地产投资类，与充电宝消费场景不匹配
55,67156025630,Wall Street Memoir,https://cn.noxinfluencer.com/instagram/channel/67156025630,0,badcase,金融财经号，缺少数码消费相关性
56,42861408,Herman Dolce,https://cn.noxinfluencer.com/instagram/channel/42861408,0,badcase,企业信用/房产向，和充电宝推广关联弱
57,28629216,Amyr Samah El,https://cn.noxinfluencer.com/instagram/channel/28629216,0,badcase,教育泛号，缺少产品消费场景
59,64649810219,Roosevelt Khiry Thomas- CPA/ Life Insurance/ Investing,https://cn.noxinfluencer.com/instagram/channel/64649810219,0,badcase,财会/保险/投资号，与数码配件受众不符
62,66693729158,Anna Grace,https://cn.noxinfluencer.com/instagram/channel/66693729158,0,badcase,无标签信息，无法判断
63,16905506,𝗖hris 𝗢𝗕rien (𝗖OME 𝗢UT 𝗕ETTER) 𝗧𝗥𝗨𝗧𝗛 coach,https://cn.noxinfluencer.com/instagram/channel/16905506,0,badcase,励志心灵类，非产品推广场景
64,26218646414,Traded: Venture Capital 🦄,https://cn.noxinfluencer.com/instagram/channel/26218646414,0,badcase,VC投融资号，与充电宝受众不符
65,612929405,The Broad,https://cn.noxinfluencer.com/instagram/channel/612929405,0,badcase,艺术历史娱乐类，和数码消费关联弱
66,190712752,Banks Power,https://cn.noxinfluencer.com/instagram/channel/190712752,0,badcase,卡车柴油向，品类与充电宝不对应
