rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
4,78242957925,Daily Viral Products,https://cn--xtb.noxinfluencer.com/instagram/channel/78242957925,0,badcase,无标签无内容证据，无法判断相关性
15,27889986438,Rokform USA,https://cn--xtb.noxinfluencer.com/instagram/channel/27889986438,0,badcase,摩托车垂类过窄，缺少充电宝相关信号
16,34669118772,IZZO BIZNE$$,https://cn--xtb.noxinfluencer.com/instagram/channel/34669118772,0,badcase,美妆护理账号，与充电宝推广不相关
50,10150381082,C & J Auto Sales,https://cn--xtb.noxinfluencer.com/instagram/channel/10150381082,0,badcase,汽车销售号，和充电宝消费场景关联很弱
51,10320172198,WCCS,https://cn--xtb.noxinfluencer.com/instagram/channel/10320172198,0,badcase,无标签与内容证据，和移动电源无关
52,10448901358,Power on Heels Fund,https://cn--xtb.noxinfluencer.com/instagram/channel/10448901358,0,badcase,无相关标签，无法判断有带货相关性
53,10601239929,Leo Moy Jr.,https://cn--xtb.noxinfluencer.com/instagram/channel/10601239929,0,badcase,偏生活商务与装修，缺少消费电子方向
54,1081351522,John Hope Bryant,https://cn--xtb.noxinfluencer.com/instagram/channel/1081351522,0,badcase,金融教育频道，不适合推广移动电源
56,1091220122,Hawaii Agricultural Foundation,https://cn--xtb.noxinfluencer.com/instagram/channel/1091220122,0,badcase,农业食品频道，与移动电源无关
57,10915851946,Ih’Haiyanna Oh’Jani Zah’el,https://cn--xtb.noxinfluencer.com/instagram/channel/10915851946,0,badcase,灵性与自我成长内容，不适合数码产品推广
59,11372229163,Andrew Russell,https://cn--xtb.noxinfluencer.com/instagram/channel/11372229163,0,badcase,房贷金融频道，与移动电源不相关
60,1147142786,River City Food Bank,https://cn--xtb.noxinfluencer.com/instagram/channel/1147142786,0,badcase,食物救助机构频道，不适合推广该产品
61,12014220432,Coach Ronnie Holley Sr,https://cn--xtb.noxinfluencer.com/instagram/channel/12014220432,0,badcase,教练健身内容，缺少电子产品推广场景
63,1206283565,Entrepreneur | Podcast | Formula 4 Race Team🔥,https://cn--xtb.noxinfluencer.com/instagram/channel/1206283565,0,badcase,创业播客频道，和数码配件不匹配
65,13030392751,First Independence Bank,https://cn--xtb.noxinfluencer.com/instagram/channel/13030392751,0,badcase,银行金融频道，与移动电源无关
66,1303397060,Warren Haynes,https://cn--xtb.noxinfluencer.com/instagram/channel/1303397060,0,badcase,音乐演出频道，不适合做电源类推广
68,13473790007,KC Silver | Fantasy Romance Author,https://cn--xtb.noxinfluencer.com/instagram/channel/13473790007,0,badcase,无标签无内容，无法判断相关性
69,1357983295,The Priestess CEO | Feminine Energy + Biz Mentor,https://cn--xtb.noxinfluencer.com/instagram/channel/1357983295,0,badcase,商业教练频道，和移动电源产品不匹配
70,13610701,Mandell Smith,https://cn--xtb.noxinfluencer.com/instagram/channel/13610701,0,badcase,健身生活方式为主，缺少数码产品场景
71,1370128585,Redwood Empire Food Bank,https://cn--xtb.noxinfluencer.com/instagram/channel/1370128585,0,badcase,食物银行公益频道，与产品推广无关
72,1375272570,Soulsfeng New York,https://cn--xtb.noxinfluencer.com/instagram/channel/1375272570,0,badcase,主轴是时尚鞋服，不是电子配件频道
73,1381291055,Ken Serna,https://cn--xtb.noxinfluencer.com/instagram/channel/1381291055,0,badcase,寿险理财频道，与移动电源不相关
75,1400722741,"Amber Renée | Eros, Money, Power, Legacy",https://cn--xtb.noxinfluencer.com/instagram/channel/1400722741,0,badcase,关系与金钱话题频道，不适合该产品
77,1415524884,National Arts Festival,https://cn--xtb.noxinfluencer.com/instagram/channel/1415524884,-12,badcase,艺术娱乐号，与数码产品推广几乎无关
78,1437726469,White House Area Chamber,https://cn--xtb.noxinfluencer.com/instagram/channel/1437726469,-5,badcase,本地商会号，缺少数码购买语境
80,144140091,CEO MillionairessClub &  RE Investor strategist,https://cn--xtb.noxinfluencer.com/instagram/channel/144140091,-10,badcase,地产金融账号，与充电宝推广不匹配
82,14654814640,The Money Multiplier,https://cn--xtb.noxinfluencer.com/instagram/channel/14654814640,-10,badcase,金融教育号，和充电宝目标受众不符
83,14933614905,Crystal House Initiative,https://cn--xtb.noxinfluencer.com/instagram/channel/14933614905,-5,badcase,社区互助号，缺少产品推广场景
86,1500046205,Food Bank of Western Massachusetts,https://cn--xtb.noxinfluencer.com/instagram/channel/1500046205,-5,badcase,食物救助机构账号，与充电宝推广无关
88,1508456045,Aluratek,https://cn--xtb.noxinfluencer.com/instagram/channel/1508456045,-2,badcase,品牌卖场型账号，但产品与充电宝不相关
89,15087181,Elizabeth Faye• Beauty Industry Coach & Retreats •TedX Speaker •,https://cn--xtb.noxinfluencer.com/instagram/channel/15087181,-5,badcase,美业教练号，和数码电源类产品不匹配
90,1509261609,Hola Charlotte Festival,https://cn--xtb.noxinfluencer.com/instagram/channel/1509261609,0,badcase,活动节庆号，暂无产品推广语境
91,15168762984,Food Bank of Eastern Michigan,https://cn--xtb.noxinfluencer.com/instagram/channel/15168762984,-5,badcase,食物救助机构账号，与充电宝推广无关
92,1524241992,Billy Lane,https://cn--xtb.noxinfluencer.com/instagram/channel/1524241992,-5,badcase,摩托车赛事号，和充电宝受众不一致
95,1535392554,Casey Cooper,https://cn--xtb.noxinfluencer.com/instagram/channel/1535392554,-5,badcase,创业/卡车号，与充电宝受众不符
96,1546883288,Monica Morales,https://cn--xtb.noxinfluencer.com/instagram/channel/1546883288,-2,badcase,家庭社区号，缺少电源类产品推广语境
99,1599179800,Josh Nelson,https://cn--xtb.noxinfluencer.com/instagram/channel/1599179800,-10,badcase,房地产金融号，和充电宝推广无关
