rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,47809341174,Frenchie Complex™,https://cn.noxinfluencer.com/instagram/channel/47809341174,-15,badcase,宠物狗频道，与人用泳背心互斥
2,19149515487,🧡 Dante,https://cn.noxinfluencer.com/instagram/channel/19149515487,0,badcase,无标签无内容，缺乏相关证据
6,2112359282,"Fido Pet Products, LLC",https://cn.noxinfluencer.com/instagram/channel/2112359282,-10,badcase,宠物产品账号，不适合人用泳背心
7,1557744797,NutritionFacts.org,https://cn.noxinfluencer.com/instagram/channel/1557744797,0,badcase,健康科普向，但非泳具推广场景
8,10813874442,Goldfish - Fort Washington,https://cn.noxinfluencer.com/instagram/channel/10813874442,0,badcase,仅凭名称无法确认相关，证据不足
9,5454853685,Terrain D.O.G.,https://cn.noxinfluencer.com/instagram/channel/5454853685,-15,badcase,狗类宠物频道，与人用泳背心互斥
15,11879209017,Lil Rascals Dog Rescue,https://cn.noxinfluencer.com/instagram/channel/11879209017,-15,badcase,宠物救助频道，与人用泳背心互斥
18,468482244,The LV Project,https://cn.noxinfluencer.com/instagram/channel/468482244,0,badcase,无标签无内容，缺少相关证据
20,42213647,Arnel,https://cn.noxinfluencer.com/instagram/channel/42213647,0,badcase,无标签无内容，缺少相关证据
21,1000641551,Dior & Obi-Wan,https://cn.noxinfluencer.com/instagram/channel/1000641551,-15,badcase,狗狗宠物频道，与人用泳背心互斥
22,10021417970,RACHEL KAMINEK,https://cn.noxinfluencer.com/instagram/channel/10021417970,0,badcase,无标签无内容，缺少相关证据
23,10100046,nathanecorbett,https://cn.noxinfluencer.com/instagram/channel/10100046,-15,badcase,娱乐影视向，非产品推广场景
25,1013583933,Libby Silvia,https://cn.noxinfluencer.com/instagram/channel/1013583933,0,badcase,艺术设计向，和泳具推广关联弱
26,10136423134,Colleen Ann | MATRIARCH Midwife,https://cn.noxinfluencer.com/instagram/channel/10136423134,-10,badcase,娱乐/故事向内容，和人用游泳背心推广不匹配
27,10154590893,THE WARRIOR CALLING ELITE PERFORMANCE COACHING,https://cn.noxinfluencer.com/instagram/channel/10154590893,0,badcase,军事训练向，缺少游泳或消费品推广语境
31,10197221240,San Joaquin County Sheriff’s Office,https://cn.noxinfluencer.com/instagram/channel/10197221240,0,badcase,警务社区号，和该类人用产品关联弱
32,1034757847,Land of Paws • KC Pet Boutique 🐾,https://cn.noxinfluencer.com/instagram/channel/1034757847,-5,badcase,宠物受众，不适合人用游泳背心
33,10398294692,"Archie, Rona, Joy & Quattro 🐾🇺🇸",https://cn.noxinfluencer.com/instagram/channel/10398294692,0,badcase,宠物账号，和人用游泳背心不匹配
35,10433377859,Island Life Animal Hospital,https://cn.noxinfluencer.com/instagram/channel/10433377859,0,badcase,动物医院账号，和人用游泳背心无关
36,1043888848,Julie Hafen | Aviatrix,https://cn.noxinfluencer.com/instagram/channel/1043888848,0,badcase,个人航空账号，缺少相关消费场景
39,1055427779,Cassie Hepler,https://cn.noxinfluencer.com/instagram/channel/1055427779,0,badcase,生活号，缺少明确消费场景
40,1062232,Aaron Logan,https://cn.noxinfluencer.com/instagram/channel/1062232,0,badcase,无标签，相关性不足
42,1063229,Sandhya Murthy,https://cn.noxinfluencer.com/instagram/channel/1063229,0,badcase,无标签，相关性不足
43,10681810732,Autism Society of Florida,https://cn.noxinfluencer.com/instagram/channel/10681810732,0,badcase,公益教育号，和游泳背心推广关联弱
44,10737900011,K9 Koncepts Boarding,https://cn.noxinfluencer.com/instagram/channel/10737900011,-15,badcase,犬类训练账号，和人用产品受众不符
45,10748756033,Jess Rose McDowell | Run Club Lead & Coach,https://cn.noxinfluencer.com/instagram/channel/10748756033,0,badcase,跑团教练号，缺少游泳或装备语境
46,10807765484,Homestead Designer Doodles,https://cn.noxinfluencer.com/instagram/channel/10807765484,-10,badcase,宠物受众，和人用游泳背心不匹配
47,1081691308,Alec Rovniak,https://cn.noxinfluencer.com/instagram/channel/1081691308,0,badcase,无标签，相关性不足
52,10871347951,Hanny Thomas and Diesel 🇺🇸,https://cn.noxinfluencer.com/instagram/channel/10871347951,-15,badcase,宠物犬内容，与人用swim vest人群互斥
53,1088451065,Humane Tomorrow,https://cn.noxinfluencer.com/instagram/channel/1088451065,0,badcase,无相关标签，内容偏动物保护主题
54,1091973859,Hall County Fire Rescue,https://cn.noxinfluencer.com/instagram/channel/1091973859,0,badcase,消防救援账号，缺少游泳装备推广证据
55,1092365831,Stevante Clark,https://cn.noxinfluencer.com/instagram/channel/1092365831,0,badcase,人物向账号，与产品推广无关
56,10972700315,Bradley Easter,https://cn.noxinfluencer.com/instagram/channel/10972700315,0,badcase,穿搭发型内容，和swim vest关联很弱
57,10978146564,Goldfish - Middletown,https://cn.noxinfluencer.com/instagram/channel/10978146564,0,badcase,无标签且看不出与产品相关的主题
58,10995668,Dr. Alyssa Lee,https://cn.noxinfluencer.com/instagram/channel/10995668,-15,badcase,犬类训练号，属于宠物互斥人群
60,11056030226,U.S. Army Fort Campbell,https://cn.noxinfluencer.com/instagram/channel/11056030226,0,badcase,军队社区账号，和泳衣护具推广不匹配
63,11149870212,Linn County Sheriff’s Office,https://cn.noxinfluencer.com/instagram/channel/11149870212,0,badcase,执法机构账号，缺少产品推广相关性
65,1117072341,"Otis, Veruca, Milo, Teddy, & Lily",https://cn.noxinfluencer.com/instagram/channel/1117072341,-15,badcase,宠物犬主题，与人用泳浮衣互斥
66,11177051967,VIRAGO,https://cn.noxinfluencer.com/instagram/channel/11177051967,0,badcase,无标签，无法判断为相关创作者
67,11190723,Jason ‘ODB’ Ballard,https://cn.noxinfluencer.com/instagram/channel/11190723,0,badcase,音乐账号，与swim vest无关
69,11206495,Rachel Greenstein,https://cn.noxinfluencer.com/instagram/channel/11206495,0,badcase,无内容信号，和产品推广关联不足
71,11290360196,412 Force Support Squadron,https://cn.noxinfluencer.com/instagram/channel/11290360196,0,badcase,军方后勤账号，和产品推广不匹配
72,11296538,Ms. Steele,https://cn.noxinfluencer.com/instagram/channel/11296538,0,badcase,生活杂项账号，缺少泳具相关信号
73,11314412053,Raw and Refined,https://cn.noxinfluencer.com/instagram/channel/11314412053,0,badcase,标签过弱，无法支撑相关性判断
