rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
4,15263963068,Watson,https://cn--xtb.noxinfluencer.com/instagram/channel/15263963068,-15,badcase,宠物向频道，不适合推广人用浮力背心
6,1103618767,UKUSCAdoggie,https://cn--xtb.noxinfluencer.com/instagram/channel/1103618767,-15,badcase,宠物用品频道，和人用 swim vest 不匹配
10,20405437609,Victoria's Secret Canada 🇨🇦,https://cn--xtb.noxinfluencer.com/instagram/channel/20405437609,-8,badcase,缺少频道标签与相关内容，难判断相关性
16,19149515487,🧡 Dante,https://cn--xtb.noxinfluencer.com/instagram/channel/19149515487,-8,badcase,无标签无内容线索，无法支持推广
17,2112359282,"Fido Pet Products, LLC",https://cn--xtb.noxinfluencer.com/instagram/channel/2112359282,-12,badcase,宠物品牌，不适合人用产品推广
18,47809341174,Frenchie Complex™,https://cn--xtb.noxinfluencer.com/instagram/channel/47809341174,-15,badcase,宠物狗频道，属于明确错位受众
20,5454853685,Terrain D.O.G.,https://cn--xtb.noxinfluencer.com/instagram/channel/5454853685,-15,badcase,宠物向冒险装备频道，不适合人用产品
21,10813874442,Goldfish - Fort Washington,https://cn--xtb.noxinfluencer.com/instagram/channel/10813874442,-8,badcase,无标签无内容线索，相关性不足
23,11879209017,Lil Rascals Dog Rescue,https://cn--xtb.noxinfluencer.com/instagram/channel/11879209017,-15,badcase,宠物救援频道，受众明显错位
26,1557744797,NutritionFacts.org,https://cn--xtb.noxinfluencer.com/instagram/channel/1557744797,0,badcase,健康科普频道，与泳背心推广场景不匹配
29,217497795,𝗡𝗶𝗰𝗼𝗹𝗲 𝗚𝗼𝘁𝘁𝗲𝘀𝗺𝗮𝗻𝗻,https://cn--xtb.noxinfluencer.com/instagram/channel/217497795,0,badcase,自闭症家庭内容，和泳背心推广场景关联弱
32,38097546213,Afros in Nature,https://cn--xtb.noxinfluencer.com/instagram/channel/38097546213,0,badcase,标签过少，无法判断为泳具相关频道
33,42213647,Arnel,https://cn--xtb.noxinfluencer.com/instagram/channel/42213647,0,badcase,标签过少，无法判断为泳具相关频道
