rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
25,11714841178,Jonjon,https://cn.noxinfluencer.com/instagram/channel/11714841178,5,badcase,ASMR氛围向，属于强格式不匹配，不适合推广
35,328970583,Kyle Krueger,https://cn.noxinfluencer.com/instagram/channel/328970583,0,badcase,仅reels泛标签，无tech相关信号
60,59890032114,Sajjaad Khader,https://cn.noxinfluencer.com/instagram/channel/59890032114,0,badcase,无相关标签与内容信号
63,2976366244,Romina Gafur,https://cn.noxinfluencer.com/instagram/channel/2976366244,0,badcase,仅有 ad 标签，无技术相关信号
76,63130650070,No Tech for Apartheid,https://cn.noxinfluencer.com/instagram/channel/63130650070,20,badcase,倡议/政治号，非产品推广场景
78,9461172575,Kaitlynd McQueen,https://cn.noxinfluencer.com/instagram/channel/9461172575,0,badcase,无科技相关信号
79,58991015329,Voodies Interviews,https://cn.noxinfluencer.com/instagram/channel/58991015329,0,badcase,访谈号与科技无关
91,191479034,Vince Do,https://cn.noxinfluencer.com/instagram/channel/191479034,0,badcase,纯生活vlog，缺少科技受众
93,63543733835,Caden Wolf,https://cn.noxinfluencer.com/instagram/channel/63543733835,0,badcase,无科技相关信号
102,57286832979,Magan | Building in Public,https://cn.noxinfluencer.com/instagram/channel/57286832979,0,badcase,缺少科技相关标签与内容证据，召回价值低
103,52368665883,Brandon LaChappelle,https://cn.noxinfluencer.com/instagram/channel/52368665883,0,badcase,以生活vlog为主，和tech推广关联弱
112,40930559,Alex Falcone,https://cn.noxinfluencer.com/instagram/channel/40930559,0,badcase,娱乐向内容为主，和tech推广关联弱
116,58248063818,ryan,https://cn.noxinfluencer.com/instagram/channel/58248063818,0,badcase,缺少科技相关标签与内容证据，召回价值低
119,40904747468,Gohar Khan,https://cn.noxinfluencer.com/instagram/channel/40904747468,0,badcase,教育生活向为主，和tech推广关联弱
123,59404555178,kumora,https://cn.noxinfluencer.com/instagram/channel/59404555178,0,badcase,缺少科技相关标签与内容证据，召回价值低
129,13492847809,Wowville,https://cn.noxinfluencer.com/instagram/channel/13492847809,0,badcase,无标签，无相关信号
131,72864658293,madelyn,https://cn.noxinfluencer.com/instagram/channel/72864658293,0,badcase,无标签，无相关信号
138,42058280528,More Perfect Union,https://cn.noxinfluencer.com/instagram/channel/42058280528,0,badcase,工会/咖啡议题，与 tech 无关
144,1445686478,Ace | Cybersecurity💻,https://cn.noxinfluencer.com/instagram/channel/1445686478,0,badcase,娱乐标签为主，缺少科技信号
146,61201342513,Jaxski,https://cn.noxinfluencer.com/instagram/channel/61201342513,0,badcase,无标签，无相关信号
147,72290742569,Sam Hlabangana,https://cn.noxinfluencer.com/instagram/channel/72290742569,0,badcase,无标签，无相关信号
151,74947501598,Derek She,https://cn.noxinfluencer.com/instagram/channel/74947501598,0,badcase,无标签与内容证据，无法支撑tech推广
156,191343203,TRIGG WATSON,https://cn.noxinfluencer.com/instagram/channel/191343203,10,badcase,科技直标但核心是魔术娱乐，渠道主题不匹配
157,74606313906,Aashna Doshi,https://cn.noxinfluencer.com/instagram/channel/74606313906,0,badcase,无标签与视频证据，相关性不足
159,62345419500,Alexander Moreo,https://cn.noxinfluencer.com/instagram/channel/62345419500,0,badcase,无标签与内容证据，相关性不足
161,7536568239,Robert Wensley,https://cn.noxinfluencer.com/instagram/channel/7536568239,0,badcase,无相关标签，难以承接tech推广
163,40979900,Allieflowz 🪼🔮🦇🕸️🪻,https://cn.noxinfluencer.com/instagram/channel/40979900,10,badcase,舞蹈表演号带tech标记，推广相关性弱
165,48162947,Leo Herrera,https://cn.noxinfluencer.com/instagram/channel/48162947,0,badcase,无标签与内容证据，相关性不足
166,8190233337,Humble tech worker,https://cn.noxinfluencer.com/instagram/channel/8190233337,0,badcase,无标签且仅名字含tech，缺少可用信号
169,579642518,Gökçe Ercan Seymour,https://cn.noxinfluencer.com/instagram/channel/579642518,0,badcase,无标签与内容证据，相关性不足
170,47531660,Chad Epps,https://cn.noxinfluencer.com/instagram/channel/47531660,0,badcase,动漫娱乐号，和tech推广关联很弱
171,3515804035,Evan Frolov,https://cn.noxinfluencer.com/instagram/channel/3515804035,0,badcase,无标签与内容证据，相关性不足
185,28241308000,#Desi NRI Adda  🇺🇸🇮🇳🇨🇦🇬🇧🇦🇺🇪🇺,https://cn.noxinfluencer.com/instagram/channel/28241308000,5,badcase,娱乐/电影/梗内容为主，tech不适合推广
187,190919103,S’Naaya <3,https://cn.noxinfluencer.com/instagram/channel/190919103,0,badcase,健身向账号，和tech推广几乎无关
189,285451360,Adewale Yusuf,https://cn.noxinfluencer.com/instagram/channel/285451360,0,badcase,只有地域标签，与tech无关
190,68889046839,Lana Yepifanova,https://cn.noxinfluencer.com/instagram/channel/68889046839,0,badcase,无有效标签，无法判断与tech相关
198,3561597011,Annette Mullaney,https://cn.noxinfluencer.com/instagram/channel/3561597011,5,badcase,喜剧内容为主，tech命中不足且格式不适合
200,57755135508,Kevin Nanns,https://cn.noxinfluencer.com/instagram/channel/57755135508,0,badcase,无标签，与tech无明显关联
