rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
90,20474213184,CONSPIRED - Alternative Media Streaming,https://cn--xtb.noxinfluencer.com/instagram/channel/20474213184,8,badcase,阴谋娱乐向内容，科技标签不足以支撑推广
119,38008701586,WorldWide Tweets,https://cn--xtb.noxinfluencer.com/instagram/channel/38008701586,-10,badcase,偏娱乐内容，科技产品推广相关性弱，不适合
129,5036456796,NATE🔥,https://cn--xtb.noxinfluencer.com/instagram/channel/5036456796,0,badcase,娱乐向，虽有AI但不适合科技产品推广
137,32705569,Donald Burton,https://cn--xtb.noxinfluencer.com/instagram/channel/32705569,0,badcase,偏AI/区块链，科技推广相关性太弱
187,4575012590,KP Parker,https://cn--xtb.noxinfluencer.com/instagram/channel/4575012590,0,badcase,泛娱乐/生活向，几乎无科技受众
191,390132135,FELT Zine,https://cn--xtb.noxinfluencer.com/instagram/channel/390132135,0,badcase,NFT/艺术为主，和科技推广关联弱
196,1081895209,Internetcharts,https://cn--xtb.noxinfluencer.com/instagram/channel/1081895209,10,badcase,偏娱乐搞笑内容，科技标签不足且格式不匹配
259,1800237077,Anthony,https://cn--xtb.noxinfluencer.com/instagram/channel/1800237077,0,badcase,金融/交易向，几乎没有科技类召回信号
311,70097822326,dreamweaver0236,https://cn--xtb.noxinfluencer.com/instagram/channel/70097822326,-10,badcase,主要是宝宝娱乐内容，和科技产品推广目标不匹配
313,34576375518,AI MONEY,https://cn--xtb.noxinfluencer.com/instagram/channel/34576375518,5,badcase,主体是宠物内容，科技标签不足以支撑推广
343,48810924781,Jake Beau,https://cn--xtb.noxinfluencer.com/instagram/channel/48810924781,8,badcase,ASMR/舒缓风格为主，科技带货匹配低
344,53953696650,Jarrett Rone,https://cn--xtb.noxinfluencer.com/instagram/channel/53953696650,0,badcase,无科技主线，受众不匹配
346,23224468,Marque Cox,https://cn--xtb.noxinfluencer.com/instagram/channel/23224468,0,badcase,娱乐梗内容为主，科技相关不足
347,1301831709,Nick Harrison,https://cn--xtb.noxinfluencer.com/instagram/channel/1301831709,0,badcase,以摔跤/音乐/娱乐为主，几乎无科技或产品推广信号
354,66118172065,Artur Balaian,https://cn--xtb.noxinfluencer.com/instagram/channel/66118172065,1,badcase,动画娱乐为主，科技信号太弱
361,54964365,Thomas Middleditch,https://cn--xtb.noxinfluencer.com/instagram/channel/54964365,1,badcase,喜剧娱乐为主，不适合科技推广
375,49703155956,Gianni Marchisello Broquard,https://cn--xtb.noxinfluencer.com/instagram/channel/49703155956,5,badcase,兴趣分散，科技仅零散出现
380,30737855,Guwop 👑,https://cn--xtb.noxinfluencer.com/instagram/channel/30737855,0,badcase,以viral/旅行为主，和科技产品推广不匹配
387,1225678117,Sheridah Thomas🦊💋,https://cn--xtb.noxinfluencer.com/instagram/channel/1225678117,0,badcase,时尚/美妆/喜剧为主，科技信号太弱
399,3295360085,Nick Jackson,https://cn--xtb.noxinfluencer.com/instagram/channel/3295360085,1,badcase,仅有AI弱相关，整体偏泛内容
404,602455913,Joey Suarez,https://cn--xtb.noxinfluencer.com/instagram/channel/602455913,1,badcase,娱乐舞蹈为主，AI仅弱相关，科技推广匹配度低
435,1732981385,KATELYN RHOADES | Social Media Agency,https://cn--xtb.noxinfluencer.com/instagram/channel/1732981385,0,badcase,无明显科技相关，偏社媒营销
436,6296061209,Digital Drew® SEM,https://cn--xtb.noxinfluencer.com/instagram/channel/6296061209,0,badcase,无科技主题，偏营销代运营
438,64141135747,Nazeer,https://cn--xtb.noxinfluencer.com/instagram/channel/64141135747,0,badcase,无科技相关，娱乐型内容
440,2963761110,Pinterest Marketing Education,https://cn--xtb.noxinfluencer.com/instagram/channel/2963761110,0,badcase,无科技相关，偏Pinterest教育
444,44592155317,Alexandre Kazuo Kubo,https://cn--xtb.noxinfluencer.com/instagram/channel/44592155317,1,badcase,AI娱乐内容为主，科技相关弱
447,62554824377,psais,https://cn--xtb.noxinfluencer.com/instagram/channel/62554824377,0,badcase,无科技相关，偏穿搭审美
494,67147513472,Content Creation Tips 🧠 | Grow Your Social Media 📲,https://cn--xtb.noxinfluencer.com/instagram/channel/67147513472,0,badcase,内容增长号，与科技产品推广缺少直接关联
