rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
1,75515378201,Nisa Mutlu,https://cn.noxinfluencer.com/instagram/channel/75515378201,0,badcase,无品类或带货证据，相关性低
2,67484831073,Esila’s World’s,https://cn.noxinfluencer.com/instagram/channel/67484831073,0,badcase,无品类或带货证据，相关性低
3,60319225098,Ash,https://cn.noxinfluencer.com/instagram/channel/60319225098,0,badcase,无品类或带货证据，相关性低
6,72037274228,LifewithfairyUsa,https://cn.noxinfluencer.com/instagram/channel/72037274228,0,badcase,无标签无内容证据，相关性不足
8,73486967599,Burcu Alayoglu,https://cn.noxinfluencer.com/instagram/channel/73486967599,0,badcase,无品类证据，难判断为可推广账号
12,54459437059,Natalya,https://cn.noxinfluencer.com/instagram/channel/54459437059,0,badcase,无品类证据，相关性低
16,48443006448,Chris Kanan,https://cn.noxinfluencer.com/instagram/channel/48443006448,5,badcase,园艺割草域与吸尘器用途不符
17,1364522150,Nidhi Chauhan,https://cn.noxinfluencer.com/instagram/channel/1364522150,0,badcase,无品类证据，相关性低
20,1448812058,Trask Performance,https://cn.noxinfluencer.com/instagram/channel/1448812058,5,badcase,机车改装域，吸尘器标签明显不匹配
21,6942526390,veoko,https://cn.noxinfluencer.com/instagram/channel/6942526390,0,badcase,仅泛生活标签，缺乏吸尘器证据
29,35341726868,Duygu Okus,https://cn.noxinfluencer.com/instagram/channel/35341726868,5,badcase,时尚账号为主，吸尘器词疑似蹭标，不适合推广
34,30078798209,"Brenda | Lompoc , Ca",https://cn.noxinfluencer.com/instagram/channel/30078798209,5,badcase,美甲美妆为主，和吸尘器品类不匹配
39,60088258571,Kate S.,https://cn.noxinfluencer.com/instagram/channel/60088258571,-10,badcase,ASMR/食物内容为主，物理产品推广格式不匹配
44,44104888787,Didem Guneren 🧿,https://cn.noxinfluencer.com/instagram/channel/44104888787,-12,badcase,美食频道，和吸尘器推广目标明显不相关
45,5323344127,Polished Pinkies | Nail Supply & Education 💅🏼,https://cn.noxinfluencer.com/instagram/channel/5323344127,5,badcase,美甲供货教育账号，和吸尘器品类不匹配
50,36810020653,Debora Oliver Benites,https://cn.noxinfluencer.com/instagram/channel/36810020653,-8,badcase,时尚/Shein为主，吸尘器词疑似无关标签
51,1408992266,Seda Fidanci | Lifestyle & Content Creator,https://cn.noxinfluencer.com/instagram/channel/1408992266,0,badcase,生活号且以宝宝/社交标签为主，和吸尘器推广无关
53,20737252089,Binal Shah ✨,https://cn.noxinfluencer.com/instagram/channel/20737252089,0,badcase,时尚旅行号，和吸尘器品类无关
54,3089695640,Oladele Tosin Mary,https://cn.noxinfluencer.com/instagram/channel/3089695640,5,badcase,娱乐向频道，吸尘器标签不改变整体不适配
67,39187192660,Aditi Agarwal,https://cn.noxinfluencer.com/instagram/channel/39187192660,1,badcase,美妆号仅有清洁字样，和吸尘器不匹配
73,1153830714,Serap Kaya,https://cn.noxinfluencer.com/instagram/channel/1153830714,0,badcase,城市生活号缺少与吸尘器相关的内容语境
