rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
5,57761056841,Charlie Brown,https://cn--xtb.noxinfluencer.com/instagram/channel/57761056841,-15,badcase,纯狗狗内容，与家用吸尘器推广场景不匹配。
9,59446827583,ConvenientFinds,https://cn--xtb.noxinfluencer.com/instagram/channel/59446827583,0,badcase,无标签、无相关内容信号。
21,3032318115,Golden Boys & Baby Sis,https://cn--xtb.noxinfluencer.com/instagram/channel/3032318115,-15,badcase,宠物狗内容为主，缺少家清产品场景。
22,53460510832,Raquel cañizares,https://cn--xtb.noxinfluencer.com/instagram/channel/53460510832,0,badcase,食品/家庭泛内容，与吸尘器推广弱相关。
23,8788897009,Luca Andrisani,https://cn--xtb.noxinfluencer.com/instagram/channel/8788897009,0,badcase,家庭/旅行叙事为主，和吸尘器无直接关联。
26,39642446721,Shant,https://cn--xtb.noxinfluencer.com/instagram/channel/39642446721,0,badcase,赛车改装频道，和吸尘器推广场景无关
28,65762464503,RACHEL SAMFORD,https://cn--xtb.noxinfluencer.com/instagram/channel/65762464503,-11,badcase,清洁ASMR为主，偏感官内容，不适合吸尘器种草
30,42087772751,Sapphire (Sapphie),https://cn--xtb.noxinfluencer.com/instagram/channel/42087772751,0,badcase,纯宠物搞笑号，和家电推广场景偏离
31,8611744187,Leo the Golden Retriever,https://cn--xtb.noxinfluencer.com/instagram/channel/8611744187,0,badcase,宠物内容为主，缺少家居清洁/测评信号
34,21311685983,Jax The Black Labrador Retriever,https://cn--xtb.noxinfluencer.com/instagram/channel/21311685983,0,badcase,宠物娱乐号，缺少清洁家电相关内容
38,18601100368,M O S T L Y ☁️,https://cn--xtb.noxinfluencer.com/instagram/channel/18601100368,0,badcase,宠物搞笑娱乐号，缺少产品推广能力
42,327273869,jlmelgg,https://cn--xtb.noxinfluencer.com/instagram/channel/327273869,0,badcase,无可用标签，无法判断相关性
46,1447229753,Judah Shaw,https://cn--xtb.noxinfluencer.com/instagram/channel/1447229753,0,badcase,娱乐/关系向内容，和吸尘器推广无关
49,43455839493,Lovely_noelyyy,https://cn--xtb.noxinfluencer.com/instagram/channel/43455839493,0,badcase,无标签，无法建立相关性
55,8367972778,Karen Cress,https://cn--xtb.noxinfluencer.com/instagram/channel/8367972778,0,badcase,无有效标签，无法判断相关性
56,64589766016,nadia,https://cn--xtb.noxinfluencer.com/instagram/channel/64589766016,-12,badcase,ASMR无声格式，和真机推广明显不符
78,1448812058,Trask Performance,https://cn--xtb.noxinfluencer.com/instagram/channel/1448812058,-10,badcase,摩托性能账号，和 vacuum cleaner 清洁家电不相关
83,5323344127,Polished Pinkies | Nail Supply & Education 💅🏼,https://cn--xtb.noxinfluencer.com/instagram/channel/5323344127,-10,badcase,美甲教育账号，和 vacuum cleaner 完全不相关
84,48443006448,Chris Kanan,https://cn--xtb.noxinfluencer.com/instagram/channel/48443006448,5,badcase,主内容是 lawn care，vacuum 命中也不适合推广
88,3089695640,Oladele Tosin Mary,https://cn--xtb.noxinfluencer.com/instagram/channel/3089695640,5,badcase,娱乐/活动向账号，vacuum cleaner 词面命中也不适合推广
90,12009719388,Cat Features 👑 Pawsh Cat Club 🐈‍⬛,https://cn--xtb.noxinfluencer.com/instagram/channel/12009719388,-15,badcase,猫内容账号，和 vacuum cleaner 推广场景不符
96,30078798209,"Brenda | Lompoc , Ca",https://cn--xtb.noxinfluencer.com/instagram/channel/30078798209,-10,badcase,美甲美妆账号，和 vacuum cleaner 不匹配
108,1733045395,Floppycats™ | Cat Content,https://cn--xtb.noxinfluencer.com/instagram/channel/1733045395,-10,badcase,猫内容为主，受众偏宠物圈，不适合通用吸尘器
134,4167088220,Allergy Affiliates,https://cn--xtb.noxinfluencer.com/instagram/channel/4167088220,0,badcase,无有效标签和内容，无法判断相关性
136,42938408066,Ethan Hartzell,https://cn--xtb.noxinfluencer.com/instagram/channel/42938408066,0,badcase,无有效标签和内容，无法判断相关性
145,48271871115,Michelle Cruz | Lifestyle,https://cn--xtb.noxinfluencer.com/instagram/channel/48271871115,0,badcase,时尚穿搭号，与吸尘器主题不匹配
148,52002380809,Isaac Rodriguez,https://cn--xtb.noxinfluencer.com/instagram/channel/52002380809,0,badcase,无有效标签和内容，无法判断相关性
151,57954417658,mike turner,https://cn--xtb.noxinfluencer.com/instagram/channel/57954417658,0,badcase,时尚摄影类，和吸尘器推广几乎无关
152,581595949,Bobby Pierce,https://cn--xtb.noxinfluencer.com/instagram/channel/581595949,0,badcase,赛车/车务内容，和吸尘器推广不匹配
153,60088258571,Kate S.,https://cn--xtb.noxinfluencer.com/instagram/channel/60088258571,-5,badcase,清洁题材但ASMR主导，偏展示不利于带货
165,8198565868,AUXITO | Auto LED Lighting🚗,https://cn--xtb.noxinfluencer.com/instagram/channel/8198565868,0,badcase,汽车灯具号，和吸尘器投放场景不一致
166,8261638025,Stauffer Garage,https://cn--xtb.noxinfluencer.com/instagram/channel/8261638025,-5,badcase,汽车清洁但ASMR偏展示，非吸尘器带货型
172,18569115423,J Ferrell Custom Trucks LLC,https://cn--xtb.noxinfluencer.com/instagram/channel/18569115423,0,badcase,重卡改装号，和吸尘器推广关联弱
178,15307552749,boram,https://cn--xtb.noxinfluencer.com/instagram/channel/15307552749,0,badcase,母婴健康为主，和吸尘器推广不匹配
182,3083356610,Anastasia Markova,https://cn--xtb.noxinfluencer.com/instagram/channel/3083356610,-12,badcase,ASMR清洁向，偏体验内容，不适合家电推广
184,373379235,goodwaytechnologies,https://cn--xtb.noxinfluencer.com/instagram/channel/373379235,0,badcase,无有效标签，缺少家电推广证据
192,55955004152,𝗠𝗮𝗿𝘆 | 𝗰𝗹𝗲𝗮𝗻𝘄𝗶𝘁𝗵𝗺𝗮𝗴,https://cn--xtb.noxinfluencer.com/instagram/channel/55955004152,-12,badcase,清洁ASMR占主导，格式不适合家电推广
194,56381328154,Edyta♡ Cleaning & Home Finds,https://cn--xtb.noxinfluencer.com/instagram/channel/56381328154,-12,badcase,清洁ASMR叠加，推广家电的格式冲突大
195,57332044973,Bear Brothers Cleaning,https://cn--xtb.noxinfluencer.com/instagram/channel/57332044973,0,badcase,无标签无内容证据，难判断为相关频道
204,48147324196,Home Goodiys,https://cn--xtb.noxinfluencer.com/instagram/channel/48147324196,1,badcase,手作折扣号，和 vacuum 推广关联很弱
208,21483234415,Chemist Fragrance,https://cn--xtb.noxinfluencer.com/instagram/channel/21483234415,0,badcase,香水/手机号，和 vacuum 主题不匹配
212,26242900,April Moore,https://cn--xtb.noxinfluencer.com/instagram/channel/26242900,0,badcase,烹饪家庭内容，缺少清洁电器相关信号
215,46397405293,Uproot Clean,https://cn--xtb.noxinfluencer.com/instagram/channel/46397405293,-10,badcase,ASMR 清洁向，偏氛围不适合推 vacuum
219,54334455128,Angela Brown,https://cn--xtb.noxinfluencer.com/instagram/channel/54334455128,0,badcase,无标签，无法判断为相关推广位
221,654797639,Rj Sottile,https://cn--xtb.noxinfluencer.com/instagram/channel/654797639,0,badcase,跑车售卖号，不适合清洁电器投放
225,3995034222,David Dilorenzo,https://cn--xtb.noxinfluencer.com/instagram/channel/3995034222,0,badcase,美甲内容，与 vacuum 推广无关
229,1064166240,LifewithTerisha | SAHM ASMR Cleaning & Home 🇯🇲 🇺🇸,https://cn--xtb.noxinfluencer.com/instagram/channel/1064166240,-5,badcase,有测评清洁信号，但ASMR格式不利于带货
230,11174355308,BARGAIN OUTLET & MORE,https://cn--xtb.noxinfluencer.com/instagram/channel/11174355308,0,badcase,标签缺失，无法判断与吸尘器的明确相关性
232,1150537931,George Tome,https://cn--xtb.noxinfluencer.com/instagram/channel/1150537931,0,badcase,旅行和AI内容，和清洁家电无关
237,174118764,spellboundsky,https://cn--xtb.noxinfluencer.com/instagram/channel/174118764,0,badcase,水晶占星娱乐号，和吸尘器无关
239,1958319296,Brian White,https://cn--xtb.noxinfluencer.com/instagram/channel/1958319296,0,badcase,车拍和摄影内容，与吸尘器无关
244,44308272131,Flagship Carwash,https://cn--xtb.noxinfluencer.com/instagram/channel/44308272131,0,badcase,车洗业务号，不适合家用吸尘器推广
246,48655518329,United Inventors Association,https://cn--xtb.noxinfluencer.com/instagram/channel/48655518329,0,badcase,发明协会定位泛，缺少清洁家电内容
250,58920008442,A Race Against Blindness | Nonprofit,https://cn--xtb.noxinfluencer.com/instagram/channel/58920008442,0,badcase,公益旅行内容，与吸尘器不相关
253,71897062556,Purrfect Pet Haven,https://cn--xtb.noxinfluencer.com/instagram/channel/71897062556,0,badcase,无清洁家电或评测信号，证据过少
257,9218098794,CAM,https://cn--xtb.noxinfluencer.com/instagram/channel/9218098794,0,badcase,美妆穿搭为主，与吸尘器推广不匹配
260,10883790399,Casdon Toys USA,https://cn--xtb.noxinfluencer.com/instagram/channel/10883790399,-15,badcase,玩具扮演号，虽有vacuum词但面向儿童玩具
261,1058463077,Kristen Nowak 👸🏼🐶🐶|| Amazon & CLE,https://cn--xtb.noxinfluencer.com/instagram/channel/1058463077,0,badcase,时尚穿搭/亚马逊号，家电相关性弱
263,362450340,Luke,https://cn--xtb.noxinfluencer.com/instagram/channel/362450340,0,badcase,木工工具号，和吸尘器品类偏离
265,39396462789,NAIL ART HOUSE STORE®,https://cn--xtb.noxinfluencer.com/instagram/channel/39396462789,0,badcase,美甲供应链频道，受众与吸尘器不符
269,31557610,Julia Greene,https://cn--xtb.noxinfluencer.com/instagram/channel/31557610,0,badcase,纯家居装饰风格，缺少清洁家电内容
272,1564796398,Danielle  Taylor,https://cn--xtb.noxinfluencer.com/instagram/channel/1564796398,0,badcase,母婴美妆为主，与吸尘器推广不匹配
273,1683886959,Drive & Shine,https://cn--xtb.noxinfluencer.com/instagram/channel/1683886959,0,badcase,无标签无视频，无法判断为吸尘器相关
277,3655948752,Oz Robotics,https://cn--xtb.noxinfluencer.com/instagram/channel/3655948752,0,badcase,无标签与内容证据，无法判断吸尘器相关性
282,41474758,Gone to the Snow Dogs,https://cn--xtb.noxinfluencer.com/instagram/channel/41474758,0,badcase,宠物频道为主，缺少吸尘器推广场景
284,45644476506,Suds Brothers Express Car Wash,https://cn--xtb.noxinfluencer.com/instagram/channel/45644476506,0,badcase,车洗内容与吸尘器品类不相关
287,48505695567,Officially_julieta,https://cn--xtb.noxinfluencer.com/instagram/channel/48505695567,0,badcase,时尚美妆频道，和吸尘器的受众及场景不匹配
291,54384146419,Nouvo Ko,https://cn--xtb.noxinfluencer.com/instagram/channel/54384146419,0,badcase,咖啡/杯具/手作内容，和吸尘器无关
296,61951369508,Travel Backpack 🎒,https://cn--xtb.noxinfluencer.com/instagram/channel/61951369508,0,badcase,投影/幻想/轻科技标签，和吸尘器不相关
298,6795055265,ELYS_REVIEWS,https://cn--xtb.noxinfluencer.com/instagram/channel/6795055265,0,badcase,时尚美妆测评频道，吸尘器推广受众不一致
302,789621314,Chicago Cat Rescue,https://cn--xtb.noxinfluencer.com/instagram/channel/789621314,-10,badcase,宠物救援受众不适合人用吸尘器推广
308,2999060421,Fuel Moto,https://cn--xtb.noxinfluencer.com/instagram/channel/2999060421,-15,badcase,摩托车改装频道，与吸尘器品类明显不相干
320,45316510175,BMATFITNESS 🦕,https://cn--xtb.noxinfluencer.com/instagram/channel/45316510175,-15,badcase,健身肌肉频道，与吸尘器推广无关
327,1315822893,Schenck and Company,https://cn--xtb.noxinfluencer.com/instagram/channel/1315822893,0,badcase,无相关标签，缺少吸尘器推广线索
331,1359997522,AARF: All About Rescue & Fixin,https://cn--xtb.noxinfluencer.com/instagram/channel/1359997522,0,badcase,无标签，无法判断吸尘器相关性
332,13968095198,Papa Bear Car Wash,https://cn--xtb.noxinfluencer.com/instagram/channel/13968095198,0,badcase,以抽奖和礼卡为主，和吸尘器不相关
333,1436454939,Feuling Parts,https://cn--xtb.noxinfluencer.com/instagram/channel/1436454939,0,badcase,摩托车零件号，和吸尘器推广无关
337,1656180589,Turtle and Elfie -Brussels Griffons,https://cn--xtb.noxinfluencer.com/instagram/channel/1656180589,0,badcase,狗宠物号，和吸尘器受众不匹配
338,16991688715,El Car Wash,https://cn--xtb.noxinfluencer.com/instagram/channel/16991688715,1,badcase,汽车洗护账号，和家用吸尘器场景不匹配
340,1755726823,5 Star Equine Products,https://cn--xtb.noxinfluencer.com/instagram/channel/1755726823,0,badcase,马术/马具垂类，和吸尘器无关
341,180815125,vincent j musi,https://cn--xtb.noxinfluencer.com/instagram/channel/180815125,0,badcase,宠物摄影号，目标受众不匹配
344,1908355940,Hygea Natural,https://cn--xtb.noxinfluencer.com/instagram/channel/1908355940,0,badcase,无标签，缺少吸尘器推广依据
348,234657742,d a n a    d o n a t y,https://cn--xtb.noxinfluencer.com/instagram/channel/234657742,0,badcase,艺术表演向，和家电推广不相干
358,31452292921,stina💜,https://cn--xtb.noxinfluencer.com/instagram/channel/31452292921,-12,badcase,ASMR美甲号，强格式错配，不适合推吸尘器
363,34375126648,mytrendytales,https://cn--xtb.noxinfluencer.com/instagram/channel/34375126648,0,badcase,时尚内容为主，清洁品类不相关
364,3447235249,ViewReview,https://cn--xtb.noxinfluencer.com/instagram/channel/3447235249,0,badcase,缺少标签和视频证据，无法判断为相关频道
366,360045649,Runyon Surface Prep,https://cn--xtb.noxinfluencer.com/instagram/channel/360045649,0,badcase,缺少可用标签与内容证据
369,4127248456,M I K I T A  &  D A H L I A,https://cn--xtb.noxinfluencer.com/instagram/channel/4127248456,0,badcase,宠物内容为主，缺少清洁家电推广信号
