"keyword","nox badcase率","xtb badcase率","差值(nox-xtb)","nox labels","xtb labels","nox avg/channel","xtb avg/channel","文档"
"coffee machine","44.6%","23.0%","21.6%","fit 67, adjacent 210, badcase 223","fit 180, adjacent 205, badcase 115","6.6s","11.6s","[provider-comparison.md](coffee-machine/provider-comparison.md)"
"lawn mower","44.6%","23.6%","21.0%","fit 148, adjacent 129, badcase 223","fit 185, adjacent 197, badcase 118","6.6s","13.4s","[provider-comparison.md](lawn-mower/provider-comparison.md)"
"tech","9.0%","22.8%","-13.8%","fit 292, adjacent 163, badcase 45","fit 235, adjacent 151, badcase 114","6.2s","14.4s","[provider-comparison.md](tech/provider-comparison.md)"
"fashion","0.6%","3.0%","-2.4%","fit 442, adjacent 55, badcase 3","fit 356, adjacent 129, badcase 15","4.4s","7.6s","[provider-comparison.md](fashion/provider-comparison.md)"
"lifestyle","4.2%","1.8%","2.4%","fit 419, adjacent 60, badcase 21","fit 353, adjacent 138, badcase 9","4.5s","7.2s","[provider-comparison.md](lifestyle/provider-comparison.md)"
"power bank","42.4%","12.6%","29.8%","fit 192, adjacent 96, badcase 212","fit 262, adjacent 175, badcase 63","7.1s","11.6s","[provider-comparison.md](power-bank/provider-comparison.md)"
"swim vest","65.0%","39.4%","25.6%","fit 3, adjacent 172, badcase 325","fit 49, adjacent 254, badcase 197","6.5s","9.6s","[provider-comparison.md](swim-vest/provider-comparison.md)"
"vacuum cleaner","32.0%","20.6%","11.4%","fit 237, adjacent 103, badcase 160","fit 226, adjacent 171, badcase 103","7.0s","10.5s","[provider-comparison.md](vacuum-cleaner/provider-comparison.md)"
"baby supplement","58.6%","18.0%","40.6%","fit 21, adjacent 186, badcase 293","fit 105, adjacent 305, badcase 90","6.0s","11.5s","[provider-comparison.md](baby-supplement/provider-comparison.md)"
"pet food","37.6%","19.2%","18.4%","fit 124, adjacent 188, badcase 188","fit 241, adjacent 163, badcase 96","7.1s","12.2s","[provider-comparison.md](pet-food/provider-comparison.md)"
