rank,channel_id,channel_name,channel_url,score,suggested_label,why_short
3,6940652543030936581,"Brooke, Fat Loss Coach",https://cn.noxinfluencer.com/tiktok/channel/6940652543030936581,0,badcase,成人减脂频道，与婴儿补充剂目标人群不符
12,6743608307699254278,S𝑡𝑒𝑝𝘩𝑎𝑛𝑖𝑒 D𝑒𝑐𝑎𝑡𝑜r,https://cn.noxinfluencer.com/tiktok/channel/6743608307699254278,0,badcase,以减重为主，和婴儿补充剂场景偏离
14,7014607504144565254,✝️AskDrLaRu🌸NCCN🌿,https://cn.noxinfluencer.com/tiktok/channel/7014607504144565254,0,badcase,娱乐杂内容为主，缺少母婴相关信号
15,7010464200489337862,Trap9,https://cn.noxinfluencer.com/tiktok/channel/7010464200489337862,-10,badcase,宠物/动物频道，和人类婴儿补充剂不符
16,6768541936908715014,↩️Insulin Resistance w/Kirsten,https://cn.noxinfluencer.com/tiktok/channel/6768541936908715014,0,badcase,成人代谢管理频道，与婴儿补充剂无关
17,6721863517818864646,Hakunathebeardeddragon,https://cn.noxinfluencer.com/tiktok/channel/6721863517818864646,-10,badcase,爬宠动物内容，受众完全不符
19,6769365028087022597,Dre,https://cn.noxinfluencer.com/tiktok/channel/6769365028087022597,0,badcase,时尚饰品和开箱为主，婴儿补充剂匹配弱
23,6778966540324537350,Ziggy’s Refuge,https://cn.noxinfluencer.com/tiktok/channel/6778966540324537350,-10,badcase,动物救助频道，和人类婴儿补充剂不符
27,6979248976449520645,Dr Jodi - FTF System,https://cn.noxinfluencer.com/tiktok/channel/6979248976449520645,0,badcase,缺少相关标签和内容证据
28,7503408293342282798,pinkdragonpsychrn,https://cn.noxinfluencer.com/tiktok/channel/7503408293342282798,0,badcase,缺少相关标签和内容证据
29,7447693134339425326,Ask_the_NP_mom,https://cn.noxinfluencer.com/tiktok/channel/7447693134339425326,0,badcase,仅凭名称不足以判断为婴儿补充剂相关
31,7079110037990016042,Lilyanna Eide,https://cn.noxinfluencer.com/tiktok/channel/7079110037990016042,0,badcase,缺少相关标签和内容证据
32,7329844600259511339,Reps 2 Redemption,https://cn.noxinfluencer.com/tiktok/channel/7329844600259511339,0,badcase,泛健身健康号，与婴儿补充剂关联弱
38,7225771529426289707,Patty Staley,https://cn.noxinfluencer.com/tiktok/channel/7225771529426289707,0,badcase,缺少相关标签和内容证据
40,6940359204620403718,Gentlegiantselephant,https://cn.noxinfluencer.com/tiktok/channel/6940359204620403718,-15,badcase,动物救助号，与人类婴儿补充剂目标互斥
41,6888739282392581125,"Cait, Hormone Health Coach",https://cn.noxinfluencer.com/tiktok/channel/6888739282392581125,0,badcase,健康教练但缺少婴儿营养/母婴证据
42,21981144,Waltzy Styczykowski Becky,https://cn.noxinfluencer.com/tiktok/channel/21981144,0,badcase,缺少相关标签和内容证据
43,7263266988377523242,hartmanholistic,https://cn.noxinfluencer.com/tiktok/channel/7263266988377523242,0,badcase,缺少相关标签和内容证据
47,6811108681583002630,Nancy: Cortisol Cocktail Coach,https://cn.noxinfluencer.com/tiktok/channel/6811108681583002630,0,badcase,缺少相关标签和内容证据
48,6674090655905858566,Monica🦩Fertility Health Coach,https://cn.noxinfluencer.com/tiktok/channel/6674090655905858566,0,badcase,偏备孕/生殖健康，不是婴儿补充剂主场景
49,6814788211680855045,NovaFerrum,https://cn.noxinfluencer.com/tiktok/channel/6814788211680855045,0,badcase,缺少相关标签和内容证据
52,7462037578922525739,Mariah | UGC,https://cn.noxinfluencer.com/tiktok/channel/7462037578922525739,0,badcase,UGC泛内容，无母婴或补充剂相关证据
53,7400541242767918122,Mama B- TherapyAtHome,https://cn.noxinfluencer.com/tiktok/channel/7400541242767918122,0,badcase,疗愈居家主题，和婴儿补充剂无直接关联
58,7434314840074322987,epideals,https://cn.noxinfluencer.com/tiktok/channel/7434314840074322987,0,badcase,缺少母婴、健康或补充剂相关证据
61,7464884957246161951,Sonita Life,https://cn.noxinfluencer.com/tiktok/channel/7464884957246161951,0,badcase,账号信息过泛，缺少母婴或补充剂相关信号
63,7517843874410185783,HerPillow,https://cn.noxinfluencer.com/tiktok/channel/7517843874410185783,0,badcase,缺少母婴或补充剂相关证据
64,7112891095571678251,EDDIE F,https://cn.noxinfluencer.com/tiktok/channel/7112891095571678251,0,badcase,缺少母婴或补充剂相关证据
66,7252080464973808682,Barkfinity,https://cn.noxinfluencer.com/tiktok/channel/7252080464973808682,-15,badcase,犬类内容，与人类婴儿补充剂互斥
68,7472462477102875694,SueBeautyVibes,https://cn.noxinfluencer.com/tiktok/channel/7472462477102875694,0,badcase,缺少母婴或补充剂相关证据
69,7576524900414096398,TT Eds Apparel & Stuff,https://cn.noxinfluencer.com/tiktok/channel/7576524900414096398,0,badcase,服饰杂项账号，和婴儿补充剂无关
72,6712535181881213958,Tori Green,https://cn.noxinfluencer.com/tiktok/channel/6712535181881213958,0,badcase,舞蹈娱乐内容，与婴儿补充剂无关
75,7331113390431241259,Jordan- Cortisol + Weight Loss,https://cn.noxinfluencer.com/tiktok/channel/7331113390431241259,0,badcase,压力激素与减重主题，和婴儿补充剂无关
76,6988137451073078277,Eastern Box Turtle,https://cn.noxinfluencer.com/tiktok/channel/6988137451073078277,-15,badcase,爬宠/野生动物频道，与人类婴儿补充剂推广互斥
78,7167184032618365995,raisingprimal,https://cn.noxinfluencer.com/tiktok/channel/7167184032618365995,0,badcase,原始饮食/成人健康取向，缺少婴儿营养场景
83,7100749707966809130,catchyouheart,https://cn.noxinfluencer.com/tiktok/channel/7100749707966809130,0,badcase,健身强人内容与婴儿补充剂受众不匹配
84,7437351003244708907,Nelly.dogtips,https://cn.noxinfluencer.com/tiktok/channel/7437351003244708907,-12,badcase,狗狗用品取向，属于宠物场景
92,6983400063426954246,Thee Caregiver Brand,https://cn.noxinfluencer.com/tiktok/channel/6983400063426954246,0,badcase,偏护肤引流与账号经营，不是婴儿补充剂受众
95,6776987073821524997,"Alexis Bhagat, MS, ACSM-CEP",https://cn.noxinfluencer.com/tiktok/channel/6776987073821524997,0,badcase,运动生理内容与婴儿补充剂不匹配
96,6802347945329951749,HerpTime,https://cn.noxinfluencer.com/tiktok/channel/6802347945329951749,-25,badcase,爬宠+ASMR是强排他且格式不适合带货
97,7035857692187264005,BloomingBodyContour,https://cn.noxinfluencer.com/tiktok/channel/7035857692187264005,0,badcase,减重/身材账号与婴儿补充剂缺少相关受众
98,7268331950053917738,CallyMarieSimpson,https://cn.noxinfluencer.com/tiktok/channel/7268331950053917738,-10,badcase,犬训内容偏宠物场景，与人类婴儿补充剂互斥
103,7029758223213495301,Rosanne Austin,https://cn.noxinfluencer.com/tiktok/channel/7029758223213495301,0,badcase,无标签无内容，缺少判断依据
104,7536032200648262686,Eddie Frank,https://cn.noxinfluencer.com/tiktok/channel/7536032200648262686,0,badcase,购物返利/Deal型频道，和母婴补剂不匹配
106,6766409099183457285,KimberCoolMom,https://cn.noxinfluencer.com/tiktok/channel/6766409099183457285,0,badcase,母亲+癌症健康，和婴儿补剂受众不一致
107,6752657636183491589,k i l e y 🪩🫧💭,https://cn.noxinfluencer.com/tiktok/channel/6752657636183491589,0,badcase,无标签无内容，缺少相关信号
108,20850612,Belen Wright Frost | NTP,https://cn.noxinfluencer.com/tiktok/channel/20850612,0,badcase,无标签无内容，缺少相关信号
111,7112211547435631662,Melissa Gonzalez,https://cn.noxinfluencer.com/tiktok/channel/7112211547435631662,0,badcase,减重GLP1向，和婴儿补剂不相关
114,7017623413640643589,Kenz Moe x Motherhood,https://cn.noxinfluencer.com/tiktok/channel/7017623413640643589,0,badcase,医美美业向，不适合婴儿补剂
116,6738400990405575686,Lauren DeLeary,https://cn.noxinfluencer.com/tiktok/channel/6738400990405575686,0,badcase,仅生日/人生设定标签，无补剂相关信号
118,7225725994804397102,New Chapter Inc,https://cn.noxinfluencer.com/tiktok/channel/7225725994804397102,0,badcase,无标签，无法验证母婴补剂相关性
120,6964963546494321670,Tess in the PNW 💚,https://cn.noxinfluencer.com/tiktok/channel/6964963546494321670,0,badcase,无标签，缺少相关信号
121,7425419191669457963,Heather🦋GardenLife,https://cn.noxinfluencer.com/tiktok/channel/7425419191669457963,0,badcase,美发护肤测评向，和婴儿补剂类目不一致
122,6879532070604325894,HerLuxeDigitalMindset,https://cn.noxinfluencer.com/tiktok/channel/6879532070604325894,0,badcase,情绪/人生心态向，缺少产品相关性
123,6643494296446435334,Elizabeth,https://cn.noxinfluencer.com/tiktok/channel/6643494296446435334,0,badcase,无标签无内容，缺少判断依据
125,7509349967372796958,Sydney OT ✨ In Good Hands,https://cn.noxinfluencer.com/tiktok/channel/7509349967372796958,0,badcase,无标签，缺少可用相关性信号
126,7150197359010726955,Mommyz Love,https://cn.noxinfluencer.com/tiktok/channel/7150197359010726955,0,badcase,无相关标签，母婴/健康证据不足
127,6815247399083459589,It Just Works Wellness,https://cn.noxinfluencer.com/tiktok/channel/6815247399083459589,0,badcase,偏个人护理/除臭内容，与婴儿补充剂无关
131,6855011575079633926,Because it’s funny!🥳,https://cn.noxinfluencer.com/tiktok/channel/6855011575079633926,-15,badcase,娱乐向内容，和婴儿营养推广场景不匹配
133,7251655325911942186,Kitten.mama,https://cn.noxinfluencer.com/tiktok/channel/7251655325911942186,-15,badcase,宠物猫内容，和人类婴儿补充剂完全错位
134,6804933343390811141,Shakira Torres,https://cn.noxinfluencer.com/tiktok/channel/6804933343390811141,0,badcase,标签过泛，缺少母婴或健康相关证据
136,7504970748606039086,NQNQ US,https://cn.noxinfluencer.com/tiktok/channel/7504970748606039086,0,badcase,无可用标签，证据不足
139,6818702122478814213,Madison Elizabeth // Boy Mom💙,https://cn.noxinfluencer.com/tiktok/channel/6818702122478814213,0,badcase,无标签，无法判断母婴相关性
141,2307328,Harmony | SAHM x2 | 🎱🍒🏁🪩,https://cn.noxinfluencer.com/tiktok/channel/2307328,0,badcase,无可用标签，母婴证据不足
144,7087712632874992683,Raman Kaur MD,https://cn.noxinfluencer.com/tiktok/channel/7087712632874992683,0,badcase,仅有医生身份线索，缺少母婴标签
145,7164132837934171179,Brie Murillo,https://cn.noxinfluencer.com/tiktok/channel/7164132837934171179,0,badcase,无相关标签，证据不足
148,7310700750476248110,Mary_42111 🍒,https://cn.noxinfluencer.com/tiktok/channel/7310700750476248110,0,badcase,无可用标签，无法判断相关性
150,6780138491105100806,mallarsfitness 🦅,https://cn.noxinfluencer.com/tiktok/channel/6780138491105100806,0,badcase,健身与小店内容，与婴儿补充剂无关
151,7548530543224357943,sophia.healthtips,https://cn.noxinfluencer.com/tiktok/channel/7548530543224357943,0,badcase,无相关标签与母婴信号
152,7054336049857971247,deekindafitnurse| Fit after 50,https://cn.noxinfluencer.com/tiktok/channel/7054336049857971247,0,badcase,健身女性频道，和婴儿补剂不相关
156,7359418062850163755,Bosley The Corgi,https://cn.noxinfluencer.com/tiktok/channel/7359418062850163755,-15,badcase,宠物犬频道，和人类婴儿补剂受众冲突
158,6867605449328296965,LUCIANA | Queen Of EDM 🎤🗝️,https://cn.noxinfluencer.com/tiktok/channel/6867605449328296965,0,badcase,娱乐型频道，和婴儿补剂推广不匹配
159,7331892278611641387,Alicia’s Unique Finds,https://cn.noxinfluencer.com/tiktok/channel/7331892278611641387,0,badcase,美食料理频道，和婴儿补剂不相关
160,6809000911878505478,Heart & Soil Supplements,https://cn.noxinfluencer.com/tiktok/channel/6809000911878505478,-15,badcase,动物基健康频道，和婴儿补剂受众不匹配
163,6637088301214056453,Marissa Marlene,https://cn.noxinfluencer.com/tiktok/channel/6637088301214056453,0,badcase,无相关标签与母婴信号
166,7269518491689223211,HomeplaceMarket,https://cn.noxinfluencer.com/tiktok/channel/7269518491689223211,0,badcase,无相关标签与母婴信号
168,6805546303021204485,Bryn Friend | REALTOR®,https://cn.noxinfluencer.com/tiktok/channel/6805546303021204485,0,badcase,房地产为主，只有泛妈妈标签
169,6855360532767147013,KATIE TUFTE|CORTISOL COCKTAIL,https://cn.noxinfluencer.com/tiktok/channel/6855360532767147013,0,badcase,无相关标签与母婴信号
170,7189633909315109934,Nipa Ye,https://cn.noxinfluencer.com/tiktok/channel/7189633909315109934,0,badcase,无相关标签与母婴信号
171,7248039149927613483,its.meganmichelle,https://cn.noxinfluencer.com/tiktok/channel/7248039149927613483,0,badcase,无相关标签与母婴信号
172,7041383953870865454,Brooookkkkkkskskskks,https://cn.noxinfluencer.com/tiktok/channel/7041383953870865454,0,badcase,无相关标签与母婴信号
173,7182753515159929899,Gina Wolf Wellness,https://cn.noxinfluencer.com/tiktok/channel/7182753515159929899,0,badcase,女性激素健康向，和婴儿补剂不一致
174,7335054506784900138,Arlene Beauty Bestie,https://cn.noxinfluencer.com/tiktok/channel/7335054506784900138,0,badcase,无相关标签与母婴信号
176,7559062184254637070,PetHealthHacks,https://cn.noxinfluencer.com/tiktok/channel/7559062184254637070,-10,badcase,宠物健康向，和人类婴儿补充剂目标互斥
178,105989479550558208,Rosa,https://cn.noxinfluencer.com/tiktok/channel/105989479550558208,0,badcase,健身内容，和婴儿补充剂受众不匹配
182,6997833180809004038,janae.cortisol_coach,https://cn.noxinfluencer.com/tiktok/channel/6997833180809004038,0,badcase,仅见成人健康教练属性，和婴儿补充剂关联弱
183,6815831085147964421,Morgan,https://cn.noxinfluencer.com/tiktok/channel/6815831085147964421,0,badcase,美妆购物向，和婴儿补充剂目标人群不符
185,7034887816968012847,Tips y Recomendaciones,https://cn.noxinfluencer.com/tiktok/channel/7034887816968012847,-5,badcase,泛健康/宠物线索混杂，和婴儿补充剂不匹配
186,6736282019657991174,mrhype84,https://cn.noxinfluencer.com/tiktok/channel/6736282019657991174,0,badcase,无有效相关信号
188,7506238301314008094,Vivi,https://cn.noxinfluencer.com/tiktok/channel/7506238301314008094,0,badcase,无有效相关信号
190,7078857893651072042,Kateeana🐮,https://cn.noxinfluencer.com/tiktok/channel/7078857893651072042,-5,badcase,疑似动物向账号，和婴儿补充剂不符
191,6767180670625711110,Kelly Wolf,https://cn.noxinfluencer.com/tiktok/channel/6767180670625711110,0,badcase,无有效相关信号
198,6908181119582766086,Katie Paige,https://cn.noxinfluencer.com/tiktok/channel/6908181119582766086,0,badcase,无有效相关信号
199,7488676361046836242,tailypetttt,https://cn.noxinfluencer.com/tiktok/channel/7488676361046836242,-10,badcase,宠物向账号，和人类婴儿补充剂互斥
